"ApproachesRightRoughRTPScore_RANKTHISWEEK_2009","ApproachesRightRoughRTPScore_RANKLASTWEEK_2009","ApproachesRightRoughRTPScore_PLAYERNAME_2009","ApproachesRightRoughRTPScore_ROUNDS_2009","ApproachesRightRoughRTPScore_AVGRTP_2009","stat_name","year"
26,26,"Spencer Levin",75,0.037,"ApproachesRightRoughRTPScore",2009
28,28,"Michael Letzig",96,0.038,"ApproachesRightRoughRTPScore",2009
29,29,"John Rollins",92,0.04,"ApproachesRightRoughRTPScore",2009
29,29,"Boo Weekley",79,0.04,"ApproachesRightRoughRTPScore",2009
31,31,"KJ Choi",65,0.041,"ApproachesRightRoughRTPScore",2009
32,32,"David Toms",98,0.044,"ApproachesRightRoughRTPScore",2009
33,33,"Jason Day",61,0.045,"ApproachesRightRoughRTPScore",2009
34,34,"Mark Calcavecchia",72,0.046,"ApproachesRightRoughRTPScore",2009
35,35,"Ben Crane",93,0.05,"ApproachesRightRoughRTPScore",2009
35,35,"Robert Garrigus",83,0.05,"ApproachesRightRoughRTPScore",2009
37,37,"Tim Herron",87,0.052,"ApproachesRightRoughRTPScore",2009
37,37,"Matt Kuchar",82,0.052,"ApproachesRightRoughRTPScore",2009
37,37,"Troy Matteson",95,0.052,"ApproachesRightRoughRTPScore",2009
40,40,"Stewart Cink",79,0.054,"ApproachesRightRoughRTPScore",2009
40,40,"Carl Pettersson",86,0.054,"ApproachesRightRoughRTPScore",2009
42,42,"Tom Pernice Jr",82,0.055,"ApproachesRightRoughRTPScore",2009
43,43,"Brian Vranesh",51,0.056,"ApproachesRightRoughRTPScore",2009
44,44,"Anthony Kim",76,0.057,"ApproachesRightRoughRTPScore",2009
45,45,"Steve Elkington",70,0.059,"ApproachesRightRoughRTPScore",2009
46,46,"Steve Stricker",81,0.06,"ApproachesRightRoughRTPScore",2009
47,47,"Charlie Wi",92,0.061,"ApproachesRightRoughRTPScore",2009
48,48,"Jonathan Byrd",89,0.065,"ApproachesRightRoughRTPScore",2009
48,48,"Marc Leishman",91,0.065,"ApproachesRightRoughRTPScore",2009
48,48,"Andres Romero",58,0.065,"ApproachesRightRoughRTPScore",2009
51,51,"Woody Austin",84,0.067,"ApproachesRightRoughRTPScore",2009
52,52,"Charles Warren",63,0.072,"ApproachesRightRoughRTPScore",2009
53,53,"Ian Poulter",59,0.074,"ApproachesRightRoughRTPScore",2009
54,54,"Angel Cabrera",55,0.076,"ApproachesRightRoughRTPScore",2009
54,54,"Jerry Kelly",90,0.076,"ApproachesRightRoughRTPScore",2009
56,56,"Cameron Beckman",87,0.077,"ApproachesRightRoughRTPScore",2009
57,57,"Pat Perez",74,0.078,"ApproachesRightRoughRTPScore",2009
58,58,"Aron Price",89,0.079,"ApproachesRightRoughRTPScore",2009
59,59,"JJ Henry",97,0.081,"ApproachesRightRoughRTPScore",2009
60,60,"Zach Johnson",94,0.083,"ApproachesRightRoughRTPScore",2009
60,60,"Kevin Streelman",97,0.083,"ApproachesRightRoughRTPScore",2009
62,62,"Phil Mickelson",66,0.084,"ApproachesRightRoughRTPScore",2009
63,63,"Glen Day",79,0.085,"ApproachesRightRoughRTPScore",2009
63,63,"Ted Purdy",101,0.085,"ApproachesRightRoughRTPScore",2009
63,63,"Bo Van Pelt",100,0.085,"ApproachesRightRoughRTPScore",2009
66,66,"Chris Riley",77,0.086,"ApproachesRightRoughRTPScore",2009
67,67,"Brian Gay",96,0.087,"ApproachesRightRoughRTPScore",2009
67,67,"Rory Sabbatini",81,0.087,"ApproachesRightRoughRTPScore",2009
69,69,"Kris Blanks",60,0.088,"ApproachesRightRoughRTPScore",2009
69,69,"Tim Clark",81,0.088,"ApproachesRightRoughRTPScore",2009
69,69,"Joe Ogilvie",85,0.088,"ApproachesRightRoughRTPScore",2009
72,72,"Jason Bohn",88,0.09,"ApproachesRightRoughRTPScore",2009
72,72,"Mark Brooks",55,0.09,"ApproachesRightRoughRTPScore",2009
74,74,"Scott Piercy",85,0.092,"ApproachesRightRoughRTPScore",2009
75,75,"Chris DiMarco",97,0.093,"ApproachesRightRoughRTPScore",2009
76,76,"Kevin Sutherland",96,0.096,"ApproachesRightRoughRTPScore",2009
77,77,"Mark Wilson",99,0.099,"ApproachesRightRoughRTPScore",2009
78,78,"David Mathis",82,0.1,"ApproachesRightRoughRTPScore",2009
78,78,"George McNeill",82,0.1,"ApproachesRightRoughRTPScore",2009
80,80,"Geoff Ogilvy",78,0.101,"ApproachesRightRoughRTPScore",2009
81,81,"Tom Lehman",55,0.102,"ApproachesRightRoughRTPScore",2009
82,82,"Luke Donald",79,0.103,"ApproachesRightRoughRTPScore",2009
83,83,"Ryuji Imada",85,0.104,"ApproachesRightRoughRTPScore",2009
84,84,"Jeff Klauk",97,0.105,"ApproachesRightRoughRTPScore",2009
85,85,"Bob Estes",78,0.107,"ApproachesRightRoughRTPScore",2009
86,86,"Rich Beem",77,0.111,"ApproachesRightRoughRTPScore",2009
87,87,"Brad Adamonis",70,0.113,"ApproachesRightRoughRTPScore",2009
88,88,"Will Ma Kenzie",69,0.114,"ApproachesRightRoughRTPScore",2009
88,88,"James Nitties",86,0.114,"ApproachesRightRoughRTPScore",2009
90,90,"Stephen Ames",77,0.116,"ApproachesRightRoughRTPScore",2009
91,91,"Charles Howell III",99,0.117,"ApproachesRightRoughRTPScore",2009
92,92,"Tommy Armour III",58,0.118,"ApproachesRightRoughRTPScore",2009
93,93,"Stuart Appleby",79,0.12,"ApproachesRightRoughRTPScore",2009
93,93,"Parker McLachlin",71,0.12,"ApproachesRightRoughRTPScore",2009
93,93,"John Merrick",91,0.12,"ApproachesRightRoughRTPScore",2009
93,93,"Nick Watney",86,0.12,"ApproachesRightRoughRTPScore",2009
97,97,"Chris Stroud",88,0.121,"ApproachesRightRoughRTPScore",2009
97,97,"Marc Turnesa",77,0.121,"ApproachesRightRoughRTPScore",2009
99,99,"Robert Allenby",71,0.122,"ApproachesRightRoughRTPScore",2009
99,99,"Scott Verplank",88,0.122,"ApproachesRightRoughRTPScore",2009
101,101,"Jarrod Lyle",65,0.124,"ApproachesRightRoughRTPScore",2009
101,101,"Jeff Maggert",79,0.124,"ApproachesRightRoughRTPScore",2009
103,103,"Fred Couples",54,0.125,"ApproachesRightRoughRTPScore",2009
104,104,"Freddie Jacobson",83,0.127,"ApproachesRightRoughRTPScore",2009
105,105,"Charley Hoffman",97,0.129,"ApproachesRightRoughRTPScore",2009
105,105,"Scott McCarron",91,0.129,"ApproachesRightRoughRTPScore",2009
105,105,"Kevin Na",91,0.129,"ApproachesRightRoughRTPScore",2009
108,108,"Kent Jones",73,0.13,"ApproachesRightRoughRTPScore",2009
108,108,"Jimmy Walker",74,0.13,"ApproachesRightRoughRTPScore",2009
110,110,"Greg Owen",97,0.132,"ApproachesRightRoughRTPScore",2009
111,111,"Brendon de Jonge",90,0.133,"ApproachesRightRoughRTPScore",2009
111,111,"Jeff Quinney",78,0.133,"ApproachesRightRoughRTPScore",2009
113,113,"Todd Hamilton",83,0.134,"ApproachesRightRoughRTPScore",2009
114,114,"Steve Marino",98,0.135,"ApproachesRightRoughRTPScore",2009
114,114,"Jay Williamson",69,0.135,"ApproachesRightRoughRTPScore",2009
116,116,"DJ Trahan",96,0.138,"ApproachesRightRoughRTPScore",2009
117,117,"Chad Campbell",90,0.139,"ApproachesRightRoughRTPScore",2009
117,117,"Kevin Stadler",65,0.139,"ApproachesRightRoughRTPScore",2009
119,119,"Tag Ridings",50,0.14,"ApproachesRightRoughRTPScore",2009
120,120,"Dean Wilson",81,0.143,"ApproachesRightRoughRTPScore",2009
121,121,"Aaron Baddeley",66,0.145,"ApproachesRightRoughRTPScore",2009
121,121,"Matt Bettencourt",98,0.145,"ApproachesRightRoughRTPScore",2009
123,123,"Steve Flesch",77,0.146,"ApproachesRightRoughRTPScore",2009
123,123,"JB Holmes",74,0.146,"ApproachesRightRoughRTPScore",2009
125,125,"Ben Curtis",63,0.147,"ApproachesRightRoughRTPScore",2009
126,126,"Nathan Green",104,0.148,"ApproachesRightRoughRTPScore",2009
126,126,"Scott Sterling",51,0.148,"ApproachesRightRoughRTPScore",2009
128,128,"Heath Slocum",95,0.151,"ApproachesRightRoughRTPScore",2009
129,129,"Vaughn Taylor",88,0.154,"ApproachesRightRoughRTPScore",2009
129,129,"Kirk Triplett",60,0.154,"ApproachesRightRoughRTPScore",2009
131,131,"Adam Scott",53,0.159,"ApproachesRightRoughRTPScore",2009
132,132,"Bryce Molder",69,0.161,"ApproachesRightRoughRTPScore",2009
133,133,"Ken Duke",87,0.162,"ApproachesRightRoughRTPScore",2009
134,134,"Casey Wittenberg",71,0.165,"ApproachesRightRoughRTPScore",2009
135,135,"Matt Jones",56,0.167,"ApproachesRightRoughRTPScore",2009
135,135,"Steve Lowery",83,0.167,"ApproachesRightRoughRTPScore",2009
137,137,"YE Yang",83,0.168,"ApproachesRightRoughRTPScore",2009
138,138,"Brian Davis",103,0.17,"ApproachesRightRoughRTPScore",2009
138,138,"Justin Rose",71,0.17,"ApproachesRightRoughRTPScore",2009
140,140,"Billy Mayfair",83,0.174,"ApproachesRightRoughRTPScore",2009
141,141,"Ernie Els",70,0.175,"ApproachesRightRoughRTPScore",2009
141,141,"Davis Love III",89,0.175,"ApproachesRightRoughRTPScore",2009
143,143,"Brian Bateman",55,0.179,"ApproachesRightRoughRTPScore",2009
143,143,"Matt Weibring",65,0.179,"ApproachesRightRoughRTPScore",2009
143,143,"Mike Weir",85,0.179,"ApproachesRightRoughRTPScore",2009
146,146,"Rod Pampling",72,0.18,"ApproachesRightRoughRTPScore",2009
147,147,"Chez Reavie",81,0.181,"ApproachesRightRoughRTPScore",2009
148,148,"Nicholas Thompson",96,0.182,"ApproachesRightRoughRTPScore",2009
149,149,"Ricky Barnes",67,0.183,"ApproachesRightRoughRTPScore",2009
149,149,"John Mallinger",90,0.183,"ApproachesRightRoughRTPScore",2009
151,151,"Brad Faxon",59,0.185,"ApproachesRightRoughRTPScore",2009
152,152,"Ryan Moore",89,0.192,"ApproachesRightRoughRTPScore",2009
153,153,"Lee Janzen",74,0.194,"ApproachesRightRoughRTPScore",2009
153,153,"Peter Tomasulo",61,0.194,"ApproachesRightRoughRTPScore",2009
155,155,"Johnson Wagner",81,0.195,"ApproachesRightRoughRTPScore",2009
156,156,"Kenny Perry",92,0.196,"ApproachesRightRoughRTPScore",2009
157,157,"Webb Simpson",94,0.199,"ApproachesRightRoughRTPScore",2009
158,158,"Bill Lunde",83,0.201,"ApproachesRightRoughRTPScore",2009
159,159,"Ryan Palmer",78,0.202,"ApproachesRightRoughRTPScore",2009
160,160,"Cliff Kresge",78,0.204,"ApproachesRightRoughRTPScore",2009
161,161,"Mathew Goggin",76,0.205,"ApproachesRightRoughRTPScore",2009
162,162,"Peter Lonard",86,0.207,"ApproachesRightRoughRTPScore",2009
163,163,"Michael Allen",73,0.211,"ApproachesRightRoughRTPScore",2009
164,164,"Jeff Overton",92,0.213,"ApproachesRightRoughRTPScore",2009
164,164,"Corey Pavin",73,0.213,"ApproachesRightRoughRTPScore",2009
164,164,"Darron Stiles",52,0.213,"ApproachesRightRoughRTPScore",2009
167,167,"Bart Bryant",58,0.224,"ApproachesRightRoughRTPScore",2009
168,168,"Joe Durant",62,0.228,"ApproachesRightRoughRTPScore",2009
168,168,"Gary Woodland",53,0.228,"ApproachesRightRoughRTPScore",2009
170,170,"Greg Kraft",51,0.234,"ApproachesRightRoughRTPScore",2009
171,171,"David Duval",56,0.244,"ApproachesRightRoughRTPScore",2009
172,172,"Jason Gore",74,0.247,"ApproachesRightRoughRTPScore",2009
172,172,"Vijay Singh",71,0.247,"ApproachesRightRoughRTPScore",2009
174,174,"Richard Johnson",85,0.25,"ApproachesRightRoughRTPScore",2009
175,175,"Paul Goydos",79,0.252,"ApproachesRightRoughRTPScore",2009
176,176,"Brendon Todd",53,0.257,"ApproachesRightRoughRTPScore",2009
177,177,"Bob Heintz",59,0.26,"ApproachesRightRoughRTPScore",2009
178,178,"Leif Olson",51,0.261,"ApproachesRightRoughRTPScore",2009
179,179,"Brett Quigley",92,0.27,"ApproachesRightRoughRTPScore",2009
180,180,"Derek Fathauer",63,0.292,"ApproachesRightRoughRTPScore",2009
180,180,"Colt Knost",71,0.292,"ApproachesRightRoughRTPScore",2009
182,182,"Rick Price",54,0.303,"ApproachesRightRoughRTPScore",2009
183,183,"Patrick Sheehan",51,0.333,"ApproachesRightRoughRTPScore",2009
184,184,"Eric Axley",71,0.372,"ApproachesRightRoughRTPScore",2009
