"FedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2016","FedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2016","FedExCupSeasonPointsforNonMembers_PLAYERNAME_2016","FedExCupSeasonPointsforNonMembers_EVENTS_2016","FedExCupSeasonPointsforNonMembers_POINTS_2016","FedExCupSeasonPointsforNonMembers_WGCPOINTS_2016","stat_name","year"
66,65,"Jordan Zunic",1,10,10,"FedExCupSeasonPointsforNonMembers",2016
67,66,"Austin Connelly",3,9,NA,"FedExCupSeasonPointsforNonMembers",2016
68,67,"Kristoffer Broberg",1,7,7,"FedExCupSeasonPointsforNonMembers",2016
69,68,"Matt Atkins",1,6,NA,"FedExCupSeasonPointsforNonMembers",2016
69,68,"Danny Chia",2,6,4,"FedExCupSeasonPointsforNonMembers",2016
71,70,"Ben Leong",1,6,NA,"FedExCupSeasonPointsforNonMembers",2016
72,71,"Satoshi Kodaira",2,2,1,"FedExCupSeasonPointsforNonMembers",2016
73,72,"Danie van Tonder",1,1,1,"FedExCupSeasonPointsforNonMembers",2016
74,73,"Hideto Tanihara",1,1,NA,"FedExCupSeasonPointsforNonMembers",2016
75,74,"Yi Cao",1,1,1,"FedExCupSeasonPointsforNonMembers",2016
75,74,"Mardan Mamat",1,1,NA,"FedExCupSeasonPointsforNonMembers",2016
77,76,"Steven Jeffress",1,1,1,"FedExCupSeasonPointsforNonMembers",2016
78,77,"Arie Ahmad Irawan",1,1,NA,"FedExCupSeasonPointsforNonMembers",2016
79,78,"Jin Park",1,1,NA,"FedExCupSeasonPointsforNonMembers",2016
79,78,"Marc Warren",1,1,1,"FedExCupSeasonPointsforNonMembers",2016
