"OnePuttPercentage_RANKTHISWEEK_2015","OnePuttPercentage_RANKLASTWEEK_2015","OnePuttPercentage_PLAYERNAME_2015","OnePuttPercentage_ROUNDS_2015","OnePuttPercentage_Pct_2015","OnePuttPercentage_OF1PUTTS_2015","OnePuttPercentage_OFHOLES_2015","stat_name","year"
40,40,"Ian Poulter",68,40.85,478,1170,"OnePuttPercentage",2015
41,41,"Derek Fathauer",81,40.84,566,1386,"OnePuttPercentage",2015
41,41,"Troy Merritt",91,40.84,669,1638,"OnePuttPercentage",2015
43,43,"Bryce Molder",91,40.8,639,1566,"OnePuttPercentage",2015
43,43,"Cameron Tringale",96,40.8,705,1728,"OnePuttPercentage",2015
45,45,"Camilo Villegas",83,40.76,609,1494,"OnePuttPercentage",2015
46,46,"Dustin Johnson",75,40.74,528,1296,"OnePuttPercentage",2015
47,47,"Ben Crane",62,40.71,425,1044,"OnePuttPercentage",2015
48,48,"Sean OHair",86,40.7,630,1548,"OnePuttPercentage",2015
49,49,"Zac Blair",108,40.65,761,1872,"OnePuttPercentage",2015
49,49,"John Huh",102,40.65,739,1818,"OnePuttPercentage",2015
51,51,"Rory Sabbatini",81,40.6,592,1458,"OnePuttPercentage",2015
52,52,"Jason Bohn",95,40.58,694,1710,"OnePuttPercentage",2015
53,53,"Kevin Chappell",86,40.57,628,1548,"OnePuttPercentage",2015
54,54,"Jamie Donaldson",50,40.54,343,846,"OnePuttPercentage",2015
54,54,"Charley Hoffman",97,40.54,686,1692,"OnePuttPercentage",2015
54,54,"Nick Taylor",91,40.54,664,1638,"OnePuttPercentage",2015
57,57,"Justin Leonard",61,40.53,445,1098,"OnePuttPercentage",2015
58,58,"Scott Piercy",90,40.49,656,1620,"OnePuttPercentage",2015
59,59,"Oscar Fraustro",58,40.43,393,972,"OnePuttPercentage",2015
60,60,"David Toms",62,40.42,422,1044,"OnePuttPercentage",2015
61,61,"Retief Goosen",81,40.33,559,1386,"OnePuttPercentage",2015
62,62,"Blayne Barber",76,40.32,537,1332,"OnePuttPercentage",2015
63,63,"Max Homa",78,40.17,535,1332,"OnePuttPercentage",2015
63,63,"Zach Johnson",90,40.17,629,1566,"OnePuttPercentage",2015
63,63,"Hideki Matsuyama",95,40.17,658,1638,"OnePuttPercentage",2015
66,66,"Andres Romero",69,40.15,477,1188,"OnePuttPercentage",2015
67,67,"Tom Hoge",83,40.08,570,1422,"OnePuttPercentage",2015
68,68,"Billy Hurley III",83,40.01,569,1422,"OnePuttPercentage",2015
69,69,"Pat Perez",96,39.99,691,1728,"OnePuttPercentage",2015
70,70,"Justin Rose",69,39.9,474,1188,"OnePuttPercentage",2015
71,71,"George McNeill",93,39.84,667,1674,"OnePuttPercentage",2015
72,72,"Ryo Ishikawa",90,39.77,630,1584,"OnePuttPercentage",2015
73,73,"Tim Wilkinson",73,39.75,508,1278,"OnePuttPercentage",2015
74,74,"Andres Gonzales",90,39.73,615,1548,"OnePuttPercentage",2015
74,74,"Jeff Overton",94,39.73,658,1656,"OnePuttPercentage",2015
76,76,"Ken Duke",93,39.7,636,1602,"OnePuttPercentage",2015
77,77,"Chris Stroud",84,39.68,600,1512,"OnePuttPercentage",2015
78,78,"Harris English",105,39.65,728,1836,"OnePuttPercentage",2015
79,79,"Steven Alker",62,39.63,428,1080,"OnePuttPercentage",2015
80,80,"Patrick Rodgers",57,39.62,378,954,"OnePuttPercentage",2015
81,81,"Kyle Reifers",96,39.61,656,1656,"OnePuttPercentage",2015
82,82,"Jonas Blixt",78,39.56,527,1332,"OnePuttPercentage",2015
83,83,"Jonathan Randolph",72,39.52,498,1260,"OnePuttPercentage",2015
84,84,"SJ Park",79,39.39,546,1386,"OnePuttPercentage",2015
85,85,"Brian Harman",90,39.38,638,1620,"OnePuttPercentage",2015
86,86,"Alex Cejka",94,39.31,651,1656,"OnePuttPercentage",2015
86,86,"Scott Langley",94,39.31,651,1656,"OnePuttPercentage",2015
86,86,"Heath Slocum",57,39.31,375,954,"OnePuttPercentage",2015
89,89,"DA Points",72,39.29,495,1260,"OnePuttPercentage",2015
90,90,"Padraig Harrington",60,39.26,424,1080,"OnePuttPercentage",2015
90,90,"Kevin Kisner",104,39.26,735,1872,"OnePuttPercentage",2015
92,92,"Russell Henley",87,39.22,593,1512,"OnePuttPercentage",2015
93,93,"Brendon de Jonge",106,39.2,748,1908,"OnePuttPercentage",2015
94,94,"James Hahn",94,39.18,663,1692,"OnePuttPercentage",2015
94,94,"Ryan Palmer",80,39.18,543,1386,"OnePuttPercentage",2015
96,96,"Jonathan Byrd",69,39.15,458,1170,"OnePuttPercentage",2015
96,96,"Brendan Steele",88,39.15,592,1512,"OnePuttPercentage",2015
98,98,"Colt Knost",90,39.08,605,1548,"OnePuttPercentage",2015
99,99,"Louis Oosthuizen",68,39.07,443,1134,"OnePuttPercentage",2015
100,100,"David Hearn",97,39.06,682,1746,"OnePuttPercentage",2015
101,101,"Jason Kokrak",88,39.02,618,1584,"OnePuttPercentage",2015
102,102,"Jason Gore",76,38.97,505,1296,"OnePuttPercentage",2015
102,102,"Bubba Watson",71,38.97,477,1224,"OnePuttPercentage",2015
104,104,"Martin Laird",77,38.96,540,1386,"OnePuttPercentage",2015
105,105,"William McGirt",103,38.94,722,1854,"OnePuttPercentage",2015
106,106,"Mark Hubbard",79,38.82,538,1386,"OnePuttPercentage",2015
106,106,"Webb Simpson",81,38.82,545,1404,"OnePuttPercentage",2015
108,108,"Whee Kim",71,38.73,481,1242,"OnePuttPercentage",2015
109,109,"Jon Curran",83,38.61,549,1422,"OnePuttPercentage",2015
109,109,"Michael Thompson",83,38.61,563,1458,"OnePuttPercentage",2015
111,111,"Robert Streb",110,38.59,764,1980,"OnePuttPercentage",2015
112,112,"Tony Finau",106,38.57,736,1908,"OnePuttPercentage",2015
113,113,"Vijay Singh",78,38.53,541,1404,"OnePuttPercentage",2015
114,114,"Keegan Bradley",87,38.49,582,1512,"OnePuttPercentage",2015
115,115,"Shawn Stefani",94,38.48,651,1692,"OnePuttPercentage",2015
116,116,"Seung Yul Noh",65,38.46,450,1170,"OnePuttPercentage",2015
117,117,"Sergio Garcia",59,38.39,387,1008,"OnePuttPercentage",2015
118,118,"Daniel Berger",97,38.37,670,1746,"OnePuttPercentage",2015
118,118,"Carlos Ortiz",100,38.37,663,1728,"OnePuttPercentage",2015
120,120,"Brooks Koepka",84,38.34,559,1458,"OnePuttPercentage",2015
121,121,"Johnson Wagner",68,38.24,468,1224,"OnePuttPercentage",2015
121,121,"Mark Wilson",89,38.24,585,1530,"OnePuttPercentage",2015
123,123,"Jhonattan Vegas",90,38.18,591,1548,"OnePuttPercentage",2015
124,124,"Marc Leishman",74,38.17,481,1260,"OnePuttPercentage",2015
125,125,"Nick Watney",91,38.16,625,1638,"OnePuttPercentage",2015
126,126,"Boo Weekley",79,38.05,541,1422,"OnePuttPercentage",2015
127,127,"Hudson Swafford",97,38.01,650,1710,"OnePuttPercentage",2015
128,128,"Graham DeLaet",65,37.95,444,1170,"OnePuttPercentage",2015
129,129,"Adam Hadwin",95,37.93,635,1674,"OnePuttPercentage",2015
129,129,"Sam Saunders",83,37.93,553,1458,"OnePuttPercentage",2015
131,131,"Hunter Mahan",88,37.9,573,1512,"OnePuttPercentage",2015
132,132,"Gonzalo Fdez Castano",81,37.88,525,1386,"OnePuttPercentage",2015
133,133,"Roger Sloan",56,37.82,354,936,"OnePuttPercentage",2015
134,134,"Lee Westwood",56,37.71,353,936,"OnePuttPercentage",2015
135,135,"John Merrick",78,37.69,502,1332,"OnePuttPercentage",2015
136,136,"Gary Woodland",81,37.54,500,1332,"OnePuttPercentage",2015
137,137,"Scott Stallings",60,37.5,405,1080,"OnePuttPercentage",2015
138,138,"Charl Schwartzel",67,37.48,425,1134,"OnePuttPercentage",2015
138,138,"Bo Van Pelt",81,37.48,533,1422,"OnePuttPercentage",2015
140,140,"Cameron Percy",72,37.46,472,1260,"OnePuttPercentage",2015
141,141,"Will Wilcox",58,37.45,364,972,"OnePuttPercentage",2015
142,142,"John Senden",80,37.41,505,1350,"OnePuttPercentage",2015
143,143,"Robert Garrigus",70,37.37,444,1188,"OnePuttPercentage",2015
144,144,"Chez Reavie",56,37.3,376,1008,"OnePuttPercentage",2015
145,145,"Luke Donald",71,37.25,476,1278,"OnePuttPercentage",2015
145,145,"Scott Pinckney",88,37.25,590,1584,"OnePuttPercentage",2015
147,147,"Tyrone Van Aswegen",58,37.24,362,972,"OnePuttPercentage",2015
148,148,"Andrew Svoboda",80,37.18,522,1404,"OnePuttPercentage",2015
149,149,"Derek Ernst",75,37.17,475,1278,"OnePuttPercentage",2015
150,150,"Nicholas Thompson",90,37.08,574,1548,"OnePuttPercentage",2015
151,151,"Jason Dufner",76,37.06,487,1314,"OnePuttPercentage",2015
152,152,"Henrik Stenson",63,37.04,400,1080,"OnePuttPercentage",2015
153,153,"Jim Furyk",71,36.89,425,1152,"OnePuttPercentage",2015
154,154,"John Peterson",84,36.84,557,1512,"OnePuttPercentage",2015
155,155,"Billy Horschel",99,36.69,634,1728,"OnePuttPercentage",2015
155,155,"Kevin Streelman",95,36.69,601,1638,"OnePuttPercentage",2015
157,157,"Chad Campbell",97,36.66,640,1746,"OnePuttPercentage",2015
158,158,"Ernie Els",57,36.65,376,1026,"OnePuttPercentage",2015
159,159,"Charlie Beljan",76,36.57,474,1296,"OnePuttPercentage",2015
160,160,"Martin Flores",95,36.45,597,1638,"OnePuttPercentage",2015
161,161,"Ben Martin",93,36.42,590,1620,"OnePuttPercentage",2015
162,162,"Bill Haas",89,36.37,563,1548,"OnePuttPercentage",2015
163,163,"Russell Knox",96,36.28,627,1728,"OnePuttPercentage",2015
164,164,"Spencer Levin",99,36.14,631,1746,"OnePuttPercentage",2015
165,165,"Paul Casey",87,36.11,533,1476,"OnePuttPercentage",2015
166,166,"Adam Scott",51,35.88,310,864,"OnePuttPercentage",2015
167,167,"Davis Love III",51,35.84,329,918,"OnePuttPercentage",2015
168,168,"Michael Putnam",87,35.69,546,1530,"OnePuttPercentage",2015
169,169,"Brice Garnett",81,35.65,507,1422,"OnePuttPercentage",2015
170,170,"Angel Cabrera",53,35.64,340,954,"OnePuttPercentage",2015
171,171,"Stewart Cink",77,35.57,493,1386,"OnePuttPercentage",2015
172,172,"Bill Lunde",50,35.39,293,828,"OnePuttPercentage",2015
173,173,"Greg Owen",58,35.34,369,1044,"OnePuttPercentage",2015
174,174,"Charles Howell III",105,35.03,662,1890,"OnePuttPercentage",2015
175,175,"Roberto Castro",54,34.89,314,900,"OnePuttPercentage",2015
176,176,"Byron Smith",59,34.75,344,990,"OnePuttPercentage",2015
177,177,"Robert Allenby",63,34.46,366,1062,"OnePuttPercentage",2015
178,178,"Lucas Glover",79,34.18,486,1422,"OnePuttPercentage",2015
179,179,"Francesco Molinari",56,34.17,326,954,"OnePuttPercentage",2015
180,180,"Jim Renner",68,34.09,405,1188,"OnePuttPercentage",2015
181,181,"Geoff Ogilvy",50,33.91,293,864,"OnePuttPercentage",2015
182,182,"Alex Prugh",84,33.89,488,1440,"OnePuttPercentage",2015
183,183,"Jim Herman",88,33.59,532,1584,"OnePuttPercentage",2015
184,184,"JJ Henry",94,32.78,531,1620,"OnePuttPercentage",2015
