"RightRoughTendency_RANKTHISWEEK_2006","RightRoughTendency_RANKLASTWEEK_2006","RightRoughTendency_PLAYERNAME_2006","RightRoughTendency_ROUNDS_2006","RightRoughTendency_Pct_2006","RightRoughTendency_TOTALRIGHTROUGH_2006","RightRoughTendency_POSSIBLEFWYS_2006","RightRoughTendency_RELATIVETOPAR_2006","stat_name","year"
158,158,"KJ Choi",93,15.21,174,1144,0.13,"RightRoughTendency",2006
159,159,"Stewart Cink",93,15.27,157,1028,0.07,"RightRoughTendency",2006
159,159,"Vance Veazey",59,15.27,126,825,0.06,"RightRoughTendency",2006
161,161,"Brett Quigley",109,15.3,211,1379,0.04,"RightRoughTendency",2006
162,162,"Kris Cox",83,15.34,173,1128,0.1,"RightRoughTendency",2006
163,163,"Retief Goosen",68,15.42,99,642,0.02,"RightRoughTendency",2006
164,164,"Adam Scott",70,15.43,112,726,0.08,"RightRoughTendency",2006
164,164,"Vijay Singh",103,15.43,190,1231,0,"RightRoughTendency",2006
166,166,"John Daly",51,15.45,93,602,0.13,"RightRoughTendency",2006
167,167,"Jason Gore",86,15.54,174,1120,0.04,"RightRoughTendency",2006
168,168,"Ernie Els",69,15.57,104,668,0.05,"RightRoughTendency",2006
169,169,"JB Holmes",81,15.58,146,937,0.23,"RightRoughTendency",2006
170,170,"Paul Azinger",87,15.61,185,1185,0.14,"RightRoughTendency",2006
171,171,"Bob Estes",85,15.64,176,1125,0.03,"RightRoughTendency",2006
172,172,"Shaun Micheel",96,15.7,181,1153,0.07,"RightRoughTendency",2006
173,173,"Bo Van Pelt",102,15.76,211,1339,0.04,"RightRoughTendency",2006
174,174,"Chad Campbell",91,16.03,163,1017,0.11,"RightRoughTendency",2006
175,175,"John Engler Jr",69,16.04,150,935,0.3,"RightRoughTendency",2006
176,176,"Alex Aragon",63,16.1,137,851,0.2,"RightRoughTendency",2006
177,177,"Len Mattiace",59,16.22,133,820,0.07,"RightRoughTendency",2006
178,178,"Tag Ridings",103,16.24,221,1361,0.11,"RightRoughTendency",2006
179,179,"Roger Tambellini",64,16.47,140,850,0.19,"RightRoughTendency",2006
180,180,"John Huston",74,16.48,165,1001,0.12,"RightRoughTendency",2006
181,181,"Trevor Immelman",86,16.51,175,1060,0.01,"RightRoughTendency",2006
182,182,"Tiger Woods",55,16.54,88,532,0.02,"RightRoughTendency",2006
183,183,"Jason Schultz",77,16.56,173,1045,0.14,"RightRoughTendency",2006
184,184,"Pat Perez",50,16.57,111,670,0.07,"RightRoughTendency",2006
185,185,"Stuart Appleby",83,16.67,154,924,0.18,"RightRoughTendency",2006
186,186,"Greg Chalmers",71,16.68,156,935,0.15,"RightRoughTendency",2006
187,187,"Todd Hamilton",72,16.76,145,865,0.25,"RightRoughTendency",2006
188,188,"Brandt Jobe",91,17.09,181,1059,0.19,"RightRoughTendency",2006
188,188,"Jeff Overton",95,17.09,222,1299,0.13,"RightRoughTendency",2006
190,190,"Brad Faxon",78,17.4,185,1063,0.17,"RightRoughTendency",2006
191,191,"Charley Hoffman",100,17.54,230,1311,0.07,"RightRoughTendency",2006
192,192,"Charles Howell III",96,17.71,210,1186,0.12,"RightRoughTendency",2006
193,193,"Aaron Baddeley",78,17.89,175,978,0.15,"RightRoughTendency",2006
194,194,"James Driscoll",80,19,212,1116,0.12,"RightRoughTendency",2006
195,195,"Bubba Watson",83,19.02,209,1099,0.08,"RightRoughTendency",2006
196,196,"Jimmy Walker",60,19.68,159,808,0.09,"RightRoughTendency",2006
