"FinalRoundScoringAverage_RANKTHISWEEK_2010","FinalRoundScoringAverage_RANKLASTWEEK_2010","FinalRoundScoringAverage_PLAYERNAME_2010","FinalRoundScoringAverage__2010","FinalRoundScoringAverage_AVG_2010","FinalRoundScoringAverage_TOTALSTROKES_2010","FinalRoundScoringAverage_TOTALROUNDS_2010","stat_name","year"
43,43,"Stephen Ames",NA,70.38,1126,16,"FinalRoundScoringAverage",2010
43,43,"Ernie Els",NA,70.38,1126,16,"FinalRoundScoringAverage",2010
45,45,"JJ Henry",NA,70.39,1267,18,"FinalRoundScoringAverage",2010
46,46,"Aaron Baddeley",NA,70.4,1408,20,"FinalRoundScoringAverage",2010
46,46,"Cameron Tringale",NA,70.4,352,5,"FinalRoundScoringAverage",2010
48,48,"Vaughn Taylor",NA,70.41,1197,17,"FinalRoundScoringAverage",2010
49,49,"Tim Petrovic",NA,70.42,1338,19,"FinalRoundScoringAverage",2010
50,50,"Stewart Cink",NA,70.44,1268,18,"FinalRoundScoringAverage",2010
50,50,"Jason Dufner",NA,70.44,1268,18,"FinalRoundScoringAverage",2010
52,52,"Charles Warren",NA,70.45,775,11,"FinalRoundScoringAverage",2010
53,53,"Mathew Goggin",NA,70.46,916,13,"FinalRoundScoringAverage",2010
54,54,"Troy Matteson",NA,70.5,987,14,"FinalRoundScoringAverage",2010
55,55,"Robert Allenby",NA,70.53,1199,17,"FinalRoundScoringAverage",2010
56,56,"Aron Price",NA,70.54,917,13,"FinalRoundScoringAverage",2010
57,57,"Chad Collins",NA,70.56,1129,16,"FinalRoundScoringAverage",2010
58,58,"Charley Hoffman",NA,70.59,1200,17,"FinalRoundScoringAverage",2010
59,59,"Kris Blanks",NA,70.6,1059,15,"FinalRoundScoringAverage",2010
59,59,"Scott Piercy",NA,70.6,1059,15,"FinalRoundScoringAverage",2010
61,61,"Rickie Fowler",NA,70.65,1413,20,"FinalRoundScoringAverage",2010
62,62,"Andres Romero",NA,70.67,1060,15,"FinalRoundScoringAverage",2010
62,62,"Kevin Stadler",NA,70.67,1060,15,"FinalRoundScoringAverage",2010
64,64,"Bill Lunde",NA,70.7,707,10,"FinalRoundScoringAverage",2010
65,65,"Ben Curtis",NA,70.71,990,14,"FinalRoundScoringAverage",2010
65,65,"Richard Johnson",NA,70.71,1202,17,"FinalRoundScoringAverage",2010
67,67,"Ricky Barnes",NA,70.73,1556,22,"FinalRoundScoringAverage",2010
67,67,"Vijay Singh",NA,70.73,1061,15,"FinalRoundScoringAverage",2010
67,67,"Brett Wetterich",NA,70.73,778,11,"FinalRoundScoringAverage",2010
70,70,"Tim Clark",NA,70.74,1344,19,"FinalRoundScoringAverage",2010
71,71,"Jim Furyk",NA,70.76,1203,17,"FinalRoundScoringAverage",2010
71,71,"John Senden",NA,70.76,1486,21,"FinalRoundScoringAverage",2010
73,73,"Billy Mayfair",NA,70.77,920,13,"FinalRoundScoringAverage",2010
74,74,"Greg Chalmers",NA,70.79,1345,19,"FinalRoundScoringAverage",2010
74,74,"Josh Teater",NA,70.79,1345,19,"FinalRoundScoringAverage",2010
76,76,"Joe Ogilvie",NA,70.81,1133,16,"FinalRoundScoringAverage",2010
76,76,"Nick Watney",NA,70.81,1487,21,"FinalRoundScoringAverage",2010
78,78,"Troy Merritt",NA,70.83,850,12,"FinalRoundScoringAverage",2010
79,79,"Chad Campbell",NA,70.84,1346,19,"FinalRoundScoringAverage",2010
80,80,"Jerod Turner",NA,70.86,496,7,"FinalRoundScoringAverage",2010
81,81,"Blake Adams",NA,70.87,1063,15,"FinalRoundScoringAverage",2010
81,81,"Steve Elkington",NA,70.87,1063,15,"FinalRoundScoringAverage",2010
81,81,"Ryan Moore",NA,70.87,1063,15,"FinalRoundScoringAverage",2010
81,81,"James Nitties",NA,70.87,1063,15,"FinalRoundScoringAverage",2010
85,85,"Kevin Sutherland",NA,70.88,1205,17,"FinalRoundScoringAverage",2010
86,86,"Rich Barcelo",NA,70.89,638,9,"FinalRoundScoringAverage",2010
86,86,"Michael Connell",NA,70.89,1347,19,"FinalRoundScoringAverage",2010
88,88,"Luke Donald",NA,70.93,1064,15,"FinalRoundScoringAverage",2010
88,88,"Scott McCarron",NA,70.93,1064,15,"FinalRoundScoringAverage",2010
88,88,"Scott Verplank",NA,70.93,1064,15,"FinalRoundScoringAverage",2010
88,88,"YE Yang",NA,70.93,1064,15,"FinalRoundScoringAverage",2010
92,92,"Michael Letzig",NA,70.94,1135,16,"FinalRoundScoringAverage",2010
93,93,"JB Holmes",NA,70.96,1703,24,"FinalRoundScoringAverage",2010
94,94,"Angel Cabrera",NA,71,923,13,"FinalRoundScoringAverage",2010
94,94,"Mathias Gronberg",NA,71,568,8,"FinalRoundScoringAverage",2010
94,94,"Alex Prugh",NA,71,1065,15,"FinalRoundScoringAverage",2010
97,97,"Brendon de Jonge",NA,71.04,1705,24,"FinalRoundScoringAverage",2010
98,98,"Hunter Mahan",NA,71.06,1279,18,"FinalRoundScoringAverage",2010
98,98,"Sean OHair",NA,71.06,1137,16,"FinalRoundScoringAverage",2010
100,100,"DA Points",NA,71.07,1066,15,"FinalRoundScoringAverage",2010
101,101,"Nicholas Thompson",NA,71.08,924,13,"FinalRoundScoringAverage",2010
101,101,"Jay Williamson",NA,71.08,924,13,"FinalRoundScoringAverage",2010
103,103,"Padraig Harrington",NA,71.09,782,11,"FinalRoundScoringAverage",2010
104,104,"Henrik Bjornstad",NA,71.11,640,9,"FinalRoundScoringAverage",2010
104,104,"KJ Choi",NA,71.11,1351,19,"FinalRoundScoringAverage",2010
104,104,"Omar Uresti",NA,71.11,640,9,"FinalRoundScoringAverage",2010
107,107,"Davis Love III",NA,71.13,1067,15,"FinalRoundScoringAverage",2010
107,107,"Adam Scott",NA,71.13,1067,15,"FinalRoundScoringAverage",2010
109,109,"Michael Bradley",NA,71.14,996,14,"FinalRoundScoringAverage",2010
110,110,"Carl Pettersson",NA,71.15,1423,20,"FinalRoundScoringAverage",2010
111,111,"Brian Stuard",NA,71.18,783,11,"FinalRoundScoringAverage",2010
112,112,"Woody Austin",NA,71.19,1139,16,"FinalRoundScoringAverage",2010
113,113,"Shaun Micheel",NA,71.21,997,14,"FinalRoundScoringAverage",2010
114,114,"Jason Bohn",NA,71.25,1140,16,"FinalRoundScoringAverage",2010
114,114,"Geoff Ogilvy",NA,71.25,855,12,"FinalRoundScoringAverage",2010
116,116,"Martin Laird",NA,71.28,1283,18,"FinalRoundScoringAverage",2010
116,116,"Jeff Overton",NA,71.28,1283,18,"FinalRoundScoringAverage",2010
118,118,"Zach Johnson",NA,71.29,1497,21,"FinalRoundScoringAverage",2010
119,119,"Rocco Mediate",NA,71.3,713,10,"FinalRoundScoringAverage",2010
119,119,"Charlie Wi",NA,71.3,1426,20,"FinalRoundScoringAverage",2010
121,121,"Bill Haas",NA,71.33,1284,18,"FinalRoundScoringAverage",2010
121,121,"Rod Pampling",NA,71.33,856,12,"FinalRoundScoringAverage",2010
123,123,"JP Hayes",NA,71.36,999,14,"FinalRoundScoringAverage",2010
124,124,"Will Ma Kenzie",NA,71.38,928,13,"FinalRoundScoringAverage",2010
125,125,"Heath Slocum",NA,71.39,1642,23,"FinalRoundScoringAverage",2010
126,126,"Spencer Levin",NA,71.42,1714,24,"FinalRoundScoringAverage",2010
127,127,"Joe Durant",NA,71.43,1000,14,"FinalRoundScoringAverage",2010
128,128,"Ryuji Imada",NA,71.44,1143,16,"FinalRoundScoringAverage",2010
129,129,"Steve Flesch",NA,71.46,929,13,"FinalRoundScoringAverage",2010
130,130,"John Mallinger",NA,71.5,715,10,"FinalRoundScoringAverage",2010
130,130,"Brenden Pappas",NA,71.5,572,8,"FinalRoundScoringAverage",2010
130,130,"Brandt Snedeker",NA,71.5,1287,18,"FinalRoundScoringAverage",2010
133,133,"Jerry Kelly",NA,71.52,1502,21,"FinalRoundScoringAverage",2010
134,134,"Matt Every",NA,71.55,787,11,"FinalRoundScoringAverage",2010
135,135,"Brian Davis",NA,71.56,1288,18,"FinalRoundScoringAverage",2010
135,135,"Phil Mickelson",NA,71.56,1288,18,"FinalRoundScoringAverage",2010
135,135,"Boo Weekley",NA,71.56,1145,16,"FinalRoundScoringAverage",2010
138,138,"Derek Lamely",NA,71.58,859,12,"FinalRoundScoringAverage",2010
139,139,"Ian Poulter",NA,71.6,716,10,"FinalRoundScoringAverage",2010
140,140,"John Merrick",NA,71.61,1647,23,"FinalRoundScoringAverage",2010
141,141,"Stuart Appleby",NA,71.63,1361,19,"FinalRoundScoringAverage",2010
142,142,"Steve Lowery",NA,71.67,430,6,"FinalRoundScoringAverage",2010
142,142,"George McNeill",NA,71.67,860,12,"FinalRoundScoringAverage",2010
144,144,"Brett Quigley",NA,71.68,1362,19,"FinalRoundScoringAverage",2010
145,145,"Johnson Wagner",NA,71.69,932,13,"FinalRoundScoringAverage",2010
146,146,"Robert Garrigus",NA,71.71,1004,14,"FinalRoundScoringAverage",2010
146,146,"Matt Jones",NA,71.71,1219,17,"FinalRoundScoringAverage",2010
146,146,"Justin Leonard",NA,71.71,1219,17,"FinalRoundScoringAverage",2010
149,149,"Steve Wheatcroft",NA,71.78,646,9,"FinalRoundScoringAverage",2010
150,150,"Tim Herron",NA,71.8,1077,15,"FinalRoundScoringAverage",2010
151,151,"Matt Bettencourt",NA,71.85,934,13,"FinalRoundScoringAverage",2010
152,152,"Trevor Immelman",NA,71.88,575,8,"FinalRoundScoringAverage",2010
153,153,"David Duval",NA,71.9,719,10,"FinalRoundScoringAverage",2010
154,154,"Jason Day",NA,71.94,1295,18,"FinalRoundScoringAverage",2010
155,155,"Daniel Chopra",NA,72,576,8,"FinalRoundScoringAverage",2010
155,155,"David Lutterus",NA,72,576,8,"FinalRoundScoringAverage",2010
155,155,"Steve Marino",NA,72,1224,17,"FinalRoundScoringAverage",2010
155,155,"Kenny Perry",NA,72,1080,15,"FinalRoundScoringAverage",2010
159,159,"Chris Tidland",NA,72.07,1009,14,"FinalRoundScoringAverage",2010
160,160,"Lee Janzen",NA,72.09,793,11,"FinalRoundScoringAverage",2010
161,161,"Brent Delahoussaye",NA,72.14,505,7,"FinalRoundScoringAverage",2010
162,162,"Dustin Johnson",NA,72.16,1371,19,"FinalRoundScoringAverage",2010
163,163,"Ted Purdy",NA,72.17,866,12,"FinalRoundScoringAverage",2010
164,164,"Lucas Glover",NA,72.2,1083,15,"FinalRoundScoringAverage",2010
165,165,"Camilo Villegas",NA,72.24,1228,17,"FinalRoundScoringAverage",2010
166,166,"Craig Bowden",NA,72.25,578,8,"FinalRoundScoringAverage",2010
167,167,"Tom Pernice Jr",NA,72.29,1012,14,"FinalRoundScoringAverage",2010
168,168,"Greg Kraft",NA,72.33,217,3,"FinalRoundScoringAverage",2010
169,169,"Cameron Percy",NA,72.36,796,11,"FinalRoundScoringAverage",2010
170,170,"Chris DiMarco",NA,72.42,1376,19,"FinalRoundScoringAverage",2010
171,171,"Mike Weir",NA,72.5,725,10,"FinalRoundScoringAverage",2010
172,172,"Martin Flores",NA,72.55,798,11,"FinalRoundScoringAverage",2010
173,173,"Skip Kendall",NA,72.64,799,11,"FinalRoundScoringAverage",2010
173,173,"Jeff Maggert",NA,72.64,799,11,"FinalRoundScoringAverage",2010
175,175,"Garth Mulroy",NA,72.67,436,6,"FinalRoundScoringAverage",2010
176,176,"Nathan Green",NA,72.75,1164,16,"FinalRoundScoringAverage",2010
176,176,"Kevin Johnson",NA,72.75,291,4,"FinalRoundScoringAverage",2010
178,178,"Cliff Kresge",NA,72.88,583,8,"FinalRoundScoringAverage",2010
179,179,"Roland Thatcher",NA,72.9,729,10,"FinalRoundScoringAverage",2010
180,180,"Sergio Garcia",NA,73,876,12,"FinalRoundScoringAverage",2010
180,180,"Greg Owen",NA,73,657,9,"FinalRoundScoringAverage",2010
182,182,"Alex Cejka",NA,73.08,877,12,"FinalRoundScoringAverage",2010
183,183,"Chris Wilson",NA,73.17,439,6,"FinalRoundScoringAverage",2010
184,184,"Brad Faxon",NA,73.2,366,5,"FinalRoundScoringAverage",2010
185,185,"Roger Tambellini",NA,73.5,882,12,"FinalRoundScoringAverage",2010
186,186,"Andrew McLardy",NA,73.6,368,5,"FinalRoundScoringAverage",2010
187,187,"Paul Goydos",NA,73.64,1031,14,"FinalRoundScoringAverage",2010
188,188,"John Daly",NA,73.7,737,10,"FinalRoundScoringAverage",2010
189,189,"Jeff Gove",NA,73.8,369,5,"FinalRoundScoringAverage",2010
190,190,"Mark Calcavecchia",NA,73.88,591,8,"FinalRoundScoringAverage",2010
191,191,"Justin Bolli",NA,74.67,224,3,"FinalRoundScoringAverage",2010
191,191,"Vance Veazey",NA,74.67,448,6,"FinalRoundScoringAverage",2010
