"EarlyScoringAverage_RANKTHISWEEK_2011","EarlyScoringAverage_RANKLASTWEEK_2011","EarlyScoringAverage_PLAYERNAME_2011","EarlyScoringAverage_ROUNDS_2011","EarlyScoringAverage_AVG_2011","EarlyScoringAverage_TOTALSTROKES_2011","EarlyScoringAverage_TOTALEARLYROUNDS_2011","stat_name","year"
29,29,"Bo Van Pelt",92,70.09,3014,43,"EarlyScoringAverage",2011
31,31,"Chris Kirk",87,70.11,3085,44,"EarlyScoringAverage",2011
32,32,"Freddie Jacobson",92,70.12,3015,43,"EarlyScoringAverage",2011
32,32,"Hunter Mahan",92,70.12,2945,42,"EarlyScoringAverage",2011
34,34,"Ben Crane",76,70.13,2735,39,"EarlyScoringAverage",2011
35,35,"Kyle Stanley",98,70.14,3577,51,"EarlyScoringAverage",2011
36,36,"Blake Adams",116,70.15,4560,65,"EarlyScoringAverage",2011
36,36,"Charl Schwartzel",58,70.15,1894,27,"EarlyScoringAverage",2011
38,38,"Brandt Jobe",100,70.18,3509,50,"EarlyScoringAverage",2011
39,39,"Jerry Kelly",85,70.2,2878,41,"EarlyScoringAverage",2011
40,40,"Billy Mayfair",94,70.23,3652,52,"EarlyScoringAverage",2011
41,41,"David Hearn",88,70.27,3373,48,"EarlyScoringAverage",2011
42,42,"Scott Piercy",78,70.28,2811,40,"EarlyScoringAverage",2011
43,43,"Robert Allenby",84,70.29,3374,48,"EarlyScoringAverage",2011
43,43,"Martin Laird",77,70.29,2390,34,"EarlyScoringAverage",2011
43,43,"Kevin Na",84,70.29,3163,45,"EarlyScoringAverage",2011
46,46,"Jason Dufner",78,70.31,2461,35,"EarlyScoringAverage",2011
47,47,"Justin Rose",79,70.32,3094,44,"EarlyScoringAverage",2011
48,48,"Carl Pettersson",95,70.35,3447,49,"EarlyScoringAverage",2011
49,49,"Retief Goosen",50,70.36,1970,28,"EarlyScoringAverage",2011
50,50,"Shane Bertsch",62,70.37,2111,30,"EarlyScoringAverage",2011
50,50,"Keegan Bradley",91,70.37,3026,43,"EarlyScoringAverage",2011
52,52,"Charley Hoffman",93,70.4,3661,52,"EarlyScoringAverage",2011
52,52,"John Rollins",85,70.4,3027,43,"EarlyScoringAverage",2011
54,54,"Briny Baird",60,70.44,2254,32,"EarlyScoringAverage",2011
54,54,"Lucas Glover",74,70.44,2395,34,"EarlyScoringAverage",2011
54,54,"William McGirt",103,70.44,3522,50,"EarlyScoringAverage",2011
54,54,"Brendan Steele",89,70.44,3029,43,"EarlyScoringAverage",2011
58,58,"Cameron Tringale",110,70.45,3875,55,"EarlyScoringAverage",2011
59,59,"Bryce Molder",82,70.46,2607,37,"EarlyScoringAverage",2011
59,59,"Johnson Wagner",81,70.46,2889,41,"EarlyScoringAverage",2011
61,61,"Bubba Watson",85,70.48,2960,42,"EarlyScoringAverage",2011
62,62,"James Driscoll",71,70.49,2890,41,"EarlyScoringAverage",2011
62,62,"Vijay Singh",79,70.49,2749,39,"EarlyScoringAverage",2011
62,62,"Vaughn Taylor",89,70.49,3031,43,"EarlyScoringAverage",2011
65,65,"Chris Riley",76,70.51,3032,43,"EarlyScoringAverage",2011
65,65,"Mark Wilson",89,70.51,3032,43,"EarlyScoringAverage",2011
67,67,"Tim Herron",85,70.52,3103,44,"EarlyScoringAverage",2011
67,67,"Adam Scott",60,70.52,1481,21,"EarlyScoringAverage",2011
69,69,"Stewart Cink",72,70.54,2610,37,"EarlyScoringAverage",2011
70,70,"Woody Austin",59,70.56,2399,34,"EarlyScoringAverage",2011
70,70,"Charlie Wi",83,70.56,3175,45,"EarlyScoringAverage",2011
72,72,"Davis Love III",70,70.58,2188,31,"EarlyScoringAverage",2011
72,72,"DJ Trahan",91,70.58,3176,45,"EarlyScoringAverage",2011
74,74,"Geoff Ogilvy",69,70.6,2471,35,"EarlyScoringAverage",2011
75,75,"Sung Kang",63,70.61,2330,33,"EarlyScoringAverage",2011
76,76,"Michael Thompson",79,70.62,2613,37,"EarlyScoringAverage",2011
77,77,"Greg Chalmers",88,70.64,3320,47,"EarlyScoringAverage",2011
77,77,"Pat Perez",76,70.64,3108,44,"EarlyScoringAverage",2011
79,79,"Hunter Haas",96,70.65,3391,48,"EarlyScoringAverage",2011
80,80,"Jonathan Byrd",83,70.66,3109,44,"EarlyScoringAverage",2011
81,81,"Trevor Immelman",84,70.67,3039,43,"EarlyScoringAverage",2011
82,82,"Troy Matteson",91,70.68,3110,44,"EarlyScoringAverage",2011
83,83,"Ben Curtis",66,70.69,2545,36,"EarlyScoringAverage",2011
83,83,"Nick OHern",89,70.69,2757,39,"EarlyScoringAverage",2011
85,85,"Joe Ogilvie",75,70.7,2828,40,"EarlyScoringAverage",2011
85,85,"Aron Price",58,70.7,2121,30,"EarlyScoringAverage",2011
87,87,"Chez Reavie",92,70.71,3394,48,"EarlyScoringAverage",2011
88,88,"Josh Teater",104,70.72,4031,57,"EarlyScoringAverage",2011
89,89,"Nathan Green",81,70.73,3112,44,"EarlyScoringAverage",2011
89,89,"Ryan Moore",79,70.73,2617,37,"EarlyScoringAverage",2011
89,89,"Kevin Streelman",90,70.73,3678,52,"EarlyScoringAverage",2011
89,89,"YE Yang",63,70.73,2122,30,"EarlyScoringAverage",2011
93,93,"Angel Cabrera",50,70.75,1698,24,"EarlyScoringAverage",2011
93,93,"Kevin Chappell",78,70.75,2547,36,"EarlyScoringAverage",2011
95,95,"Paul Stankowski",78,70.77,3114,44,"EarlyScoringAverage",2011
96,96,"Chris DiMarco",93,70.79,3681,52,"EarlyScoringAverage",2011
97,97,"Kris Blanks",92,70.8,3257,46,"EarlyScoringAverage",2011
97,97,"Roland Thatcher",67,70.8,2478,35,"EarlyScoringAverage",2011
99,99,"Dustin Johnson",72,70.81,2266,32,"EarlyScoringAverage",2011
99,99,"Marc Leishman",87,70.81,3328,47,"EarlyScoringAverage",2011
101,101,"Joe Durant",71,70.83,2833,40,"EarlyScoringAverage",2011
102,102,"Jason Bohn",74,70.84,3117,44,"EarlyScoringAverage",2011
103,103,"Ian Poulter",52,70.85,1913,27,"EarlyScoringAverage",2011
103,103,"Boo Weekley",66,70.85,2834,40,"EarlyScoringAverage",2011
105,105,"Michael Bradley",74,70.86,2976,42,"EarlyScoringAverage",2011
105,105,"Bill Lunde",92,70.86,3614,51,"EarlyScoringAverage",2011
107,107,"Stephen Ames",69,70.87,2764,39,"EarlyScoringAverage",2011
107,107,"DA Points",89,70.87,3189,45,"EarlyScoringAverage",2011
109,109,"Kent Jones",76,70.88,3048,43,"EarlyScoringAverage",2011
109,109,"Dean Wilson",62,70.88,2268,32,"EarlyScoringAverage",2011
111,111,"Jim Furyk",87,70.89,2481,35,"EarlyScoringAverage",2011
112,112,"Steven Bowditch",86,70.91,3049,43,"EarlyScoringAverage",2011
113,113,"Tag Ridings",87,70.92,3617,51,"EarlyScoringAverage",2011
114,114,"Cameron Beckman",71,70.93,2837,40,"EarlyScoringAverage",2011
115,115,"KJ Choi",77,70.94,2341,33,"EarlyScoringAverage",2011
115,115,"Steve Marino",76,70.94,2554,36,"EarlyScoringAverage",2011
117,117,"Aaron Baddeley",77,70.97,2271,32,"EarlyScoringAverage",2011
117,117,"Tom Gillis",55,70.97,2413,34,"EarlyScoringAverage",2011
117,117,"Anthony Kim",72,70.97,2768,39,"EarlyScoringAverage",2011
117,117,"George McNeill",69,70.97,2555,36,"EarlyScoringAverage",2011
121,121,"Ricky Barnes",78,71,2627,37,"EarlyScoringAverage",2011
121,121,"Jhonattan Vegas",84,71,3053,43,"EarlyScoringAverage",2011
123,123,"Ben Martin",74,71.03,2486,35,"EarlyScoringAverage",2011
124,124,"Scott McCarron",65,71.05,2842,40,"EarlyScoringAverage",2011
125,125,"Nate Smith",66,71.06,2203,31,"EarlyScoringAverage",2011
126,126,"Andres Gonzales",60,71.09,2488,35,"EarlyScoringAverage",2011
126,126,"David Mathis",83,71.09,3057,43,"EarlyScoringAverage",2011
128,128,"Justin Leonard",82,71.13,2774,39,"EarlyScoringAverage",2011
128,128,"Andres Romero",77,71.13,2774,39,"EarlyScoringAverage",2011
130,130,"Scott Stallings",84,71.14,3059,43,"EarlyScoringAverage",2011
130,130,"Jimmy Walker",79,71.14,2988,42,"EarlyScoringAverage",2011
132,132,"Matt Bettencourt",84,71.16,3060,43,"EarlyScoringAverage",2011
132,132,"Padraig Harrington",60,71.16,2277,32,"EarlyScoringAverage",2011
134,134,"Alex Cejka",59,71.18,2420,34,"EarlyScoringAverage",2011
134,134,"Steve Flesch",88,71.18,3488,49,"EarlyScoringAverage",2011
136,136,"Stuart Appleby",65,71.2,2136,30,"EarlyScoringAverage",2011
136,136,"Robert Karlsson",61,71.2,2136,30,"EarlyScoringAverage",2011
138,138,"Billy Horschel",75,71.21,2777,39,"EarlyScoringAverage",2011
138,138,"Matt Jones",71,71.21,2421,34,"EarlyScoringAverage",2011
140,140,"Steve Elkington",50,71.23,1852,26,"EarlyScoringAverage",2011
140,140,"Robert Garrigus",83,71.23,3134,44,"EarlyScoringAverage",2011
142,142,"Scott Gutschewski",67,71.24,2636,37,"EarlyScoringAverage",2011
142,142,"Lee Janzen",62,71.24,2636,37,"EarlyScoringAverage",2011
142,142,"Graeme McDowell",50,71.24,1781,25,"EarlyScoringAverage",2011
142,142,"Garrett Willis",71,71.24,2422,34,"EarlyScoringAverage",2011
146,146,"Joseph Bramlett",73,71.26,3064,43,"EarlyScoringAverage",2011
146,146,"Harrison Frazar",58,71.26,2209,31,"EarlyScoringAverage",2011
148,148,"Jim Herman",69,71.27,2138,30,"EarlyScoringAverage",2011
149,149,"Michael Connell",76,71.28,2851,40,"EarlyScoringAverage",2011
150,150,"Jeff Overton",92,71.29,3707,52,"EarlyScoringAverage",2011
151,151,"Ryuji Imada",83,71.3,3137,44,"EarlyScoringAverage",2011
152,152,"Tim Petrovic",88,71.31,3209,45,"EarlyScoringAverage",2011
153,153,"Ernie Els",71,71.33,2782,39,"EarlyScoringAverage",2011
154,154,"Sean OHair",71,71.36,2569,36,"EarlyScoringAverage",2011
155,155,"Bobby Gates",82,71.4,2999,42,"EarlyScoringAverage",2011
155,155,"Alex Prugh",82,71.4,3356,47,"EarlyScoringAverage",2011
157,157,"Michael Putnam",67,71.41,2785,39,"EarlyScoringAverage",2011
158,158,"Colt Knost",80,71.42,3071,43,"EarlyScoringAverage",2011
159,159,"Tommy Gainey",104,71.43,3500,49,"EarlyScoringAverage",2011
160,160,"Jim Renner",65,71.45,2358,33,"EarlyScoringAverage",2011
161,161,"Will Strickler",51,71.52,2074,29,"EarlyScoringAverage",2011
162,162,"DJ Brigman",67,71.54,2790,39,"EarlyScoringAverage",2011
163,163,"Arjun Atwal",91,71.55,3649,51,"EarlyScoringAverage",2011
164,164,"Alexandre Rocha",65,71.56,2576,36,"EarlyScoringAverage",2011
165,165,"Bio Kim",71,71.58,2577,36,"EarlyScoringAverage",2011
166,166,"Kevin Kisner",70,71.63,2722,38,"EarlyScoringAverage",2011
167,167,"Troy Merritt",63,71.64,2579,36,"EarlyScoringAverage",2011
168,168,"JP Hayes",56,71.65,1863,26,"EarlyScoringAverage",2011
169,169,"Fabian Gomez",84,71.7,2868,40,"EarlyScoringAverage",2011
169,169,"Kevin Stadler",88,71.7,3298,46,"EarlyScoringAverage",2011
171,171,"David Duval",67,71.81,2585,36,"EarlyScoringAverage",2011
172,172,"Matt McQuillan",59,71.84,1796,25,"EarlyScoringAverage",2011
173,173,"Justin Hicks",60,71.85,1868,26,"EarlyScoringAverage",2011
174,174,"JB Holmes",57,71.88,1869,26,"EarlyScoringAverage",2011
174,174,"Jarrod Lyle",83,71.88,2875,40,"EarlyScoringAverage",2011
176,176,"Marc Turnesa",54,71.93,2158,30,"EarlyScoringAverage",2011
177,177,"Camilo Villegas",69,71.97,2303,32,"EarlyScoringAverage",2011
178,178,"Shaun Micheel",77,72.04,3242,45,"EarlyScoringAverage",2011
179,179,"Paul Goydos",81,72.07,2955,41,"EarlyScoringAverage",2011
180,180,"Derek Lamely",65,72.11,2596,36,"EarlyScoringAverage",2011
181,181,"Richard Johnson",64,72.14,2669,37,"EarlyScoringAverage",2011
182,182,"Zack Miller",86,72.15,3391,47,"EarlyScoringAverage",2011
183,183,"Rocco Mediate",53,72.47,2174,30,"EarlyScoringAverage",2011
184,184,"Daniel Summerhays",75,72.8,2912,40,"EarlyScoringAverage",2011
185,185,"Martin Piller",63,72.87,2186,30,"EarlyScoringAverage",2011
186,186,"Rich Beem",53,72.93,1969,27,"EarlyScoringAverage",2011
