"GreensorFringeinRegulation_RANKTHISWEEK_2016","GreensorFringeinRegulation_RANKLASTWEEK_2016","GreensorFringeinRegulation_PLAYERNAME_2016","GreensorFringeinRegulation_ROUNDS_2016","GreensorFringeinRegulation_Pct_2016","GreensorFringeinRegulation_TOTALHIT_2016","GreensorFringeinRegulation_TOTALATTEMPTS_2016","GreensorFringeinRegulation_RTPSCORE_2016","stat_name","year"
104,127,"Chris Stroud",52,69.65,514,738,-127,"GreensorFringeinRegulation",2016
105,109,"Rob Oppenheim",37,69.64,351,504,-77,"GreensorFringeinRegulation",2016
106,133,"Chesson Hadley",51,69.59,476,684,-109,"GreensorFringeinRegulation",2016
107,113,"KJ Choi",47,69.58,501,720,-122,"GreensorFringeinRegulation",2016
107,113,"Luke Guthrie",31,69.58,263,378,-62,"GreensorFringeinRegulation",2016
107,94,"Ben Martin",48,69.58,501,720,-144,"GreensorFringeinRegulation",2016
110,115,"Graeme McDowell",33,69.57,288,414,-73,"GreensorFringeinRegulation",2016
110,115,"Seung Yul Noh",54,69.57,551,792,-139,"GreensorFringeinRegulation",2016
112,68,"Tim Wilkinson",40,69.44,325,468,-87,"GreensorFringeinRegulation",2016
113,105,"Vaughn Taylor",30,69.33,312,450,-82,"GreensorFringeinRegulation",2016
114,91,"Martin Laird",46,69.3,474,684,-118,"GreensorFringeinRegulation",2016
114,100,"Scott Stallings",46,69.3,474,684,-115,"GreensorFringeinRegulation",2016
116,120,"Sung Kang",51,69.24,511,738,-126,"GreensorFringeinRegulation",2016
116,101,"Boo Weekley",53,69.24,511,738,-129,"GreensorFringeinRegulation",2016
118,126,"Hudson Swafford",52,69.09,485,702,-127,"GreensorFringeinRegulation",2016
119,119,"Mark Hubbard",73,68.93,732,1062,-171,"GreensorFringeinRegulation",2016
120,118,"Blayne Barber",44,68.86,471,684,-114,"GreensorFringeinRegulation",2016
121,128,"Freddie Jacobson",54,68.8,483,702,-125,"GreensorFringeinRegulation",2016
122,125,"Brett Stegmaier",57,68.79,582,846,-138,"GreensorFringeinRegulation",2016
123,122,"Vijay Singh",42,68.77,458,666,-106,"GreensorFringeinRegulation",2016
124,135,"Jeff Overton",51,68.69,544,792,-125,"GreensorFringeinRegulation",2016
125,132,"Bryce Molder",50,68.66,482,702,-131,"GreensorFringeinRegulation",2016
126,107,"Scott Langley",41,68.64,383,558,-79,"GreensorFringeinRegulation",2016
127,138,"Harold Varner III",58,68.59,605,882,-159,"GreensorFringeinRegulation",2016
128,122,"Mark Wilson",42,68.41,431,630,-69,"GreensorFringeinRegulation",2016
129,130,"Justin Thomas",53,68.32,455,666,-126,"GreensorFringeinRegulation",2016
130,141,"Colt Knost",56,68.25,516,756,-117,"GreensorFringeinRegulation",2016
130,122,"Shawn Stefani",45,68.25,430,630,-76,"GreensorFringeinRegulation",2016
132,121,"Padraig Harrington",38,68.23,393,576,-99,"GreensorFringeinRegulation",2016
133,129,"Brian Stuard",24,68.21,221,324,-59,"GreensorFringeinRegulation",2016
134,112,"Ollie Schniederjans",23,68.13,233,342,-65,"GreensorFringeinRegulation",2016
135,145,"James Hahn",45,68.02,453,666,-113,"GreensorFringeinRegulation",2016
136,117,"Tony Finau",49,67.97,452,665,-122,"GreensorFringeinRegulation",2016
137,131,"Cameron Tringale",47,67.92,489,720,-119,"GreensorFringeinRegulation",2016
138,140,"Whee Kim",54,67.75,500,738,-109,"GreensorFringeinRegulation",2016
139,146,"Jerry Kelly",44,67.66,341,504,-63,"GreensorFringeinRegulation",2016
140,149,"Robert Streb",51,67.51,401,594,-91,"GreensorFringeinRegulation",2016
141,136,"Patrick Reed",53,67.36,388,576,-114,"GreensorFringeinRegulation",2016
142,151,"Charlie Beljan",26,67.32,206,306,-16,"GreensorFringeinRegulation",2016
143,147,"Cameron Smith",45,67.31,315,468,-72,"GreensorFringeinRegulation",2016
144,143,"Steve Marino",40,67.28,327,486,-69,"GreensorFringeinRegulation",2016
145,139,"Ben Crane",48,67.27,448,666,-106,"GreensorFringeinRegulation",2016
146,134,"Shane Lowry",35,67.22,242,360,-61,"GreensorFringeinRegulation",2016
147,152,"Angel Cabrera",42,67.19,387,576,-94,"GreensorFringeinRegulation",2016
148,153,"DJ Trahan",23,67.17,133,198,-43,"GreensorFringeinRegulation",2016
149,148,"Michael Kim",62,67.1,616,918,-152,"GreensorFringeinRegulation",2016
150,143,"Tyrone Van Aswegen",67,67.09,628,936,-150,"GreensorFringeinRegulation",2016
151,158,"Troy Merritt",41,67.05,350,522,-98,"GreensorFringeinRegulation",2016
152,137,"Andres Gonzales",46,66.99,410,612,-83,"GreensorFringeinRegulation",2016
153,142,"Jamie Donaldson",28,66.93,253,378,-57,"GreensorFringeinRegulation",2016
154,160,"Rory Sabbatini",40,66.89,301,450,-51,"GreensorFringeinRegulation",2016
155,165,"Jon Curran",55,66.81,481,720,-124,"GreensorFringeinRegulation",2016
156,157,"Zac Blair",56,66.8,505,756,-116,"GreensorFringeinRegulation",2016
156,163,"Andrew Loupe",50,66.8,493,738,-163,"GreensorFringeinRegulation",2016
158,150,"Si Woo Kim",63,66.77,625,936,-163,"GreensorFringeinRegulation",2016
159,167,"Stuart Appleby",39,66.67,432,648,-103,"GreensorFringeinRegulation",2016
159,155,"Matt Every",34,66.67,348,522,-75,"GreensorFringeinRegulation",2016
