"ProximitytoHolefromSand_RANKTHISWEEK_2009","ProximitytoHolefromSand_RANKLASTWEEK_2009","ProximitytoHolefromSand_PLAYERNAME_2009","ProximitytoHolefromSand_ROUNDS_2009","ProximitytoHolefromSand_AVGDTP_2009","ProximitytoHolefromSand_TOTALDISTANCEFEET_2009","ProximitytoHolefromSand_OFSHOTS_2009","ProximitytoHolefromSand_SCRAMBLINGRANK_2009","stat_name","year"
25,25,"Jerry Kelly",90,NA,1115.25,132,45,"ProximitytoHolefromSand",2009
25,25,"Matt Kuchar",82,NA,807.167,96,3,"ProximitytoHolefromSand",2009
25,25,"Michael Letzig",96,NA,1227.667,146,29,"ProximitytoHolefromSand",2009
25,25,"Chris Riley",77,NA,937.417,111,9,"ProximitytoHolefromSand",2009
32,32,"Glen Day",79,NA,703.083,83,43,"ProximitytoHolefromSand",2009
32,32,"Ian Poulter",59,NA,579.25,68,4,"ProximitytoHolefromSand",2009
34,34,"Greg Chalmers",85,NA,799.417,93,55,"ProximitytoHolefromSand",2009
34,34,"Jason Day",61,NA,689.833,80,35,"ProximitytoHolefromSand",2009
34,34,"Ernie Els",70,NA,837.5,98,59,"ProximitytoHolefromSand",2009
34,34,"Brian Gay",96,NA,1057.833,123,7,"ProximitytoHolefromSand",2009
34,34,"Matt Jones",56,NA,429.667,50,22,"ProximitytoHolefromSand",2009
34,34,"George McNeill",82,NA,1130.75,132,29,"ProximitytoHolefromSand",2009
34,34,"Peter Tomasulo",61,NA,608.25,71,172,"ProximitytoHolefromSand",2009
41,41,"Stuart Appleby",79,NA,988.167,114,160,"ProximitytoHolefromSand",2009
41,41,"Ben Crane",93,NA,1132.5,131,32,"ProximitytoHolefromSand",2009
41,41,"Jim Furyk",86,NA,720.083,83,8,"ProximitytoHolefromSand",2009
41,41,"Retief Goosen",74,NA,820.5,95,64,"ProximitytoHolefromSand",2009
41,41,"Padraig Harrington",66,NA,798.417,92,11,"ProximitytoHolefromSand",2009
46,46,"Alex Cejka",82,NA,795.917,91,108,"ProximitytoHolefromSand",2009
46,46,"Daniel Chopra",89,NA,1228.917,141,152,"ProximitytoHolefromSand",2009
46,46,"David Duval",56,NA,533.917,61,183,"ProximitytoHolefromSand",2009
46,46,"Tim Herron",87,NA,1162.333,133,69,"ProximitytoHolefromSand",2009
