"ScramblingfromtheRough_RANKTHISWEEK_2007","ScramblingfromtheRough_RANKLASTWEEK_2007","ScramblingfromtheRough_PLAYERNAME_2007","ScramblingfromtheRough_ROUNDS_2007","ScramblingfromtheRough_Pct_2007","ScramblingfromtheRough_SUCCESSES_2007","ScramblingfromtheRough_ATTEMPTS_2007","stat_name","year"
63,63,"Tim Herron",98,57,118,207,"ScramblingfromtheRough",2007
64,64,"Brian Davis",101,56.85,112,197,"ScramblingfromtheRough",2007
64,64,"Brian Gay",107,56.85,137,241,"ScramblingfromtheRough",2007
66,66,"Rod Pampling",92,56.7,110,194,"ScramblingfromtheRough",2007
67,67,"Freddie Jacobson",70,56.63,94,166,"ScramblingfromtheRough",2007
68,68,"Tripp Isenhour",86,56.6,120,212,"ScramblingfromtheRough",2007
69,69,"Chris DiMarco",79,56.52,91,161,"ScramblingfromtheRough",2007
69,69,"Richard Johnson",93,56.52,130,230,"ScramblingfromtheRough",2007
71,71,"Shigeki Maruyama",84,56.5,126,223,"ScramblingfromtheRough",2007
71,71,"Sean OHair",98,56.5,113,200,"ScramblingfromtheRough",2007
73,73,"Geoff Ogilvy",84,56.4,97,172,"ScramblingfromtheRough",2007
74,74,"Vijay Singh",102,56.22,122,217,"ScramblingfromtheRough",2007
75,75,"Steve Marino",106,56.17,132,235,"ScramblingfromtheRough",2007
76,76,"Tom Lehman",62,56.14,64,114,"ScramblingfromtheRough",2007
77,77,"Parker McLachlin",83,56.11,124,221,"ScramblingfromtheRough",2007
78,78,"Charlie Wi",90,56.1,115,205,"ScramblingfromtheRough",2007
79,79,"Ryan Moore",92,56.08,106,189,"ScramblingfromtheRough",2007
80,80,"Bob Estes",88,56.05,88,157,"ScramblingfromtheRough",2007
81,81,"Retief Goosen",50,56.04,51,91,"ScramblingfromtheRough",2007
82,82,"David Toms",80,56.03,79,141,"ScramblingfromtheRough",2007
83,83,"Jesper Parnevik",88,56,112,200,"ScramblingfromtheRough",2007
84,84,"Boo Weekley",101,55.94,113,202,"ScramblingfromtheRough",2007
85,85,"Tag Ridings",52,55.88,76,136,"ScramblingfromtheRough",2007
86,86,"Stuart Appleby",74,55.83,91,163,"ScramblingfromtheRough",2007
86,86,"Bob Tway",103,55.83,134,240,"ScramblingfromtheRough",2007
88,88,"Fred Funk",65,55.75,63,113,"ScramblingfromtheRough",2007
89,89,"Stephen Ames",81,55.56,80,144,"ScramblingfromtheRough",2007
90,90,"Cameron Beckman",96,55.5,106,191,"ScramblingfromtheRough",2007
91,91,"Tommy Armour III",81,55.47,76,137,"ScramblingfromtheRough",2007
92,92,"Camilo Villegas",82,55.43,97,175,"ScramblingfromtheRough",2007
93,93,"Craig Kanada",109,55.42,133,240,"ScramblingfromtheRough",2007
94,94,"Joey Sindelar",75,55.41,82,148,"ScramblingfromtheRough",2007
95,95,"Robert Allenby",90,55.26,105,190,"ScramblingfromtheRough",2007
96,96,"George McNeill",95,55.25,121,219,"ScramblingfromtheRough",2007
97,97,"Jay Williamson",50,55.2,69,125,"ScramblingfromtheRough",2007
98,98,"Andrew Buckle",77,55.08,103,187,"ScramblingfromtheRough",2007
99,99,"Mike Weir",82,55.03,93,169,"ScramblingfromtheRough",2007
100,100,"Henrik Stenson",52,54.84,51,93,"ScramblingfromtheRough",2007
101,101,"Jarrod Lyle",77,54.75,98,179,"ScramblingfromtheRough",2007
102,102,"Joe Ogilvie",102,54.55,150,275,"ScramblingfromtheRough",2007
103,103,"Alex Cejka",80,54.43,86,158,"ScramblingfromtheRough",2007
