"StrokeDifferentialFieldAverage_RANKTHISWEEK_2008","StrokeDifferentialFieldAverage_RANKLASTWEEK_2008","StrokeDifferentialFieldAverage_PLAYERNAME_2008","StrokeDifferentialFieldAverage_ROUNDS_2008","StrokeDifferentialFieldAverage_STROKEDIFFERENTIAL_2008","StrokeDifferentialFieldAverage_PLAYERSSCORE_2008","StrokeDifferentialFieldAverage_FIELDAVERAGESCORE_2008","stat_name","year"
116,116,"Jason Gore",94,0.02,71.03,71.05,"StrokeDifferentialFieldAverage",2008
118,118,"Nathan Green",95,0,71.33,71.33,"StrokeDifferentialFieldAverage",2008
118,118,"Johnson Wagner",83,0,71.65,71.65,"StrokeDifferentialFieldAverage",2008
120,120,"Cliff Kresge",84,-0.01,71.54,71.53,"StrokeDifferentialFieldAverage",2008
120,120,"Ryan Moore",72,-0.01,71.5,71.49,"StrokeDifferentialFieldAverage",2008
120,120,"John Riegger",73,-0.01,70.92,70.91,"StrokeDifferentialFieldAverage",2008
120,120,"Marc Turnesa",87,-0.01,71.16,71.15,"StrokeDifferentialFieldAverage",2008
124,124,"Brad Adamonis",87,-0.03,71.03,71,"StrokeDifferentialFieldAverage",2008
124,124,"Alex Cejka",75,-0.03,71.69,71.66,"StrokeDifferentialFieldAverage",2008
126,126,"Cameron Beckman",87,-0.04,71.09,71.05,"StrokeDifferentialFieldAverage",2008
127,127,"Rich Beem",90,-0.05,71.39,71.34,"StrokeDifferentialFieldAverage",2008
127,127,"Craig Kanada",65,-0.05,71.05,71,"StrokeDifferentialFieldAverage",2008
127,127,"Kevin Stadler",90,-0.05,71.56,71.51,"StrokeDifferentialFieldAverage",2008
127,127,"Omar Uresti",74,-0.05,71.05,71,"StrokeDifferentialFieldAverage",2008
131,131,"Greg Kraft",63,-0.06,71.56,71.5,"StrokeDifferentialFieldAverage",2008
131,131,"Martin Laird",98,-0.06,70.81,70.75,"StrokeDifferentialFieldAverage",2008
131,131,"Chez Reavie",102,-0.06,71.03,70.97,"StrokeDifferentialFieldAverage",2008
131,131,"Chris Riley",51,-0.06,70.92,70.86,"StrokeDifferentialFieldAverage",2008
135,135,"Brandt Jobe",52,-0.08,71.48,71.4,"StrokeDifferentialFieldAverage",2008
136,136,"Troy Matteson",94,-0.09,71.4,71.31,"StrokeDifferentialFieldAverage",2008
137,137,"Marco Dawson",64,-0.1,71.42,71.32,"StrokeDifferentialFieldAverage",2008
137,137,"Dustin Johnson",92,-0.1,71.5,71.4,"StrokeDifferentialFieldAverage",2008
137,137,"Jeff Maggert",86,-0.1,71.29,71.19,"StrokeDifferentialFieldAverage",2008
140,140,"Matt Jones",95,-0.11,71.4,71.29,"StrokeDifferentialFieldAverage",2008
141,141,"Kent Jones",68,-0.12,70.96,70.84,"StrokeDifferentialFieldAverage",2008
142,142,"Paul Goydos",78,-0.13,71.6,71.47,"StrokeDifferentialFieldAverage",2008
143,143,"Charley Hoffman",94,-0.14,71.16,71.02,"StrokeDifferentialFieldAverage",2008
144,144,"Lee Janzen",89,-0.15,71.46,71.31,"StrokeDifferentialFieldAverage",2008
145,145,"Tag Ridings",88,-0.16,71.34,71.18,"StrokeDifferentialFieldAverage",2008
146,146,"Mark Calcavecchia",67,-0.18,71.86,71.68,"StrokeDifferentialFieldAverage",2008
146,146,"Joe Durant",92,-0.18,71.24,71.06,"StrokeDifferentialFieldAverage",2008
148,148,"Alejandro Canizares",52,-0.19,71.27,71.08,"StrokeDifferentialFieldAverage",2008
149,149,"Richard Johnson",60,-0.21,71.13,70.92,"StrokeDifferentialFieldAverage",2008
149,149,"Doug LaBelle II",65,-0.21,71.37,71.16,"StrokeDifferentialFieldAverage",2008
