"FedExCupPlayoffsPoints_RANKTHISWEEK_2013","FedExCupPlayoffsPoints_RANKLASTWEEK_2013","FedExCupPlayoffsPoints_PLAYERNAME_2013","FedExCupPlayoffsPoints_EVENTS_2013","FedExCupPlayoffsPoints_POINTS_2013","FedExCupPlayoffsPoints_OFWINS_2013","FedExCupPlayoffsPoints_OFTOP10S_2013","FedExCupPlayoffsPoints_POINTSBEHINDLEAD_2013","FedExCupPlayoffsPoints_RESETPOINTS_2013","stat_name","year"
83,83,"Bob Estes",18,688,NA,2,3664,NA,"FedExCupPlayoffsPoints",2013
84,84,"Martin Kaymer",17,679,NA,3,3673,NA,"FedExCupPlayoffsPoints",2013
85,85,"Jerry Kelly",22,650,NA,2,3702,NA,"FedExCupPlayoffsPoints",2013
86,86,"Justin Leonard",24,644,NA,1,3708,NA,"FedExCupPlayoffsPoints",2013
87,87,"Martin Flores",25,630,NA,2,3722,NA,"FedExCupPlayoffsPoints",2013
88,88,"Scott Brown",21,628,1,1,3724,NA,"FedExCupPlayoffsPoints",2013
89,89,"Bo Van Pelt",22,612,NA,1,3740,NA,"FedExCupPlayoffsPoints",2013
90,90,"Luke Guthrie",27,607,NA,2,3745,NA,"FedExCupPlayoffsPoints",2013
91,91,"Robert Garrigus",22,601,NA,2,3751,NA,"FedExCupPlayoffsPoints",2013
92,92,"Brian Stuard",25,598,NA,4,3754,NA,"FedExCupPlayoffsPoints",2013
93,93,"Derek Ernst",21,598,1,1,3754,NA,"FedExCupPlayoffsPoints",2013
94,94,"Brian Harman",29,578,NA,2,3774,NA,"FedExCupPlayoffsPoints",2013
95,95,"Stuart Appleby",25,570,NA,1,3782,NA,"FedExCupPlayoffsPoints",2013
96,96,"Richard Lee",24,569,NA,2,3783,NA,"FedExCupPlayoffsPoints",2013
97,97,"Greg Chalmers",25,558,NA,2,3794,NA,"FedExCupPlayoffsPoints",2013
98,98,"Pat Perez",22,549,NA,4,3803,NA,"FedExCupPlayoffsPoints",2013
99,99,"Erik Compton",24,547,NA,1,3805,NA,"FedExCupPlayoffsPoints",2013
100,100,"William McGirt",24,533,NA,2,3819,NA,"FedExCupPlayoffsPoints",2013
101,101,"Aaron Baddeley",24,526,NA,2,3826,NA,"FedExCupPlayoffsPoints",2013
102,102,"George McNeill",21,524,NA,NA,3828,NA,"FedExCupPlayoffsPoints",2013
103,103,"James Driscoll",23,524,NA,2,3828,NA,"FedExCupPlayoffsPoints",2013
104,104,"Geoff Ogilvy",19,522,NA,1,3830,NA,"FedExCupPlayoffsPoints",2013
105,105,"Ted Potter Jr",22,518,NA,2,3834,NA,"FedExCupPlayoffsPoints",2013
106,106,"JJ Henry",26,516,NA,2,3836,NA,"FedExCupPlayoffsPoints",2013
107,107,"Carl Pettersson",24,516,NA,1,3836,NA,"FedExCupPlayoffsPoints",2013
108,108,"Jeff Overton",24,506,NA,2,3846,NA,"FedExCupPlayoffsPoints",2013
109,109,"John Senden",25,498,NA,NA,3854,NA,"FedExCupPlayoffsPoints",2013
110,110,"James Hahn",26,480,NA,2,3872,NA,"FedExCupPlayoffsPoints",2013
111,111,"Mark Wilson",19,476,NA,3,3876,NA,"FedExCupPlayoffsPoints",2013
112,112,"Charlie Beljan",24,459,NA,1,3893,NA,"FedExCupPlayoffsPoints",2013
113,113,"Jason Bohn",23,454,NA,2,3898,NA,"FedExCupPlayoffsPoints",2013
114,114,"Lucas Glover",23,454,NA,2,3898,NA,"FedExCupPlayoffsPoints",2013
115,115,"Jeff Maggert",21,453,NA,2,3899,NA,"FedExCupPlayoffsPoints",2013
116,116,"Justin Hicks",25,451,NA,1,3901,NA,"FedExCupPlayoffsPoints",2013
117,117,"Morgan Hoffmann",20,444,NA,3,3908,NA,"FedExCupPlayoffsPoints",2013
118,118,"Chez Reavie",22,439,NA,NA,3913,NA,"FedExCupPlayoffsPoints",2013
119,119,"DH Lee",22,432,NA,3,3920,NA,"FedExCupPlayoffsPoints",2013
120,120,"Andres Romero",21,430,NA,2,3922,NA,"FedExCupPlayoffsPoints",2013
121,121,"Johnson Wagner",24,430,NA,2,3922,NA,"FedExCupPlayoffsPoints",2013
122,122,"Scott Langley",27,426,NA,1,3926,NA,"FedExCupPlayoffsPoints",2013
123,123,"Charlie Wi",23,401,NA,1,3951,NA,"FedExCupPlayoffsPoints",2013
124,124,"Steven Bowditch",22,400,NA,1,3952,NA,"FedExCupPlayoffsPoints",2013
125,125,"Ben Crane",21,369,NA,2,3983,NA,"FedExCupPlayoffsPoints",2013
126,126,"Robert Streb",25,359,NA,NA,3993,NA,"FedExCupPlayoffsPoints",2013
127,127,"Peter Hanson",15,356,NA,1,3996,NA,"FedExCupPlayoffsPoints",2013
128,128,"Nicolas Colsaerts",17,353,NA,3,3999,NA,"FedExCupPlayoffsPoints",2013
129,129,"Brad Fritsch",24,350,NA,1,4002,NA,"FedExCupPlayoffsPoints",2013
130,130,"Padraig Harrington",17,345,NA,3,4007,NA,"FedExCupPlayoffsPoints",2013
131,131,"Bud Cauley",24,343,NA,NA,4009,NA,"FedExCupPlayoffsPoints",2013
132,132,"Ricky Barnes",26,342,NA,NA,4010,NA,"FedExCupPlayoffsPoints",2013
133,133,"Fabian Gomez",23,339,NA,1,4013,NA,"FedExCupPlayoffsPoints",2013
134,134,"Greg Owen",24,336,NA,NA,4016,NA,"FedExCupPlayoffsPoints",2013
135,135,"Shawn Stefani",21,333,NA,2,4019,NA,"FedExCupPlayoffsPoints",2013
136,136,"Chad Campbell",25,330,NA,1,4022,NA,"FedExCupPlayoffsPoints",2013
137,137,"Woody Austin",8,326,1,1,4026,NA,"FedExCupPlayoffsPoints",2013
138,138,"David Toms",16,326,NA,1,4026,NA,"FedExCupPlayoffsPoints",2013
139,139,"Jim Herman",19,325,NA,2,4027,NA,"FedExCupPlayoffsPoints",2013
140,140,"Tommy Gainey",28,324,NA,1,4028,NA,"FedExCupPlayoffsPoints",2013
141,141,"Ryo Ishikawa",23,298,NA,1,4054,NA,"FedExCupPlayoffsPoints",2013
142,142,"Tag Ridings",24,295,NA,1,4057,NA,"FedExCupPlayoffsPoints",2013
143,143,"Trevor Immelman",24,295,NA,1,4057,NA,"FedExCupPlayoffsPoints",2013
144,144,"Dicky Pride",23,293,NA,2,4059,NA,"FedExCupPlayoffsPoints",2013
145,145,"Brendon Todd",10,293,NA,NA,4059,NA,"FedExCupPlayoffsPoints",2013
146,146,"Vijay Singh",19,291,NA,NA,4061,NA,"FedExCupPlayoffsPoints",2013
147,147,"Doug LaBelle II",23,290,NA,NA,4062,NA,"FedExCupPlayoffsPoints",2013
148,148,"Ben Kohles",25,286,NA,1,4066,NA,"FedExCupPlayoffsPoints",2013
149,149,"Brandt Jobe",19,283,NA,NA,4069,NA,"FedExCupPlayoffsPoints",2013
150,150,"Justin Bolli",23,278,NA,2,4074,NA,"FedExCupPlayoffsPoints",2013
