"HitFairwayPercentage_RANKTHISWEEK_2016","HitFairwayPercentage_RANKLASTWEEK_2016","HitFairwayPercentage_PLAYERNAME_2016","HitFairwayPercentage_ROUNDS_2016","HitFairwayPercentage_Pct_2016","HitFairwayPercentage_FAIRWAYSHIT_2016","HitFairwayPercentage_POSSIBLEFAIRWAYS_2016","HitFairwayPercentage_RELATIVETOPAR_2016","stat_name","year"
151,140,"Rory McIlroy",37,56.39,172,305,-0.26,"HitFairwayPercentage",2016
152,156,"DH Lee",35,56.25,189,336,-0.08,"HitFairwayPercentage",2016
153,166,"DJ Trahan",23,56.16,82,146,-0.21,"HitFairwayPercentage",2016
154,162,"Daniel Berger",52,56.02,279,498,-0.22,"HitFairwayPercentage",2016
155,154,"Michael Thompson",46,55.99,243,434,-0.17,"HitFairwayPercentage",2016
156,167,"Aaron Baddeley",51,55.97,272,486,-0.18,"HitFairwayPercentage",2016
157,139,"Scott Stallings",46,55.89,294,526,-0.18,"HitFairwayPercentage",2016
158,168,"Robert Allenby",35,55.69,191,343,-0.04,"HitFairwayPercentage",2016
159,158,"John Senden",48,55.68,309,555,-0.17,"HitFairwayPercentage",2016
160,172,"Smylie Kaufman",57,55.38,314,567,-0.27,"HitFairwayPercentage",2016
161,159,"JB Holmes",39,55.35,212,383,-0.26,"HitFairwayPercentage",2016
162,169,"Jason Kokrak",52,55.32,312,564,-0.18,"HitFairwayPercentage",2016
163,171,"Tyler Aldridge",53,55.28,314,568,-0.14,"HitFairwayPercentage",2016
164,164,"Dawie van der Walt",48,55.18,261,473,-0.15,"HitFairwayPercentage",2016
165,157,"Martin Laird",46,55.13,290,526,-0.21,"HitFairwayPercentage",2016
166,161,"Robert Streb",51,55.12,253,459,-0.12,"HitFairwayPercentage",2016
167,173,"Branden Grace",31,55.06,136,247,-0.12,"HitFairwayPercentage",2016
168,138,"Kelly Kraft",35,55.04,153,278,-0.19,"HitFairwayPercentage",2016
169,146,"Luke Donald",49,54.87,248,452,-0.14,"HitFairwayPercentage",2016
170,175,"Bronson Burgoon",53,54.77,287,524,-0.14,"HitFairwayPercentage",2016
171,151,"Phil Mickelson",37,54.57,203,372,-0.22,"HitFairwayPercentage",2016
172,179,"Tom Hoge",47,54.56,263,482,-0.19,"HitFairwayPercentage",2016
