"BirdieorBetterPercentageLeftRough_RANKTHISWEEK_2008","BirdieorBetterPercentageLeftRough_RANKLASTWEEK_2008","BirdieorBetterPercentageLeftRough_PLAYERNAME_2008","BirdieorBetterPercentageLeftRough_ROUNDS_2008","BirdieorBetterPercentageLeftRough_Pct_2008","BirdieorBetterPercentageLeftRough_TOTALBIRDIES_2008","BirdieorBetterPercentageLeftRough_TOTALHOLES_2008","stat_name","year"
183,183,"Olin Browne",77,7.92,8,101,"BirdieorBetterPercentageLeftRough",2008
184,184,"Dudley Hart",74,7.75,10,129,"BirdieorBetterPercentageLeftRough",2008
185,185,"Brandt Snedeker",85,7.69,9,117,"BirdieorBetterPercentageLeftRough",2008
186,186,"Will Ma Kenzie",62,7.41,6,81,"BirdieorBetterPercentageLeftRough",2008
187,187,"Jay Williamson",96,7.22,7,97,"BirdieorBetterPercentageLeftRough",2008
188,188,"Glen Day",64,7.21,8,111,"BirdieorBetterPercentageLeftRough",2008
189,189,"Kyle Thompson",70,7.14,7,98,"BirdieorBetterPercentageLeftRough",2008
190,190,"Shane Bertsch",96,6.98,9,129,"BirdieorBetterPercentageLeftRough",2008
191,191,"Brad Elder",67,6.45,6,93,"BirdieorBetterPercentageLeftRough",2008
192,192,"Retief Goosen",59,6.41,5,78,"BirdieorBetterPercentageLeftRough",2008
193,193,"Shigeki Maruyama",50,6.38,6,94,"BirdieorBetterPercentageLeftRough",2008
194,194,"Bart Bryant",81,5.41,4,74,"BirdieorBetterPercentageLeftRough",2008
195,195,"Greg Kraft",63,5,3,60,"BirdieorBetterPercentageLeftRough",2008
196,196,"Stephen Leaney",53,4.62,3,65,"BirdieorBetterPercentageLeftRough",2008
197,197,"Jeff Gove",50,4.35,2,46,"BirdieorBetterPercentageLeftRough",2008
