"BonusPutting_RANKTHISWEEK_2010","BonusPutting_RANKLASTWEEK_2010","BonusPutting_PLAYERNAME_2010","BonusPutting_ROUNDS_2010","BonusPutting_VALUE_2010","BonusPutting_ATTEMPTS_2010","BonusPutting_TOTMADE20_2010","BonusPutting_TOTMADE_2010","stat_name","year"
150,150,"Cameron Tringale",55,98.55,690,22,658,"BonusPutting",2010
151,151,"Charles Warren",64,98.51,807,25,770,"BonusPutting",2010
152,152,"Andrew McLardy",52,98.44,641,15,616,"BonusPutting",2010
153,153,"Rory Sabbatini",79,98.43,958,32,911,"BonusPutting",2010
153,153,"Jeev Milkha Singh",59,98.43,765,23,730,"BonusPutting",2010
155,155,"Ted Purdy",86,98.38,1108,34,1056,"BonusPutting",2010
156,156,"Rod Pampling",77,98.36,1039,20,1002,"BonusPutting",2010
157,157,"Garrett Willis",82,98.34,1025,26,982,"BonusPutting",2010
158,158,"Joe Durant",67,98.32,835,24,797,"BonusPutting",2010
159,159,"Brian Davis",101,98.27,1271,30,1219,"BonusPutting",2010
160,160,"Mathew Goggin",85,98.23,1127,33,1074,"BonusPutting",2010
161,161,"Paul Goydos",78,98.19,939,20,902,"BonusPutting",2010
162,162,"Alex Cejka",81,98.18,990,26,946,"BonusPutting",2010
162,162,"Jerry Kelly",99,98.18,1212,29,1161,"BonusPutting",2010
162,162,"John Mallinger",78,98.18,932,19,896,"BonusPutting",2010
165,165,"Josh Teater",101,98.16,1359,33,1301,"BonusPutting",2010
166,166,"John Daly",63,98.11,689,24,652,"BonusPutting",2010
167,167,"Vijay Singh",75,98.03,862,24,821,"BonusPutting",2010
168,168,"Kevin Streelman",90,98.01,1157,30,1104,"BonusPutting",2010
169,169,"Martin Flores",75,97.95,927,23,885,"BonusPutting",2010
170,170,"Kevin Stadler",86,97.85,1071,33,1015,"BonusPutting",2010
171,171,"Will Ma Kenzie",72,97.82,1008,33,953,"BonusPutting",2010
172,172,"Ricky Barnes",103,97.74,1193,27,1139,"BonusPutting",2010
173,173,"Vance Veazey",58,97.69,693,15,662,"BonusPutting",2010
174,174,"DJ Trahan",92,97.65,1232,32,1171,"BonusPutting",2010
