"NonWGCFedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2008","NonWGCFedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2008","NonWGCFedExCupSeasonPointsforNonMembers_PLAYERNAME_2008","NonWGCFedExCupSeasonPointsforNonMembers_EVENTS_2008","NonWGCFedExCupSeasonPointsforNonMembers_POINTS_2008","stat_name","year"
67,67,"Andrew Svoboda",1,54,"NonWGCFedExCupSeasonPointsforNonMembers",2008
69,69,"Louis Oosthuizen",3,53,"NonWGCFedExCupSeasonPointsforNonMembers",2008
70,70,"Brendan Jones",5,53,"NonWGCFedExCupSeasonPointsforNonMembers",2008
70,70,"Pablo Larrazabal",3,53,"NonWGCFedExCupSeasonPointsforNonMembers",2008
70,70,"Jose Filipe Lima",1,53,"NonWGCFedExCupSeasonPointsforNonMembers",2008
70,70,"Martin Wiegele",1,53,"NonWGCFedExCupSeasonPointsforNonMembers",2008
74,74,"Bryan DeCorso",1,53,"NonWGCFedExCupSeasonPointsforNonMembers",2008
75,75,"Justin Hicks",1,52,"NonWGCFedExCupSeasonPointsforNonMembers",2008
76,76,"Ross McGowan",1,51,"NonWGCFedExCupSeasonPointsforNonMembers",2008
77,77,"Derek Lamely",1,50,"NonWGCFedExCupSeasonPointsforNonMembers",2008
78,78,"Peter Karmis",1,49,"NonWGCFedExCupSeasonPointsforNonMembers",2008
79,79,"Philip Archer",2,49,"NonWGCFedExCupSeasonPointsforNonMembers",2008
80,80,"Pete Jordan",1,49,"NonWGCFedExCupSeasonPointsforNonMembers",2008
81,81,"Chih Bing Lam",1,48,"NonWGCFedExCupSeasonPointsforNonMembers",2008
82,82,"Alan Morin",2,48,"NonWGCFedExCupSeasonPointsforNonMembers",2008
83,83,"Reid Edstrom",1,47,"NonWGCFedExCupSeasonPointsforNonMembers",2008
83,83,"Anton Haig",2,47,"NonWGCFedExCupSeasonPointsforNonMembers",2008
85,85,"Keiichiro Fukabori",1,46,"NonWGCFedExCupSeasonPointsforNonMembers",2008
86,86,"Dustin Risdon",1,45,"NonWGCFedExCupSeasonPointsforNonMembers",2008
87,87,"Deane Pappas",2,30,"NonWGCFedExCupSeasonPointsforNonMembers",2008
88,88,"Scott Piercy",2,27,"NonWGCFedExCupSeasonPointsforNonMembers",2008
89,89,"Miguel Suarez",1,26,"NonWGCFedExCupSeasonPointsforNonMembers",2008
90,90,"Jon Turcott",2,26,"NonWGCFedExCupSeasonPointsforNonMembers",2008
91,91,"Wilfredo Morales",1,23,"NonWGCFedExCupSeasonPointsforNonMembers",2008
