"ApproachesLeftRoughRTPScore_RANKTHISWEEK_2013","ApproachesLeftRoughRTPScore_RANKLASTWEEK_2013","ApproachesLeftRoughRTPScore_PLAYERNAME_2013","ApproachesLeftRoughRTPScore_ROUNDS_2013","ApproachesLeftRoughRTPScore_AVGRTP_2013","stat_name","year"
110,110,"Harris English",95,0.136,"ApproachesLeftRoughRTPScore",2013
111,111,"Scott Langley",79,0.138,"ApproachesLeftRoughRTPScore",2013
112,112,"Nick Watney",88,0.139,"ApproachesLeftRoughRTPScore",2013
113,113,"Fabian Gomez",65,0.141,"ApproachesLeftRoughRTPScore",2013
114,114,"Rickie Fowler",75,0.143,"ApproachesLeftRoughRTPScore",2013
114,114,"Brendan Steele",86,0.143,"ApproachesLeftRoughRTPScore",2013
116,116,"Brendon de Jonge",110,0.145,"ApproachesLeftRoughRTPScore",2013
116,116,"Johnson Wagner",64,0.145,"ApproachesLeftRoughRTPScore",2013
118,118,"Boo Weekley",100,0.148,"ApproachesLeftRoughRTPScore",2013
118,118,"Casey Wittenberg",72,0.148,"ApproachesLeftRoughRTPScore",2013
120,120,"Vijay Singh",61,0.153,"ApproachesLeftRoughRTPScore",2013
121,121,"DJ Trahan",48,0.156,"ApproachesLeftRoughRTPScore",2013
122,122,"Jeff Maggert",63,0.157,"ApproachesLeftRoughRTPScore",2013
123,123,"John Huh",88,0.158,"ApproachesLeftRoughRTPScore",2013
123,123,"Hunter Mahan",91,0.158,"ApproachesLeftRoughRTPScore",2013
125,125,"Jim Furyk",80,0.16,"ApproachesLeftRoughRTPScore",2013
126,126,"Erik Compton",74,0.162,"ApproachesLeftRoughRTPScore",2013
127,127,"Will Claxton",67,0.163,"ApproachesLeftRoughRTPScore",2013
127,127,"Graeme McDowell",53,0.163,"ApproachesLeftRoughRTPScore",2013
129,129,"Steven Bowditch",67,0.165,"ApproachesLeftRoughRTPScore",2013
129,129,"Bud Cauley",67,0.165,"ApproachesLeftRoughRTPScore",2013
131,131,"Nicolas Colsaerts",50,0.167,"ApproachesLeftRoughRTPScore",2013
131,131,"Steve LeBrun",66,0.167,"ApproachesLeftRoughRTPScore",2013
133,133,"Tim Herron",45,0.169,"ApproachesLeftRoughRTPScore",2013
134,134,"Ben Kohles",75,0.174,"ApproachesLeftRoughRTPScore",2013
135,135,"Eric Meierdierks",48,0.176,"ApproachesLeftRoughRTPScore",2013
135,135,"Cameron Percy",68,0.176,"ApproachesLeftRoughRTPScore",2013
137,137,"Henrik Norlander",70,0.177,"ApproachesLeftRoughRTPScore",2013
138,138,"Richard Lee",81,0.179,"ApproachesLeftRoughRTPScore",2013
139,139,"Scott Stallings",79,0.18,"ApproachesLeftRoughRTPScore",2013
140,140,"Doug LaBelle II",72,0.183,"ApproachesLeftRoughRTPScore",2013
141,141,"Luke Guthrie",82,0.185,"ApproachesLeftRoughRTPScore",2013
141,141,"Greg Owen",73,0.185,"ApproachesLeftRoughRTPScore",2013
143,143,"Derek Ernst",58,0.186,"ApproachesLeftRoughRTPScore",2013
143,143,"Brad Fritsch",81,0.186,"ApproachesLeftRoughRTPScore",2013
145,145,"Justin Hicks",79,0.187,"ApproachesLeftRoughRTPScore",2013
145,145,"Dicky Pride",71,0.187,"ApproachesLeftRoughRTPScore",2013
147,147,"Stephen Ames",49,0.195,"ApproachesLeftRoughRTPScore",2013
147,147,"Lee Williams",62,0.195,"ApproachesLeftRoughRTPScore",2013
149,149,"Lucas Glover",65,0.198,"ApproachesLeftRoughRTPScore",2013
149,149,"Carl Pettersson",82,0.198,"ApproachesLeftRoughRTPScore",2013
151,151,"Justin Bolli",59,0.2,"ApproachesLeftRoughRTPScore",2013
151,151,"Ryan Moore",72,0.2,"ApproachesLeftRoughRTPScore",2013
153,153,"Ken Duke",87,0.205,"ApproachesLeftRoughRTPScore",2013
154,154,"Jason Bohn",70,0.206,"ApproachesLeftRoughRTPScore",2013
154,154,"Trevor Immelman",73,0.206,"ApproachesLeftRoughRTPScore",2013
156,156,"Robert Streb",75,0.208,"ApproachesLeftRoughRTPScore",2013
157,157,"Brian Harman",89,0.212,"ApproachesLeftRoughRTPScore",2013
158,158,"JJ Henry",83,0.217,"ApproachesLeftRoughRTPScore",2013
159,159,"Scott Gardiner",61,0.22,"ApproachesLeftRoughRTPScore",2013
