"AveragePuttingDistanceGIR3PlusPutts_RANKTHISWEEK_2012","AveragePuttingDistanceGIR3PlusPutts_RANKLASTWEEK_2012","AveragePuttingDistanceGIR3PlusPutts_PLAYERNAME_2012","AveragePuttingDistanceGIR3PlusPutts_ROUNDS_2012","AveragePuttingDistanceGIR3PlusPutts_AVG_2012","AveragePuttingDistanceGIR3PlusPutts_DISTANCEFEET_2012","AveragePuttingDistanceGIR3PlusPutts_TOTALPUTTS_2012","stat_name","year"
41,41,"Boo Weekley",74,NA,32.833,1,"AveragePuttingDistanceGIR3PlusPutts",2012
42,42,"William McGirt",96,NA,32,1,"AveragePuttingDistanceGIR3PlusPutts",2012
43,43,"DA Points",88,NA,31.833,1,"AveragePuttingDistanceGIR3PlusPutts",2012
44,44,"Marco Dawson",60,NA,30.583,1,"AveragePuttingDistanceGIR3PlusPutts",2012
45,45,"Bill Lunde",83,NA,29.917,1,"AveragePuttingDistanceGIR3PlusPutts",2012
46,46,"Chris Stroud",86,NA,29.583,1,"AveragePuttingDistanceGIR3PlusPutts",2012
47,47,"Mark Wilson",84,NA,28.417,1,"AveragePuttingDistanceGIR3PlusPutts",2012
48,48,"Robert Garrigus",89,NA,56.083,2,"AveragePuttingDistanceGIR3PlusPutts",2012
49,49,"Brian Gay",91,NA,26.75,1,"AveragePuttingDistanceGIR3PlusPutts",2012
50,50,"Scott Dunlap",57,NA,52.083,2,"AveragePuttingDistanceGIR3PlusPutts",2012
51,51,"Nick Watney",97,NA,26,1,"AveragePuttingDistanceGIR3PlusPutts",2012
52,52,"Chez Reavie",83,NA,25.833,1,"AveragePuttingDistanceGIR3PlusPutts",2012
53,53,"Andres Romero",68,NA,50.75,2,"AveragePuttingDistanceGIR3PlusPutts",2012
54,54,"Cameron Tringale",88,NA,48.5,2,"AveragePuttingDistanceGIR3PlusPutts",2012
55,55,"Billy Horschel",63,NA,23.917,1,"AveragePuttingDistanceGIR3PlusPutts",2012
56,56,"Erik Compton",81,NA,47,2,"AveragePuttingDistanceGIR3PlusPutts",2012
57,57,"Seung Yul Noh",105,NA,23.25,1,"AveragePuttingDistanceGIR3PlusPutts",2012
58,58,"Ian Poulter",57,NA,22.667,1,"AveragePuttingDistanceGIR3PlusPutts",2012
59,59,"Jason Kokrak",79,NA,44.083,2,"AveragePuttingDistanceGIR3PlusPutts",2012
60,60,"Brian Davis",91,NA,21.417,1,"AveragePuttingDistanceGIR3PlusPutts",2012
61,61,"Matt Every",80,NA,21.167,1,"AveragePuttingDistanceGIR3PlusPutts",2012
62,62,"Nathan Green",73,NA,20.667,1,"AveragePuttingDistanceGIR3PlusPutts",2012
63,63,"Chris Couch",61,NA,40.5,2,"AveragePuttingDistanceGIR3PlusPutts",2012
64,64,"Charlie Beljan",61,NA,18.333,1,"AveragePuttingDistanceGIR3PlusPutts",2012
65,65,"Chris Kirk",93,NA,17.667,1,"AveragePuttingDistanceGIR3PlusPutts",2012
66,66,"Ted Potter Jr",77,NA,17.333,1,"AveragePuttingDistanceGIR3PlusPutts",2012
67,67,"Greg Owen",90,NA,16,1,"AveragePuttingDistanceGIR3PlusPutts",2012
68,68,"Arjun Atwal",79,NA,15.25,1,"AveragePuttingDistanceGIR3PlusPutts",2012
69,69,"Josh Teater",97,NA,12.25,1,"AveragePuttingDistanceGIR3PlusPutts",2012
70,70,"Ryuji Imada",78,NA,9.333,1,"AveragePuttingDistanceGIR3PlusPutts",2012
71,71,"Adam Scott",59,NA,9.083,1,"AveragePuttingDistanceGIR3PlusPutts",2012
72,72,"Camilo Villegas",79,NA,8.583,1,"AveragePuttingDistanceGIR3PlusPutts",2012
73,73,"John Senden",81,NA,7.25,1,"AveragePuttingDistanceGIR3PlusPutts",2012
74,74,"Tim Herron",88,NA,3.25,1,"AveragePuttingDistanceGIR3PlusPutts",2012
75,75,"Charl Schwartzel",56,NA,3,1,"AveragePuttingDistanceGIR3PlusPutts",2012
