"FinalRoundScoringAverage_RANKTHISWEEK_2015","FinalRoundScoringAverage_RANKLASTWEEK_2015","FinalRoundScoringAverage_PLAYERNAME_2015","FinalRoundScoringAverage__2015","FinalRoundScoringAverage_AVG_2015","FinalRoundScoringAverage_TOTALSTROKES_2015","FinalRoundScoringAverage_TOTALROUNDS_2015","stat_name","year"
22,22,"Hideki Matsuyama",NA,69.52,1460,21,"FinalRoundScoringAverage",2015
23,23,"Marc Leishman",NA,69.54,904,13,"FinalRoundScoringAverage",2015
24,24,"Brian Harman",NA,69.63,1114,16,"FinalRoundScoringAverage",2015
25,25,"William McGirt",NA,69.65,1393,20,"FinalRoundScoringAverage",2015
26,26,"Boo Weekley",NA,69.67,1045,15,"FinalRoundScoringAverage",2015
27,27,"Jason Bohn",NA,69.7,1394,20,"FinalRoundScoringAverage",2015
28,28,"Billy Hurley III",NA,69.75,837,12,"FinalRoundScoringAverage",2015
29,29,"Ryan Palmer",NA,69.76,1186,17,"FinalRoundScoringAverage",2015
30,30,"Steven Bowditch",NA,69.79,1326,19,"FinalRoundScoringAverage",2015
31,31,"Chad Collins",NA,69.8,1047,15,"FinalRoundScoringAverage",2015
31,31,"Mark Wilson",NA,69.8,1047,15,"FinalRoundScoringAverage",2015
33,33,"Whee Kim",NA,69.82,768,11,"FinalRoundScoringAverage",2015
33,33,"David Lingmerth",NA,69.82,1187,17,"FinalRoundScoringAverage",2015
35,35,"Keegan Bradley",NA,69.84,1327,19,"FinalRoundScoringAverage",2015
35,35,"Ben Martin",NA,69.84,1327,19,"FinalRoundScoringAverage",2015
35,35,"George McNeill",NA,69.84,1327,19,"FinalRoundScoringAverage",2015
38,38,"Louis Oosthuizen",NA,69.85,908,13,"FinalRoundScoringAverage",2015
39,39,"Chris Stroud",NA,69.86,978,14,"FinalRoundScoringAverage",2015
40,40,"John Huh",NA,69.89,1328,19,"FinalRoundScoringAverage",2015
41,41,"Charley Hoffman",NA,69.9,1398,20,"FinalRoundScoringAverage",2015
41,41,"Daniel Summerhays",NA,69.9,1468,21,"FinalRoundScoringAverage",2015
43,43,"Scott Langley",NA,69.94,1259,18,"FinalRoundScoringAverage",2015
44,44,"Jon Curran",NA,70,770,11,"FinalRoundScoringAverage",2015
44,44,"Dustin Johnson",NA,70,1190,17,"FinalRoundScoringAverage",2015
46,46,"Webb Simpson",NA,70.06,1261,18,"FinalRoundScoringAverage",2015
47,47,"Billy Horschel",NA,70.1,1472,21,"FinalRoundScoringAverage",2015
48,48,"Roberto Castro",NA,70.11,631,9,"FinalRoundScoringAverage",2015
48,48,"Greg Owen",NA,70.11,631,9,"FinalRoundScoringAverage",2015
50,50,"Steven Alker",NA,70.13,561,8,"FinalRoundScoringAverage",2015
51,51,"Brandt Snedeker",NA,70.14,1473,21,"FinalRoundScoringAverage",2015
52,52,"Lee Westwood",NA,70.17,842,12,"FinalRoundScoringAverage",2015
53,53,"Martin Laird",NA,70.21,983,14,"FinalRoundScoringAverage",2015
53,53,"Danny Lee",NA,70.21,1685,24,"FinalRoundScoringAverage",2015
55,55,"DA Points",NA,70.22,632,9,"FinalRoundScoringAverage",2015
56,56,"Ken Duke",NA,70.27,1054,15,"FinalRoundScoringAverage",2015
56,56,"Jim Herman",NA,70.27,1054,15,"FinalRoundScoringAverage",2015
58,58,"Bryce Molder",NA,70.28,1265,18,"FinalRoundScoringAverage",2015
59,59,"Russell Knox",NA,70.3,1406,20,"FinalRoundScoringAverage",2015
60,60,"Chris Kirk",NA,70.31,1125,16,"FinalRoundScoringAverage",2015
61,61,"Russell Henley",NA,70.32,1336,19,"FinalRoundScoringAverage",2015
62,62,"Robert Garrigus",NA,70.33,633,9,"FinalRoundScoringAverage",2015
63,63,"Jason Kokrak",NA,70.38,1126,16,"FinalRoundScoringAverage",2015
63,63,"Nicholas Thompson",NA,70.38,915,13,"FinalRoundScoringAverage",2015
63,63,"Steve Wheatcroft",NA,70.38,915,13,"FinalRoundScoringAverage",2015
66,66,"Brooks Koepka",NA,70.39,1267,18,"FinalRoundScoringAverage",2015
67,67,"Fabian Gomez",NA,70.4,1056,15,"FinalRoundScoringAverage",2015
68,68,"Pat Perez",NA,70.41,1549,22,"FinalRoundScoringAverage",2015
68,68,"Scott Piercy",NA,70.41,1197,17,"FinalRoundScoringAverage",2015
68,68,"Nick Watney",NA,70.41,1197,17,"FinalRoundScoringAverage",2015
71,71,"Eric Axley",NA,70.43,493,7,"FinalRoundScoringAverage",2015
72,72,"Jamie Donaldson",NA,70.44,634,9,"FinalRoundScoringAverage",2015
72,72,"Vijay Singh",NA,70.44,1127,16,"FinalRoundScoringAverage",2015
74,74,"James Hahn",NA,70.47,1339,19,"FinalRoundScoringAverage",2015
75,75,"Harris English",NA,70.48,1621,23,"FinalRoundScoringAverage",2015
76,76,"Chad Campbell",NA,70.5,1269,18,"FinalRoundScoringAverage",2015
76,76,"Brendon Todd",NA,70.5,1410,20,"FinalRoundScoringAverage",2015
76,76,"Jimmy Walker",NA,70.5,1410,20,"FinalRoundScoringAverage",2015
79,79,"Justin Thomas",NA,70.52,1622,23,"FinalRoundScoringAverage",2015
80,80,"John Peterson",NA,70.53,1199,17,"FinalRoundScoringAverage",2015
81,81,"Brice Garnett",NA,70.55,776,11,"FinalRoundScoringAverage",2015
81,81,"Bo Van Pelt",NA,70.55,776,11,"FinalRoundScoringAverage",2015
83,83,"Scott Brown",NA,70.56,1270,18,"FinalRoundScoringAverage",2015
83,83,"Rickie Fowler",NA,70.56,1129,16,"FinalRoundScoringAverage",2015
83,83,"Spencer Levin",NA,70.56,1270,18,"FinalRoundScoringAverage",2015
83,83,"Ryan Moore",NA,70.56,1129,16,"FinalRoundScoringAverage",2015
87,87,"Alex Prugh",NA,70.57,988,14,"FinalRoundScoringAverage",2015
87,87,"John Senden",NA,70.57,988,14,"FinalRoundScoringAverage",2015
87,87,"Shawn Stefani",NA,70.57,1482,21,"FinalRoundScoringAverage",2015
90,90,"Zac Blair",NA,70.61,1271,18,"FinalRoundScoringAverage",2015
91,91,"SJ Park",NA,70.62,918,13,"FinalRoundScoringAverage",2015
92,92,"Ben Crane",NA,70.63,565,8,"FinalRoundScoringAverage",2015
92,92,"Justin Leonard",NA,70.63,565,8,"FinalRoundScoringAverage",2015
94,94,"Jonathan Byrd",NA,70.64,777,11,"FinalRoundScoringAverage",2015
94,94,"Justin Rose",NA,70.64,989,14,"FinalRoundScoringAverage",2015
94,94,"Scott Stallings",NA,70.64,777,11,"FinalRoundScoringAverage",2015
94,94,"Gary Woodland",NA,70.64,989,14,"FinalRoundScoringAverage",2015
98,98,"Jim Furyk",NA,70.67,1060,15,"FinalRoundScoringAverage",2015
98,98,"Lucas Glover",NA,70.67,848,12,"FinalRoundScoringAverage",2015
100,100,"Morgan Hoffmann",NA,70.71,1202,17,"FinalRoundScoringAverage",2015
101,101,"Hudson Swafford",NA,70.72,1273,18,"FinalRoundScoringAverage",2015
102,102,"Francesco Molinari",NA,70.75,849,12,"FinalRoundScoringAverage",2015
103,103,"Stewart Cink",NA,70.8,1062,15,"FinalRoundScoringAverage",2015
103,103,"Geoff Ogilvy",NA,70.8,708,10,"FinalRoundScoringAverage",2015
105,105,"Carl Pettersson",NA,70.81,1487,21,"FinalRoundScoringAverage",2015
106,106,"Kevin Chappell",NA,70.82,1204,17,"FinalRoundScoringAverage",2015
106,106,"Jason Gore",NA,70.82,779,11,"FinalRoundScoringAverage",2015
108,108,"Brian Davis",NA,70.83,850,12,"FinalRoundScoringAverage",2015
108,108,"Bill Lunde",NA,70.83,425,6,"FinalRoundScoringAverage",2015
110,110,"Aaron Baddeley",NA,70.85,921,13,"FinalRoundScoringAverage",2015
111,111,"Luke Donald",NA,70.87,1063,15,"FinalRoundScoringAverage",2015
111,111,"Matt Kuchar",NA,70.87,1630,23,"FinalRoundScoringAverage",2015
113,113,"John Merrick",NA,70.9,709,10,"FinalRoundScoringAverage",2015
114,114,"Brendon de Jonge",NA,70.95,1561,22,"FinalRoundScoringAverage",2015
114,114,"Kevin Na",NA,70.95,1561,22,"FinalRoundScoringAverage",2015
116,116,"Patrick Reed",NA,70.96,1703,24,"FinalRoundScoringAverage",2015
117,117,"Sergio Garcia",NA,71,994,14,"FinalRoundScoringAverage",2015
117,117,"Mark Hubbard",NA,71,1065,15,"FinalRoundScoringAverage",2015
117,117,"Phil Mickelson",NA,71,1136,16,"FinalRoundScoringAverage",2015
117,117,"Jim Renner",NA,71,355,5,"FinalRoundScoringAverage",2015
117,117,"Sam Saunders",NA,71,923,13,"FinalRoundScoringAverage",2015
122,122,"Ryo Ishikawa",NA,71.06,1137,16,"FinalRoundScoringAverage",2015
123,123,"Jonas Blixt",NA,71.09,782,11,"FinalRoundScoringAverage",2015
123,123,"Gonzalo Fdez Castano",NA,71.09,782,11,"FinalRoundScoringAverage",2015
125,125,"Chesson Hadley",NA,71.1,1422,20,"FinalRoundScoringAverage",2015
125,125,"Adam Scott",NA,71.1,711,10,"FinalRoundScoringAverage",2015
127,127,"Alex Cejka",NA,71.11,1280,18,"FinalRoundScoringAverage",2015
127,127,"JB Holmes",NA,71.11,1280,18,"FinalRoundScoringAverage",2015
129,129,"Jeff Overton",NA,71.12,1209,17,"FinalRoundScoringAverage",2015
130,130,"Martin Flores",NA,71.13,1138,16,"FinalRoundScoringAverage",2015
131,131,"Cameron Tringale",NA,71.15,1423,20,"FinalRoundScoringAverage",2015
132,132,"Cameron Percy",NA,71.17,854,12,"FinalRoundScoringAverage",2015
133,133,"Charles Howell III",NA,71.18,1566,22,"FinalRoundScoringAverage",2015
134,134,"Brian Stuard",NA,71.19,1139,16,"FinalRoundScoringAverage",2015
135,135,"Patrick Rodgers",NA,71.2,712,10,"FinalRoundScoringAverage",2015
135,135,"Camilo Villegas",NA,71.2,1068,15,"FinalRoundScoringAverage",2015
137,137,"Adam Hadwin",NA,71.24,1211,17,"FinalRoundScoringAverage",2015
138,138,"Tim Wilkinson",NA,71.25,570,8,"FinalRoundScoringAverage",2015
139,139,"Brendan Steele",NA,71.26,1354,19,"FinalRoundScoringAverage",2015
140,140,"Derek Ernst",NA,71.3,713,10,"FinalRoundScoringAverage",2015
140,140,"David Toms",NA,71.3,713,10,"FinalRoundScoringAverage",2015
142,142,"Seung Yul Noh",NA,71.36,785,11,"FinalRoundScoringAverage",2015
143,143,"Hunter Mahan",NA,71.37,1356,19,"FinalRoundScoringAverage",2015
144,144,"Robert Allenby",NA,71.43,500,7,"FinalRoundScoringAverage",2015
145,145,"Sean OHair",NA,71.47,1215,17,"FinalRoundScoringAverage",2015
146,146,"Sangmoon Bae",NA,71.5,1430,20,"FinalRoundScoringAverage",2015
146,146,"Nick Taylor",NA,71.5,1144,16,"FinalRoundScoringAverage",2015
148,148,"Andres Gonzales",NA,71.53,1073,15,"FinalRoundScoringAverage",2015
148,148,"Matt Jones",NA,71.53,1359,19,"FinalRoundScoringAverage",2015
150,150,"Charl Schwartzel",NA,71.54,930,13,"FinalRoundScoringAverage",2015
151,151,"Matt Every",NA,71.55,787,11,"FinalRoundScoringAverage",2015
152,152,"JJ Henry",NA,71.56,1145,16,"FinalRoundScoringAverage",2015
153,153,"Carlos Ortiz",NA,71.61,1289,18,"FinalRoundScoringAverage",2015
154,154,"Greg Chalmers",NA,71.64,788,11,"FinalRoundScoringAverage",2015
155,155,"Ricky Barnes",NA,71.67,860,12,"FinalRoundScoringAverage",2015
155,155,"Oscar Fraustro",NA,71.67,430,6,"FinalRoundScoringAverage",2015
155,155,"Jonathan Randolph",NA,71.67,645,9,"FinalRoundScoringAverage",2015
158,158,"Graham DeLaet",NA,71.69,932,13,"FinalRoundScoringAverage",2015
159,159,"Charlie Beljan",NA,71.7,717,10,"FinalRoundScoringAverage",2015
160,160,"Tyrone Van Aswegen",NA,71.71,502,7,"FinalRoundScoringAverage",2015
161,161,"Bill Haas",NA,71.74,1363,19,"FinalRoundScoringAverage",2015
162,162,"Troy Merritt",NA,71.75,1148,16,"FinalRoundScoringAverage",2015
163,163,"Michael Thompson",NA,71.79,1005,14,"FinalRoundScoringAverage",2015
164,164,"Erik Compton",NA,71.81,1149,16,"FinalRoundScoringAverage",2015
165,165,"Kevin Streelman",NA,71.84,1365,19,"FinalRoundScoringAverage",2015
166,166,"Luke Guthrie",NA,71.86,1006,14,"FinalRoundScoringAverage",2015
166,166,"Byron Smith",NA,71.86,503,7,"FinalRoundScoringAverage",2015
168,168,"Jason Dufner",NA,71.88,1150,16,"FinalRoundScoringAverage",2015
169,169,"Jhonattan Vegas",NA,72,1152,16,"FinalRoundScoringAverage",2015
170,170,"Scott Pinckney",NA,72.06,1153,16,"FinalRoundScoringAverage",2015
171,171,"Ian Poulter",NA,72.07,1009,14,"FinalRoundScoringAverage",2015
172,172,"Andres Romero",NA,72.1,721,10,"FinalRoundScoringAverage",2015
173,173,"Michael Putnam",NA,72.13,1082,15,"FinalRoundScoringAverage",2015
174,174,"Max Homa",NA,72.2,722,10,"FinalRoundScoringAverage",2015
175,175,"KJ Choi",NA,72.23,939,13,"FinalRoundScoringAverage",2015
176,176,"Ernie Els",NA,72.3,723,10,"FinalRoundScoringAverage",2015
177,177,"Derek Fathauer",NA,72.33,868,12,"FinalRoundScoringAverage",2015
178,178,"Angel Cabrera",NA,72.38,579,8,"FinalRoundScoringAverage",2015
179,179,"Retief Goosen",NA,72.47,1087,15,"FinalRoundScoringAverage",2015
180,180,"Roger Sloan",NA,72.83,437,6,"FinalRoundScoringAverage",2015
181,181,"Padraig Harrington",NA,72.88,583,8,"FinalRoundScoringAverage",2015
182,182,"Andrew Putnam",NA,73.22,659,9,"FinalRoundScoringAverage",2015
183,183,"Andrew Svoboda",NA,73.4,734,10,"FinalRoundScoringAverage",2015
184,184,"Heath Slocum",NA,73.8,369,5,"FinalRoundScoringAverage",2015
