"PuttingInside10_RANKTHISWEEK_2011","PuttingInside10_RANKLASTWEEK_2011","PuttingInside10_PLAYERNAME_2011","PuttingInside10_ROUNDS_2011","PuttingInside10_PctMADE_2011","PuttingInside10_ATTEMPTS_2011","PuttingInside10_PUTTSMADE_2011","stat_name","year"
159,159,"Ryuji Imada",83,85.74,1445,1239,"PuttingInside10",2011
160,160,"Sergio Garcia",61,85.71,840,720,"PuttingInside10",2011
160,160,"Vijay Singh",79,85.71,1365,1170,"PuttingInside10",2011
162,162,"Fabian Gomez",84,85.66,1269,1087,"PuttingInside10",2011
163,163,"Bio Kim",71,85.65,1087,931,"PuttingInside10",2011
164,164,"Scott Gutschewski",67,85.59,1055,903,"PuttingInside10",2011
165,165,"Kris Blanks",92,85.53,1569,1342,"PuttingInside10",2011
166,166,"DJ Trahan",91,85.46,1609,1375,"PuttingInside10",2011
167,167,"Kyle Stanley",98,85.27,1514,1291,"PuttingInside10",2011
168,168,"Kevin Stadler",88,85.21,1393,1187,"PuttingInside10",2011
169,169,"Bobby Gates",82,85.12,1277,1087,"PuttingInside10",2011
170,170,"Tom Gillis",55,85.08,952,810,"PuttingInside10",2011
171,171,"Graeme McDowell",50,85.04,695,591,"PuttingInside10",2011
172,172,"Kevin Chappell",78,85.03,1176,1000,"PuttingInside10",2011
172,172,"Rocco Mediate",53,85.03,922,784,"PuttingInside10",2011
174,174,"Steve Marino",76,85.02,1155,982,"PuttingInside10",2011
175,175,"Rich Beem",53,84.97,885,752,"PuttingInside10",2011
176,176,"Robert Garrigus",83,84.91,1312,1114,"PuttingInside10",2011
177,177,"David Duval",67,84.87,1117,948,"PuttingInside10",2011
178,178,"Justin Hicks",60,84.85,858,728,"PuttingInside10",2011
179,179,"Paul Goydos",81,84.73,1428,1210,"PuttingInside10",2011
180,180,"Alex Cejka",59,84.71,896,759,"PuttingInside10",2011
181,181,"Joe Durant",71,84.67,1233,1044,"PuttingInside10",2011
182,182,"Ernie Els",71,84.64,1133,959,"PuttingInside10",2011
183,183,"Dustin Johnson",72,84.24,1028,866,"PuttingInside10",2011
184,184,"Zack Miller",86,84.17,1453,1223,"PuttingInside10",2011
185,185,"Harrison Frazar",58,84.1,805,677,"PuttingInside10",2011
185,185,"Boo Weekley",66,84.1,1113,936,"PuttingInside10",2011
