"GoodDrivePercentage_RANKTHISWEEK_2012","GoodDrivePercentage_RANKLASTWEEK_2012","GoodDrivePercentage_PLAYERNAME_2012","GoodDrivePercentage_ROUNDS_2012","GoodDrivePercentage_Pct_2012","GoodDrivePercentage_HIT_2012","GoodDrivePercentage_TOTALATTEMPTS_2012","stat_name","year"
113,113,"YE Yang",64,79.26,688,868,"GoodDrivePercentage",2012
114,114,"Jonas Blixt",72,79.22,797,1006,"GoodDrivePercentage",2012
115,115,"Tommy Gainey",98,79.17,1083,1368,"GoodDrivePercentage",2012
116,116,"Padraig Harrington",67,79.13,694,877,"GoodDrivePercentage",2012
117,117,"Kevin Chappell",91,79.03,957,1211,"GoodDrivePercentage",2012
118,118,"Charles Howell III",98,78.98,1082,1370,"GoodDrivePercentage",2012
118,118,"Jeff Overton",101,78.98,1112,1408,"GoodDrivePercentage",2012
118,118,"Ted Potter Jr",77,78.98,849,1075,"GoodDrivePercentage",2012
121,121,"Hunter Haas",69,78.96,717,908,"GoodDrivePercentage",2012
122,122,"Steve Wheatcroft",56,78.95,574,727,"GoodDrivePercentage",2012
123,123,"Boo Weekley",74,78.92,771,977,"GoodDrivePercentage",2012
124,124,"Michael Thompson",80,78.82,878,1114,"GoodDrivePercentage",2012
125,125,"Jason Kokrak",79,78.78,824,1046,"GoodDrivePercentage",2012
126,126,"Justin Leonard",79,78.74,822,1044,"GoodDrivePercentage",2012
127,127,"Brandt Snedeker",81,78.73,855,1086,"GoodDrivePercentage",2012
128,128,"Bob Estes",78,78.66,855,1087,"GoodDrivePercentage",2012
129,129,"Bobby Gates",87,78.65,932,1185,"GoodDrivePercentage",2012
130,130,"William McGirt",96,78.61,1051,1337,"GoodDrivePercentage",2012
131,131,"Robert Karlsson",54,78.57,572,728,"GoodDrivePercentage",2012
132,132,"Kevin Streelman",89,78.55,974,1240,"GoodDrivePercentage",2012
133,133,"Robert Allenby",76,78.49,832,1060,"GoodDrivePercentage",2012
134,134,"Kyle Reifers",86,78.36,938,1197,"GoodDrivePercentage",2012
135,135,"Carl Pettersson",92,78.35,1006,1284,"GoodDrivePercentage",2012
136,136,"Gavin Coles",72,78.32,766,978,"GoodDrivePercentage",2012
137,137,"Bill Lunde",83,78.18,860,1100,"GoodDrivePercentage",2012
138,138,"Harrison Frazar",56,78.13,593,759,"GoodDrivePercentage",2012
139,139,"Freddie Jacobson",61,78.1,656,840,"GoodDrivePercentage",2012
140,140,"Gary Woodland",70,78.05,754,966,"GoodDrivePercentage",2012
141,141,"Graham DeLaet",79,77.97,860,1103,"GoodDrivePercentage",2012
142,142,"Jhonattan Vegas",77,77.94,841,1079,"GoodDrivePercentage",2012
143,143,"Phil Mickelson",79,77.79,858,1103,"GoodDrivePercentage",2012
144,144,"John Daly",50,77.66,497,640,"GoodDrivePercentage",2012
145,145,"Rod Pampling",88,77.65,910,1172,"GoodDrivePercentage",2012
146,146,"Martin Flores",95,77.47,1028,1327,"GoodDrivePercentage",2012
147,147,"Vaughn Taylor",81,77.45,855,1104,"GoodDrivePercentage",2012
148,148,"David Mathis",83,77.43,875,1130,"GoodDrivePercentage",2012
149,149,"Matt Every",80,77.35,864,1117,"GoodDrivePercentage",2012
150,150,"Jimmy Walker",101,77.26,1087,1407,"GoodDrivePercentage",2012
151,151,"Arjun Atwal",79,77.2,806,1044,"GoodDrivePercentage",2012
152,152,"Danny Lee",74,76.97,752,977,"GoodDrivePercentage",2012
153,153,"Rocco Mediate",70,76.9,729,948,"GoodDrivePercentage",2012
154,154,"Spencer Levin",81,76.88,848,1103,"GoodDrivePercentage",2012
155,155,"Dicky Pride",62,76.85,624,812,"GoodDrivePercentage",2012
156,156,"Nathan Green",73,76.79,741,965,"GoodDrivePercentage",2012
157,157,"Kevin Kisner",69,76.74,696,907,"GoodDrivePercentage",2012
158,158,"Miguel Angel Carballo",73,76.64,738,963,"GoodDrivePercentage",2012
159,159,"Jason Day",57,76.63,587,766,"GoodDrivePercentage",2012
160,160,"George McNeill",85,76.5,905,1183,"GoodDrivePercentage",2012
161,161,"Stephen Ames",54,76.2,573,752,"GoodDrivePercentage",2012
162,162,"Erik Compton",81,76.02,818,1076,"GoodDrivePercentage",2012
163,163,"Scott Brown",65,75.85,666,878,"GoodDrivePercentage",2012
163,163,"Ryuji Imada",78,75.85,804,1060,"GoodDrivePercentage",2012
165,165,"Aaron Baddeley",73,75.77,766,1011,"GoodDrivePercentage",2012
166,166,"Charlie Beljan",61,75.72,602,795,"GoodDrivePercentage",2012
167,167,"JB Holmes",90,75.31,906,1203,"GoodDrivePercentage",2012
168,168,"JJ Killeen",101,75.26,1019,1354,"GoodDrivePercentage",2012
169,169,"Henrik Stenson",51,75.07,536,714,"GoodDrivePercentage",2012
170,170,"Sung Kang",75,74.93,762,1017,"GoodDrivePercentage",2012
171,171,"Billy Hurley III",70,74.87,712,951,"GoodDrivePercentage",2012
172,172,"Brandt Jobe",57,74.78,596,797,"GoodDrivePercentage",2012
173,173,"Troy Kelly",68,74.58,666,893,"GoodDrivePercentage",2012
174,174,"Roland Thatcher",55,74.49,552,741,"GoodDrivePercentage",2012
175,175,"Troy Matteson",100,74.45,1017,1366,"GoodDrivePercentage",2012
176,176,"Angel Cabrera",54,74.4,561,754,"GoodDrivePercentage",2012
177,177,"Brendon Todd",78,73.81,761,1031,"GoodDrivePercentage",2012
178,178,"Patrick Sheehan",58,73.69,577,783,"GoodDrivePercentage",2012
179,179,"Derek Lamely",64,73.43,655,892,"GoodDrivePercentage",2012
180,180,"Edward Loar",59,73.4,585,797,"GoodDrivePercentage",2012
181,181,"James Driscoll",83,73.16,845,1155,"GoodDrivePercentage",2012
182,182,"Tommy Biershenk",74,72.74,731,1005,"GoodDrivePercentage",2012
183,183,"Andres Romero",68,72.42,646,892,"GoodDrivePercentage",2012
184,184,"Mark Anderson",75,72.28,738,1021,"GoodDrivePercentage",2012
185,185,"Matt Jones",53,72.26,534,739,"GoodDrivePercentage",2012
186,186,"Marco Dawson",60,71.69,580,809,"GoodDrivePercentage",2012
187,187,"Michael Bradley",63,71.17,627,881,"GoodDrivePercentage",2012
188,188,"Daniel Chopra",55,70.31,521,741,"GoodDrivePercentage",2012
189,189,"Ryo Ishikawa",54,69.97,508,726,"GoodDrivePercentage",2012
190,190,"Matt Bettencourt",80,69.91,741,1060,"GoodDrivePercentage",2012
191,191,"Stephen Gangluff",57,68.01,523,769,"GoodDrivePercentage",2012
