"TotalPutting_RANKTHISWEEK_2012","TotalPutting_RANKLASTWEEK_2012","TotalPutting_PLAYERNAME_2012","TotalPutting_EVENTS_2012","TotalPutting_TOTAL_2012","stat_name","year"
48,48,"Edward Loar",23,147.4,"TotalPutting",2012
49,49,"Brandt Jobe",18,148.2,"TotalPutting",2012
50,50,"Chris Couch",21,148.9,"TotalPutting",2012
51,51,"Kevin Na",25,149,"TotalPutting",2012
52,52,"Stuart Appleby",24,150.2,"TotalPutting",2012
53,53,"Cameron Tringale",26,151.3,"TotalPutting",2012
54,54,"Seung Yul Noh",28,152.3,"TotalPutting",2012
55,55,"Pat Perez",23,152.7,"TotalPutting",2012
56,56,"David Hearn",28,153.8,"TotalPutting",2012
57,57,"Ted Potter Jr",25,156.3,"TotalPutting",2012
58,58,"Geoff Ogilvy",20,156.8,"TotalPutting",2012
59,59,"Keegan Bradley",25,159.1,"TotalPutting",2012
60,60,"Kevin Kisner",24,162.2,"TotalPutting",2012
61,61,"Ryuji Imada",28,163.6,"TotalPutting",2012
62,62,"Davis Love III",20,165.8,"TotalPutting",2012
63,63,"Ryo Ishikawa",18,166.9,"TotalPutting",2012
64,64,"Rory McIlroy",16,167,"TotalPutting",2012
65,65,"Johnson Wagner",27,167.9,"TotalPutting",2012
66,66,"Stewart Cink",22,172,"TotalPutting",2012
67,67,"Russell Knox",23,173,"TotalPutting",2012
68,68,"Colt Knost",29,174,"TotalPutting",2012
69,69,"Harris English",27,174.5,"TotalPutting",2012
70,70,"Kevin Streelman",26,176.6,"TotalPutting",2012
71,71,"Hunter Mahan",23,178.3,"TotalPutting",2012
72,72,"Matt Every",25,178.9,"TotalPutting",2012
73,73,"Ken Duke",30,179,"TotalPutting",2012
74,74,"Sangmoon Bae",25,179.6,"TotalPutting",2012
75,75,"Webb Simpson",22,180.8,"TotalPutting",2012
76,76,"Bob Estes",23,184.3,"TotalPutting",2012
77,77,"Spencer Levin",26,189.9,"TotalPutting",2012
78,78,"Dustin Johnson",19,192.8,"TotalPutting",2012
79,79,"Blake Adams",32,196.8,"TotalPutting",2012
80,80,"Scott Piercy",28,197.7,"TotalPutting",2012
81,81,"Arjun Atwal",27,198,"TotalPutting",2012
82,82,"David Toms",19,199.7,"TotalPutting",2012
83,83,"Steve Wheatcroft",22,200,"TotalPutting",2012
84,84,"Justin Rose",19,201.3,"TotalPutting",2012
84,84,"Daniel Summerhays",26,201.3,"TotalPutting",2012
86,86,"Louis Oosthuizen",19,202.1,"TotalPutting",2012
87,87,"Bud Cauley",28,202.3,"TotalPutting",2012
88,88,"Ernie Els",22,204.1,"TotalPutting",2012
89,89,"Bill Haas",23,206.8,"TotalPutting",2012
90,90,"Martin Laird",22,207.3,"TotalPutting",2012
91,91,"Ian Poulter",15,207.9,"TotalPutting",2012
92,92,"Jonathan Byrd",21,210.7,"TotalPutting",2012
92,92,"Garth Mulroy",20,210.7,"TotalPutting",2012
94,94,"Billy Mayfair",28,211.2,"TotalPutting",2012
95,95,"Jason Dufner",22,214.2,"TotalPutting",2012
96,96,"Vaughn Taylor",26,214.6,"TotalPutting",2012
97,97,"Tim Clark",20,215.4,"TotalPutting",2012
97,97,"George McNeill",25,215.4,"TotalPutting",2012
99,99,"Erik Compton",26,215.6,"TotalPutting",2012
100,100,"Gary Christian",28,217.5,"TotalPutting",2012
101,101,"Charles Howell III",29,217.7,"TotalPutting",2012
102,102,"Rod Pampling",26,221.2,"TotalPutting",2012
103,103,"Brendon de Jonge",31,222.2,"TotalPutting",2012
104,104,"JB Holmes",25,222.4,"TotalPutting",2012
105,105,"Nick Watney",26,225.8,"TotalPutting",2012
106,106,"Troy Matteson",32,227,"TotalPutting",2012
107,107,"Brian Harman",30,227.6,"TotalPutting",2012
108,108,"Matt Jones",19,228.2,"TotalPutting",2012
109,109,"Rickie Fowler",23,229.1,"TotalPutting",2012
110,110,"Billy Horschel",17,229.2,"TotalPutting",2012
111,111,"Kyle Reifers",27,231.4,"TotalPutting",2012
112,112,"Scott Stallings",27,231.9,"TotalPutting",2012
113,113,"Brendan Steele",24,233.1,"TotalPutting",2012
114,114,"John Rollins",26,234.3,"TotalPutting",2012
115,115,"Padraig Harrington",18,235.6,"TotalPutting",2012
116,116,"Roberto Castro",27,236.2,"TotalPutting",2012
117,117,"Freddie Jacobson",17,237.5,"TotalPutting",2012
118,118,"Tim Herron",27,237.6,"TotalPutting",2012
119,119,"JJ Henry",28,239.7,"TotalPutting",2012
120,120,"Mathew Goggin",23,240.6,"TotalPutting",2012
120,120,"Sung Kang",30,240.6,"TotalPutting",2012
122,122,"Henrik Stenson",15,241.1,"TotalPutting",2012
123,123,"Graeme McDowell",16,241.3,"TotalPutting",2012
124,124,"Hunter Haas",24,242.2,"TotalPutting",2012
125,125,"Alexandre Rocha",21,242.9,"TotalPutting",2012
126,126,"Stephen Gangluff",23,243.2,"TotalPutting",2012
127,127,"Angel Cabrera",20,245.5,"TotalPutting",2012
128,128,"Jeff Maggert",27,248.3,"TotalPutting",2012
129,129,"Chris DiMarco",29,249.8,"TotalPutting",2012
130,130,"Jason Kokrak",27,250.4,"TotalPutting",2012
131,131,"Jerry Kelly",26,251.5,"TotalPutting",2012
131,131,"Rocco Mediate",23,251.5,"TotalPutting",2012
133,133,"Tom Pernice Jr",23,255.6,"TotalPutting",2012
134,134,"Jhonattan Vegas",25,256.7,"TotalPutting",2012
135,135,"Lee Westwood",15,256.8,"TotalPutting",2012
136,136,"John Mallinger",25,257.4,"TotalPutting",2012
137,137,"Michael Bradley",23,259.8,"TotalPutting",2012
138,138,"Jason Bohn",28,259.9,"TotalPutting",2012
139,139,"Will Claxton",28,261.7,"TotalPutting",2012
140,140,"Matt Bettencourt",31,262.7,"TotalPutting",2012
141,141,"Mark Wilson",25,262.8,"TotalPutting",2012
142,142,"Graham DeLaet",23,263,"TotalPutting",2012
143,143,"Chez Reavie",26,263.7,"TotalPutting",2012
144,144,"Danny Lee",26,264,"TotalPutting",2012
145,145,"Miguel Angel Carballo",25,264.3,"TotalPutting",2012
146,146,"Andres Romero",22,264.6,"TotalPutting",2012
147,147,"Marco Dawson",22,266.3,"TotalPutting",2012
148,148,"Sean OHair",24,267.5,"TotalPutting",2012
149,149,"Camilo Villegas",25,268.2,"TotalPutting",2012
150,150,"Harrison Frazar",20,270.7,"TotalPutting",2012
151,151,"Robert Garrigus",26,271.1,"TotalPutting",2012
152,152,"Charlie Beljan",22,271.8,"TotalPutting",2012
153,153,"Bubba Watson",19,272.7,"TotalPutting",2012
154,154,"Mark Anderson",25,274.3,"TotalPutting",2012
155,155,"Vijay Singh",27,277,"TotalPutting",2012
156,156,"Rory Sabbatini",29,277.1,"TotalPutting",2012
157,157,"DA Points",29,277.7,"TotalPutting",2012
158,158,"Cameron Beckman",26,279.7,"TotalPutting",2012
159,159,"Adam Scott",16,281.4,"TotalPutting",2012
160,160,"Bill Lunde",25,282,"TotalPutting",2012
161,161,"Troy Kelly",23,282.2,"TotalPutting",2012
162,162,"Kevin Chappell",29,286.3,"TotalPutting",2012
163,163,"Roland Thatcher",21,287,"TotalPutting",2012
164,164,"Stephen Ames",20,287.8,"TotalPutting",2012
165,165,"JJ Killeen",33,288,"TotalPutting",2012
166,166,"Chris Kirk",27,289.7,"TotalPutting",2012
167,167,"Kevin Stadler",25,291.8,"TotalPutting",2012
168,168,"Patrick Sheehan",21,293.8,"TotalPutting",2012
169,169,"Chad Campbell",27,300.7,"TotalPutting",2012
169,169,"John Merrick",26,300.7,"TotalPutting",2012
171,171,"Josh Teater",30,301.1,"TotalPutting",2012
172,172,"Robert Karlsson",17,301.5,"TotalPutting",2012
173,173,"Gary Woodland",22,301.8,"TotalPutting",2012
174,174,"Bobby Gates",29,304.7,"TotalPutting",2012
175,175,"Scott Dunlap",20,305,"TotalPutting",2012
176,176,"Trevor Immelman",24,312.2,"TotalPutting",2012
177,177,"Robert Allenby",27,313.5,"TotalPutting",2012
178,178,"KJ Choi",21,317.3,"TotalPutting",2012
179,179,"Justin Leonard",26,319.1,"TotalPutting",2012
180,180,"Charley Hoffman",27,321,"TotalPutting",2012
181,181,"Heath Slocum",29,323.7,"TotalPutting",2012
182,182,"DJ Trahan",27,324.4,"TotalPutting",2012
183,183,"Marc Leishman",23,324.8,"TotalPutting",2012
184,184,"Ricky Barnes",28,327.8,"TotalPutting",2012
185,185,"Greg Owen",27,329.3,"TotalPutting",2012
186,186,"Nick OHern",26,329.8,"TotalPutting",2012
187,187,"Scott Brown",24,330.9,"TotalPutting",2012
188,188,"Kris Blanks",23,343,"TotalPutting",2012
189,189,"Boo Weekley",25,359.7,"TotalPutting",2012
190,190,"Kyle Stanley",27,361.4,"TotalPutting",2012
191,191,"Kyle Thompson",22,388.6,"TotalPutting",2012
