"ScoringAverage_RANKTHISWEEK_2011","ScoringAverage_RANKLASTWEEK_2011","ScoringAverage_PLAYERNAME_2011","ScoringAverage_ROUNDS_2011","ScoringAverage_AVG_2011","ScoringAverage_TOTALSTROKES_2011","ScoringAverage_TOTALADJUSTMENT_2011","ScoringAverage_TOTALROUNDS_2011","stat_name","year"
109,109,"Kris Blanks",92,70.952,6500,27.596,92,"ScoringAverage",2011
110,110,"Jhonattan Vegas",84,70.966,5954,7.168,84,"ScoringAverage",2011
111,111,"Heath Slocum",89,70.988,6216,30.95,88,"ScoringAverage",2011
112,112,"Michael Putnam",67,70.989,4767,NA,67,"ScoringAverage",2011
113,113,"Graeme McDowell",50,70.997,3346,NA,47,"ScoringAverage",2011
114,114,"Kent Jones",76,71.001,5399,NA,76,"ScoringAverage",2011
115,115,"Justin Leonard",82,71.002,5830,NA,82,"ScoringAverage",2011
116,116,"Brendan Steele",89,71.019,6317,3.693,89,"ScoringAverage",2011
117,117,"Camilo Villegas",69,71.024,4855,NA,68,"ScoringAverage",2011
118,118,"Scott Stallings",84,71.036,5967,0.03,84,"ScoringAverage",2011
119,119,"Bill Lunde",92,71.046,6504,32.258,92,"ScoringAverage",2011
120,120,"Josh Teater",104,71.057,7370,19.898,104,"ScoringAverage",2011
121,121,"Ernie Els",71,71.062,4913,NA,69,"ScoringAverage",2011
122,122,"Charley Hoffman",93,71.097,6519,21.886,92,"ScoringAverage",2011
123,123,"Ryuji Imada",83,71.115,5894,8.583,83,"ScoringAverage",2011
124,124,"Steve Flesch",88,71.119,6266,NA,88,"ScoringAverage",2011
125,125,"Stephen Ames",69,71.121,4890,17.335,69,"ScoringAverage",2011
126,126,"Scott McCarron",65,71.127,4621,2.233,65,"ScoringAverage",2011
127,127,"Tom Gillis",55,71.134,3931,NA,55,"ScoringAverage",2011
128,128,"Chris Riley",76,71.143,5394,12.896,76,"ScoringAverage",2011
129,129,"Paul Stankowski",78,71.165,5538,12.854,78,"ScoringAverage",2011
130,130,"Boo Weekley",66,71.176,4673,24.591,66,"ScoringAverage",2011
131,131,"Alex Cejka",59,71.178,4204,NA,59,"ScoringAverage",2011
132,132,"Troy Matteson",91,71.184,6456,21.73,91,"ScoringAverage",2011
133,133,"Dean Wilson",62,71.195,4408,6.067,62,"ScoringAverage",2011
134,134,"Joe Ogilvie",75,71.215,5310,31.158,75,"ScoringAverage",2011
135,135,"Steven Bowditch",86,71.221,6123,2.04,86,"ScoringAverage",2011
135,135,"Kevin Chappell",78,71.221,5549,6.244,78,"ScoringAverage",2011
137,137,"Alexandre Rocha",65,71.262,4638,NA,65,"ScoringAverage",2011
138,138,"James Driscoll",71,71.277,5054,6.662,71,"ScoringAverage",2011
139,139,"Kevin Stadler",88,71.295,6249,24.974,88,"ScoringAverage",2011
140,140,"Nathan Green",81,71.298,5769,6.175,81,"ScoringAverage",2011
141,141,"Tag Ridings",87,71.325,6191,14.308,87,"ScoringAverage",2011
142,142,"Michael Connell",76,71.326,5416,4.74,76,"ScoringAverage",2011
142,142,"Tim Petrovic",88,71.326,6256,20.652,88,"ScoringAverage",2011
144,144,"Jason Bohn",74,71.336,5234,44.877,74,"ScoringAverage",2011
145,145,"Jim Renner",65,71.372,4621,18.182,65,"ScoringAverage",2011
146,146,"Jim Herman",69,71.377,4906,18.986,69,"ScoringAverage",2011
147,147,"Ben Martin",74,71.419,5272,13.03,74,"ScoringAverage",2011
148,148,"Joe Durant",71,71.428,5060,11.415,71,"ScoringAverage",2011
149,149,"Arjun Atwal",91,71.444,6501,0.432,91,"ScoringAverage",2011
150,150,"Garrett Willis",71,71.458,5063,10.518,71,"ScoringAverage",2011
151,151,"Roland Thatcher",67,71.478,4781,7.996,67,"ScoringAverage",2011
152,152,"Billy Horschel",75,71.512,5340,23.391,75,"ScoringAverage",2011
153,153,"Matt Jones",71,71.517,5059,18.716,71,"ScoringAverage",2011
154,154,"Lee Janzen",62,71.525,4417,17.539,62,"ScoringAverage",2011
155,155,"Marc Turnesa",54,71.533,3873,NA,54,"ScoringAverage",2011
156,156,"Stuart Appleby",65,71.554,4657,NA,65,"ScoringAverage",2011
157,157,"Scott Gutschewski",67,71.582,4796,NA,67,"ScoringAverage",2011
158,158,"Steve Elkington",50,71.598,3558,21.918,50,"ScoringAverage",2011
159,159,"Bobby Gates",82,71.616,5857,15.494,82,"ScoringAverage",2011
160,160,"Jarrod Lyle",83,71.617,5939,5.176,83,"ScoringAverage",2011
161,161,"Andres Gonzales",60,71.634,4285,13.03,60,"ScoringAverage",2011
162,162,"Matt McQuillan",59,71.635,4204,22.455,59,"ScoringAverage",2011
163,163,"Fabian Gomez",84,71.639,5998,19.648,84,"ScoringAverage",2011
164,164,"Cameron Beckman",71,71.642,5049,37.593,71,"ScoringAverage",2011
165,165,"Shaun Micheel",77,71.675,5520,NA,77,"ScoringAverage",2011
166,166,"Matt Bettencourt",84,71.689,6008,13.873,84,"ScoringAverage",2011
167,167,"Bio Kim",71,71.696,5089,1.441,71,"ScoringAverage",2011
168,168,"Joseph Bramlett",73,71.714,5218,17.111,73,"ScoringAverage",2011
169,169,"Paul Goydos",81,71.722,5801,8.455,81,"ScoringAverage",2011
170,170,"Colt Knost",80,71.747,5732,7.722,80,"ScoringAverage",2011
171,171,"DJ Brigman",67,71.803,4805,5.821,67,"ScoringAverage",2011
172,172,"Nate Smith",66,71.833,4721,19.974,66,"ScoringAverage",2011
173,173,"Kevin Kisner",70,71.858,5015,15.049,70,"ScoringAverage",2011
174,174,"David Duval",67,71.873,4814,1.466,67,"ScoringAverage",2011
175,175,"Zack Miller",86,71.89,6178,4.544,86,"ScoringAverage",2011
176,176,"Richard Johnson",64,71.902,4596,5.727,64,"ScoringAverage",2011
177,177,"Alex Prugh",82,71.904,5892,4.154,82,"ScoringAverage",2011
178,178,"Justin Hicks",60,72.008,4341,NA,60,"ScoringAverage",2011
179,179,"JP Hayes",56,72.048,4027,7.693,56,"ScoringAverage",2011
180,180,"Troy Merritt",63,72.083,4528,13.248,63,"ScoringAverage",2011
181,181,"Will Strickler",51,72.177,3674,7.036,51,"ScoringAverage",2011
182,182,"Daniel Summerhays",75,72.487,5419,17.505,75,"ScoringAverage",2011
183,183,"Martin Piller",63,72.542,4563,7.117,63,"ScoringAverage",2011
184,184,"Derek Lamely",65,72.606,4689,30.408,65,"ScoringAverage",2011
185,185,"Rich Beem",53,72.76,3862,NA,53,"ScoringAverage",2011
186,186,"Rocco Mediate",53,72.975,3852,15.677,53,"ScoringAverage",2011
