"EaglesHolesper_RANKTHISWEEK_2016","EaglesHolesper_RANKLASTWEEK_2016","EaglesHolesper_PLAYERNAME_2016","EaglesHolesper_ROUNDS_2016","EaglesHolesper_FREQUENCY_2016","EaglesHolesper_OFHOLES_2016","EaglesHolesper_OFEAGLES_2016","stat_name","year"
45,131,"Ernie Els",34,153,612,4,"EaglesHolesper",2016
45,37,"Jason Gore",51,153,918,6,"EaglesHolesper",2016
45,50,"Brooks Koepka",39,153,612,4,"EaglesHolesper",2016
45,71,"Phil Mickelson",37,153,612,4,"EaglesHolesper",2016
49,53,"Hudson Swafford",52,156,936,6,"EaglesHolesper",2016
50,38,"Johnson Wagner",44,158.4,792,5,"EaglesHolesper",2016
51,50,"Bronson Burgoon",53,159,954,6,"EaglesHolesper",2016
52,38,"Derek Ernst",36,162,648,4,"EaglesHolesper",2016
52,43,"Gary Woodland",45,162,810,5,"EaglesHolesper",2016
54,98,"Mark Hubbard",73,164.3,1314,8,"EaglesHolesper",2016
55,58,"David Hearn",55,165,990,6,"EaglesHolesper",2016
56,48,"Scott Stallings",46,165.6,828,5,"EaglesHolesper",2016
56,56,"Michael Thompson",46,165.6,828,5,"EaglesHolesper",2016
58,55,"Geoff Ogilvy",37,166.5,666,4,"EaglesHolesper",2016
58,44,"Rob Oppenheim",37,166.5,666,4,"EaglesHolesper",2016
60,63,"Branden Grace",31,168,504,3,"EaglesHolesper",2016
60,53,"Colt Knost",56,168,1008,6,"EaglesHolesper",2016
60,60,"Greg Owen",56,168,1008,6,"EaglesHolesper",2016
60,63,"Darron Stiles",28,168,504,3,"EaglesHolesper",2016
64,50,"Byeong Hun An",23,171,342,2,"EaglesHolesper",2016
64,101,"Padraig Harrington",38,171,684,4,"EaglesHolesper",2016
64,67,"Marc Leishman",41,171,684,4,"EaglesHolesper",2016
64,58,"Jamie Lovemark",57,171,1026,6,"EaglesHolesper",2016
68,62,"Tyrone Van Aswegen",67,172.3,1206,7,"EaglesHolesper",2016
69,56,"Robert Streb",51,172.8,864,5,"EaglesHolesper",2016
69,89,"Dawie van der Walt",48,172.8,864,5,"EaglesHolesper",2016
71,67,"Scott Brown",59,177,1062,6,"EaglesHolesper",2016
72,71,"Shane Bertsch",30,180,540,3,"EaglesHolesper",2016
72,71,"Matthew Fitzpatrick",23,180,360,2,"EaglesHolesper",2016
72,61,"Danny Lee",53,180,900,5,"EaglesHolesper",2016
72,71,"Jordan Spieth",34,180,540,3,"EaglesHolesper",2016
72,63,"Henrik Stenson",30,180,540,3,"EaglesHolesper",2016
77,81,"Aaron Baddeley",51,183.6,918,5,"EaglesHolesper",2016
77,66,"David Lingmerth",54,183.6,918,5,"EaglesHolesper",2016
77,69,"Luke List",51,183.6,918,5,"EaglesHolesper",2016
80,82,"Luke Guthrie",31,186,558,3,"EaglesHolesper",2016
80,71,"Spencer Levin",62,186,1116,6,"EaglesHolesper",2016
82,71,"Jason Kokrak",52,187.2,936,5,"EaglesHolesper",2016
83,71,"Thomas Aiken",42,189,756,4,"EaglesHolesper",2016
83,80,"Charles Howell III",63,189,1134,6,"EaglesHolesper",2016
83,113,"Vijay Singh",42,189,756,4,"EaglesHolesper",2016
86,105,"Lucas Glover",53,190.8,954,5,"EaglesHolesper",2016
86,69,"Scott Pinckney",53,190.8,954,5,"EaglesHolesper",2016
86,105,"Boo Weekley",53,190.8,954,5,"EaglesHolesper",2016
86,137,"Steve Wheatcroft",53,190.8,954,5,"EaglesHolesper",2016
90,71,"Shane Lowry",35,192,576,3,"EaglesHolesper",2016
90,131,"DA Points",32,192,576,3,"EaglesHolesper",2016
92,87,"Smylie Kaufman",57,194.4,972,5,"EaglesHolesper",2016
92,87,"Seung Yul Noh",54,194.4,972,5,"EaglesHolesper",2016
94,127,"JJ Henry",44,198,792,4,"EaglesHolesper",2016
94,89,"Wes Roach",33,198,594,3,"EaglesHolesper",2016
94,89,"Andres Romero",22,198,396,2,"EaglesHolesper",2016
97,96,"Stewart Cink",45,202.5,810,4,"EaglesHolesper",2016
97,122,"James Hahn",45,202.5,810,4,"EaglesHolesper",2016
97,85,"Shawn Stefani",45,202.5,810,4,"EaglesHolesper",2016
100,71,"Robert Garrigus",34,204,612,3,"EaglesHolesper",2016
100,84,"Webb Simpson",34,204,612,3,"EaglesHolesper",2016
102,89,"Jonas Blixt",46,207,828,4,"EaglesHolesper",2016
