"ScoringAverageBeforeCut_RANKTHISWEEK_2013","ScoringAverageBeforeCut_RANKLASTWEEK_2013","ScoringAverageBeforeCut_PLAYERNAME_2013","ScoringAverageBeforeCut__2013","ScoringAverageBeforeCut_AVG_2013","ScoringAverageBeforeCut_TOTALSTROKES_2013","ScoringAverageBeforeCut_TOTALROUNDS_2013","stat_name","year"
43,43,"Brandt Snedeker",NA,70.5,3384,48,"ScoringAverageBeforeCut",2013
44,44,"Kevin Stadler",NA,70.52,3526,50,"ScoringAverageBeforeCut",2013
45,45,"Lee Westwood",NA,70.53,2539,36,"ScoringAverageBeforeCut",2013
46,46,"Rory Sabbatini",NA,70.54,3668,52,"ScoringAverageBeforeCut",2013
47,47,"Chris Stroud",NA,70.55,3739,53,"ScoringAverageBeforeCut",2013
48,48,"Jeff Overton",NA,70.57,3317,47,"ScoringAverageBeforeCut",2013
48,48,"John Rollins",NA,70.57,3317,47,"ScoringAverageBeforeCut",2013
48,48,"Daniel Summerhays",NA,70.57,3811,54,"ScoringAverageBeforeCut",2013
51,51,"Josh Teater",NA,70.58,3388,48,"ScoringAverageBeforeCut",2013
52,52,"Freddie Jacobson",NA,70.59,2612,37,"ScoringAverageBeforeCut",2013
53,53,"Richard Lee",NA,70.6,3318,47,"ScoringAverageBeforeCut",2013
54,54,"John Merrick",NA,70.65,3391,48,"ScoringAverageBeforeCut",2013
55,55,"Morgan Hoffmann",NA,70.67,2968,42,"ScoringAverageBeforeCut",2013
56,56,"Jason Kokrak",NA,70.69,3605,51,"ScoringAverageBeforeCut",2013
57,57,"Charlie Wi",NA,70.7,3252,46,"ScoringAverageBeforeCut",2013
58,58,"Brian Gay",NA,70.71,3394,48,"ScoringAverageBeforeCut",2013
59,59,"Peter Hanson",NA,70.72,1768,25,"ScoringAverageBeforeCut",2013
59,59,"Pat Perez",NA,70.72,3041,43,"ScoringAverageBeforeCut",2013
59,59,"Patrick Reed",NA,70.72,3819,54,"ScoringAverageBeforeCut",2013
62,62,"George McNeill",NA,70.73,2829,40,"ScoringAverageBeforeCut",2013
63,63,"David Hearn",NA,70.75,3750,53,"ScoringAverageBeforeCut",2013
64,64,"Justin Leonard",NA,70.76,3467,49,"ScoringAverageBeforeCut",2013
64,64,"Cameron Tringale",NA,70.76,3538,50,"ScoringAverageBeforeCut",2013
66,66,"Henrik Norlander",NA,70.77,3114,44,"ScoringAverageBeforeCut",2013
67,67,"Ben Crane",NA,70.78,2831,40,"ScoringAverageBeforeCut",2013
67,67,"Dustin Johnson",NA,70.78,2902,41,"ScoringAverageBeforeCut",2013
67,67,"William McGirt",NA,70.78,3539,50,"ScoringAverageBeforeCut",2013
70,70,"Kevin Streelman",NA,70.79,3681,52,"ScoringAverageBeforeCut",2013
71,71,"James Driscoll",NA,70.8,3257,46,"ScoringAverageBeforeCut",2013
71,71,"John Huh",NA,70.8,3965,56,"ScoringAverageBeforeCut",2013
73,73,"Rickie Fowler",NA,70.83,2975,42,"ScoringAverageBeforeCut",2013
74,74,"Luke Donald",NA,70.84,2267,32,"ScoringAverageBeforeCut",2013
75,75,"Nicholas Thompson",NA,70.85,4251,60,"ScoringAverageBeforeCut",2013
76,76,"Steven Bowditch",NA,70.86,3118,44,"ScoringAverageBeforeCut",2013
77,77,"Steve LeBrun",NA,70.88,2977,42,"ScoringAverageBeforeCut",2013
77,77,"DH Lee",NA,70.88,3048,43,"ScoringAverageBeforeCut",2013
79,79,"Brian Davis",NA,70.89,4041,57,"ScoringAverageBeforeCut",2013
80,80,"Sangmoon Bae",NA,70.9,3687,52,"ScoringAverageBeforeCut",2013
81,81,"JJ Henry",NA,70.92,3617,51,"ScoringAverageBeforeCut",2013
82,82,"Vaughn Taylor",NA,70.93,2128,30,"ScoringAverageBeforeCut",2013
83,83,"Fabian Gomez",NA,70.94,3334,47,"ScoringAverageBeforeCut",2013
84,84,"Jeff Maggert",NA,70.95,2980,42,"ScoringAverageBeforeCut",2013
85,85,"Chad Campbell",NA,70.96,3477,49,"ScoringAverageBeforeCut",2013
86,86,"Stewart Cink",NA,70.98,3194,45,"ScoringAverageBeforeCut",2013
86,86,"Justin Hicks",NA,70.98,3407,48,"ScoringAverageBeforeCut",2013
88,88,"Martin Kaymer",NA,71,2272,32,"ScoringAverageBeforeCut",2013
88,88,"Doug LaBelle II",NA,71,3195,45,"ScoringAverageBeforeCut",2013
88,88,"John Senden",NA,71,3479,49,"ScoringAverageBeforeCut",2013
91,91,"Erik Compton",NA,71.02,3480,49,"ScoringAverageBeforeCut",2013
91,91,"Matt Every",NA,71.02,4119,58,"ScoringAverageBeforeCut",2013
93,93,"DJ Trahan",NA,71.03,2273,32,"ScoringAverageBeforeCut",2013
94,94,"Greg Chalmers",NA,71.04,3410,48,"ScoringAverageBeforeCut",2013
95,95,"Shawn Stefani",NA,71.07,2985,42,"ScoringAverageBeforeCut",2013
96,96,"Carl Pettersson",NA,71.09,3270,46,"ScoringAverageBeforeCut",2013
97,97,"Jason Bohn",NA,71.1,3413,48,"ScoringAverageBeforeCut",2013
98,98,"Russell Henley",NA,71.11,3342,47,"ScoringAverageBeforeCut",2013
98,98,"Marc Leishman",NA,71.11,3271,46,"ScoringAverageBeforeCut",2013
100,100,"Ted Potter Jr",NA,71.12,3058,43,"ScoringAverageBeforeCut",2013
100,100,"Brian Stuard",NA,71.12,3556,50,"ScoringAverageBeforeCut",2013
102,102,"James Hahn",NA,71.13,3699,52,"ScoringAverageBeforeCut",2013
102,102,"Ian Poulter",NA,71.13,2134,30,"ScoringAverageBeforeCut",2013
104,104,"Angel Cabrera",NA,71.15,2917,41,"ScoringAverageBeforeCut",2013
104,104,"Tag Ridings",NA,71.15,3415,48,"ScoringAverageBeforeCut",2013
106,106,"Dicky Pride",NA,71.17,3274,46,"ScoringAverageBeforeCut",2013
107,107,"Stephen Ames",NA,71.19,2634,37,"ScoringAverageBeforeCut",2013
107,107,"Robert Garrigus",NA,71.19,3061,43,"ScoringAverageBeforeCut",2013
109,109,"Kevin Chappell",NA,71.2,3560,50,"ScoringAverageBeforeCut",2013
110,110,"Ken Duke",NA,71.22,4131,58,"ScoringAverageBeforeCut",2013
111,111,"Luke Guthrie",NA,71.23,3989,56,"ScoringAverageBeforeCut",2013
111,111,"Graeme McDowell",NA,71.23,2137,30,"ScoringAverageBeforeCut",2013
111,111,"Lee Williams",NA,71.23,3134,44,"ScoringAverageBeforeCut",2013
114,114,"Ryan Moore",NA,71.26,2993,42,"ScoringAverageBeforeCut",2013
115,115,"Andres Romero",NA,71.27,2922,41,"ScoringAverageBeforeCut",2013
115,115,"Brendan Steele",NA,71.27,3635,51,"ScoringAverageBeforeCut",2013
115,115,"Nick Watney",NA,71.27,3635,51,"ScoringAverageBeforeCut",2013
118,118,"Scott Langley",NA,71.28,3849,54,"ScoringAverageBeforeCut",2013
119,119,"Ben Kohles",NA,71.3,3565,50,"ScoringAverageBeforeCut",2013
120,120,"Robert Streb",NA,71.32,3566,50,"ScoringAverageBeforeCut",2013
121,121,"Tim Clark",NA,71.33,2853,40,"ScoringAverageBeforeCut",2013
122,122,"Trevor Immelman",NA,71.34,3353,47,"ScoringAverageBeforeCut",2013
122,122,"Rory McIlroy",NA,71.34,2069,29,"ScoringAverageBeforeCut",2013
124,124,"David Lynn",NA,71.35,3068,43,"ScoringAverageBeforeCut",2013
125,125,"Brian Harman",NA,71.36,4139,58,"ScoringAverageBeforeCut",2013
126,126,"Jim Herman",NA,71.38,2641,37,"ScoringAverageBeforeCut",2013
126,126,"Vijay Singh",NA,71.38,2784,39,"ScoringAverageBeforeCut",2013
128,128,"Troy Matteson",NA,71.4,3356,47,"ScoringAverageBeforeCut",2013
129,129,"Mark Wilson",NA,71.41,2642,37,"ScoringAverageBeforeCut",2013
130,130,"Jonas Blixt",NA,71.42,3428,48,"ScoringAverageBeforeCut",2013
130,130,"Ernie Els",NA,71.42,2571,36,"ScoringAverageBeforeCut",2013
130,130,"Robert Karlsson",NA,71.42,2571,36,"ScoringAverageBeforeCut",2013
133,133,"Casey Wittenberg",NA,71.43,3857,54,"ScoringAverageBeforeCut",2013
134,134,"Ricky Barnes",NA,71.46,3716,52,"ScoringAverageBeforeCut",2013
135,135,"Andrew Svoboda",NA,71.47,2430,34,"ScoringAverageBeforeCut",2013
136,136,"DA Points",NA,71.5,4147,58,"ScoringAverageBeforeCut",2013
137,137,"Seung Yul Noh",NA,71.53,3505,49,"ScoringAverageBeforeCut",2013
137,137,"Scott Stallings",NA,71.53,3934,55,"ScoringAverageBeforeCut",2013
139,139,"Alistair Presnell",NA,71.55,3148,44,"ScoringAverageBeforeCut",2013
139,139,"David Toms",NA,71.55,2075,29,"ScoringAverageBeforeCut",2013
141,141,"Scott Brown",NA,71.56,3077,43,"ScoringAverageBeforeCut",2013
141,141,"Brandt Jobe",NA,71.56,2576,36,"ScoringAverageBeforeCut",2013
143,143,"Tom Gillis",NA,71.57,3149,44,"ScoringAverageBeforeCut",2013
144,144,"Greg Owen",NA,71.58,3436,48,"ScoringAverageBeforeCut",2013
145,145,"Tim Herron",NA,71.6,2148,30,"ScoringAverageBeforeCut",2013
146,146,"Ryo Ishikawa",NA,71.64,3224,45,"ScoringAverageBeforeCut",2013
146,146,"David Lingmerth",NA,71.64,3367,47,"ScoringAverageBeforeCut",2013
148,148,"Rod Pampling",NA,71.65,2221,31,"ScoringAverageBeforeCut",2013
148,148,"Jin Park",NA,71.65,2866,40,"ScoringAverageBeforeCut",2013
150,150,"Aaron Watkins",NA,71.66,2723,38,"ScoringAverageBeforeCut",2013
151,151,"Martin Laird",NA,71.67,3082,43,"ScoringAverageBeforeCut",2013
152,152,"Bo Van Pelt",NA,71.69,3011,42,"ScoringAverageBeforeCut",2013
153,153,"Mike Weir",NA,71.73,3156,44,"ScoringAverageBeforeCut",2013
154,154,"Will Claxton",NA,71.74,3372,47,"ScoringAverageBeforeCut",2013
155,155,"Colt Knost",NA,71.75,3444,48,"ScoringAverageBeforeCut",2013
156,156,"Ben Curtis",NA,71.82,2729,38,"ScoringAverageBeforeCut",2013
157,157,"Darron Stiles",NA,71.85,2874,40,"ScoringAverageBeforeCut",2013
158,158,"Nicolas Colsaerts",NA,71.91,2301,32,"ScoringAverageBeforeCut",2013
158,158,"Scott Gardiner",NA,71.91,3308,46,"ScoringAverageBeforeCut",2013
160,160,"YE Yang",NA,71.92,2733,38,"ScoringAverageBeforeCut",2013
161,161,"Tommy Gainey",NA,71.95,4173,58,"ScoringAverageBeforeCut",2013
162,162,"Aaron Baddeley",NA,71.96,3454,48,"ScoringAverageBeforeCut",2013
162,162,"Bud Cauley",NA,71.96,3310,46,"ScoringAverageBeforeCut",2013
162,162,"David Mathis",NA,71.96,3382,47,"ScoringAverageBeforeCut",2013
165,165,"Sean OHair",NA,72.05,3098,43,"ScoringAverageBeforeCut",2013
166,166,"Michael Bradley",NA,72.07,3027,42,"ScoringAverageBeforeCut",2013
167,167,"Kyle Stanley",NA,72.08,3532,49,"ScoringAverageBeforeCut",2013
168,168,"Scott Piercy",NA,72.09,3316,46,"ScoringAverageBeforeCut",2013
169,169,"Padraig Harrington",NA,72.1,2235,31,"ScoringAverageBeforeCut",2013
170,170,"Charlie Beljan",NA,72.12,3534,49,"ScoringAverageBeforeCut",2013
171,171,"Lucas Glover",NA,72.2,3321,46,"ScoringAverageBeforeCut",2013
172,172,"Eric Meierdierks",NA,72.21,2744,38,"ScoringAverageBeforeCut",2013
173,173,"Justin Bolli",NA,72.22,3322,46,"ScoringAverageBeforeCut",2013
174,174,"Michael Thompson",NA,72.27,3180,44,"ScoringAverageBeforeCut",2013
175,175,"Robert Allenby",NA,72.33,3327,46,"ScoringAverageBeforeCut",2013
176,176,"Johnson Wagner",NA,72.36,3401,47,"ScoringAverageBeforeCut",2013
177,177,"Bobby Gates",NA,72.38,2823,39,"ScoringAverageBeforeCut",2013
178,178,"Geoff Ogilvy",NA,72.43,2897,40,"ScoringAverageBeforeCut",2013
179,179,"Derek Ernst",NA,72.52,3191,44,"ScoringAverageBeforeCut",2013
179,179,"Luke List",NA,72.52,3336,46,"ScoringAverageBeforeCut",2013
