"NonmemberEarnings_RANKTHISWEEK_2006","NonmemberEarnings_RANKLASTWEEK_2006","NonmemberEarnings_PLAYERNAME_2006","NonmemberEarnings_EVENTS_2006","NonmemberEarnings_MONEY_2006","NonmemberEarnings_TOTAL_2006","stat_name","year"
68,68,"Will Moore",2,12168,12168,"NonmemberEarnings",2006
69,69,"Chris Parra",1,12152,12152,"NonmemberEarnings",2006
70,70,"Kane Webber",1,12045,12045,"NonmemberEarnings",2006
71,71,"Patrick Damron",1,11660,11660,"NonmemberEarnings",2006
71,71,"Scott Parel",1,11660,11660,"NonmemberEarnings",2006
73,73,"Spencer Levin",1,11520,11520,"NonmemberEarnings",2006
74,74,"Madalitso Muthiya",3,11100,11100,"NonmemberEarnings",2006
75,75,"Casey Wittenberg",1,10868,10868,"NonmemberEarnings",2006
76,76,"Brent Delahoussaye",1,10550,10550,"NonmemberEarnings",2006
77,77,"Joel Kribel",2,10476,10476,"NonmemberEarnings",2006
78,78,"Sonny Skinner",1,9646,9646,"NonmemberEarnings",2006
79,79,"Scott Miller",3,9588,9588,"NonmemberEarnings",2006
80,80,"Kaname Yokoo",2,9180,9180,"NonmemberEarnings",2006
81,81,"Chris Starkjohann",1,8976,8976,"NonmemberEarnings",2006
82,82,"Matt Every",3,8505,8505,"NonmemberEarnings",2006
83,83,"Andres Gonzales",1,8400,8400,"NonmemberEarnings",2006
84,84,"Scott Harrington",1,7480,7480,"NonmemberEarnings",2006
85,85,"David Roesch",1,7400,7400,"NonmemberEarnings",2006
86,86,"Ricky Barnes",2,6947,6947,"NonmemberEarnings",2006
87,87,"Eli Zackheim",1,6810,6810,"NonmemberEarnings",2006
88,88,"Jin Park",1,6450,6450,"NonmemberEarnings",2006
89,89,"Phil Schmitt",2,5460,5460,"NonmemberEarnings",2006
