"RyderCupWorldPoints_RANKTHISWEEK_2016","RyderCupWorldPoints_RANKLASTWEEK_2016","RyderCupWorldPoints_PLAYERNAME_2016","RyderCupWorldPoints__2016","RyderCupWorldPoints_POINTS_2016","stat_name","year"
26,26,"Andrew Johnston",NA,49.3,"RyderCupWorldPoints",2016
27,27,"Freddie Jacobson",NA,46.3,"RyderCupWorldPoints",2016
28,28,"David Lingmerth",NA,42.74,"RyderCupWorldPoints",2016
29,29,"Russell Knox",NA,42.5,"RyderCupWorldPoints",2016
30,30,"Ian Poulter",NA,40.87,"RyderCupWorldPoints",2016
31,31,"Benjamin Hebert",NA,39.84,"RyderCupWorldPoints",2016
32,32,"Rikard Karlberg",NA,38.83,"RyderCupWorldPoints",2016
33,33,"Alexander Levy",NA,35.85,"RyderCupWorldPoints",2016
34,34,"Gregory Bourdy",NA,35.44,"RyderCupWorldPoints",2016
35,35,"Rich Bland",NA,33.3,"RyderCupWorldPoints",2016
36,36,"Alejandro Canizares",NA,33.01,"RyderCupWorldPoints",2016
37,37,"Julien Quesne",NA,32.71,"RyderCupWorldPoints",2016
38,38,"Graeme Storm",NA,32.57,"RyderCupWorldPoints",2016
39,39,"Ricardo Gouveia",NA,31.39,"RyderCupWorldPoints",2016
40,40,"Francesco Molinari",NA,31.02,"RyderCupWorldPoints",2016
41,41,"Tommy Fleetwood",NA,28.86,"RyderCupWorldPoints",2016
42,42,"Anthony Wall",NA,28.45,"RyderCupWorldPoints",2016
43,43,"Jorge Campillo",NA,27.65,"RyderCupWorldPoints",2016
44,44,"Bradley Dredge",NA,25.27,"RyderCupWorldPoints",2016
45,45,"James Morrison",NA,24.28,"RyderCupWorldPoints",2016
46,46,"Sebastien Gros",NA,23.8,"RyderCupWorldPoints",2016
47,47,"Tyrrell Hatton",NA,23.56,"RyderCupWorldPoints",2016
48,48,"Joakim Lagergren",NA,23.2,"RyderCupWorldPoints",2016
49,49,"Pelle Edberg",NA,21.86,"RyderCupWorldPoints",2016
50,50,"David Drysdale",NA,21.73,"RyderCupWorldPoints",2016
51,51,"Borja Virto Astudillo",NA,21.47,"RyderCupWorldPoints",2016
52,52,"Maximilian Kieffer",NA,21.22,"RyderCupWorldPoints",2016
53,53,"Padraig Harrington",NA,21.19,"RyderCupWorldPoints",2016
54,54,"David Horsey",NA,20.81,"RyderCupWorldPoints",2016
55,55,"Eduardo De La Riva",NA,20.76,"RyderCupWorldPoints",2016
56,56,"Peter Hanson",NA,20.45,"RyderCupWorldPoints",2016
57,57,"Jeff Winther",NA,20.29,"RyderCupWorldPoints",2016
58,58,"Mikko Ilonen",NA,20.05,"RyderCupWorldPoints",2016
59,59,"Ben Evans",NA,19.08,"RyderCupWorldPoints",2016
60,60,"Romain Wattel",NA,19.08,"RyderCupWorldPoints",2016
61,61,"Greg Owen",NA,19,"RyderCupWorldPoints",2016
62,62,"David Howell",NA,18.54,"RyderCupWorldPoints",2016
63,63,"Clement Sordet",NA,18.37,"RyderCupWorldPoints",2016
64,64,"Sebastian Soderberg",NA,18.16,"RyderCupWorldPoints",2016
65,65,"Christofer Blomstrand",NA,18,"RyderCupWorldPoints",2016
66,66,"Robert Rock",NA,17.95,"RyderCupWorldPoints",2016
67,67,"Pablo Larrazabal",NA,16.81,"RyderCupWorldPoints",2016
68,68,"Bjorn Akesson",NA,16.76,"RyderCupWorldPoints",2016
69,69,"Thomas Linard",NA,16.6,"RyderCupWorldPoints",2016
70,70,"Johan Carlsson",NA,16.52,"RyderCupWorldPoints",2016
71,71,"Tom Murray",NA,16.19,"RyderCupWorldPoints",2016
72,72,"Jordan L Smith",NA,16,"RyderCupWorldPoints",2016
73,73,"Alvaro Quiros",NA,15.94,"RyderCupWorldPoints",2016
74,74,"Joachim B Hansen",NA,15.86,"RyderCupWorldPoints",2016
75,75,"Nicolas Colsaerts",NA,15.54,"RyderCupWorldPoints",2016
76,76,"Darius Van Driel",NA,15.48,"RyderCupWorldPoints",2016
77,77,"Michael Lorenzo Vera",NA,15.45,"RyderCupWorldPoints",2016
78,78,"Gary Boyd",NA,15.31,"RyderCupWorldPoints",2016
79,79,"Paul Dunne",NA,15.23,"RyderCupWorldPoints",2016
80,80,"Thomas Bjorn",NA,15.16,"RyderCupWorldPoints",2016
81,81,"Mikko Korhonen",NA,15.09,"RyderCupWorldPoints",2016
82,82,"Daniel Brooks",NA,14.6,"RyderCupWorldPoints",2016
83,83,"Matteo Delpodio",NA,14.55,"RyderCupWorldPoints",2016
84,84,"Stephen Gallacher",NA,13.68,"RyderCupWorldPoints",2016
85,85,"Craig Lee",NA,13.68,"RyderCupWorldPoints",2016
86,86,"Magnus Carlsson",NA,13.65,"RyderCupWorldPoints",2016
87,87,"Alexander Noren",NA,13.53,"RyderCupWorldPoints",2016
88,88,"Callum Shinkwin",NA,13.51,"RyderCupWorldPoints",2016
89,89,"Romain Langasque",NA,12.93,"RyderCupWorldPoints",2016
90,90,"Nino Bertasio",NA,12.83,"RyderCupWorldPoints",2016
91,91,"Marcel Siem",NA,12.23,"RyderCupWorldPoints",2016
92,92,"Ross McGowan",NA,11.64,"RyderCupWorldPoints",2016
93,93,"Richie Ramsay",NA,11.61,"RyderCupWorldPoints",2016
94,94,"Oliver Fisher",NA,11.41,"RyderCupWorldPoints",2016
95,95,"Eddie Pepperell",NA,11.4,"RyderCupWorldPoints",2016
96,96,"Gregory Havret",NA,11.16,"RyderCupWorldPoints",2016
97,97,"Garrick Porteous",NA,11.1,"RyderCupWorldPoints",2016
98,98,"Miguel Angel Jimenez",NA,11.09,"RyderCupWorldPoints",2016
99,99,"Jens Fahrbring",NA,10.87,"RyderCupWorldPoints",2016
100,100,"Nacho Elvira",NA,10.34,"RyderCupWorldPoints",2016
101,101,"Matt Wallace",NA,10.13,"RyderCupWorldPoints",2016
102,102,"Matt Ford",NA,9.9,"RyderCupWorldPoints",2016
103,103,"Josh Loughrey",NA,9.8,"RyderCupWorldPoints",2016
104,104,"Marc Warren",NA,9.75,"RyderCupWorldPoints",2016
105,105,"Gary Stal",NA,9.44,"RyderCupWorldPoints",2016
106,106,"Antoine Schwartz",NA,9.4,"RyderCupWorldPoints",2016
107,107,"Daan Huizing",NA,9,"RyderCupWorldPoints",2016
108,108,"James Robinson",NA,8.59,"RyderCupWorldPoints",2016
109,109,"Max Orrin",NA,7.84,"RyderCupWorldPoints",2016
110,110,"Pablo Martin Benavides",NA,7.82,"RyderCupWorldPoints",2016
111,111,"Mads Sogaard",NA,7.8,"RyderCupWorldPoints",2016
112,112,"Bernard Ritthammer",NA,7.7,"RyderCupWorldPoints",2016
113,113,"Manuel Trappel",NA,7.6,"RyderCupWorldPoints",2016
114,114,"Sam Walker",NA,7.42,"RyderCupWorldPoints",2016
115,115,"Robert Dinwiddie",NA,7.38,"RyderCupWorldPoints",2016
116,116,"Javier Colomo",NA,7.33,"RyderCupWorldPoints",2016
117,117,"Christopher Mivis",NA,7.2,"RyderCupWorldPoints",2016
118,118,"Michael Hoey",NA,6.96,"RyderCupWorldPoints",2016
119,119,"Rhys Davies",NA,6.83,"RyderCupWorldPoints",2016
120,120,"Bernhard Langer",NA,6.73,"RyderCupWorldPoints",2016
121,121,"Joel Girrbach",NA,6.6,"RyderCupWorldPoints",2016
122,122,"Edouard Espana",NA,6.51,"RyderCupWorldPoints",2016
123,123,"Paul Lawrie",NA,6.51,"RyderCupWorldPoints",2016
124,124,"Alexander Knappe",NA,6.31,"RyderCupWorldPoints",2016
125,125,"Scott Jamieson",NA,6.28,"RyderCupWorldPoints",2016
126,126,"Espen Kofstad",NA,6.28,"RyderCupWorldPoints",2016
127,127,"Roope Kakko",NA,6.17,"RyderCupWorldPoints",2016
128,128,"Matthew Nixon",NA,6.07,"RyderCupWorldPoints",2016
129,129,"Tapio Pulkkanen",NA,5.6,"RyderCupWorldPoints",2016
130,130,"Carlos Pigem",NA,5.52,"RyderCupWorldPoints",2016
131,131,"Oskar Henningsson",NA,5.52,"RyderCupWorldPoints",2016
132,132,"James Heath",NA,5.52,"RyderCupWorldPoints",2016
133,133,"Edouard Dubois",NA,5.44,"RyderCupWorldPoints",2016
134,134,"Renato Paratore",NA,5.31,"RyderCupWorldPoints",2016
135,135,"Morten Orum Madsen",NA,5.28,"RyderCupWorldPoints",2016
136,136,"Raphael Jacquelin",NA,5.28,"RyderCupWorldPoints",2016
137,137,"Florian Fritsch",NA,5.19,"RyderCupWorldPoints",2016
138,138,"Seve Benson",NA,5.17,"RyderCupWorldPoints",2016
139,139,"Sebastian Heisele",NA,4.8,"RyderCupWorldPoints",2016
140,140,"Stuart Manley",NA,4.56,"RyderCupWorldPoints",2016
141,141,"Clement Berardo",NA,4.43,"RyderCupWorldPoints",2016
142,142,"Johan Edfors",NA,4.32,"RyderCupWorldPoints",2016
143,143,"John Parry",NA,4.2,"RyderCupWorldPoints",2016
144,144,"Ryan Evans",NA,4.15,"RyderCupWorldPoints",2016
145,145,"Eirik Tage Johansen",NA,4.13,"RyderCupWorldPoints",2016
146,146,"Lasse Jensen",NA,4.1,"RyderCupWorldPoints",2016
147,147,"Scott Henry",NA,4.03,"RyderCupWorldPoints",2016
148,148,"Benjamin Rusch",NA,4,"RyderCupWorldPoints",2016
149,149,"Daniel Jennevret",NA,4,"RyderCupWorldPoints",2016
150,150,"Martin Keskari",NA,4,"RyderCupWorldPoints",2016
151,151,"Moritz Lampert",NA,4,"RyderCupWorldPoints",2016
152,152,"David Law",NA,3.96,"RyderCupWorldPoints",2016
153,153,"Simon Griffiths",NA,3.87,"RyderCupWorldPoints",2016
154,154,"Tom Shadbolt",NA,3.8,"RyderCupWorldPoints",2016
155,155,"Jens Dantorp",NA,3.79,"RyderCupWorldPoints",2016
156,156,"Ricardo Santos",NA,3.76,"RyderCupWorldPoints",2016
157,157,"George Murray",NA,3.71,"RyderCupWorldPoints",2016
158,158,"Daniel Lokke",NA,3.6,"RyderCupWorldPoints",2016
159,159,"Philipp Mejow",NA,3.6,"RyderCupWorldPoints",2016
160,160,"Eric Blom",NA,3.6,"RyderCupWorldPoints",2016
161,161,"Richard McEvoy",NA,3.58,"RyderCupWorldPoints",2016
162,162,"Robert Karlsson",NA,3.56,"RyderCupWorldPoints",2016
163,163,"Mikael Lundberg",NA,3.51,"RyderCupWorldPoints",2016
164,164,"Toby Tree",NA,3.51,"RyderCupWorldPoints",2016
165,165,"Lorenzo Gagli",NA,3.45,"RyderCupWorldPoints",2016
166,166,"Hugues Joannes",NA,3.45,"RyderCupWorldPoints",2016
167,167,"Robert Coles",NA,3.24,"RyderCupWorldPoints",2016
168,168,"Damien Perrier",NA,3.2,"RyderCupWorldPoints",2016
169,169,"Tom Lewis",NA,3.16,"RyderCupWorldPoints",2016
170,170,"Steven Tiley",NA,3.15,"RyderCupWorldPoints",2016
171,171,"Jamie McLeary",NA,3.11,"RyderCupWorldPoints",2016
172,172,"Dominic Foos",NA,3.04,"RyderCupWorldPoints",2016
173,173,"Joel Sjoholm",NA,3.02,"RyderCupWorldPoints",2016
174,174,"Matthew Southgate",NA,2.87,"RyderCupWorldPoints",2016
175,175,"Chris Hanson",NA,2.73,"RyderCupWorldPoints",2016
176,176,"Darren Clarke",NA,2.66,"RyderCupWorldPoints",2016
177,177,"Gareth Shaw",NA,2.59,"RyderCupWorldPoints",2016
178,178,"Toni Ferrer",NA,2.4,"RyderCupWorldPoints",2016
179,179,"Anton Karlsson",NA,2.4,"RyderCupWorldPoints",2016
180,180,"Matthew Baldwin",NA,2.38,"RyderCupWorldPoints",2016
181,181,"Julien Guerrier",NA,2.24,"RyderCupWorldPoints",2016
182,182,"Ben Stow",NA,2.23,"RyderCupWorldPoints",2016
183,183,"Nick Dougherty",NA,2.11,"RyderCupWorldPoints",2016
184,184,"Peter Lawrie",NA,2.1,"RyderCupWorldPoints",2016
185,185,"Jason Barnes",NA,2.1,"RyderCupWorldPoints",2016
186,186,"Filippo Bergamaschi",NA,2.07,"RyderCupWorldPoints",2016
187,187,"Daniel Wuensche",NA,2,"RyderCupWorldPoints",2016
188,188,"Ruaidhri McGee",NA,1.87,"RyderCupWorldPoints",2016
189,189,"Emilio Cuartero Blanco",NA,1.82,"RyderCupWorldPoints",2016
190,190,"Chris Doak",NA,1.8,"RyderCupWorldPoints",2016
191,191,"Steve Webster",NA,1.75,"RyderCupWorldPoints",2016
192,192,"Kevin Phelan",NA,1.75,"RyderCupWorldPoints",2016
193,193,"Darren Wright",NA,1.73,"RyderCupWorldPoints",2016
194,194,"Chris Paisley",NA,1.62,"RyderCupWorldPoints",2016
195,195,"Michael Jonzon",NA,1.62,"RyderCupWorldPoints",2016
196,196,"Raphael Marguery",NA,1.6,"RyderCupWorldPoints",2016
197,197,"Chris Selfridge",NA,1.56,"RyderCupWorldPoints",2016
198,198,"Peter Whiteford",NA,1.56,"RyderCupWorldPoints",2016
199,199,"Jack Doherty",NA,1.56,"RyderCupWorldPoints",2016
200,200,"Soren Hansen",NA,1.54,"RyderCupWorldPoints",2016
