"AveragePuttingDistanceGIR3PlusPutts_RANKTHISWEEK_2014","AveragePuttingDistanceGIR3PlusPutts_RANKLASTWEEK_2014","AveragePuttingDistanceGIR3PlusPutts_PLAYERNAME_2014","AveragePuttingDistanceGIR3PlusPutts_ROUNDS_2014","AveragePuttingDistanceGIR3PlusPutts_AVG_2014","AveragePuttingDistanceGIR3PlusPutts_DISTANCEFEET_2014","AveragePuttingDistanceGIR3PlusPutts_TOTALPUTTS_2014","stat_name","year"
40,40,"Vijay Singh",83,NA,34.333,1,"AveragePuttingDistanceGIR3PlusPutts",2014
41,41,"Brian Davis",93,NA,33.917,1,"AveragePuttingDistanceGIR3PlusPutts",2014
42,42,"Jonas Blixt",64,NA,33.417,1,"AveragePuttingDistanceGIR3PlusPutts",2014
43,43,"Steven Bowditch",93,NA,33,1,"AveragePuttingDistanceGIR3PlusPutts",2014
44,44,"Kevin Na",94,NA,32.917,1,"AveragePuttingDistanceGIR3PlusPutts",2014
45,45,"Josh Teater",90,NA,31.917,1,"AveragePuttingDistanceGIR3PlusPutts",2014
46,46,"Charlie Beljan",76,NA,62.833,2,"AveragePuttingDistanceGIR3PlusPutts",2014
47,47,"Patrick Reed",92,NA,31,1,"AveragePuttingDistanceGIR3PlusPutts",2014
48,48,"Cameron Tringale",111,NA,30.417,1,"AveragePuttingDistanceGIR3PlusPutts",2014
49,49,"Matt Kuchar",91,NA,29.667,1,"AveragePuttingDistanceGIR3PlusPutts",2014
50,50,"John Merrick",87,NA,29.417,1,"AveragePuttingDistanceGIR3PlusPutts",2014
51,51,"Boo Weekley",73,NA,57.75,2,"AveragePuttingDistanceGIR3PlusPutts",2014
52,52,"Rickie Fowler",91,NA,28.833,1,"AveragePuttingDistanceGIR3PlusPutts",2014
53,53,"Brendon de Jonge",109,NA,28.75,1,"AveragePuttingDistanceGIR3PlusPutts",2014
54,54,"Shawn Stefani",60,NA,28,1,"AveragePuttingDistanceGIR3PlusPutts",2014
55,55,"Graham DeLaet",80,NA,27.583,1,"AveragePuttingDistanceGIR3PlusPutts",2014
56,56,"Lucas Glover",68,NA,104.583,4,"AveragePuttingDistanceGIR3PlusPutts",2014
57,57,"Jeff Overton",80,NA,24,1,"AveragePuttingDistanceGIR3PlusPutts",2014
58,58,"David Toms",64,NA,22.167,1,"AveragePuttingDistanceGIR3PlusPutts",2014
59,59,"Russell Knox",92,NA,42.75,2,"AveragePuttingDistanceGIR3PlusPutts",2014
59,59,"Nicholas Thompson",85,NA,21.417,1,"AveragePuttingDistanceGIR3PlusPutts",2014
61,61,"George McNeill",79,NA,21,1,"AveragePuttingDistanceGIR3PlusPutts",2014
62,62,"James Hahn",82,NA,20.167,1,"AveragePuttingDistanceGIR3PlusPutts",2014
63,63,"Rory McIlroy",66,NA,19.167,1,"AveragePuttingDistanceGIR3PlusPutts",2014
64,64,"Dustin Johnson",58,NA,17.667,1,"AveragePuttingDistanceGIR3PlusPutts",2014
65,65,"David Hearn",97,NA,17.167,1,"AveragePuttingDistanceGIR3PlusPutts",2014
66,66,"Jimmy Walker",98,NA,14.917,1,"AveragePuttingDistanceGIR3PlusPutts",2014
67,67,"DH Lee",54,NA,10.667,1,"AveragePuttingDistanceGIR3PlusPutts",2014
68,68,"Gonzalo Fdez Castano",83,NA,10,1,"AveragePuttingDistanceGIR3PlusPutts",2014
69,69,"Lee Westwood",57,NA,8.083,1,"AveragePuttingDistanceGIR3PlusPutts",2014
70,70,"William McGirt",96,NA,4.833,1,"AveragePuttingDistanceGIR3PlusPutts",2014
