"TenthTeeEarlyPar3ScoringAverage_RANKTHISWEEK_2007","TenthTeeEarlyPar3ScoringAverage_RANKLASTWEEK_2007","TenthTeeEarlyPar3ScoringAverage_PLAYERNAME_2007","TenthTeeEarlyPar3ScoringAverage_ROUNDS_2007","TenthTeeEarlyPar3ScoringAverage_AVG_2007","TenthTeeEarlyPar3ScoringAverage_TOTALSTROKES_2007","TenthTeeEarlyPar3ScoringAverage_TOTALHOLES_2007","stat_name","year"
96,96,"Jay Williamson",50,3.07,129,42,"TenthTeeEarlyPar3ScoringAverage",2007
112,112,"Chris Couch",76,3.08,123,40,"TenthTeeEarlyPar3ScoringAverage",2007
112,112,"Glen Day",85,3.08,160,52,"TenthTeeEarlyPar3ScoringAverage",2007
112,112,"Mark Hensby",81,3.08,163,53,"TenthTeeEarlyPar3ScoringAverage",2007
112,112,"Kent Jones",97,3.08,200,65,"TenthTeeEarlyPar3ScoringAverage",2007
112,112,"Steve Lowery",74,3.08,120,39,"TenthTeeEarlyPar3ScoringAverage",2007
112,112,"Will Ma Kenzie",100,3.08,222,72,"TenthTeeEarlyPar3ScoringAverage",2007
112,112,"Jeff Maggert",79,3.08,219,71,"TenthTeeEarlyPar3ScoringAverage",2007
112,112,"Rory Sabbatini",81,3.08,160,52,"TenthTeeEarlyPar3ScoringAverage",2007
120,120,"Billy Andrade",88,3.09,281,91,"TenthTeeEarlyPar3ScoringAverage",2007
120,120,"Eric Axley",107,3.09,244,79,"TenthTeeEarlyPar3ScoringAverage",2007
120,120,"Jason Bohn",57,3.09,164,53,"TenthTeeEarlyPar3ScoringAverage",2007
120,120,"JP Hayes",89,3.09,210,68,"TenthTeeEarlyPar3ScoringAverage",2007
120,120,"Anthony Kim",93,3.09,253,82,"TenthTeeEarlyPar3ScoringAverage",2007
120,120,"Jeff Sluman",60,3.09,136,44,"TenthTeeEarlyPar3ScoringAverage",2007
120,120,"Kevin Stadler",95,3.09,272,88,"TenthTeeEarlyPar3ScoringAverage",2007
127,127,"Harrison Frazar",88,3.1,214,69,"TenthTeeEarlyPar3ScoringAverage",2007
127,127,"Robert Garrigus",95,3.1,195,63,"TenthTeeEarlyPar3ScoringAverage",2007
127,127,"Lucas Glover",98,3.1,223,72,"TenthTeeEarlyPar3ScoringAverage",2007
127,127,"Jason Gore",86,3.1,186,60,"TenthTeeEarlyPar3ScoringAverage",2007
127,127,"Jeff Gove",103,3.1,226,73,"TenthTeeEarlyPar3ScoringAverage",2007
127,127,"Bob Heintz",85,3.1,223,72,"TenthTeeEarlyPar3ScoringAverage",2007
133,133,"Andrew Buckle",77,3.11,227,73,"TenthTeeEarlyPar3ScoringAverage",2007
