"SandSavePercentage_RANKTHISWEEK_2014","SandSavePercentage_RANKLASTWEEK_2014","SandSavePercentage_PLAYERNAME_2014","SandSavePercentage_ROUNDS_2014","SandSavePercentage_Pct_2014","SandSavePercentage_SAVES_2014","SandSavePercentage_BUNKERS_2014","SandSavePercentage_TOTALOUPAR_2014","stat_name","year"
32,32,"Charles Howell III",106,55.32,78,141,35,"SandSavePercentage",2014
33,33,"Russell Knox",92,55.2,69,125,37,"SandSavePercentage",2014
34,34,"Tim Wilkinson",86,55.07,76,138,56,"SandSavePercentage",2014
35,35,"David Hearn",97,54.88,90,164,51,"SandSavePercentage",2014
36,36,"Charl Schwartzel",64,54.78,63,115,30,"SandSavePercentage",2014
37,37,"Ted Potter Jr",68,54.7,64,117,29,"SandSavePercentage",2014
38,38,"Bryce Molder",77,54.62,65,119,44,"SandSavePercentage",2014
39,39,"Sangmoon Bae",76,54.61,77,141,31,"SandSavePercentage",2014
40,40,"Aaron Baddeley",74,54.41,74,136,51,"SandSavePercentage",2014
40,40,"Ben Crane",81,54.41,74,136,53,"SandSavePercentage",2014
42,42,"John Huh",87,54.33,69,127,48,"SandSavePercentage",2014
43,43,"Hunter Mahan",88,54.32,88,162,51,"SandSavePercentage",2014
44,44,"KJ Choi",80,54.3,82,151,54,"SandSavePercentage",2014
45,45,"Ryan Palmer",85,53.89,90,167,39,"SandSavePercentage",2014
46,46,"Tyrone Van Aswegen",79,53.78,64,119,37,"SandSavePercentage",2014
47,47,"Jason Dufner",57,53.76,50,93,28,"SandSavePercentage",2014
47,47,"Graeme McDowell",66,53.76,50,93,33,"SandSavePercentage",2014
49,49,"Adam Scott",68,53.66,66,123,31,"SandSavePercentage",2014
50,50,"Webb Simpson",87,53.62,74,138,42,"SandSavePercentage",2014
51,51,"Steven Bowditch",93,53.61,89,166,57,"SandSavePercentage",2014
52,52,"Graham DeLaet",80,53.45,62,116,34,"SandSavePercentage",2014
53,53,"Andres Romero",81,53.33,72,135,41,"SandSavePercentage",2014
54,54,"Zach Johnson",97,53.25,82,154,46,"SandSavePercentage",2014
55,55,"Troy Merritt",62,53.19,50,94,25,"SandSavePercentage",2014
56,56,"Hideki Matsuyama",82,53.06,78,147,37,"SandSavePercentage",2014
57,57,"Stuart Appleby",92,53.01,88,166,63,"SandSavePercentage",2014
58,58,"Martin Kaymer",65,52.63,60,114,23,"SandSavePercentage",2014
59,59,"Spencer Levin",59,52.53,52,99,32,"SandSavePercentage",2014
59,59,"Mark Wilson",69,52.53,52,99,36,"SandSavePercentage",2014
61,61,"Sean OHair",77,52.5,84,160,45,"SandSavePercentage",2014
62,62,"Billy Hurley III",86,52.34,67,128,43,"SandSavePercentage",2014
63,63,"Brooks Koepka",56,52.33,45,86,34,"SandSavePercentage",2014
64,64,"Martin Flores",85,52.31,68,130,41,"SandSavePercentage",2014
65,65,"Cameron Tringale",111,52.2,95,182,60,"SandSavePercentage",2014
66,66,"Josh Teater",90,52.17,72,138,52,"SandSavePercentage",2014
67,67,"Chris Stroud",88,52.14,73,140,40,"SandSavePercentage",2014
68,68,"DA Points",75,52.07,63,121,38,"SandSavePercentage",2014
69,69,"Dustin Johnson",58,51.96,53,102,19,"SandSavePercentage",2014
70,70,"Rickie Fowler",91,51.95,80,154,39,"SandSavePercentage",2014
71,71,"Brian Harman",111,51.81,86,166,47,"SandSavePercentage",2014
72,72,"Briny Baird",50,51.76,44,85,32,"SandSavePercentage",2014
73,73,"Luke Donald",57,51.4,55,107,48,"SandSavePercentage",2014
74,74,"Ken Duke",80,51.24,62,121,40,"SandSavePercentage",2014
75,75,"Stewart Cink",91,51.11,69,135,48,"SandSavePercentage",2014
75,75,"Luke Guthrie",85,51.11,69,135,51,"SandSavePercentage",2014
75,75,"Bronson La Cassie",51,51.11,46,90,31,"SandSavePercentage",2014
78,78,"Brian Stuard",91,51.05,73,143,52,"SandSavePercentage",2014
79,79,"Matt Every",85,51.01,76,149,62,"SandSavePercentage",2014
