"TotalDistanceEfficiency_RANKTHISWEEK_2009","TotalDistanceEfficiency_RANKLASTWEEK_2009","TotalDistanceEfficiency_PLAYERNAME_2009","TotalDistanceEfficiency_ROUNDS_2009","TotalDistanceEfficiency_AVG_2009","TotalDistanceEfficiency_AVERAGEDISTANCEYARDS_2009","TotalDistanceEfficiency_AVERAGECLUBHEADSPEED_2009","TotalDistanceEfficiency_TOTALATTEMPTS_2009","TotalDistanceEfficiency_HIGHESTDISTEFFICIENCY_2009","stat_name","year"
29,29,"Peter Tomasulo",61,2.627,297.914,113.412,43,3.05,"TotalDistanceEfficiency",2009
32,32,"Brian Davis",103,2.625,281.414,107.22,96,3.046,"TotalDistanceEfficiency",2009
33,33,"Glen Day",79,2.624,272.19,103.727,63,3.107,"TotalDistanceEfficiency",2009
34,34,"Steve Marino",98,2.622,295.233,112.603,88,3.043,"TotalDistanceEfficiency",2009
34,34,"Tom Pernice Jr",82,2.622,282.972,107.926,76,3.102,"TotalDistanceEfficiency",2009
34,34,"Brandt Snedeker",81,2.622,280.546,106.993,62,3.036,"TotalDistanceEfficiency",2009
34,34,"Kirk Triplett",60,2.622,281.216,107.263,53,3.008,"TotalDistanceEfficiency",2009
34,34,"Jay Williamson",69,2.622,284.224,108.42,56,3.145,"TotalDistanceEfficiency",2009
39,39,"Aron Price",89,2.621,282.01,107.582,71,3.035,"TotalDistanceEfficiency",2009
40,40,"Alex Cejka",82,2.619,279.341,106.651,70,3.123,"TotalDistanceEfficiency",2009
40,40,"Tim Clark",81,2.619,277.937,106.137,68,3.068,"TotalDistanceEfficiency",2009
40,40,"Kevin Sutherland",96,2.619,293.079,111.898,65,3.14,"TotalDistanceEfficiency",2009
43,43,"Colt Knost",71,2.618,280.074,106.98,54,3.105,"TotalDistanceEfficiency",2009
43,43,"Vaughn Taylor",88,2.618,282.956,108.064,68,3.077,"TotalDistanceEfficiency",2009
43,43,"Boo Weekley",79,2.618,300.149,114.633,75,3.351,"TotalDistanceEfficiency",2009
46,46,"Stewart Cink",79,2.616,301.036,115.076,66,3.483,"TotalDistanceEfficiency",2009
47,47,"Daniel Chopra",89,2.615,304.302,116.367,90,3.223,"TotalDistanceEfficiency",2009
47,47,"Matt Kuchar",82,2.615,283.967,108.595,67,3.221,"TotalDistanceEfficiency",2009
49,49,"Mathew Goggin",76,2.613,296.962,113.633,58,3.108,"TotalDistanceEfficiency",2009
50,50,"Matt Bettencourt",98,2.612,295.995,113.318,83,3.072,"TotalDistanceEfficiency",2009
50,50,"Steve Elkington",70,2.612,285.165,109.172,55,3.066,"TotalDistanceEfficiency",2009
50,50,"Justin Rose",71,2.612,293.151,112.223,56,3.161,"TotalDistanceEfficiency",2009
53,53,"Jason Bohn",88,2.611,285.498,109.334,83,3.035,"TotalDistanceEfficiency",2009
54,54,"Lucas Glover",93,2.61,304.367,116.635,72,3.166,"TotalDistanceEfficiency",2009
55,55,"Tommy Armour III",58,2.608,283.886,108.866,50,2.922,"TotalDistanceEfficiency",2009
55,55,"Robert Garrigus",83,2.608,313.818,120.349,60,3.085,"TotalDistanceEfficiency",2009
55,55,"Scott Verplank",88,2.608,280.225,107.431,86,3.163,"TotalDistanceEfficiency",2009
58,58,"Paul Goydos",79,2.607,276.676,106.108,69,2.922,"TotalDistanceEfficiency",2009
58,58,"Bill Lunde",83,2.607,290.944,111.62,76,3.119,"TotalDistanceEfficiency",2009
60,60,"Cameron Beckman",87,2.605,286.692,110.067,79,3.452,"TotalDistanceEfficiency",2009
60,60,"Mark Brooks",55,2.605,265.077,101.762,37,2.987,"TotalDistanceEfficiency",2009
60,60,"Fred Couples",54,2.605,301.003,115.543,43,3.164,"TotalDistanceEfficiency",2009
60,60,"JB Holmes",74,2.605,319.802,122.758,54,3.284,"TotalDistanceEfficiency",2009
60,60,"Steve Lowery",83,2.605,292.218,112.178,78,3.471,"TotalDistanceEfficiency",2009
60,60,"John Merrick",91,2.605,297.447,114.169,71,3.017,"TotalDistanceEfficiency",2009
66,66,"Bob Heintz",59,2.604,285.682,109.699,44,3.029,"TotalDistanceEfficiency",2009
66,66,"Jeff Quinney",78,2.604,275.549,105.822,69,3.185,"TotalDistanceEfficiency",2009
66,66,"Bo Van Pelt",100,2.604,296.919,114.046,75,2.979,"TotalDistanceEfficiency",2009
69,69,"Ben Crane",93,2.603,283.151,108.791,81,3.01,"TotalDistanceEfficiency",2009
70,70,"Peter Lonard",86,2.602,276.154,106.113,76,3.037,"TotalDistanceEfficiency",2009
71,71,"Billy Mayfair",83,2.601,281.477,108.201,67,3.132,"TotalDistanceEfficiency",2009
71,71,"Matt Weibring",65,2.601,284.865,109.522,49,2.936,"TotalDistanceEfficiency",2009
73,73,"Andres Romero",58,2.6,306.623,117.91,52,3.446,"TotalDistanceEfficiency",2009
74,74,"Rich Beem",77,2.599,286.986,110.439,54,2.982,"TotalDistanceEfficiency",2009
74,74,"Rory Sabbatini",81,2.599,295.403,113.64,69,2.929,"TotalDistanceEfficiency",2009
76,76,"Ben Curtis",63,2.598,282.105,108.598,44,3.188,"TotalDistanceEfficiency",2009
76,76,"John Rollins",92,2.598,294.239,113.251,79,2.956,"TotalDistanceEfficiency",2009
78,78,"Bryce Molder",69,2.597,283.989,109.365,53,3.181,"TotalDistanceEfficiency",2009
79,79,"Rocco Mediate",79,2.596,281.38,108.37,60,2.939,"TotalDistanceEfficiency",2009
80,80,"Todd Hamilton",83,2.593,289.521,111.643,63,3.041,"TotalDistanceEfficiency",2009
81,81,"Brian Bateman",55,2.591,288.468,111.321,50,2.97,"TotalDistanceEfficiency",2009
81,81,"Dustin Johnson",85,2.591,313.833,121.115,65,3.344,"TotalDistanceEfficiency",2009
81,81,"Marc Turnesa",77,2.591,282.242,108.926,78,3.559,"TotalDistanceEfficiency",2009
84,84,"DJ Trahan",96,2.59,296.884,114.624,77,3.493,"TotalDistanceEfficiency",2009
84,84,"Johnson Wagner",81,2.59,291.087,112.409,74,3.359,"TotalDistanceEfficiency",2009
86,86,"Davis Love III",89,2.589,303.071,117.081,69,3.384,"TotalDistanceEfficiency",2009
86,86,"Sean OHair",80,2.589,298.379,115.264,59,3.424,"TotalDistanceEfficiency",2009
88,88,"Nicholas Thompson",96,2.587,292.066,112.918,80,2.996,"TotalDistanceEfficiency",2009
89,89,"Freddie Jacobson",83,2.586,286.777,110.89,70,3.082,"TotalDistanceEfficiency",2009
89,89,"Martin Laird",72,2.586,303.485,117.345,54,3.079,"TotalDistanceEfficiency",2009
91,91,"Jerry Kelly",90,2.585,280.166,108.399,80,3.181,"TotalDistanceEfficiency",2009
91,91,"Tim Petrovic",97,2.585,285.214,110.318,88,2.905,"TotalDistanceEfficiency",2009
91,91,"Patrick Sheehan",51,2.585,278.204,107.62,36,2.931,"TotalDistanceEfficiency",2009
91,91,"Chris Stroud",88,2.585,291.503,112.778,60,2.975,"TotalDistanceEfficiency",2009
95,95,"Kevin Stadler",65,2.583,290.699,112.562,47,2.879,"TotalDistanceEfficiency",2009
95,95,"Brian Vranesh",51,2.583,290.29,112.391,36,2.977,"TotalDistanceEfficiency",2009
95,95,"Charles Warren",63,2.583,297.445,115.148,47,2.895,"TotalDistanceEfficiency",2009
98,98,"Richard Johnson",85,2.581,279.631,108.331,77,3.281,"TotalDistanceEfficiency",2009
98,98,"Rod Pampling",72,2.581,289.015,111.993,62,3.085,"TotalDistanceEfficiency",2009
98,98,"Ted Purdy",101,2.581,291.776,113.034,82,2.972,"TotalDistanceEfficiency",2009
101,101,"Harrison Frazar",93,2.58,297.15,115.166,78,2.97,"TotalDistanceEfficiency",2009
101,101,"Kent Jones",73,2.58,280,108.509,58,3.01,"TotalDistanceEfficiency",2009
101,101,"Ryan Moore",89,2.58,295.536,114.559,71,3.04,"TotalDistanceEfficiency",2009
101,101,"Pat Perez",74,2.58,291.783,113.103,65,2.994,"TotalDistanceEfficiency",2009
105,105,"Spencer Levin",75,2.579,278.83,108.108,68,2.985,"TotalDistanceEfficiency",2009
105,105,"Will Ma Kenzie",69,2.579,292.306,113.36,61,3.399,"TotalDistanceEfficiency",2009
105,105,"Phil Mickelson",66,2.579,309.663,120.078,45,3.075,"TotalDistanceEfficiency",2009
108,108,"Michael Letzig",96,2.578,290.845,112.807,91,3.076,"TotalDistanceEfficiency",2009
109,109,"Mike Weir",85,2.577,283.728,110.09,68,3.069,"TotalDistanceEfficiency",2009
110,110,"Jason Day",61,2.576,297.584,115.518,48,2.922,"TotalDistanceEfficiency",2009
110,110,"Brad Faxon",59,2.576,271.663,105.47,56,2.964,"TotalDistanceEfficiency",2009
110,110,"Adam Scott",53,2.576,306.247,118.872,44,3.392,"TotalDistanceEfficiency",2009
113,113,"Tim Herron",87,2.575,289.159,112.299,84,2.963,"TotalDistanceEfficiency",2009
114,114,"Padraig Harrington",66,2.574,290.992,113.07,47,3.174,"TotalDistanceEfficiency",2009
114,114,"Rick Price",54,2.574,277.923,107.973,40,2.83,"TotalDistanceEfficiency",2009
114,114,"Scott Sterling",51,2.574,283.457,110.136,41,3.1,"TotalDistanceEfficiency",2009
114,114,"Steve Stricker",81,2.574,285.998,111.13,69,3.172,"TotalDistanceEfficiency",2009
118,118,"Brad Adamonis",70,2.573,290.911,113.058,59,2.994,"TotalDistanceEfficiency",2009
118,118,"Marc Leishman",91,2.573,298.782,116.142,76,3.017,"TotalDistanceEfficiency",2009
120,120,"Brendon de Jonge",90,2.572,289.479,112.53,70,2.949,"TotalDistanceEfficiency",2009
121,121,"Scott Piercy",85,2.571,295.494,114.944,62,2.811,"TotalDistanceEfficiency",2009
122,122,"Steve Flesch",77,2.57,283.312,110.225,56,2.858,"TotalDistanceEfficiency",2009
122,122,"Matt Jones",56,2.57,296.246,115.253,39,2.963,"TotalDistanceEfficiency",2009
122,122,"Tag Ridings",50,2.57,308.3,119.959,41,3.081,"TotalDistanceEfficiency",2009
125,125,"Casey Wittenberg",71,2.569,280.467,109.182,55,2.965,"TotalDistanceEfficiency",2009
126,126,"Chad Campbell",90,2.568,289.596,112.765,72,3.1,"TotalDistanceEfficiency",2009
126,126,"Chris Riley",77,2.568,277.487,108.066,59,2.925,"TotalDistanceEfficiency",2009
128,128,"Troy Matteson",95,2.566,300.679,117.184,85,2.926,"TotalDistanceEfficiency",2009
