"LongestHoleOutsinyards_RANKTHISWEEK_2009","LongestHoleOutsinyards_RANKLASTWEEK_2009","LongestHoleOutsinyards_PLAYERNAME_2009","LongestHoleOutsinyards_ROUNDS_2009","LongestHoleOutsinyards_DISTANCE_2009","LongestHoleOutsinyards_TOURNAMENT_2009","LongestHoleOutsinyards_ROUNDCOURSE_2009","LongestHoleOutsinyards_HOLE_2009","stat_name","year"
137,138,"John Daly",16,92,NA,2,6,"LongestHoleOutsinyards",2009
137,139,"Rodney Butcher",6,92,NA,1,11,"LongestHoleOutsinyards",2009
137,140,"Jim Furyk",86,92,NA,1,7,"LongestHoleOutsinyards",2009
142,143,"Paul Stankowski",24,88,NA,1,2,"LongestHoleOutsinyards",2009
144,144,"Fred Couples",54,87,NA,1,6,"LongestHoleOutsinyards",2009
145,145,"Bob Estes",78,86,NA,1,12,"LongestHoleOutsinyards",2009
147,147,"Zach Johnson",94,84,NA,3,7,"LongestHoleOutsinyards",2009
148,148,"Chris DiMarco",97,82,NA,1,11,"LongestHoleOutsinyards",2009
148,149,"Tyler Aldridge",40,82,NA,2,1,"LongestHoleOutsinyards",2009
148,150,"Jonathan Byrd",89,82,NA,4,7,"LongestHoleOutsinyards",2009
151,151,"Stewart Cink",79,81,NA,2,14,"LongestHoleOutsinyards",2009
153,154,"Martin Laird",72,77,NA,3,18,"LongestHoleOutsinyards",2009
155,155,"Kent Jones",73,70,NA,2,5,"LongestHoleOutsinyards",2009
157,157,"Jeff Quinney",78,68,NA,1,9,"LongestHoleOutsinyards",2009
159,159,"Neal Lancaster",15,64,NA,4,1,"LongestHoleOutsinyards",2009
164,164,"Tim Petrovic",97,60,NA,4,9,"LongestHoleOutsinyards",2009
165,165,"Carl Pettersson",86,59,NA,4,6,"LongestHoleOutsinyards",2009
167,167,"Jason Gore",74,56,NA,4,13,"LongestHoleOutsinyards",2009
169,169,"Roland Thatcher",44,54,NA,1,12,"LongestHoleOutsinyards",2009
169,170,"Eric Axley",71,54,NA,2,17,"LongestHoleOutsinyards",2009
172,172,"Ryuji Imada",85,52,NA,4,18,"LongestHoleOutsinyards",2009
176,176,"Charles Howell III",99,49,NA,1,5,"LongestHoleOutsinyards",2009
176,179,"Brad Adamonis",70,49,NA,4,15,"LongestHoleOutsinyards",2009
181,182,"Jay Williamson",69,46,NA,2,6,"LongestHoleOutsinyards",2009
183,183,"Cliff Kresge",78,45,NA,2,4,"LongestHoleOutsinyards",2009
184,185,"Marc Turnesa",77,44,NA,1,1,"LongestHoleOutsinyards",2009
186,186,"Cameron Beckman",87,42,NA,2,5,"LongestHoleOutsinyards",2009
189,189,"Sean OHair",80,41,NA,1,2,"LongestHoleOutsinyards",2009
192,192,"Rocco Mediate",79,39,NA,1,4,"LongestHoleOutsinyards",2009
192,193,"Brian Davis",103,39,NA,4,16,"LongestHoleOutsinyards",2009
192,194,"James Nitties",86,39,NA,4,14,"LongestHoleOutsinyards",2009
