"AverageGoingforitShotDistanceinYards_RANKTHISWEEK_2005","AverageGoingforitShotDistanceinYards_RANKLASTWEEK_2005","AverageGoingforitShotDistanceinYards_PLAYERNAME_2005","AverageGoingforitShotDistanceinYards_EVENTS_2005","AverageGoingforitShotDistanceinYards_AVG_2005","AverageGoingforitShotDistanceinYards_DISTANCEININCHES_2005","AverageGoingforitShotDistanceinYards_ATTEMPTS_2005","stat_name","year"
192,192,"Steve Elkington",20,263.2,966378,102,"AverageGoingforitShotDistanceinYards",2005
193,193,"Arjun Atwal",17,263.3,1308027,138,"AverageGoingforitShotDistanceinYards",2005
194,194,"Jeff Hart",23,263.5,483740,51,"AverageGoingforitShotDistanceinYards",2005
195,195,"Neal Lancaster",31,263.6,1717928,181,"AverageGoingforitShotDistanceinYards",2005
196,196,"Vijay Singh",30,263.9,2365635,249,"AverageGoingforitShotDistanceinYards",2005
197,197,"Corey Pavin",23,264.2,665791,70,"AverageGoingforitShotDistanceinYards",2005
198,198,"Paul Gow",27,264.7,1248350,131,"AverageGoingforitShotDistanceinYards",2005
199,199,"Doug Barron",24,264.8,1048753,110,"AverageGoingforitShotDistanceinYards",2005
199,199,"Matt Davidson",20,264.8,839041,88,"AverageGoingforitShotDistanceinYards",2005
201,201,"Tjaart van der Walt",19,266,1015164,106,"AverageGoingforitShotDistanceinYards",2005
202,202,"Dennis Paulson",24,266.8,1267701,132,"AverageGoingforitShotDistanceinYards",2005
