"Par5GoingfortheGreen_RANKTHISWEEK_2007","Par5GoingfortheGreen_RANKLASTWEEK_2007","Par5GoingfortheGreen_PLAYERNAME_2007","Par5GoingfortheGreen_ROUNDS_2007","Par5GoingfortheGreen_Pct_2007","Par5GoingfortheGreen_ATTEMPTS_2007","Par5GoingfortheGreen_NONATTEMPTS_2007","stat_name","year"
35,35,"Michael Putnam",96,58.59,150,106,"Par5GoingfortheGreen",2007
36,36,"Nick Watney",87,58.41,132,94,"Par5GoingfortheGreen",2007
37,37,"Scott Gutschewski",67,57.89,110,80,"Par5GoingfortheGreen",2007
38,38,"Jason Gore",86,57.87,147,107,"Par5GoingfortheGreen",2007
39,39,"Mark Calcavecchia",93,57.59,129,95,"Par5GoingfortheGreen",2007
40,40,"John Senden",97,57.35,156,116,"Par5GoingfortheGreen",2007
41,41,"Padraig Harrington",64,57.25,79,59,"Par5GoingfortheGreen",2007
42,42,"Boo Weekley",101,57.2,135,101,"Par5GoingfortheGreen",2007
43,43,"Rory Sabbatini",81,56.84,108,82,"Par5GoingfortheGreen",2007
44,44,"Hunter Mahan",91,56.67,119,91,"Par5GoingfortheGreen",2007
45,45,"Carl Pettersson",111,56.6,163,125,"Par5GoingfortheGreen",2007
46,46,"Chris Couch",76,55.98,131,103,"Par5GoingfortheGreen",2007
47,47,"JJ Henry",86,55.88,114,90,"Par5GoingfortheGreen",2007
48,48,"Greg Owen",81,55.7,127,101,"Par5GoingfortheGreen",2007
49,49,"Tag Ridings",52,55.63,89,71,"Par5GoingfortheGreen",2007
49,49,"Paul Stankowski",52,55.63,79,63,"Par5GoingfortheGreen",2007
51,51,"Harrison Frazar",88,55.04,131,107,"Par5GoingfortheGreen",2007
52,52,"Ryan Moore",92,54.92,134,110,"Par5GoingfortheGreen",2007
52,52,"Kevin Stadler",95,54.92,145,119,"Par5GoingfortheGreen",2007
54,54,"Retief Goosen",50,54.9,56,46,"Par5GoingfortheGreen",2007
55,55,"Steve Wheatcroft",73,54.85,113,93,"Par5GoingfortheGreen",2007
56,56,"Kevin Sutherland",85,54.39,124,104,"Par5GoingfortheGreen",2007
57,57,"Charley Hoffman",97,54.38,149,125,"Par5GoingfortheGreen",2007
58,58,"Jason Bohn",57,54.32,88,74,"Par5GoingfortheGreen",2007
59,59,"John Rollins",102,54.3,139,117,"Par5GoingfortheGreen",2007
60,60,"Will Ma Kenzie",100,54.23,154,130,"Par5GoingfortheGreen",2007
61,61,"Geoff Ogilvy",84,54.21,103,87,"Par5GoingfortheGreen",2007
62,62,"Jeff Brehaut",59,54.17,91,77,"Par5GoingfortheGreen",2007
62,62,"Bubba Dickerson",51,54.17,78,66,"Par5GoingfortheGreen",2007
62,62,"Daisuke Maruyama",86,54.17,130,110,"Par5GoingfortheGreen",2007
65,65,"Tim Herron",98,54.1,132,112,"Par5GoingfortheGreen",2007
66,66,"Andrew Buckle",77,54,108,92,"Par5GoingfortheGreen",2007
67,67,"Nathan Green",103,53.96,150,128,"Par5GoingfortheGreen",2007
68,68,"Joe Durant",88,53.91,124,106,"Par5GoingfortheGreen",2007
69,69,"Stuart Appleby",74,53.85,98,84,"Par5GoingfortheGreen",2007
70,70,"Bo Van Pelt",104,53.74,158,136,"Par5GoingfortheGreen",2007
71,71,"KJ Choi",87,53.59,112,97,"Par5GoingfortheGreen",2007
72,72,"Kevin Na",84,53.57,135,117,"Par5GoingfortheGreen",2007
73,73,"George McNeill",95,53.44,140,122,"Par5GoingfortheGreen",2007
74,74,"Jason Dufner",100,53.26,147,129,"Par5GoingfortheGreen",2007
75,75,"Brett Quigley",79,52.55,103,93,"Par5GoingfortheGreen",2007
