"NonmemberEarnings_RANKTHISWEEK_2008","NonmemberEarnings_RANKLASTWEEK_2008","NonmemberEarnings_PLAYERNAME_2008","NonmemberEarnings_EVENTS_2008","NonmemberEarnings_MONEY_2008","NonmemberEarnings_TOTAL_2008","stat_name","year"
28,28,"Rob Grube",1,48000,48000,"NonmemberEarnings",2008
29,29,"Chip Sullivan",6,45559,45559,"NonmemberEarnings",2008
30,30,"Alvaro Quiros",2,45066,45066,"NonmemberEarnings",2008
31,31,"Tom Gillis",3,38915,38915,"NonmemberEarnings",2008
32,32,"Webb Simpson",6,38460,38460,"NonmemberEarnings",2008
33,33,"Chris Kirk",3,37724,37724,"NonmemberEarnings",2008
34,34,"Martin Kaymer",8,37638,154388,"NonmemberEarnings",2008
35,35,"Peter Hanson",4,37534,117784,"NonmemberEarnings",2008
36,36,"Robert Dinwiddie",1,35709,35709,"NonmemberEarnings",2008
36,36,"Oliver Wilson",4,35709,95709,"NonmemberEarnings",2008
38,38,"Thomas Aiken",1,33267,33267,"NonmemberEarnings",2008
38,38,"Gregory Bourdy",1,33267,33267,"NonmemberEarnings",2008
38,38,"Ariel Canete",1,33267,33267,"NonmemberEarnings",2008
38,38,"Ross Fisher",6,33267,130767,"NonmemberEarnings",2008
38,38,"Simon Khan",1,33267,33267,"NonmemberEarnings",2008
38,38,"Graeme Storm",3,33267,231600,"NonmemberEarnings",2008
44,44,"Michael Thompson",4,32625,32625,"NonmemberEarnings",2008
45,45,"Ian Woosnam",1,26250,26250,"NonmemberEarnings",2008
46,46,"Stephen Poole",1,25143,25143,"NonmemberEarnings",2008
47,47,"Jarrod Lyle",1,23985,23985,"NonmemberEarnings",2008
48,48,"Anthony Wall",1,23554,23554,"NonmemberEarnings",2008
49,49,"Diego Vanegas",1,22775,22775,"NonmemberEarnings",2008
50,50,"Richard Finch",2,21284,73284,"NonmemberEarnings",2008
50,50,"Colin Montgomerie",7,21284,221534,"NonmemberEarnings",2008
52,52,"Yusaku Miyazato",1,20670,20670,"NonmemberEarnings",2008
53,53,"Jonathan Lomas",1,20385,20385,"NonmemberEarnings",2008
54,54,"Jhonattan Vegas",1,19828,19828,"NonmemberEarnings",2008
55,55,"Jean Baptiste Gonnet",1,19785,19785,"NonmemberEarnings",2008
55,55,"David Horsey",1,19785,19785,"NonmemberEarnings",2008
57,57,"Brendan Jones",5,18686,163186,"NonmemberEarnings",2008
57,57,"Pablo Larrazabal",3,18686,50686,"NonmemberEarnings",2008
57,57,"Jose Filipe Lima",1,18686,18686,"NonmemberEarnings",2008
57,57,"Martin Wiegele",1,18686,18686,"NonmemberEarnings",2008
61,61,"Philip Archer",2,17187,17187,"NonmemberEarnings",2008
62,62,"Chih Bing Lam",1,16787,16787,"NonmemberEarnings",2008
63,63,"Charl Schwartzel",1,16250,16250,"NonmemberEarnings",2008
64,64,"Colt Knost",5,16129,16129,"NonmemberEarnings",2008
65,65,"Toru Taniguchi",7,16120,122620,"NonmemberEarnings",2008
66,66,"James Kingston",5,15750,84250,"NonmemberEarnings",2008
67,67,"Spencer Levin",1,15518,15518,"NonmemberEarnings",2008
68,68,"Robert Floyd",3,15264,15264,"NonmemberEarnings",2008
69,69,"Stuart Deane",2,15214,15214,"NonmemberEarnings",2008
70,70,"Andrew Dresser",1,15189,15189,"NonmemberEarnings",2008
70,70,"Andrew Svoboda",1,15189,15189,"NonmemberEarnings",2008
72,72,"Justin Hicks",1,14306,14306,"NonmemberEarnings",2008
73,73,"Hiroyuki Fujita",1,14150,14150,"NonmemberEarnings",2008
74,74,"Ross McGowan",1,13718,13718,"NonmemberEarnings",2008
75,75,"Louis Oosthuizen",3,13700,51325,"NonmemberEarnings",2008
76,76,"Bubba Dickerson",1,13640,13640,"NonmemberEarnings",2008
77,77,"Jonathan Moore",2,12265,12265,"NonmemberEarnings",2008
78,78,"Peter Karmis",1,11940,11940,"NonmemberEarnings",2008
79,79,"Kiyoshi Miyazato",1,11925,11925,"NonmemberEarnings",2008
80,80,"Mitsuhiro Tateyama",1,11448,11448,"NonmemberEarnings",2008
81,81,"Anton Haig",2,11280,49780,"NonmemberEarnings",2008
82,82,"John Douma",1,11150,11150,"NonmemberEarnings",2008
83,83,"David Hearn",2,11100,11100,"NonmemberEarnings",2008
84,84,"Pete Jordan",1,10725,10725,"NonmemberEarnings",2008
85,85,"Bryan DeCorso",1,10600,10600,"NonmemberEarnings",2008
86,86,"Alan Morin",2,10505,10505,"NonmemberEarnings",2008
87,87,"Derek Lamely",1,10494,10494,"NonmemberEarnings",2008
88,88,"Chip Deason",1,10350,10350,"NonmemberEarnings",2008
89,89,"Reid Edstrom",1,10340,10340,"NonmemberEarnings",2008
90,90,"Erik Compton",1,10074,10074,"NonmemberEarnings",2008
91,91,"Keiichiro Fukabori",1,9805,9805,"NonmemberEarnings",2008
92,92,"Deane Pappas",3,9573,9573,"NonmemberEarnings",2008
93,93,"Rod Perry",1,9154,9154,"NonmemberEarnings",2008
94,94,"Dustin Risdon",1,9100,9100,"NonmemberEarnings",2008
95,95,"Mike Ruiz",1,8692,8692,"NonmemberEarnings",2008
96,96,"Jon Turcott",2,8360,8360,"NonmemberEarnings",2008
97,97,"Scott Piercy",2,7630,7630,"NonmemberEarnings",2008
98,98,"Casey Bourque",1,7462,7462,"NonmemberEarnings",2008
99,99,"Miguel Suarez",1,7350,7350,"NonmemberEarnings",2008
100,100,"Wilfredo Morales",1,6545,6545,"NonmemberEarnings",2008
