"AveragePuttingDistanceAll1putts_RANKTHISWEEK_2013","AveragePuttingDistanceAll1putts_RANKLASTWEEK_2013","AveragePuttingDistanceAll1putts_PLAYERNAME_2013","AveragePuttingDistanceAll1putts_ROUNDS_2013","AveragePuttingDistanceAll1putts_AVG_2013","AveragePuttingDistanceAll1putts_DISTANCEFEET_2013","AveragePuttingDistanceAll1putts_TOTALPUTTS_2013","stat_name","year"
22,22,"Billy Horschel",96,NA,4452.833,595,"AveragePuttingDistanceAll1putts",2013
22,22,"Colt Knost",69,NA,3096.667,412,"AveragePuttingDistanceAll1putts",2013
22,22,"Carl Pettersson",82,NA,3343.417,447,"AveragePuttingDistanceAll1putts",2013
31,31,"Greg Chalmers",77,NA,4040.667,547,"AveragePuttingDistanceAll1putts",2013
31,31,"Erik Compton",74,NA,3494.167,469,"AveragePuttingDistanceAll1putts",2013
31,31,"Sergio Garcia",65,NA,2587.333,348,"AveragePuttingDistanceAll1putts",2013
31,31,"DH Lee",65,NA,2948.75,397,"AveragePuttingDistanceAll1putts",2013
31,31,"Graeme McDowell",53,NA,2033.083,275,"AveragePuttingDistanceAll1putts",2013
31,31,"George McNeill",68,NA,3190,432,"AveragePuttingDistanceAll1putts",2013
31,31,"John Merrick",79,NA,3391.083,458,"AveragePuttingDistanceAll1putts",2013
31,31,"Phil Mickelson",78,NA,3415.083,461,"AveragePuttingDistanceAll1putts",2013
31,31,"John Rollins",77,NA,3335.667,452,"AveragePuttingDistanceAll1putts",2013
31,31,"Nicholas Thompson",99,NA,4362.167,589,"AveragePuttingDistanceAll1putts",2013
41,41,"Jason Bohn",70,NA,3516.583,479,"AveragePuttingDistanceAll1putts",2013
41,41,"Nicolas Colsaerts",50,NA,1606.583,218,"AveragePuttingDistanceAll1putts",2013
41,41,"Morgan Hoffmann",64,NA,2871.833,392,"AveragePuttingDistanceAll1putts",2013
41,41,"Ryo Ishikawa",72,NA,2508.25,343,"AveragePuttingDistanceAll1putts",2013
41,41,"Brandt Jobe",62,NA,2576,352,"AveragePuttingDistanceAll1putts",2013
41,41,"Scott Langley",79,NA,3354.417,455,"AveragePuttingDistanceAll1putts",2013
41,41,"Chez Reavie",72,NA,3357.25,460,"AveragePuttingDistanceAll1putts",2013
41,41,"Henrik Stenson",65,NA,2179.75,298,"AveragePuttingDistanceAll1putts",2013
49,49,"Ricky Barnes",74,NA,2943.583,406,"AveragePuttingDistanceAll1putts",2013
49,49,"Michael Bradley",56,NA,1948.417,269,"AveragePuttingDistanceAll1putts",2013
49,49,"Chad Campbell",78,NA,3420.25,470,"AveragePuttingDistanceAll1putts",2013
49,49,"Stewart Cink",71,NA,2628.917,361,"AveragePuttingDistanceAll1putts",2013
49,49,"Tommy Gainey",84,NA,3876.583,535,"AveragePuttingDistanceAll1putts",2013
49,49,"Luke Guthrie",82,NA,3504.25,482,"AveragePuttingDistanceAll1putts",2013
49,49,"Chris Kirk",89,NA,4642.833,643,"AveragePuttingDistanceAll1putts",2013
49,49,"Martin Laird",68,NA,2503.583,345,"AveragePuttingDistanceAll1putts",2013
49,49,"Henrik Norlander",70,NA,2827.917,392,"AveragePuttingDistanceAll1putts",2013
49,49,"Sean OHair",56,NA,2402.75,330,"AveragePuttingDistanceAll1putts",2013
49,49,"Ryan Palmer",79,NA,3740.833,518,"AveragePuttingDistanceAll1putts",2013
49,49,"DA Points",87,NA,3533.667,488,"AveragePuttingDistanceAll1putts",2013
49,49,"John Senden",79,NA,2843.833,392,"AveragePuttingDistanceAll1putts",2013
49,49,"Jordan Spieth",82,NA,3754.667,515,"AveragePuttingDistanceAll1putts",2013
49,49,"Kevin Stadler",83,NA,3424.75,470,"AveragePuttingDistanceAll1putts",2013
49,49,"Brian Stuard",78,NA,3124.25,431,"AveragePuttingDistanceAll1putts",2013
49,49,"Michael Thompson",66,NA,2639.75,364,"AveragePuttingDistanceAll1putts",2013
49,49,"Gary Woodland",94,NA,4146.333,574,"AveragePuttingDistanceAll1putts",2013
67,67,"Stuart Appleby",88,NA,4140.75,576,"AveragePuttingDistanceAll1putts",2013
67,67,"Aaron Baddeley",68,NA,3414.25,477,"AveragePuttingDistanceAll1putts",2013
67,67,"KJ Choi",85,NA,3192.5,445,"AveragePuttingDistanceAll1putts",2013
67,67,"Scott Gardiner",61,NA,2485.667,346,"AveragePuttingDistanceAll1putts",2013
67,67,"David Hearn",88,NA,3971.75,554,"AveragePuttingDistanceAll1putts",2013
67,67,"Charles Howell III",87,NA,4283.5,596,"AveragePuttingDistanceAll1putts",2013
67,67,"Marc Leishman",77,NA,3297.167,458,"AveragePuttingDistanceAll1putts",2013
67,67,"Hunter Mahan",91,NA,3270.417,457,"AveragePuttingDistanceAll1putts",2013
67,67,"Bryce Molder",82,NA,3853.083,540,"AveragePuttingDistanceAll1putts",2013
67,67,"Scott Piercy",78,NA,3111.167,434,"AveragePuttingDistanceAll1putts",2013
67,67,"Patrick Reed",83,NA,3976.667,558,"AveragePuttingDistanceAll1putts",2013
67,67,"Tag Ridings",69,NA,2824.5,392,"AveragePuttingDistanceAll1putts",2013
67,67,"Rory Sabbatini",86,NA,3621.75,508,"AveragePuttingDistanceAll1putts",2013
67,67,"Adam Scott",61,NA,2115.667,294,"AveragePuttingDistanceAll1putts",2013
67,67,"Kyle Stanley",71,NA,2808.25,392,"AveragePuttingDistanceAll1putts",2013
67,67,"Steve Stricker",51,NA,1955.333,274,"AveragePuttingDistanceAll1putts",2013
67,67,"Andrew Svoboda",46,NA,1668.25,233,"AveragePuttingDistanceAll1putts",2013
67,67,"Jimmy Walker",84,NA,3959.083,552,"AveragePuttingDistanceAll1putts",2013
67,67,"Aaron Watkins",46,NA,1798.833,251,"AveragePuttingDistanceAll1putts",2013
67,67,"Charlie Wi",75,NA,3593.083,500,"AveragePuttingDistanceAll1putts",2013
87,87,"Keegan Bradley",88,NA,3567.25,505,"AveragePuttingDistanceAll1putts",2013
87,87,"Fabian Gomez",65,NA,2774.417,393,"AveragePuttingDistanceAll1putts",2013
87,87,"Jason Kokrak",78,NA,3678.083,517,"AveragePuttingDistanceAll1putts",2013
87,87,"Jeff Maggert",63,NA,2796.25,396,"AveragePuttingDistanceAll1putts",2013
87,87,"William McGirt",75,NA,3591.667,507,"AveragePuttingDistanceAll1putts",2013
87,87,"Jeff Overton",78,NA,3851.917,543,"AveragePuttingDistanceAll1putts",2013
87,87,"Webb Simpson",92,NA,3633.833,512,"AveragePuttingDistanceAll1putts",2013
87,87,"Robert Streb",75,NA,2995.833,425,"AveragePuttingDistanceAll1putts",2013
87,87,"Kevin Streelman",86,NA,3382.5,476,"AveragePuttingDistanceAll1putts",2013
87,87,"Boo Weekley",100,NA,3765,531,"AveragePuttingDistanceAll1putts",2013
97,97,"Robert Allenby",58,NA,2409.333,343,"AveragePuttingDistanceAll1putts",2013
97,97,"Ben Curtis",59,NA,2225.5,317,"AveragePuttingDistanceAll1putts",2013
97,97,"Brian Davis",91,NA,4418.75,634,"AveragePuttingDistanceAll1putts",2013
97,97,"Jason Day",86,NA,3228.667,464,"AveragePuttingDistanceAll1putts",2013
97,97,"Matt Every",89,NA,4129.5,593,"AveragePuttingDistanceAll1putts",2013
97,97,"Jim Furyk",80,NA,3134.5,448,"AveragePuttingDistanceAll1putts",2013
97,97,"Padraig Harrington",52,NA,1848.083,263,"AveragePuttingDistanceAll1putts",2013
97,97,"Tim Herron",45,NA,2219.75,318,"AveragePuttingDistanceAll1putts",2013
97,97,"John Huh",88,NA,3540.667,506,"AveragePuttingDistanceAll1putts",2013
97,97,"Dustin Johnson",71,NA,2480,355,"AveragePuttingDistanceAll1putts",2013
97,97,"Steve LeBrun",66,NA,2470.417,351,"AveragePuttingDistanceAll1putts",2013
