"Back9LowestRound_RANKTHISWEEK_2014","Back9LowestRound_RANKLASTWEEK_2014","Back9LowestRound_PLAYERNAME_2014","Back9LowestRound_ROUNDS_2014","Back9LowestRound_LOWRND_2014","stat_name","year"
10,10,"George McNeill",79,30,"Back9LowestRound",2014
10,10,"Phil Mickelson",71,30,"Back9LowestRound",2014
10,10,"Bryce Molder",77,30,"Back9LowestRound",2014
10,10,"Ryan Moore",86,30,"Back9LowestRound",2014
10,10,"Louis Oosthuizen",50,30,"Back9LowestRound",2014
10,10,"Carl Pettersson",91,30,"Back9LowestRound",2014
10,10,"Patrick Reed",92,30,"Back9LowestRound",2014
10,10,"Rory Sabbatini",82,30,"Back9LowestRound",2014
10,10,"Adam Scott",68,30,"Back9LowestRound",2014
10,10,"John Senden",99,30,"Back9LowestRound",2014
10,10,"Brandt Snedeker",89,30,"Back9LowestRound",2014
10,10,"Kevin Stadler",90,30,"Back9LowestRound",2014
10,10,"Kyle Stanley",87,30,"Back9LowestRound",2014
10,10,"Daniel Summerhays",98,30,"Back9LowestRound",2014
10,10,"Andrew Svoboda",77,30,"Back9LowestRound",2014
10,10,"Michael Thompson",74,30,"Back9LowestRound",2014
10,10,"Jimmy Walker",98,30,"Back9LowestRound",2014
10,10,"YE Yang",79,30,"Back9LowestRound",2014
49,49,"Stuart Appleby",92,31,"Back9LowestRound",2014
49,49,"Sangmoon Bae",76,31,"Back9LowestRound",2014
49,49,"Briny Baird",50,31,"Back9LowestRound",2014
49,49,"Ricky Barnes",92,31,"Back9LowestRound",2014
49,49,"Charlie Beljan",76,31,"Back9LowestRound",2014
49,49,"Jonas Blixt",64,31,"Back9LowestRound",2014
49,49,"Jason Bohn",81,31,"Back9LowestRound",2014
49,49,"Steven Bowditch",93,31,"Back9LowestRound",2014
49,49,"Keegan Bradley",89,31,"Back9LowestRound",2014
49,49,"Bud Cauley",56,31,"Back9LowestRound",2014
49,49,"Kevin Chappell",100,31,"Back9LowestRound",2014
49,49,"KJ Choi",80,31,"Back9LowestRound",2014
49,49,"Stewart Cink",91,31,"Back9LowestRound",2014
49,49,"Erik Compton",88,31,"Back9LowestRound",2014
49,49,"Brian Davis",93,31,"Back9LowestRound",2014
49,49,"Graham DeLaet",80,31,"Back9LowestRound",2014
49,49,"Luke Donald",57,31,"Back9LowestRound",2014
49,49,"James Driscoll",71,31,"Back9LowestRound",2014
49,49,"Ken Duke",80,31,"Back9LowestRound",2014
49,49,"Ernie Els",85,31,"Back9LowestRound",2014
49,49,"Harris English",95,31,"Back9LowestRound",2014
49,49,"Matt Every",85,31,"Back9LowestRound",2014
49,49,"Gonzalo Fdez Castano",83,31,"Back9LowestRound",2014
49,49,"Rickie Fowler",91,31,"Back9LowestRound",2014
49,49,"Jim Furyk",84,31,"Back9LowestRound",2014
49,49,"Tommy Gainey",73,31,"Back9LowestRound",2014
49,49,"Brian Gay",81,31,"Back9LowestRound",2014
49,49,"Retief Goosen",94,31,"Back9LowestRound",2014
49,49,"Bill Haas",107,31,"Back9LowestRound",2014
49,49,"James Hahn",82,31,"Back9LowestRound",2014
49,49,"Brian Harman",111,31,"Back9LowestRound",2014
49,49,"JJ Henry",91,31,"Back9LowestRound",2014
49,49,"Jim Herman",62,31,"Back9LowestRound",2014
49,49,"Charley Hoffman",93,31,"Back9LowestRound",2014
49,49,"Billy Horschel",92,31,"Back9LowestRound",2014
49,49,"Billy Hurley III",86,31,"Back9LowestRound",2014
49,49,"Dustin Johnson",58,31,"Back9LowestRound",2014
49,49,"Matt Jones",83,31,"Back9LowestRound",2014
49,49,"Jerry Kelly",80,31,"Back9LowestRound",2014
49,49,"Kevin Kisner",85,31,"Back9LowestRound",2014
49,49,"Russell Knox",92,31,"Back9LowestRound",2014
49,49,"Brooks Koepka",56,31,"Back9LowestRound",2014
49,49,"Jason Kokrak",65,31,"Back9LowestRound",2014
49,49,"Matt Kuchar",91,31,"Back9LowestRound",2014
49,49,"Bronson La Cassie",51,31,"Back9LowestRound",2014
49,49,"Scott Langley",95,31,"Back9LowestRound",2014
49,49,"Marc Leishman",81,31,"Back9LowestRound",2014
49,49,"David Lingmerth",80,31,"Back9LowestRound",2014
49,49,"Andrew Loupe",65,31,"Back9LowestRound",2014
49,49,"Will Ma Kenzie",82,31,"Back9LowestRound",2014
49,49,"Ben Martin",80,31,"Back9LowestRound",2014
49,49,"Hideki Matsuyama",82,31,"Back9LowestRound",2014
49,49,"Graeme McDowell",66,31,"Back9LowestRound",2014
49,49,"John Merrick",87,31,"Back9LowestRound",2014
49,49,"Kevin Na",94,31,"Back9LowestRound",2014
49,49,"Seung Yul Noh",92,31,"Back9LowestRound",2014
49,49,"Sean OHair",77,31,"Back9LowestRound",2014
49,49,"Pat Perez",84,31,"Back9LowestRound",2014
49,49,"Michael Putnam",106,31,"Back9LowestRound",2014
49,49,"Jim Renner",61,31,"Back9LowestRound",2014
49,49,"Wes Roach",67,31,"Back9LowestRound",2014
49,49,"John Rollins",84,31,"Back9LowestRound",2014
49,49,"Andres Romero",81,31,"Back9LowestRound",2014
49,49,"Charl Schwartzel",64,31,"Back9LowestRound",2014
