"GIRPercentagefromOtherthanFairway_RANKTHISWEEK_2005","GIRPercentagefromOtherthanFairway_RANKLASTWEEK_2005","GIRPercentagefromOtherthanFairway_PLAYERNAME_2005","GIRPercentagefromOtherthanFairway_ROUNDS_2005","GIRPercentagefromOtherthanFairway_Pct_2005","GIRPercentagefromOtherthanFairway_GREENSHIT_2005","GIRPercentagefromOtherthanFairway_OFHOLES_2005","stat_name","year"
46,46,"Bo Van Pelt",112,52.67,306,581,"GIRPercentagefromOtherthanFairway",2005
47,47,"Lucas Glover",88,52.65,248,471,"GIRPercentagefromOtherthanFairway",2005
48,48,"Briny Baird",98,52.62,231,439,"GIRPercentagefromOtherthanFairway",2005
49,49,"Chris Anderson",66,52.55,165,314,"GIRPercentagefromOtherthanFairway",2005
50,50,"Nick Watney",91,52.48,265,505,"GIRPercentagefromOtherthanFairway",2005
51,51,"Tag Ridings",93,52.43,302,576,"GIRPercentagefromOtherthanFairway",2005
52,52,"Dean Wilson",86,52.4,218,416,"GIRPercentagefromOtherthanFairway",2005
53,53,"Shigeki Maruyama",99,52.28,275,526,"GIRPercentagefromOtherthanFairway",2005
54,54,"John Senden",101,52.24,245,469,"GIRPercentagefromOtherthanFairway",2005
55,55,"Heath Slocum",103,52.14,207,397,"GIRPercentagefromOtherthanFairway",2005
56,56,"Mathias Gronberg",60,51.85,154,297,"GIRPercentagefromOtherthanFairway",2005
57,57,"Ted Purdy",122,51.83,325,627,"GIRPercentagefromOtherthanFairway",2005
58,58,"Hidemichi Tanaka",106,51.79,232,448,"GIRPercentagefromOtherthanFairway",2005
59,59,"Carl Pettersson",109,51.75,296,572,"GIRPercentagefromOtherthanFairway",2005
59,59,"Chris Smith",93,51.75,266,514,"GIRPercentagefromOtherthanFairway",2005
61,61,"Glen Day",80,51.71,212,410,"GIRPercentagefromOtherthanFairway",2005
61,61,"Tjaart van der Walt",56,51.71,136,263,"GIRPercentagefromOtherthanFairway",2005
63,63,"Kevin Stadler",96,51.68,262,507,"GIRPercentagefromOtherthanFairway",2005
64,64,"John Daly",78,51.57,280,543,"GIRPercentagefromOtherthanFairway",2005
64,64,"Hunter Mahan",103,51.57,280,543,"GIRPercentagefromOtherthanFairway",2005
66,66,"Glen Hnatiuk",59,51.56,149,289,"GIRPercentagefromOtherthanFairway",2005
67,67,"Carlos Franco",78,51.55,233,452,"GIRPercentagefromOtherthanFairway",2005
68,68,"Scott Hend",75,51.52,288,559,"GIRPercentagefromOtherthanFairway",2005
69,69,"Arron Oberholser",65,51.37,150,292,"GIRPercentagefromOtherthanFairway",2005
70,70,"Hunter Haas",83,51.33,232,452,"GIRPercentagefromOtherthanFairway",2005
71,71,"Dennis Paulson",63,51.26,204,398,"GIRPercentagefromOtherthanFairway",2005
72,72,"Danny Briggs",70,51.15,156,305,"GIRPercentagefromOtherthanFairway",2005
73,73,"Omar Uresti",84,51.02,150,294,"GIRPercentagefromOtherthanFairway",2005
74,74,"Dudley Hart",84,51,230,451,"GIRPercentagefromOtherthanFairway",2005
75,75,"Vaughn Taylor",99,50.91,252,495,"GIRPercentagefromOtherthanFairway",2005
76,76,"Peter Lonard",85,50.78,229,451,"GIRPercentagefromOtherthanFairway",2005
77,77,"John Huston",90,50.67,228,450,"GIRPercentagefromOtherthanFairway",2005
78,78,"Jonathan Byrd",103,50.63,282,557,"GIRPercentagefromOtherthanFairway",2005
79,79,"Tommy Armour III",103,50.62,246,486,"GIRPercentagefromOtherthanFairway",2005
79,79,"Jesper Parnevik",84,50.62,245,484,"GIRPercentagefromOtherthanFairway",2005
81,81,"Jay Haas",54,50.61,124,245,"GIRPercentagefromOtherthanFairway",2005
82,82,"Bob Tway",87,50.59,214,423,"GIRPercentagefromOtherthanFairway",2005
83,83,"Woody Austin",100,50.55,278,550,"GIRPercentagefromOtherthanFairway",2005
84,84,"Rod Pampling",89,50.53,238,471,"GIRPercentagefromOtherthanFairway",2005
85,85,"Tim Herron",100,50.47,268,531,"GIRPercentagefromOtherthanFairway",2005
86,86,"Zach Johnson",96,50.45,223,442,"GIRPercentagefromOtherthanFairway",2005
87,87,"Steve Allan",102,50.35,284,564,"GIRPercentagefromOtherthanFairway",2005
87,87,"Jeff Sluman",94,50.35,216,429,"GIRPercentagefromOtherthanFairway",2005
89,89,"Jonathan Kaye",77,50.28,181,360,"GIRPercentagefromOtherthanFairway",2005
89,89,"Brenden Pappas",51,50.28,177,352,"GIRPercentagefromOtherthanFairway",2005
91,91,"Harrison Frazar",105,50.19,258,514,"GIRPercentagefromOtherthanFairway",2005
92,92,"Davis Love III",80,50.11,221,441,"GIRPercentagefromOtherthanFairway",2005
93,93,"Frank Lickliter II",100,50.1,249,497,"GIRPercentagefromOtherthanFairway",2005
93,93,"Pat Perez",89,50.1,246,491,"GIRPercentagefromOtherthanFairway",2005
95,95,"JL Lewis",98,49.9,245,491,"GIRPercentagefromOtherthanFairway",2005
96,96,"Michael Allen",90,49.83,287,576,"GIRPercentagefromOtherthanFairway",2005
97,97,"Lee Janzen",75,49.77,219,440,"GIRPercentagefromOtherthanFairway",2005
97,97,"Richard Johnson",50,49.77,109,219,"GIRPercentagefromOtherthanFairway",2005
99,99,"Mark Calcavecchia",92,49.76,210,422,"GIRPercentagefromOtherthanFairway",2005
100,100,"Stephen Leaney",89,49.61,190,383,"GIRPercentagefromOtherthanFairway",2005
101,101,"Mark OMeara",66,49.58,179,361,"GIRPercentagefromOtherthanFairway",2005
102,102,"Craig Barlow",81,49.47,188,380,"GIRPercentagefromOtherthanFairway",2005
103,103,"Ryan Palmer",101,49.45,269,544,"GIRPercentagefromOtherthanFairway",2005
104,104,"Jerry Kelly",101,49.43,218,441,"GIRPercentagefromOtherthanFairway",2005
105,105,"Will Ma Kenzie",75,49.35,190,385,"GIRPercentagefromOtherthanFairway",2005
106,106,"Brian Davis",75,49.32,146,296,"GIRPercentagefromOtherthanFairway",2005
107,107,"Chad Campbell",95,49.29,244,495,"GIRPercentagefromOtherthanFairway",2005
108,108,"Paul Gow",78,49.28,172,349,"GIRPercentagefromOtherthanFairway",2005
109,109,"Mark Wilson",74,49.22,157,319,"GIRPercentagefromOtherthanFairway",2005
110,110,"Steve Elkington",67,49.21,156,317,"GIRPercentagefromOtherthanFairway",2005
111,111,"Alex Cejka",84,49.19,182,370,"GIRPercentagefromOtherthanFairway",2005
112,112,"Arjun Atwal",65,49.15,173,352,"GIRPercentagefromOtherthanFairway",2005
113,113,"Stewart Cink",98,49.09,244,497,"GIRPercentagefromOtherthanFairway",2005
113,113,"Brandt Jobe",96,49.09,269,548,"GIRPercentagefromOtherthanFairway",2005
115,115,"Todd Hamilton",94,49.08,239,487,"GIRPercentagefromOtherthanFairway",2005
116,116,"Kevin Sutherland",89,49.06,209,426,"GIRPercentagefromOtherthanFairway",2005
117,117,"John Elliott",58,49.05,180,367,"GIRPercentagefromOtherthanFairway",2005
118,118,"Bart Bryant",91,48.99,169,345,"GIRPercentagefromOtherthanFairway",2005
119,119,"Cameron Beckman",96,48.98,216,441,"GIRPercentagefromOtherthanFairway",2005
120,120,"Joe Ogilvie",103,48.94,255,521,"GIRPercentagefromOtherthanFairway",2005
121,121,"Kent Jones",99,48.92,227,464,"GIRPercentagefromOtherthanFairway",2005
121,121,"Tim Petrovic",97,48.92,272,556,"GIRPercentagefromOtherthanFairway",2005
123,123,"Skip Kendall",80,48.9,156,319,"GIRPercentagefromOtherthanFairway",2005
124,124,"Jason Bohn",91,48.85,234,479,"GIRPercentagefromOtherthanFairway",2005
125,125,"Scott Verplank",87,48.84,168,344,"GIRPercentagefromOtherthanFairway",2005
126,126,"Brian Bateman",98,48.79,241,494,"GIRPercentagefromOtherthanFairway",2005
127,127,"Ben Crane",78,48.76,217,445,"GIRPercentagefromOtherthanFairway",2005
128,128,"Phillip Price",77,48.7,169,347,"GIRPercentagefromOtherthanFairway",2005
129,129,"Justin Leonard",78,48.67,183,376,"GIRPercentagefromOtherthanFairway",2005
130,130,"Jay Williamson",53,48.61,105,216,"GIRPercentagefromOtherthanFairway",2005
131,131,"Steve Flesch",90,48.53,215,443,"GIRPercentagefromOtherthanFairway",2005
132,132,"Billy Andrade",83,48.46,205,423,"GIRPercentagefromOtherthanFairway",2005
133,133,"Paul Claxton",79,48.43,154,318,"GIRPercentagefromOtherthanFairway",2005
134,134,"Scott McCarron",78,48.28,196,406,"GIRPercentagefromOtherthanFairway",2005
135,135,"DA Points",94,48.14,220,457,"GIRPercentagefromOtherthanFairway",2005
136,136,"Rocco Mediate",73,48.13,167,347,"GIRPercentagefromOtherthanFairway",2005
137,137,"Freddie Jacobson",72,48.12,205,426,"GIRPercentagefromOtherthanFairway",2005
138,138,"Bob Heintz",67,48.11,191,397,"GIRPercentagefromOtherthanFairway",2005
139,139,"Matt Gogel",78,48.07,187,389,"GIRPercentagefromOtherthanFairway",2005
140,140,"KJ Choi",78,48.06,173,360,"GIRPercentagefromOtherthanFairway",2005
141,141,"Jose Maria Olazabal",55,48.04,147,306,"GIRPercentagefromOtherthanFairway",2005
142,142,"Brett Quigley",96,47.98,261,544,"GIRPercentagefromOtherthanFairway",2005
143,143,"John Rollins",97,47.93,231,482,"GIRPercentagefromOtherthanFairway",2005
144,144,"Ben Curtis",65,47.75,159,333,"GIRPercentagefromOtherthanFairway",2005
145,145,"Robert Damron",89,47.74,169,354,"GIRPercentagefromOtherthanFairway",2005
146,146,"Brent Geiberger",61,47.7,145,304,"GIRPercentagefromOtherthanFairway",2005
147,147,"Tim Clark",92,47.61,199,418,"GIRPercentagefromOtherthanFairway",2005
148,148,"Jim Furyk",94,47.6,198,416,"GIRPercentagefromOtherthanFairway",2005
149,149,"Aaron Baddeley",84,47.57,254,534,"GIRPercentagefromOtherthanFairway",2005
150,150,"Chris DiMarco",83,47.54,193,406,"GIRPercentagefromOtherthanFairway",2005
151,151,"Steve Stricker",62,47.46,196,413,"GIRPercentagefromOtherthanFairway",2005
152,152,"Franklin Langham",91,47.29,244,516,"GIRPercentagefromOtherthanFairway",2005
153,153,"Padraig Harrington",50,47.21,144,305,"GIRPercentagefromOtherthanFairway",2005
153,153,"Tom Pernice Jr",111,47.21,262,555,"GIRPercentagefromOtherthanFairway",2005
155,155,"Duffy Waldorf",86,47.18,167,354,"GIRPercentagefromOtherthanFairway",2005
156,156,"Bill Glasson",54,47.01,126,268,"GIRPercentagefromOtherthanFairway",2005
156,156,"Rory Sabbatini",81,47.01,228,485,"GIRPercentagefromOtherthanFairway",2005
158,158,"Jim Carter",62,46.99,125,266,"GIRPercentagefromOtherthanFairway",2005
159,159,"Rich Beem",66,46.85,171,365,"GIRPercentagefromOtherthanFairway",2005
160,160,"Bob Estes",92,46.72,214,458,"GIRPercentagefromOtherthanFairway",2005
161,161,"Jose Coceres",56,46.7,99,212,"GIRPercentagefromOtherthanFairway",2005
162,162,"Todd Fischer",99,46.67,224,480,"GIRPercentagefromOtherthanFairway",2005
163,163,"Corey Pavin",77,46.43,156,336,"GIRPercentagefromOtherthanFairway",2005
164,164,"Patrick Sheehan",114,46.41,278,599,"GIRPercentagefromOtherthanFairway",2005
165,165,"Tom Byrum",83,46.38,160,345,"GIRPercentagefromOtherthanFairway",2005
165,165,"Andrew Magee",82,46.38,218,470,"GIRPercentagefromOtherthanFairway",2005
167,167,"Michael Long",72,46.32,170,367,"GIRPercentagefromOtherthanFairway",2005
168,168,"Ian Poulter",62,46.31,138,298,"GIRPercentagefromOtherthanFairway",2005
169,169,"John Cook",72,46.26,136,294,"GIRPercentagefromOtherthanFairway",2005
170,170,"Shaun Micheel",81,46.17,193,418,"GIRPercentagefromOtherthanFairway",2005
171,171,"Brad Faxon",75,46.04,180,391,"GIRPercentagefromOtherthanFairway",2005
172,172,"Bradley Hughes",52,45.96,108,235,"GIRPercentagefromOtherthanFairway",2005
173,173,"Justin Bolli",65,45.94,164,357,"GIRPercentagefromOtherthanFairway",2005
174,174,"Mark Hensby",70,45.83,165,360,"GIRPercentagefromOtherthanFairway",2005
175,175,"Steve Lowery",100,45.74,231,505,"GIRPercentagefromOtherthanFairway",2005
176,176,"JP Hayes",63,45.66,158,346,"GIRPercentagefromOtherthanFairway",2005
177,177,"Jeff Hart",63,45.59,93,204,"GIRPercentagefromOtherthanFairway",2005
178,178,"Kirk Triplett",55,45.58,98,215,"GIRPercentagefromOtherthanFairway",2005
179,179,"David Toms",87,45.5,167,367,"GIRPercentagefromOtherthanFairway",2005
180,180,"Fred Funk",102,45.29,154,340,"GIRPercentagefromOtherthanFairway",2005
181,181,"Paul Azinger",66,45.15,163,361,"GIRPercentagefromOtherthanFairway",2005
182,182,"Jeff Maggert",79,45.07,137,304,"GIRPercentagefromOtherthanFairway",2005
183,183,"Charlie Wi",67,45.06,155,344,"GIRPercentagefromOtherthanFairway",2005
184,184,"Larry Mize",54,44.71,93,208,"GIRPercentagefromOtherthanFairway",2005
185,185,"Lee Westwood",50,44.62,116,260,"GIRPercentagefromOtherthanFairway",2005
186,186,"Kevin Na",88,44.54,204,458,"GIRPercentagefromOtherthanFairway",2005
186,186,"Rob Rashell",65,44.54,163,366,"GIRPercentagefromOtherthanFairway",2005
188,188,"Brian Gay",101,44.47,201,452,"GIRPercentagefromOtherthanFairway",2005
189,189,"Craig Perks",67,44.26,185,418,"GIRPercentagefromOtherthanFairway",2005
190,190,"Robert Gamez",91,43.88,183,417,"GIRPercentagefromOtherthanFairway",2005
190,190,"Loren Roberts",54,43.88,104,237,"GIRPercentagefromOtherthanFairway",2005
192,192,"Mike Weir",71,43.62,147,337,"GIRPercentagefromOtherthanFairway",2005
193,193,"Chris Riley",67,43.39,128,295,"GIRPercentagefromOtherthanFairway",2005
194,194,"Hideto Tanihara",50,43.02,111,258,"GIRPercentagefromOtherthanFairway",2005
195,195,"Thomas Levet",54,42.11,136,323,"GIRPercentagefromOtherthanFairway",2005
196,196,"Mark Brooks",72,42.06,135,321,"GIRPercentagefromOtherthanFairway",2005
197,197,"Len Mattiace",86,42,197,469,"GIRPercentagefromOtherthanFairway",2005
198,198,"Matt Davidson",53,41.54,108,260,"GIRPercentagefromOtherthanFairway",2005
199,199,"Stephen Ames",82,41.44,179,432,"GIRPercentagefromOtherthanFairway",2005
200,200,"Matt Kuchar",60,40.93,106,259,"GIRPercentagefromOtherthanFairway",2005
201,201,"Steve Jones",56,40.86,105,257,"GIRPercentagefromOtherthanFairway",2005
202,202,"Gavin Coles",70,40.38,105,260,"GIRPercentagefromOtherthanFairway",2005
