"FedExCupPlayoffsPoints_RANKTHISWEEK_2012","FedExCupPlayoffsPoints_RANKLASTWEEK_2012","FedExCupPlayoffsPoints_PLAYERNAME_2012","FedExCupPlayoffsPoints_EVENTS_2012","FedExCupPlayoffsPoints_POINTS_2012","FedExCupPlayoffsPoints_OFWINS_2012","FedExCupPlayoffsPoints_OFTOP10S_2012","FedExCupPlayoffsPoints_POINTSBEHINDLEAD_2012","FedExCupPlayoffsPoints_RESETPOINTS_2012","stat_name","year"
32,32,"Bill Haas",23,1471,1,3,5828,NA,"FedExCupPlayoffsPoints",2012
33,33,"Vijay Singh",24,1406,NA,4,5893,NA,"FedExCupPlayoffsPoints",2012
34,34,"Kevin Stadler",24,1403,NA,5,5896,NA,"FedExCupPlayoffsPoints",2012
35,35,"Greg Chalmers",25,1402,NA,1,5897,NA,"FedExCupPlayoffsPoints",2012
36,36,"Johnson Wagner",26,1386,1,4,5913,NA,"FedExCupPlayoffsPoints",2012
37,37,"Seung Yul Noh",28,1379,NA,3,5920,NA,"FedExCupPlayoffsPoints",2012
38,38,"Bud Cauley",26,1342,NA,6,5957,NA,"FedExCupPlayoffsPoints",2012
39,39,"Ian Poulter",15,1280,NA,4,6019,NA,"FedExCupPlayoffsPoints",2012
40,40,"Tom Gillis",22,1277,NA,2,6022,NA,"FedExCupPlayoffsPoints",2012
41,41,"Ben Curtis",16,1230,1,3,6069,NA,"FedExCupPlayoffsPoints",2012
42,42,"Graeme McDowell",16,1222,NA,4,6077,NA,"FedExCupPlayoffsPoints",2012
43,43,"Padraig Harrington",18,1213,NA,3,6086,NA,"FedExCupPlayoffsPoints",2012
44,44,"Jeff Overton",26,1199,NA,3,6100,NA,"FedExCupPlayoffsPoints",2012
45,45,"Troy Matteson",29,1190,NA,3,6109,NA,"FedExCupPlayoffsPoints",2012
46,46,"Marc Leishman",23,1165,1,2,6134,NA,"FedExCupPlayoffsPoints",2012
47,47,"Geoff Ogilvy",20,1164,NA,1,6135,NA,"FedExCupPlayoffsPoints",2012
48,48,"JB Holmes",23,1153,NA,2,6146,NA,"FedExCupPlayoffsPoints",2012
49,49,"Chris Kirk",24,1152,NA,4,6147,NA,"FedExCupPlayoffsPoints",2012
50,50,"William McGirt",28,1125,NA,3,6174,NA,"FedExCupPlayoffsPoints",2012
51,51,"Brian Harman",27,1122,NA,1,6177,NA,"FedExCupPlayoffsPoints",2012
52,52,"Kevin Na",24,1095,NA,6,6204,NA,"FedExCupPlayoffsPoints",2012
53,53,"Graham DeLaet",23,1085,NA,3,6214,NA,"FedExCupPlayoffsPoints",2012
54,54,"Pat Perez",23,1073,NA,1,6226,NA,"FedExCupPlayoffsPoints",2012
55,55,"Ryan Palmer",22,1070,NA,4,6229,NA,"FedExCupPlayoffsPoints",2012
56,56,"Tim Clark",19,1065,NA,3,6234,NA,"FedExCupPlayoffsPoints",2012
57,57,"Brendon de Jonge",28,1065,NA,2,6234,NA,"FedExCupPlayoffsPoints",2012
58,58,"Bob Estes",22,1058,NA,2,6241,NA,"FedExCupPlayoffsPoints",2012
59,59,"Mark Wilson",24,1049,1,2,6250,NA,"FedExCupPlayoffsPoints",2012
60,60,"Charlie Wi",24,1043,NA,3,6256,NA,"FedExCupPlayoffsPoints",2012
61,61,"Charl Schwartzel",16,1041,NA,2,6258,NA,"FedExCupPlayoffsPoints",2012
62,62,"Jimmy Walker",26,1033,NA,4,6266,NA,"FedExCupPlayoffsPoints",2012
63,63,"DA Points",25,1027,NA,3,6272,NA,"FedExCupPlayoffsPoints",2012
64,64,"Martin Laird",22,1024,NA,3,6275,NA,"FedExCupPlayoffsPoints",2012
65,65,"Bryce Molder",23,1023,NA,2,6276,NA,"FedExCupPlayoffsPoints",2012
66,66,"Ben Crane",22,991,NA,4,6308,NA,"FedExCupPlayoffsPoints",2012
67,67,"Matt Every",22,979,NA,5,6320,NA,"FedExCupPlayoffsPoints",2012
68,68,"David Hearn",25,967,NA,2,6332,NA,"FedExCupPlayoffsPoints",2012
69,69,"Charley Hoffman",26,916,NA,2,6383,NA,"FedExCupPlayoffsPoints",2012
70,70,"Dicky Pride",17,884,NA,3,6415,NA,"FedExCupPlayoffsPoints",2012
71,71,"Jonas Blixt",17,820,NA,3,6479,NA,"FedExCupPlayoffsPoints",2012
72,72,"John Merrick",24,814,NA,2,6485,NA,"FedExCupPlayoffsPoints",2012
73,73,"Josh Teater",27,803,NA,3,6496,NA,"FedExCupPlayoffsPoints",2012
74,74,"John Rollins",23,800,NA,5,6499,NA,"FedExCupPlayoffsPoints",2012
75,75,"Scott Stallings",24,781,1,2,6518,NA,"FedExCupPlayoffsPoints",2012
76,76,"Ken Duke",27,776,NA,6,6523,NA,"FedExCupPlayoffsPoints",2012
77,77,"Roberto Castro",23,772,NA,1,6527,NA,"FedExCupPlayoffsPoints",2012
78,78,"Aaron Baddeley",21,770,NA,3,6529,NA,"FedExCupPlayoffsPoints",2012
79,79,"Harris English",24,762,NA,3,6537,NA,"FedExCupPlayoffsPoints",2012
80,80,"JJ Henry",28,760,1,3,6539,NA,"FedExCupPlayoffsPoints",2012
81,81,"Sean OHair",21,744,NA,2,6555,NA,"FedExCupPlayoffsPoints",2012
82,82,"Jonathan Byrd",21,736,NA,5,6563,NA,"FedExCupPlayoffsPoints",2012
83,83,"Spencer Levin",26,735,NA,3,6564,NA,"FedExCupPlayoffsPoints",2012
84,84,"Charles Howell III",25,733,NA,1,6566,NA,"FedExCupPlayoffsPoints",2012
85,85,"Brian Davis",25,728,NA,4,6571,NA,"FedExCupPlayoffsPoints",2012
86,86,"George McNeill",23,724,1,1,6575,NA,"FedExCupPlayoffsPoints",2012
87,87,"Jason Day",15,712,NA,3,6587,NA,"FedExCupPlayoffsPoints",2012
88,88,"Greg Owen",23,704,NA,2,6595,NA,"FedExCupPlayoffsPoints",2012
89,89,"Ricky Barnes",25,696,NA,1,6603,NA,"FedExCupPlayoffsPoints",2012
90,90,"Cameron Tringale",23,689,NA,4,6610,NA,"FedExCupPlayoffsPoints",2012
91,91,"Blake Adams",29,674,NA,2,6625,NA,"FedExCupPlayoffsPoints",2012
92,92,"Michael Thompson",23,671,NA,2,6628,NA,"FedExCupPlayoffsPoints",2012
93,93,"Ted Potter Jr",23,652,1,1,6647,NA,"FedExCupPlayoffsPoints",2012
94,94,"Tommy Gainey",29,631,NA,1,6668,NA,"FedExCupPlayoffsPoints",2012
95,95,"David Toms",18,623,NA,4,6676,NA,"FedExCupPlayoffsPoints",2012
96,96,"Sangmoon Bae",25,608,NA,2,6691,NA,"FedExCupPlayoffsPoints",2012
97,97,"Rory Sabbatini",25,602,NA,2,6697,NA,"FedExCupPlayoffsPoints",2012
98,98,"KJ Choi",21,602,NA,2,6697,NA,"FedExCupPlayoffsPoints",2012
99,99,"Daniel Summerhays",22,573,NA,4,6726,NA,"FedExCupPlayoffsPoints",2012
100,100,"Martin Flores",26,562,NA,2,6737,NA,"FedExCupPlayoffsPoints",2012
101,101,"John Mallinger",22,543,NA,2,6756,NA,"FedExCupPlayoffsPoints",2012
102,102,"Will Claxton",24,530,NA,2,6769,NA,"FedExCupPlayoffsPoints",2012
103,103,"Gary Christian",24,529,NA,1,6770,NA,"FedExCupPlayoffsPoints",2012
104,104,"Chad Campbell",23,517,NA,2,6782,NA,"FedExCupPlayoffsPoints",2012
105,105,"Freddie Jacobson",16,513,NA,1,6786,NA,"FedExCupPlayoffsPoints",2012
106,106,"Andres Romero",20,506,NA,2,6793,NA,"FedExCupPlayoffsPoints",2012
107,107,"Rod Pampling",22,505,NA,1,6794,NA,"FedExCupPlayoffsPoints",2012
108,108,"Billy Mayfair",24,500,NA,1,6799,NA,"FedExCupPlayoffsPoints",2012
109,109,"Brian Gay",24,491,NA,2,6808,NA,"FedExCupPlayoffsPoints",2012
110,110,"Chris Stroud",24,484,NA,2,6815,NA,"FedExCupPlayoffsPoints",2012
111,111,"Henrik Stenson",13,462,NA,1,6837,NA,"FedExCupPlayoffsPoints",2012
112,112,"Kevin Streelman",23,462,NA,3,6837,NA,"FedExCupPlayoffsPoints",2012
113,113,"Troy Kelly",20,462,NA,1,6837,NA,"FedExCupPlayoffsPoints",2012
114,114,"Kevin Chappell",25,447,NA,1,6852,NA,"FedExCupPlayoffsPoints",2012
115,115,"Davis Love III",16,443,NA,2,6856,NA,"FedExCupPlayoffsPoints",2012
116,116,"Jeff Maggert",23,437,NA,1,6862,NA,"FedExCupPlayoffsPoints",2012
117,117,"Trevor Immelman",21,423,NA,NA,6876,NA,"FedExCupPlayoffsPoints",2012
118,118,"Robert Allenby",23,417,NA,2,6882,NA,"FedExCupPlayoffsPoints",2012
119,119,"James Driscoll",23,413,NA,2,6886,NA,"FedExCupPlayoffsPoints",2012
120,120,"Colt Knost",25,390,NA,2,6909,NA,"FedExCupPlayoffsPoints",2012
121,121,"Harrison Frazar",20,387,NA,2,6912,NA,"FedExCupPlayoffsPoints",2012
122,122,"Jerry Kelly",22,385,NA,NA,6914,NA,"FedExCupPlayoffsPoints",2012
123,123,"Boo Weekley",21,365,NA,2,6934,NA,"FedExCupPlayoffsPoints",2012
124,124,"Heath Slocum",25,365,NA,NA,6934,NA,"FedExCupPlayoffsPoints",2012
125,125,"Jason Bohn",24,363,NA,2,6936,NA,"FedExCupPlayoffsPoints",2012
126,126,"Jhonattan Vegas",22,361,NA,2,6938,NA,"FedExCupPlayoffsPoints",2012
127,127,"YE Yang",20,351,NA,NA,6948,NA,"FedExCupPlayoffsPoints",2012
128,128,"Tim Herron",23,339,NA,NA,6960,NA,"FedExCupPlayoffsPoints",2012
129,129,"Bobby Gates",25,338,NA,1,6961,NA,"FedExCupPlayoffsPoints",2012
130,130,"Brendan Steele",20,334,NA,3,6965,NA,"FedExCupPlayoffsPoints",2012
131,131,"Retief Goosen",12,330,NA,2,6969,NA,"FedExCupPlayoffsPoints",2012
132,132,"Chez Reavie",23,327,NA,NA,6972,NA,"FedExCupPlayoffsPoints",2012
133,133,"David Mathis",25,322,NA,1,6977,NA,"FedExCupPlayoffsPoints",2012
134,134,"Gary Woodland",19,321,NA,NA,6978,NA,"FedExCupPlayoffsPoints",2012
135,135,"Chris DiMarco",25,316,NA,1,6983,NA,"FedExCupPlayoffsPoints",2012
136,136,"Vaughn Taylor",22,312,NA,NA,6987,NA,"FedExCupPlayoffsPoints",2012
137,137,"Erik Compton",22,311,NA,NA,6988,NA,"FedExCupPlayoffsPoints",2012
138,138,"Kyle Reifers",23,311,NA,NA,6988,NA,"FedExCupPlayoffsPoints",2012
139,139,"Stewart Cink",19,310,NA,NA,6989,NA,"FedExCupPlayoffsPoints",2012
140,140,"John Daly",12,298,NA,1,7001,NA,"FedExCupPlayoffsPoints",2012
141,141,"Kris Blanks",23,297,NA,NA,7002,NA,"FedExCupPlayoffsPoints",2012
142,142,"Bill Lunde",21,294,NA,NA,7005,NA,"FedExCupPlayoffsPoints",2012
143,143,"Billy Horschel",14,289,NA,1,7010,NA,"FedExCupPlayoffsPoints",2012
144,144,"Stuart Appleby",20,287,NA,NA,7012,NA,"FedExCupPlayoffsPoints",2012
145,145,"JJ Killeen",29,286,NA,1,7013,NA,"FedExCupPlayoffsPoints",2012
146,146,"Brendon Todd",25,281,NA,1,7018,NA,"FedExCupPlayoffsPoints",2012
147,147,"Justin Leonard",22,277,NA,2,7022,NA,"FedExCupPlayoffsPoints",2012
148,148,"Camilo Villegas",21,267,NA,NA,7032,NA,"FedExCupPlayoffsPoints",2012
149,149,"Richard Lee",20,262,NA,NA,7037,NA,"FedExCupPlayoffsPoints",2012
150,150,"Billy Hurley III",23,256,NA,2,7043,NA,"FedExCupPlayoffsPoints",2012
