"ofPotentialPtswonFedExCupRegularSeason_RANKTHISWEEK_2013","ofPotentialPtswonFedExCupRegularSeason_RANKLASTWEEK_2013","ofPotentialPtswonFedExCupRegularSeason_PLAYERNAME_2013","ofPotentialPtswonFedExCupRegularSeason_EVENTS_2013","ofPotentialPtswonFedExCupRegularSeason_Pct_2013","ofPotentialPtswonFedExCupRegularSeason_POINTSWON_2013","ofPotentialPtswonFedExCupRegularSeason_POTENTIALPTS_2013","ofPotentialPtswonFedExCupRegularSeason_OFWINS_2013","ofPotentialPtswonFedExCupRegularSeason_OFTOP10S_2013","stat_name","year"
32,32,"Paul Stankowski",1,9.17,28,300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
34,34,"Chris Kirk",24,9.04,904,10000,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2013
35,35,"Ian Poulter",16,9.02,645,7150,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2013
36,36,"Charles Howell III",26,8.97,996,11100,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2013
37,37,"Angel Cabrera",21,8.84,826,9350,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
38,38,"Woody Austin",8,8.81,326,3700,1,1,"ofPotentialPtswonFedExCupRegularSeason",2013
38,38,"Jonas Blixt",24,8.81,912,10350,1,2,"ofPotentialPtswonFedExCupRegularSeason",2013
40,40,"DA Points",28,8.76,1038,11850,1,2,"ofPotentialPtswonFedExCupRegularSeason",2013
41,41,"John Merrick",23,8.74,909,10400,1,2,"ofPotentialPtswonFedExCupRegularSeason",2013
42,42,"Bubba Watson",21,8.6,830,9650,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2013
43,43,"Matt Jones",24,8.36,836,10000,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2013
44,44,"Michael Thompson",22,8.2,828,10100,1,3,"ofPotentialPtswonFedExCupRegularSeason",2013
45,45,"Rickie Fowler",22,8.1,822,10150,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2013
45,45,"Charley Hoffman",23,8.1,793,9800,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2013
47,47,"Martin Laird",21,8.05,809,10050,1,2,"ofPotentialPtswonFedExCupRegularSeason",2013
48,48,"Ryan Palmer",22,7.77,801,10300,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2013
49,49,"Graham DeLaet",26,7.72,856,11100,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2013
50,50,"Brendon Todd",10,7.5,293,3900,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
51,51,"David Lingmerth",23,7.47,806,10800,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2013
52,52,"Tim Clark",20,7.33,703,9600,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2013
53,53,"Ken Duke",28,7.3,902,12350,1,2,"ofPotentialPtswonFedExCupRegularSeason",2013
54,54,"Freddie Jacobson",19,7.24,659,9100,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2013
55,55,"Sangmoon Bae",26,7.19,838,11650,1,2,"ofPotentialPtswonFedExCupRegularSeason",2013
56,56,"Brian Gay",24,7.16,744,10400,1,1,"ofPotentialPtswonFedExCupRegularSeason",2013
57,57,"David Lynn",22,7.12,716,10050,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
58,58,"Chris Stroud",26,7.08,800,11300,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2013
59,59,"Scott Piercy",24,6.93,773,11150,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2013
60,60,"Bernhard Langer",1,6.92,42,600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
61,61,"Roberto Castro",29,6.86,823,12000,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
61,61,"Scott Stallings",27,6.86,816,11900,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2013
63,63,"John Rollins",24,6.82,696,10200,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
64,64,"Ryan Moore",22,6.77,653,9650,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2013
65,65,"Ernie Els",19,6.6,571,8650,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
65,65,"Derek Ernst",21,6.6,598,9050,1,1,"ofPotentialPtswonFedExCupRegularSeason",2013
67,67,"Gary Woodland",26,6.57,683,10400,1,1,"ofPotentialPtswonFedExCupRegularSeason",2013
68,68,"David Hearn",26,6.56,728,11100,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
69,69,"Bob Estes",18,6.53,523,8000,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
70,70,"Kevin Chappell",24,6.5,689,10600,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2013
71,71,"Scott Brown",21,6.47,588,9100,1,1,"ofPotentialPtswonFedExCupRegularSeason",2013
72,72,"Fred Couples",4,6.29,138,2200,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
73,73,"Brendon de Jonge",30,6.25,769,12300,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2013
74,74,"Josh Teater",24,6.2,682,11000,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2013
75,75,"Marc Leishman",23,6.17,648,10500,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2013
76,76,"KJ Choi",24,6.14,666,10850,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
77,77,"Jerry Kelly",22,6.1,580,9500,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
78,78,"Kyle Stanley",24,6.07,662,10900,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2013
79,79,"Nick Watney",26,5.94,663,11150,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
80,80,"Cameron Tringale",24,5.89,654,11100,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
81,81,"Martin Kaymer",17,5.82,474,8150,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2013
82,82,"Robert Garrigus",22,5.67,601,10600,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
82,82,"Pat Perez",22,5.67,544,9600,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2013
82,82,"Mark Wilson",19,5.67,476,8400,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2013
85,85,"Daniel Summerhays",26,5.45,594,10900,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2013
86,86,"Stewart Cink",22,5.41,568,10500,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2013
87,87,"Glen Day",6,5.4,113,2100,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
88,88,"Kevin Stadler",25,5.31,547,10300,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
89,89,"Russ Cochran",1,5.3,27,500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
90,90,"John Huh",28,5.27,661,12550,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
91,91,"Brendan Steele",26,5.22,574,11000,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
92,92,"Geoff Ogilvy",19,5.2,492,9450,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
93,93,"Bryce Molder",24,5.19,504,9700,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
94,94,"Brian Davis",28,5.18,622,12000,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2013
94,94,"Richard Lee",24,5.18,565,10900,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
96,96,"Martin Flores",25,5.16,552,10700,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
96,96,"Brian Stuard",25,5.16,583,11300,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2013
98,98,"Ted Potter Jr",22,5.13,518,10100,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
99,99,"William McGirt",24,5.12,533,10400,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
100,100,"Bo Van Pelt",22,5.08,542,10650,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
101,101,"Morgan Hoffmann",20,4.99,444,8900,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2013
102,102,"Luke Guthrie",27,4.98,607,12200,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
102,102,"Rory Sabbatini",27,4.98,553,11100,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2013
104,104,"James Driscoll",23,4.9,524,10700,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
105,105,"Justin Leonard",24,4.88,536,11000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
106,106,"Billy Andrade",3,4.81,63,1300,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
107,107,"Nicholas Thompson",29,4.76,585,12300,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
108,108,"Andres Romero",21,4.68,430,9200,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
109,109,"Jason Kokrak",25,4.65,521,11200,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2013
110,110,"Camilo Villegas",23,4.64,450,9700,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
111,111,"Brian Harman",29,4.62,578,12500,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
112,112,"Jeff Maggert",21,4.57,453,9900,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
112,112,"Chez Reavie",22,4.57,439,9600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
114,114,"Jeff Overton",24,4.52,484,10700,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
115,115,"DH Lee",22,4.5,432,9600,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2013
116,116,"Matt Every",28,4.43,545,12300,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2013
117,117,"Andre Stolz",1,4.42,13,300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
118,118,"Cameron Beckman",8,4.41,150,3400,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
119,119,"Jason Bohn",23,4.37,454,10400,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
119,119,"Peter Hanson",15,4.37,356,8150,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
119,119,"Russell Knox",11,4.37,197,4500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
122,122,"Nick OHern",10,4.32,169,3900,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
123,123,"David Frost",1,4.3,22,500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
123,123,"JJ Henry",26,4.3,516,12000,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
125,125,"Steven Bowditch",22,4.25,400,9400,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
126,126,"George McNeill",21,4.24,399,9400,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
127,127,"Louis Oosthuizen",12,4.14,249,6000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
128,128,"Lucas Glover",23,4.12,454,11000,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
129,129,"Charlie Beljan",24,4.1,459,11200,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
129,129,"James Hahn",26,4.1,480,11700,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
131,131,"Erik Compton",24,4.06,422,10400,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
132,132,"David Toms",16,4.05,326,8050,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
133,133,"Justin Hicks",25,4.03,451,11200,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
134,134,"Retief Goosen",9,3.97,182,4600,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
135,135,"Ben Crane",21,3.92,369,9400,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
136,136,"Nicolas Colsaerts",17,3.9,353,9050,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2013
137,137,"Padraig Harrington",17,3.88,345,8900,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2013
138,138,"Charlie Wi",23,3.86,401,10400,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
139,139,"Kenny Perry",3,3.83,58,1500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
140,140,"Jim Herman",19,3.82,325,8500,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
141,141,"John Senden",25,3.79,458,12100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
142,142,"Carl Pettersson",24,3.76,439,11650,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
143,143,"Stuart Appleby",25,3.73,395,10600,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
143,143,"Johnson Wagner",24,3.73,430,11500,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
145,145,"Greg Chalmers",25,3.69,395,10700,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
146,146,"Aaron Baddeley",24,3.64,401,11000,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
147,147,"Vaughn Taylor",16,3.57,246,6900,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
148,148,"Shawn Stefani",21,3.43,333,9700,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
149,149,"Bill Lunde",10,3.4,133,3900,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
150,150,"Brandt Jobe",19,3.33,283,8500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
151,151,"Jonathan Byrd",16,3.25,234,7200,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
152,152,"Brad Fritsch",24,3.21,350,10900,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
152,152,"Skip Kendall",2,3.21,19,600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
154,154,"Fabian Gomez",23,3.19,339,10600,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
154,154,"Scott Langley",27,3.19,386,12100,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
156,156,"Robert Streb",25,3.15,359,11400,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
157,157,"Chris Riley",3,3.14,35,1100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
158,158,"Davis Love III",15,3.07,209,6800,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
159,159,"Heath Slocum",9,2.99,102,3400,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
160,160,"Bud Cauley",24,2.98,343,11500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
161,161,"Ross Fisher",15,2.95,215,7300,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
162,162,"Greg Owen",24,2.94,336,11400,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
162,162,"Vijay Singh",19,2.94,291,9900,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
162,162,"Dean Wilson",2,2.94,24,800,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
165,165,"Matt Bettencourt",9,2.91,102,3500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
166,166,"Steve LeBrun",21,2.88,270,9400,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
167,167,"Chad Campbell",25,2.87,330,11500,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
168,168,"Robert Karlsson",18,2.85,236,8300,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
169,169,"Joe Affrunti",5,2.82,56,2000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
170,170,"Ricky Barnes",26,2.81,342,12200,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
170,170,"Paul Casey",7,2.81,100,3550,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
170,170,"Ryo Ishikawa",23,2.81,298,10600,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
173,173,"Dicky Pride",23,2.79,293,10500,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
174,174,"Marco Dawson",1,2.75,8,300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
174,174,"Kent Jones",1,2.75,8,300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
176,176,"Nathan Green",9,2.71,92,3400,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
176,176,"Doug LaBelle II",23,2.71,290,10700,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
176,176,"Tag Ridings",24,2.71,295,10900,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
179,179,"Duffy Waldorf",3,2.69,35,1300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
180,180,"Justin Bolli",23,2.68,278,10400,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2013
181,181,"Bart Bryant",2,2.65,27,1000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
182,182,"Trevor Immelman",24,2.63,295,11200,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
183,183,"Chris DiMarco",11,2.58,118,4600,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
184,184,"Tom Gillis",22,2.54,264,10400,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
185,185,"Ben Kohles",25,2.51,286,11400,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
186,186,"Tim Herron",15,2.5,190,7600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
187,187,"Ben Curtis",20,2.46,251,10200,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
188,188,"DJ Trahan",16,2.45,169,6900,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
189,189,"Cameron Percy",21,2.44,230,9400,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
190,190,"Tommy Gainey",28,2.36,324,13750,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
191,191,"Kevin Na",8,2.35,92,3900,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
192,192,"Hank Kuehne",5,2.34,59,2500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
193,193,"Henrik Norlander",22,2.31,229,9900,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
194,194,"Steve Flesch",6,2.29,60,2600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
195,195,"Kevin Sutherland",13,2.26,129,5700,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
196,196,"Tim Petrovic",12,2.23,109,4900,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
197,197,"Marc Turnesa",2,2.15,13,600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
198,198,"Stephen Ames",19,2.07,182,8800,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
199,199,"YE Yang",19,1.96,182,9300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
200,200,"John Mallinger",12,1.93,112,5800,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
200,200,"Seung Yul Noh",25,1.93,226,11700,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
202,202,"Robert Gamez",3,1.9,21,1100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
203,203,"Luke List",24,1.85,202,10900,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
204,204,"David Mathis",24,1.79,197,11000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
205,205,"Troy Matteson",24,1.76,194,11000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
205,205,"Sean OHair",22,1.76,183,10400,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
207,207,"Will Claxton",24,1.69,186,11000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
208,208,"Mike Weir",22,1.68,173,10300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
209,209,"Jose Maria Olazabal",2,1.63,20,1200,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
210,210,"Bobby Gates",20,1.62,144,8900,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
211,211,"Rod Pampling",16,1.58,109,6900,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
211,211,"Casey Wittenberg",27,1.58,199,12600,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
213,213,"Scott Gardiner",23,1.55,161,10400,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
214,214,"Steve Marino",12,1.52,91,6000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
215,215,"Aaron Watkins",19,1.5,126,8400,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
216,216,"Darron Stiles",20,1.41,125,8900,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
217,217,"Jin Park",20,1.4,125,8900,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
218,218,"Joe Durant",7,1.39,40,2900,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
218,218,"Tom Watson",4,1.39,32,2300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
220,220,"Sandy Lyle",2,1.35,16,1200,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
220,220,"Lee Williams",22,1.35,134,9900,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
222,222,"Billy Mayfair",14,1.34,79,5900,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
223,223,"Alistair Presnell",23,1.33,140,10500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
224,224,"Andres Gonzales",17,1.3,96,7400,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
225,225,"Gary Christian",10,1.28,52,4100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
226,226,"Joey Snyder III",15,1.25,85,6800,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
227,227,"Robert Allenby",24,1.15,129,11200,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2013
228,228,"Colt Knost",25,1.13,130,11500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
229,229,"Andrew Svoboda",18,1.11,89,8000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
230,230,"Ryuji Imada",7,1.09,32,2900,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
231,231,"Tom Lehman",2,0.95,11,1100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
232,232,"Paul Haley II",18,0.94,74,7900,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
233,233,"Jeff Gove",17,0.93,69,7400,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
234,234,"Scott Verplank",14,0.91,57,6300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
235,235,"Eric Meierdierks",19,0.86,72,8400,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
235,235,"Joe Ogilvie",15,0.86,58,6700,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
237,237,"Michael Bradley",21,0.79,74,9400,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
237,237,"Alexandre Rocha",3,0.79,10,1300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
239,239,"Wes Short Jr",15,0.77,51,6600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
240,240,"JB Holmes",5,0.66,17,2500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
241,241,"Mark OMeara",3,0.62,11,1700,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
