"ScramblingfromOtherLocations_RANKTHISWEEK_2011","ScramblingfromOtherLocations_RANKLASTWEEK_2011","ScramblingfromOtherLocations_PLAYERNAME_2011","ScramblingfromOtherLocations_ROUNDS_2011","ScramblingfromOtherLocations_Pct_2011","ScramblingfromOtherLocations_SUCCESSES_2011","ScramblingfromOtherLocations_ATTEMPTS_2011","stat_name","year"
110,110,"Johnson Wagner",81,56.69,72,127,"ScramblingfromOtherLocations",2011
111,111,"Brandt Jobe",100,56.58,86,152,"ScramblingfromOtherLocations",2011
112,112,"Cameron Tringale",110,56.35,111,197,"ScramblingfromOtherLocations",2011
113,113,"Scott Gutschewski",67,56.3,67,119,"ScramblingfromOtherLocations",2011
113,113,"Vijay Singh",79,56.3,67,119,"ScramblingfromOtherLocations",2011
115,115,"Cameron Beckman",71,56.12,78,139,"ScramblingfromOtherLocations",2011
116,116,"Stewart Cink",72,56.04,51,91,"ScramblingfromOtherLocations",2011
117,117,"Jhonattan Vegas",84,56,70,125,"ScramblingfromOtherLocations",2011
118,118,"Kent Jones",76,55.93,66,118,"ScramblingfromOtherLocations",2011
119,119,"George McNeill",69,55.73,73,131,"ScramblingfromOtherLocations",2011
120,120,"DJ Trahan",91,55.63,79,142,"ScramblingfromOtherLocations",2011
121,121,"Rich Beem",53,55.56,75,135,"ScramblingfromOtherLocations",2011
122,122,"Rocco Mediate",53,55.43,51,92,"ScramblingfromOtherLocations",2011
123,123,"Kevin Chappell",78,55.36,62,112,"ScramblingfromOtherLocations",2011
124,124,"Shaun Micheel",77,55.3,73,132,"ScramblingfromOtherLocations",2011
125,125,"Heath Slocum",89,55.26,84,152,"ScramblingfromOtherLocations",2011
126,126,"Hunter Mahan",92,54.92,67,122,"ScramblingfromOtherLocations",2011
127,127,"Padraig Harrington",60,54.9,56,102,"ScramblingfromOtherLocations",2011
128,128,"Stuart Appleby",65,54.89,73,133,"ScramblingfromOtherLocations",2011
129,129,"Bill Lunde",92,54.71,93,170,"ScramblingfromOtherLocations",2011
130,130,"Fabian Gomez",84,54.68,76,139,"ScramblingfromOtherLocations",2011
131,131,"Sergio Garcia",61,54.67,41,75,"ScramblingfromOtherLocations",2011
132,132,"Matt Bettencourt",84,54.65,94,172,"ScramblingfromOtherLocations",2011
133,133,"Bubba Watson",85,54.64,53,97,"ScramblingfromOtherLocations",2011
134,134,"Paul Stankowski",78,54.62,71,130,"ScramblingfromOtherLocations",2011
135,135,"JB Holmes",57,54.55,48,88,"ScramblingfromOtherLocations",2011
135,135,"Camilo Villegas",69,54.55,54,99,"ScramblingfromOtherLocations",2011
137,137,"Michael Bradley",74,54.23,77,142,"ScramblingfromOtherLocations",2011
138,138,"Justin Hicks",60,54.13,59,109,"ScramblingfromOtherLocations",2011
139,139,"Dustin Johnson",72,53.95,41,76,"ScramblingfromOtherLocations",2011
140,140,"Steve Flesch",88,53.93,103,191,"ScramblingfromOtherLocations",2011
141,141,"Kevin Kisner",70,53.79,78,145,"ScramblingfromOtherLocations",2011
141,141,"Jarrod Lyle",83,53.79,78,145,"ScramblingfromOtherLocations",2011
143,143,"Ernie Els",71,53.73,36,67,"ScramblingfromOtherLocations",2011
144,144,"Rickie Fowler",84,53.64,59,110,"ScramblingfromOtherLocations",2011
145,145,"Scott Stallings",84,53.57,75,140,"ScramblingfromOtherLocations",2011
146,146,"Troy Matteson",91,53.52,76,142,"ScramblingfromOtherLocations",2011
147,147,"David Duval",67,53.45,62,116,"ScramblingfromOtherLocations",2011
148,148,"Troy Merritt",63,53.33,64,120,"ScramblingfromOtherLocations",2011
148,148,"Justin Rose",79,53.33,48,90,"ScramblingfromOtherLocations",2011
150,150,"Joseph Bramlett",73,53.15,59,111,"ScramblingfromOtherLocations",2011
151,151,"Bobby Gates",82,53.1,77,145,"ScramblingfromOtherLocations",2011
152,152,"Jeff Overton",92,53.02,79,149,"ScramblingfromOtherLocations",2011
153,153,"Sean OHair",71,52.94,72,136,"ScramblingfromOtherLocations",2011
154,154,"Tommy Gainey",104,52.82,103,195,"ScramblingfromOtherLocations",2011
155,155,"Lucas Glover",74,52.75,48,91,"ScramblingfromOtherLocations",2011
156,156,"Ryan Palmer",82,52.68,59,112,"ScramblingfromOtherLocations",2011
157,157,"Chez Reavie",92,52.63,80,152,"ScramblingfromOtherLocations",2011
158,158,"Robert Allenby",84,52.58,51,97,"ScramblingfromOtherLocations",2011
