"FirstTeeLateScoringAverage_RANKTHISWEEK_2010","FirstTeeLateScoringAverage_RANKLASTWEEK_2010","FirstTeeLateScoringAverage_PLAYERNAME_2010","FirstTeeLateScoringAverage_ROUNDS_2010","FirstTeeLateScoringAverage_AVG_2010","FirstTeeLateScoringAverage_TOTALSTROKES_2010","FirstTeeLateScoringAverage_TOTAL1STTEELATEROUNDS_2010","stat_name","year"
107,107,"Tim Clark",88,70.86,2055,29,"FirstTeeLateScoringAverage",2010
108,108,"Mathias Gronberg",61,70.87,1063,15,"FirstTeeLateScoringAverage",2010
109,109,"Greg Owen",69,70.9,1489,21,"FirstTeeLateScoringAverage",2010
109,109,"Jay Williamson",76,70.9,1489,21,"FirstTeeLateScoringAverage",2010
111,111,"Lucas Glover",75,70.93,2128,30,"FirstTeeLateScoringAverage",2010
111,111,"Justin Leonard",89,70.93,2128,30,"FirstTeeLateScoringAverage",2010
111,111,"Tim Petrovic",105,70.93,2128,30,"FirstTeeLateScoringAverage",2010
114,114,"Sean OHair",84,70.94,2483,35,"FirstTeeLateScoringAverage",2010
115,115,"Dustin Johnson",83,70.95,2838,40,"FirstTeeLateScoringAverage",2010
115,115,"Phil Mickelson",76,70.95,2980,42,"FirstTeeLateScoringAverage",2010
117,117,"Nathan Green",86,70.96,1987,28,"FirstTeeLateScoringAverage",2010
118,118,"Angel Cabrera",64,70.97,2200,31,"FirstTeeLateScoringAverage",2010
118,118,"Stewart Cink",84,70.97,2200,31,"FirstTeeLateScoringAverage",2010
120,120,"Stephen Ames",75,71,1562,22,"FirstTeeLateScoringAverage",2010
120,120,"Greg Chalmers",93,71,1988,28,"FirstTeeLateScoringAverage",2010
120,120,"Charley Hoffman",85,71,2201,31,"FirstTeeLateScoringAverage",2010
120,120,"Ryuji Imada",90,71,1562,22,"FirstTeeLateScoringAverage",2010
120,120,"Bryce Molder",84,71,2130,30,"FirstTeeLateScoringAverage",2010
125,125,"Alex Prugh",88,71.03,2202,31,"FirstTeeLateScoringAverage",2010
126,126,"James Driscoll",78,71.04,1634,23,"FirstTeeLateScoringAverage",2010
126,126,"Brian Stuard",81,71.04,1989,28,"FirstTeeLateScoringAverage",2010
128,128,"Rocco Mediate",71,71.05,1492,21,"FirstTeeLateScoringAverage",2010
129,129,"Steve Lowery",67,71.06,1208,17,"FirstTeeLateScoringAverage",2010
129,129,"Rory McIlroy",54,71.06,1279,18,"FirstTeeLateScoringAverage",2010
131,131,"Will Ma Kenzie",72,71.08,1706,24,"FirstTeeLateScoringAverage",2010
132,132,"Bob Estes",79,71.13,1636,23,"FirstTeeLateScoringAverage",2010
133,133,"Bill Lunde",79,71.14,1494,21,"FirstTeeLateScoringAverage",2010
133,133,"Chris Tidland",77,71.14,1565,22,"FirstTeeLateScoringAverage",2010
