"FedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2008","FedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2008","FedExCupSeasonPointsforNonMembers_PLAYERNAME_2008","FedExCupSeasonPointsforNonMembers_EVENTS_2008","FedExCupSeasonPointsforNonMembers_POINTS_2008","FedExCupSeasonPointsforNonMembers_WGCPOINTS_2008","stat_name","year"
74,74,"Kiyoshi Miyazato",1,56,NA,"FedExCupSeasonPointsforNonMembers",2008
75,75,"Jean Baptiste Gonnet",1,56,NA,"FedExCupSeasonPointsforNonMembers",2008
75,75,"David Horsey",1,56,NA,"FedExCupSeasonPointsforNonMembers",2008
77,77,"Hiroyuki Fujita",1,56,NA,"FedExCupSeasonPointsforNonMembers",2008
78,78,"Jonathan Moore",2,56,NA,"FedExCupSeasonPointsforNonMembers",2008
79,79,"Scott Strange",3,56,56,"FedExCupSeasonPointsforNonMembers",2008
80,80,"Bubba Dickerson",1,55,NA,"FedExCupSeasonPointsforNonMembers",2008
80,80,"David Hearn",2,55,NA,"FedExCupSeasonPointsforNonMembers",2008
82,82,"Mitsuhiro Tateyama",1,54,NA,"FedExCupSeasonPointsforNonMembers",2008
83,83,"Andrew Dresser",1,54,NA,"FedExCupSeasonPointsforNonMembers",2008
83,83,"Andrew Svoboda",1,54,NA,"FedExCupSeasonPointsforNonMembers",2008
85,85,"Jose Filipe Lima",1,53,NA,"FedExCupSeasonPointsforNonMembers",2008
85,85,"Martin Wiegele",1,53,NA,"FedExCupSeasonPointsforNonMembers",2008
87,87,"Bryan DeCorso",1,53,NA,"FedExCupSeasonPointsforNonMembers",2008
88,88,"Justin Hicks",1,52,NA,"FedExCupSeasonPointsforNonMembers",2008
89,89,"Ross McGowan",1,51,NA,"FedExCupSeasonPointsforNonMembers",2008
90,90,"Derek Lamely",1,50,NA,"FedExCupSeasonPointsforNonMembers",2008
91,91,"Peter Karmis",1,49,NA,"FedExCupSeasonPointsforNonMembers",2008
92,92,"Philip Archer",2,49,NA,"FedExCupSeasonPointsforNonMembers",2008
93,93,"Pete Jordan",1,49,NA,"FedExCupSeasonPointsforNonMembers",2008
94,94,"Chih Bing Lam",1,48,NA,"FedExCupSeasonPointsforNonMembers",2008
95,95,"Alan Morin",2,48,NA,"FedExCupSeasonPointsforNonMembers",2008
96,96,"Reid Edstrom",1,47,NA,"FedExCupSeasonPointsforNonMembers",2008
97,97,"Keiichiro Fukabori",1,46,NA,"FedExCupSeasonPointsforNonMembers",2008
98,98,"Dustin Risdon",1,45,NA,"FedExCupSeasonPointsforNonMembers",2008
99,99,"Deane Pappas",2,30,NA,"FedExCupSeasonPointsforNonMembers",2008
100,100,"Scott Piercy",2,27,NA,"FedExCupSeasonPointsforNonMembers",2008
101,101,"Miguel Suarez",1,26,NA,"FedExCupSeasonPointsforNonMembers",2008
102,102,"Jon Turcott",2,26,NA,"FedExCupSeasonPointsforNonMembers",2008
103,103,"Wilfredo Morales",1,23,NA,"FedExCupSeasonPointsforNonMembers",2008
