"Approaches_RANKTHISWEEK_2010","Approaches_RANKLASTWEEK_2010","Approaches_PLAYERNAME_2010","Approaches_ROUNDS_2010","Approaches_AVGRTP_2010","stat_name","year"
63,63,"Camilo Villegas",78,0.042,"Approaches",2010
64,64,"Brian Gay",101,0.045,"Approaches",2010
64,64,"Jeev Milkha Singh",59,0.045,"Approaches",2010
66,66,"Dustin Johnson",83,0.05,"Approaches",2010
67,67,"Robert Garrigus",71,0.051,"Approaches",2010
68,68,"Andres Romero",73,0.056,"Approaches",2010
68,68,"Brett Wetterich",54,0.056,"Approaches",2010
70,70,"DJ Trahan",92,0.058,"Approaches",2010
71,71,"Pat Perez",90,0.061,"Approaches",2010
71,71,"Chris Tidland",77,0.061,"Approaches",2010
71,71,"Jimmy Walker",82,0.061,"Approaches",2010
71,71,"Mark Wilson",87,0.061,"Approaches",2010
75,75,"Jason Bohn",84,0.063,"Approaches",2010
75,75,"Kevin Na",94,0.063,"Approaches",2010
77,77,"Stuart Appleby",101,0.064,"Approaches",2010
78,78,"Joe Ogilvie",99,0.065,"Approaches",2010
79,79,"Brendon de Jonge",114,0.069,"Approaches",2010
80,80,"Spencer Levin",110,0.07,"Approaches",2010
81,81,"Freddie Jacobson",83,0.071,"Approaches",2010
81,81,"Ryan Moore",80,0.071,"Approaches",2010
83,83,"Tom Gillis",97,0.073,"Approaches",2010
83,83,"Tim Herron",79,0.073,"Approaches",2010
85,85,"Jonathan Byrd",85,0.081,"Approaches",2010
86,86,"Martin Flores",75,0.083,"Approaches",2010
86,86,"John Mallinger",78,0.083,"Approaches",2010
88,88,"Graham DeLaet",88,0.086,"Approaches",2010
88,88,"Matt Kuchar",97,0.086,"Approaches",2010
90,90,"Brian Davis",101,0.087,"Approaches",2010
91,91,"Blake Adams",84,0.091,"Approaches",2010
91,91,"Brent Delahoussaye",57,0.091,"Approaches",2010
91,91,"Andrew McLardy",52,0.091,"Approaches",2010
94,94,"Angel Cabrera",64,0.098,"Approaches",2010
94,94,"Charles Howell III",103,0.098,"Approaches",2010
96,96,"Roger Tambellini",77,0.1,"Approaches",2010
96,96,"Vance Veazey",58,0.1,"Approaches",2010
98,98,"Cameron Beckman",68,0.103,"Approaches",2010
98,98,"Ernie Els",72,0.103,"Approaches",2010
98,98,"John Merrick",109,0.103,"Approaches",2010
101,101,"Tim Clark",88,0.105,"Approaches",2010
102,102,"Sergio Garcia",58,0.111,"Approaches",2010
103,103,"Marc Leishman",87,0.114,"Approaches",2010
104,104,"Ben Curtis",78,0.12,"Approaches",2010
104,104,"Shaun Micheel",70,0.12,"Approaches",2010
104,104,"Brenden Pappas",66,0.12,"Approaches",2010
104,104,"Charlie Wi",95,0.12,"Approaches",2010
108,108,"David Lutterus",69,0.121,"Approaches",2010
109,109,"Brad Faxon",58,0.125,"Approaches",2010
110,110,"Rich Barcelo",70,0.132,"Approaches",2010
111,111,"Mathew Goggin",85,0.133,"Approaches",2010
111,111,"Alex Prugh",88,0.133,"Approaches",2010
113,113,"Nathan Green",86,0.135,"Approaches",2010
114,114,"David Duval",71,0.138,"Approaches",2010
114,114,"Rod Pampling",77,0.138,"Approaches",2010
114,114,"Charles Warren",64,0.138,"Approaches",2010
117,117,"Jason Dufner",87,0.143,"Approaches",2010
117,117,"Justin Leonard",89,0.143,"Approaches",2010
119,119,"Troy Matteson",84,0.147,"Approaches",2010
120,120,"Webb Simpson",98,0.149,"Approaches",2010
121,121,"Chris DiMarco",88,0.152,"Approaches",2010
121,121,"John Senden",103,0.152,"Approaches",2010
121,121,"Vaughn Taylor",87,0.152,"Approaches",2010
124,124,"Stephen Ames",75,0.154,"Approaches",2010
125,125,"Jay Williamson",76,0.158,"Approaches",2010
126,126,"Mark Calcavecchia",50,0.167,"Approaches",2010
126,126,"Alex Cejka",81,0.167,"Approaches",2010
128,128,"Matt Jones",89,0.175,"Approaches",2010
129,129,"Davis Love III",79,0.179,"Approaches",2010
130,130,"Stewart Cink",84,0.182,"Approaches",2010
130,130,"JP Hayes",79,0.182,"Approaches",2010
130,130,"Bill Lunde",79,0.182,"Approaches",2010
130,130,"Jeff Maggert",76,0.182,"Approaches",2010
130,130,"Nick Watney",91,0.182,"Approaches",2010
135,135,"Jason Day",82,0.184,"Approaches",2010
136,136,"Chad Campbell",95,0.185,"Approaches",2010
136,136,"Cameron Tringale",55,0.185,"Approaches",2010
136,136,"Mike Weir",59,0.185,"Approaches",2010
139,139,"Bo Van Pelt",104,0.189,"Approaches",2010
140,140,"Mathias Gronberg",61,0.19,"Approaches",2010
141,141,"Cliff Kresge",50,0.2,"Approaches",2010
142,142,"Jerry Kelly",99,0.208,"Approaches",2010
143,143,"Charley Hoffman",85,0.212,"Approaches",2010
144,144,"Omar Uresti",74,0.214,"Approaches",2010
145,145,"Ryan Palmer",84,0.217,"Approaches",2010
146,146,"Chad Collins",87,0.219,"Approaches",2010
147,147,"Kris Blanks",91,0.222,"Approaches",2010
148,148,"Steve Flesch",78,0.231,"Approaches",2010
149,149,"Matt Bettencourt",91,0.234,"Approaches",2010
150,150,"Ted Purdy",86,0.235,"Approaches",2010
151,151,"Matt Every",60,0.242,"Approaches",2010
152,152,"Carl Pettersson",99,0.243,"Approaches",2010
153,153,"Brett Quigley",96,0.244,"Approaches",2010
154,154,"Chris Riley",73,0.25,"Approaches",2010
154,154,"Roland Thatcher",72,0.25,"Approaches",2010
156,156,"James Nitties",92,0.257,"Approaches",2010
157,157,"Aron Price",70,0.261,"Approaches",2010
158,158,"Jeff Quinney",91,0.262,"Approaches",2010
159,159,"Scott Verplank",74,0.263,"Approaches",2010
160,160,"George McNeill",79,0.267,"Approaches",2010
160,160,"Kevin Streelman",90,0.267,"Approaches",2010
160,160,"Garrett Willis",82,0.267,"Approaches",2010
163,163,"Lee Janzen",77,0.273,"Approaches",2010
164,164,"Michael Letzig",84,0.275,"Approaches",2010
165,165,"KJ Choi",82,0.276,"Approaches",2010
165,165,"Steve Lowery",67,0.276,"Approaches",2010
167,167,"John Daly",63,0.286,"Approaches",2010
167,167,"Richard Johnson",90,0.286,"Approaches",2010
167,167,"Nicholas Thompson",88,0.286,"Approaches",2010
170,170,"Joe Durant",67,0.294,"Approaches",2010
171,171,"Trevor Immelman",55,0.3,"Approaches",2010
171,171,"Geoff Ogilvy",62,0.3,"Approaches",2010
173,173,"Josh Teater",101,0.302,"Approaches",2010
174,174,"Scott McCarron",90,0.304,"Approaches",2010
175,175,"Craig Bowden",56,0.308,"Approaches",2010
175,175,"Boo Weekley",88,0.308,"Approaches",2010
177,177,"Johnson Wagner",85,0.321,"Approaches",2010
178,178,"Brian Stuard",81,0.324,"Approaches",2010
179,179,"Jerod Turner",54,0.333,"Approaches",2010
180,180,"Daniel Chopra",74,0.341,"Approaches",2010
181,181,"Chris Couch",66,0.346,"Approaches",2010
182,182,"Henrik Bjornstad",72,0.353,"Approaches",2010
183,183,"Troy Merritt",86,0.359,"Approaches",2010
184,184,"Jeff Gove",57,0.364,"Approaches",2010
185,185,"Paul Casey",64,0.375,"Approaches",2010
185,185,"Paul Goydos",78,0.375,"Approaches",2010
185,185,"Skip Kendall",58,0.375,"Approaches",2010
185,185,"Steve Wheatcroft",74,0.375,"Approaches",2010
189,189,"Ian Poulter",55,0.4,"Approaches",2010
190,190,"Chris Wilson",65,0.406,"Approaches",2010
191,191,"Kevin Johnson",62,0.462,"Approaches",2010
192,192,"YE Yang",72,0.484,"Approaches",2010
