"FedExCupSeasonPoints_RANKTHISWEEK_2012","FedExCupSeasonPoints_RANKLASTWEEK_2012","FedExCupSeasonPoints_PLAYERNAME_2012","FedExCupSeasonPoints_EVENTS_2012","FedExCupSeasonPoints_POINTS_2012","FedExCupSeasonPoints_OFWINS_2012","FedExCupSeasonPoints_OFTOP10S_2012","FedExCupSeasonPoints_POINTSBEHINDLEAD_2012","FedExCupSeasonPoints_RESETPOINTS_2012","stat_name","year"
25,25,"John Huh",23,1123,1,4,1146,NA,"FedExCupSeasonPoints",2012
26,26,"Dustin Johnson",15,1097,1,5,1172,NA,"FedExCupSeasonPoints",2012
27,27,"Graeme McDowell",13,1037,NA,4,1232,NA,"FedExCupSeasonPoints",2012
28,28,"Marc Leishman",20,1003,1,2,1266,NA,"FedExCupSeasonPoints",2012
29,29,"Ben Curtis",13,997,1,3,1272,NA,"FedExCupSeasonPoints",2012
30,30,"Mark Wilson",21,986,1,2,1283,NA,"FedExCupSeasonPoints",2012
31,31,"Martin Laird",19,976,NA,3,1293,NA,"FedExCupSeasonPoints",2012
32,32,"Adam Scott",12,966,NA,3,1303,NA,"FedExCupSeasonPoints",2012
33,33,"Sergio Garcia",13,935,1,2,1334,NA,"FedExCupSeasonPoints",2012
34,34,"Louis Oosthuizen",15,928,NA,3,1341,NA,"FedExCupSeasonPoints",2012
35,35,"Bud Cauley",23,902,NA,5,1367,NA,"FedExCupSeasonPoints",2012
36,36,"Charlie Wi",21,901,NA,3,1368,NA,"FedExCupSeasonPoints",2012
37,37,"John Senden",18,867,NA,5,1402,NA,"FedExCupSeasonPoints",2012
38,38,"Kevin Na",21,866,NA,6,1403,NA,"FedExCupSeasonPoints",2012
39,39,"Ben Crane",19,849,NA,4,1420,NA,"FedExCupSeasonPoints",2012
40,40,"Seung Yul Noh",25,827,NA,3,1442,NA,"FedExCupSeasonPoints",2012
41,41,"Brendon de Jonge",25,815,NA,2,1454,NA,"FedExCupSeasonPoints",2012
42,42,"Ken Duke",25,776,NA,6,1493,NA,"FedExCupSeasonPoints",2012
43,43,"Jimmy Walker",23,763,NA,4,1506,NA,"FedExCupSeasonPoints",2012
44,44,"Ryan Palmer",19,745,NA,4,1524,NA,"FedExCupSeasonPoints",2012
45,45,"Spencer Levin",25,735,NA,3,1534,NA,"FedExCupSeasonPoints",2012
46,46,"John Rollins",21,732,NA,5,1537,NA,"FedExCupSeasonPoints",2012
47,47,"Jonathan Byrd",19,732,NA,5,1537,NA,"FedExCupSeasonPoints",2012
48,48,"Brian Davis",23,728,NA,4,1541,NA,"FedExCupSeasonPoints",2012
49,49,"Nick Watney",21,726,NA,3,1543,NA,"FedExCupSeasonPoints",2012
50,50,"DA Points",22,714,NA,3,1555,NA,"FedExCupSeasonPoints",2012
51,51,"Lee Westwood",11,713,NA,5,1556,NA,"FedExCupSeasonPoints",2012
52,52,"JJ Henry",26,713,1,3,1556,NA,"FedExCupSeasonPoints",2012
53,53,"Matt Every",19,711,NA,5,1558,NA,"FedExCupSeasonPoints",2012
54,54,"Tim Clark",16,707,NA,2,1562,NA,"FedExCupSeasonPoints",2012
55,55,"Ian Poulter",12,698,NA,4,1571,NA,"FedExCupSeasonPoints",2012
56,56,"Cameron Tringale",21,689,NA,4,1580,NA,"FedExCupSeasonPoints",2012
57,57,"Vijay Singh",21,669,NA,3,1600,NA,"FedExCupSeasonPoints",2012
58,58,"Jeff Overton",23,667,NA,2,1602,NA,"FedExCupSeasonPoints",2012
59,59,"Charles Howell III",23,666,NA,1,1603,NA,"FedExCupSeasonPoints",2012
60,60,"Troy Matteson",26,662,NA,3,1607,NA,"FedExCupSeasonPoints",2012
61,61,"Ted Potter Jr",21,647,1,1,1622,NA,"FedExCupSeasonPoints",2012
62,62,"Padraig Harrington",15,646,NA,3,1623,NA,"FedExCupSeasonPoints",2012
63,63,"Sean OHair",19,644,NA,2,1625,NA,"FedExCupSeasonPoints",2012
64,64,"Ryan Moore",19,635,NA,4,1634,NA,"FedExCupSeasonPoints",2012
65,65,"Aaron Baddeley",19,635,NA,3,1634,NA,"FedExCupSeasonPoints",2012
66,66,"Michael Thompson",21,634,NA,2,1635,NA,"FedExCupSeasonPoints",2012
67,67,"Charley Hoffman",23,628,NA,2,1641,NA,"FedExCupSeasonPoints",2012
68,68,"Geoff Ogilvy",17,624,NA,1,1645,NA,"FedExCupSeasonPoints",2012
69,69,"David Toms",17,623,NA,4,1646,NA,"FedExCupSeasonPoints",2012
70,70,"Kevin Stadler",21,620,NA,3,1649,NA,"FedExCupSeasonPoints",2012
71,71,"Sangmoon Bae",23,604,NA,2,1665,NA,"FedExCupSeasonPoints",2012
72,72,"Pat Perez",20,603,NA,1,1666,NA,"FedExCupSeasonPoints",2012
73,73,"Rory Sabbatini",23,602,NA,2,1667,NA,"FedExCupSeasonPoints",2012
74,74,"William McGirt",25,602,NA,2,1667,NA,"FedExCupSeasonPoints",2012
75,75,"Blake Adams",27,599,NA,2,1670,NA,"FedExCupSeasonPoints",2012
76,76,"George McNeill",21,599,1,1,1670,NA,"FedExCupSeasonPoints",2012
77,77,"KJ Choi",19,597,NA,2,1672,NA,"FedExCupSeasonPoints",2012
78,78,"Greg Chalmers",22,589,NA,NA,1680,NA,"FedExCupSeasonPoints",2012
79,79,"Dicky Pride",14,586,NA,3,1683,NA,"FedExCupSeasonPoints",2012
80,80,"Chris Kirk",21,574,NA,4,1695,NA,"FedExCupSeasonPoints",2012
81,81,"John Merrick",22,572,NA,2,1697,NA,"FedExCupSeasonPoints",2012
82,82,"JB Holmes",20,568,NA,2,1701,NA,"FedExCupSeasonPoints",2012
83,83,"Daniel Summerhays",20,567,NA,4,1702,NA,"FedExCupSeasonPoints",2012
84,84,"Greg Owen",21,556,NA,2,1713,NA,"FedExCupSeasonPoints",2012
85,85,"Martin Flores",24,556,NA,2,1713,NA,"FedExCupSeasonPoints",2012
86,86,"Scott Stallings",22,554,1,2,1715,NA,"FedExCupSeasonPoints",2012
87,87,"Harris English",22,549,NA,3,1720,NA,"FedExCupSeasonPoints",2012
88,88,"John Mallinger",21,543,NA,2,1726,NA,"FedExCupSeasonPoints",2012
89,89,"Will Claxton",23,530,NA,2,1739,NA,"FedExCupSeasonPoints",2012
90,90,"Charl Schwartzel",13,519,NA,2,1750,NA,"FedExCupSeasonPoints",2012
91,91,"Chad Campbell",22,517,NA,2,1752,NA,"FedExCupSeasonPoints",2012
92,92,"Tom Gillis",19,511,NA,1,1758,NA,"FedExCupSeasonPoints",2012
93,93,"Andres Romero",19,506,NA,2,1763,NA,"FedExCupSeasonPoints",2012
94,94,"Josh Teater",25,506,NA,3,1763,NA,"FedExCupSeasonPoints",2012
95,95,"Freddie Jacobson",15,500,NA,1,1769,NA,"FedExCupSeasonPoints",2012
96,96,"Bryce Molder",20,495,NA,1,1774,NA,"FedExCupSeasonPoints",2012
97,97,"Brian Harman",24,493,NA,NA,1776,NA,"FedExCupSeasonPoints",2012
98,98,"Ricky Barnes",23,489,NA,1,1780,NA,"FedExCupSeasonPoints",2012
99,99,"Chris Stroud",23,484,NA,2,1785,NA,"FedExCupSeasonPoints",2012
100,100,"Roberto Castro",21,477,NA,1,1792,NA,"FedExCupSeasonPoints",2012
101,101,"Jonas Blixt",15,470,NA,3,1799,NA,"FedExCupSeasonPoints",2012
102,102,"Tommy Gainey",27,464,NA,1,1805,NA,"FedExCupSeasonPoints",2012
103,103,"Bob Estes",19,458,NA,1,1811,NA,"FedExCupSeasonPoints",2012
104,104,"Kevin Chappell",24,447,NA,1,1822,NA,"FedExCupSeasonPoints",2012
105,105,"Davis Love III",15,443,NA,2,1826,NA,"FedExCupSeasonPoints",2012
106,106,"Graham DeLaet",20,441,NA,2,1828,NA,"FedExCupSeasonPoints",2012
107,107,"Jeff Maggert",22,433,NA,1,1836,NA,"FedExCupSeasonPoints",2012
108,108,"David Hearn",22,432,NA,1,1837,NA,"FedExCupSeasonPoints",2012
109,109,"Kevin Streelman",22,424,NA,3,1845,NA,"FedExCupSeasonPoints",2012
110,110,"Brian Gay",23,424,NA,2,1845,NA,"FedExCupSeasonPoints",2012
111,111,"Gary Christian",23,422,NA,1,1847,NA,"FedExCupSeasonPoints",2012
112,112,"Robert Allenby",22,417,NA,2,1852,NA,"FedExCupSeasonPoints",2012
113,113,"Jason Day",13,417,NA,3,1852,NA,"FedExCupSeasonPoints",2012
114,114,"Trevor Immelman",20,411,NA,NA,1858,NA,"FedExCupSeasonPoints",2012
115,115,"James Driscoll",22,408,NA,2,1861,NA,"FedExCupSeasonPoints",2012
116,116,"Rod Pampling",21,398,NA,1,1871,NA,"FedExCupSeasonPoints",2012
117,117,"Henrik Stenson",12,394,NA,1,1875,NA,"FedExCupSeasonPoints",2012
118,118,"Troy Kelly",19,394,NA,1,1875,NA,"FedExCupSeasonPoints",2012
119,119,"Billy Mayfair",23,393,NA,1,1876,NA,"FedExCupSeasonPoints",2012
120,120,"Colt Knost",24,390,NA,2,1879,NA,"FedExCupSeasonPoints",2012
121,121,"Harrison Frazar",19,387,NA,2,1882,NA,"FedExCupSeasonPoints",2012
122,122,"Jerry Kelly",21,385,NA,NA,1884,NA,"FedExCupSeasonPoints",2012
123,123,"Boo Weekley",20,365,NA,2,1904,NA,"FedExCupSeasonPoints",2012
124,124,"Heath Slocum",24,365,NA,NA,1904,NA,"FedExCupSeasonPoints",2012
125,125,"Jason Bohn",23,363,NA,2,1906,NA,"FedExCupSeasonPoints",2012
126,126,"Jhonattan Vegas",22,361,NA,2,1908,NA,"FedExCupSeasonPoints",2012
127,127,"YE Yang",20,351,NA,NA,1918,NA,"FedExCupSeasonPoints",2012
128,128,"Tim Herron",23,339,NA,NA,1930,NA,"FedExCupSeasonPoints",2012
129,129,"Bobby Gates",25,338,NA,1,1931,NA,"FedExCupSeasonPoints",2012
130,130,"Brendan Steele",20,334,NA,3,1935,NA,"FedExCupSeasonPoints",2012
131,131,"Retief Goosen",12,330,NA,2,1939,NA,"FedExCupSeasonPoints",2012
132,132,"Chez Reavie",23,327,NA,NA,1942,NA,"FedExCupSeasonPoints",2012
133,133,"David Mathis",25,322,NA,1,1947,NA,"FedExCupSeasonPoints",2012
134,134,"Gary Woodland",19,321,NA,NA,1948,NA,"FedExCupSeasonPoints",2012
135,135,"Chris DiMarco",25,316,NA,1,1953,NA,"FedExCupSeasonPoints",2012
136,136,"Vaughn Taylor",22,312,NA,NA,1957,NA,"FedExCupSeasonPoints",2012
137,137,"Erik Compton",22,311,NA,NA,1958,NA,"FedExCupSeasonPoints",2012
138,138,"Kyle Reifers",23,311,NA,NA,1958,NA,"FedExCupSeasonPoints",2012
139,139,"Stewart Cink",19,310,NA,NA,1959,NA,"FedExCupSeasonPoints",2012
140,140,"John Daly",12,298,NA,1,1971,NA,"FedExCupSeasonPoints",2012
141,141,"Kris Blanks",23,297,NA,NA,1972,NA,"FedExCupSeasonPoints",2012
142,142,"Bill Lunde",21,294,NA,NA,1975,NA,"FedExCupSeasonPoints",2012
143,143,"Billy Horschel",14,289,NA,1,1980,NA,"FedExCupSeasonPoints",2012
144,144,"Stuart Appleby",20,287,NA,NA,1982,NA,"FedExCupSeasonPoints",2012
145,145,"JJ Killeen",29,286,NA,1,1983,NA,"FedExCupSeasonPoints",2012
146,146,"Brendon Todd",25,281,NA,1,1988,NA,"FedExCupSeasonPoints",2012
147,147,"Justin Leonard",22,277,NA,2,1992,NA,"FedExCupSeasonPoints",2012
148,148,"Camilo Villegas",21,267,NA,NA,2002,NA,"FedExCupSeasonPoints",2012
149,149,"Richard Lee",20,262,NA,NA,2007,NA,"FedExCupSeasonPoints",2012
150,150,"Billy Hurley III",23,256,NA,2,2013,NA,"FedExCupSeasonPoints",2012
151,151,"Hunter Haas",24,251,NA,1,2018,NA,"FedExCupSeasonPoints",2012
152,152,"Nick OHern",22,250,NA,1,2019,NA,"FedExCupSeasonPoints",2012
153,153,"Kevin Kisner",20,248,NA,1,2021,NA,"FedExCupSeasonPoints",2012
154,154,"Nathan Green",18,245,NA,1,2024,NA,"FedExCupSeasonPoints",2012
155,155,"Brandt Jobe",18,245,NA,1,2024,NA,"FedExCupSeasonPoints",2012
156,156,"DJ Trahan",23,243,NA,1,2026,NA,"FedExCupSeasonPoints",2012
157,157,"Chris Couch",21,242,NA,NA,2027,NA,"FedExCupSeasonPoints",2012
158,158,"Robert Karlsson",13,239,NA,NA,2030,NA,"FedExCupSeasonPoints",2012
159,159,"Danny Lee",22,226,NA,NA,2043,NA,"FedExCupSeasonPoints",2012
160,160,"Charlie Beljan",18,222,NA,1,2047,NA,"FedExCupSeasonPoints",2012
161,161,"Lee Janzen",11,219,NA,1,2050,NA,"FedExCupSeasonPoints",2012
162,162,"Miguel Angel Carballo",21,213,NA,NA,2056,NA,"FedExCupSeasonPoints",2012
163,163,"Scott Brown",20,212,NA,3,2057,NA,"FedExCupSeasonPoints",2012
164,164,"Mark Anderson",21,209,NA,NA,2060,NA,"FedExCupSeasonPoints",2012
165,165,"Joe Durant",11,205,NA,1,2064,NA,"FedExCupSeasonPoints",2012
166,166,"Jarrod Lyle",7,199,NA,1,2070,NA,"FedExCupSeasonPoints",2012
167,167,"Rocco Mediate",19,195,NA,NA,2074,NA,"FedExCupSeasonPoints",2012
168,168,"Roland Thatcher",17,188,NA,1,2081,NA,"FedExCupSeasonPoints",2012
169,169,"Gavin Coles",19,184,NA,NA,2085,NA,"FedExCupSeasonPoints",2012
170,170,"Alexandre Rocha",17,183,NA,1,2086,NA,"FedExCupSeasonPoints",2012
171,171,"Arjun Atwal",23,181,NA,NA,2088,NA,"FedExCupSeasonPoints",2012
172,172,"Angel Cabrera",17,177,NA,NA,2092,NA,"FedExCupSeasonPoints",2012
173,173,"Matt Bettencourt",27,177,NA,1,2092,NA,"FedExCupSeasonPoints",2012
174,174,"Garth Mulroy",17,173,NA,NA,2096,NA,"FedExCupSeasonPoints",2012
175,175,"Michael Bradley",20,173,NA,NA,2096,NA,"FedExCupSeasonPoints",2012
176,176,"Duffy Waldorf",10,168,NA,NA,2101,NA,"FedExCupSeasonPoints",2012
177,177,"Alex Cejka",9,166,NA,NA,2103,NA,"FedExCupSeasonPoints",2012
178,178,"Jason Kokrak",23,165,NA,1,2104,NA,"FedExCupSeasonPoints",2012
179,179,"Russell Knox",19,164,NA,NA,2105,NA,"FedExCupSeasonPoints",2012
180,180,"Derek Lamely",21,160,NA,NA,2109,NA,"FedExCupSeasonPoints",2012
181,181,"Cameron Beckman",22,154,NA,NA,2115,NA,"FedExCupSeasonPoints",2012
182,182,"Sung Kang",27,146,NA,NA,2123,NA,"FedExCupSeasonPoints",2012
183,183,"Chris Riley",10,144,NA,NA,2125,NA,"FedExCupSeasonPoints",2012
184,184,"Matt Jones",16,143,NA,1,2126,NA,"FedExCupSeasonPoints",2012
185,185,"Stephen Ames",17,142,NA,NA,2127,NA,"FedExCupSeasonPoints",2012
186,186,"Tom Pernice Jr",19,139,NA,1,2130,NA,"FedExCupSeasonPoints",2012
187,187,"Ryuji Imada",24,113,NA,1,2156,NA,"FedExCupSeasonPoints",2012
188,188,"Rich Beem",9,113,NA,NA,2156,NA,"FedExCupSeasonPoints",2012
189,189,"Todd Hamilton",8,110,NA,1,2159,NA,"FedExCupSeasonPoints",2012
190,190,"Fred Couples",4,108,NA,NA,2161,NA,"FedExCupSeasonPoints",2012
191,191,"Patrick Sheehan",17,108,NA,NA,2161,NA,"FedExCupSeasonPoints",2012
192,192,"Mathew Goggin",19,103,NA,NA,2166,NA,"FedExCupSeasonPoints",2012
193,193,"Shaun Micheel",12,100,NA,NA,2169,NA,"FedExCupSeasonPoints",2012
194,194,"Joe Ogilvie",17,98,NA,NA,2171,NA,"FedExCupSeasonPoints",2012
195,195,"Jamie Lovemark",16,95,NA,NA,2174,NA,"FedExCupSeasonPoints",2012
196,196,"Briny Baird",13,92,NA,NA,2177,NA,"FedExCupSeasonPoints",2012
197,197,"Steve Wheatcroft",18,92,NA,NA,2177,NA,"FedExCupSeasonPoints",2012
198,198,"Kenny Perry",5,85,NA,NA,2184,NA,"FedExCupSeasonPoints",2012
199,199,"Marc Turnesa",9,83,NA,NA,2186,NA,"FedExCupSeasonPoints",2012
200,200,"Woody Austin",7,78,NA,NA,2191,NA,"FedExCupSeasonPoints",2012
201,201,"Tim Petrovic",14,78,NA,NA,2191,NA,"FedExCupSeasonPoints",2012
202,202,"Scott Dunlap",16,77,NA,NA,2192,NA,"FedExCupSeasonPoints",2012
203,203,"Tommy Biershenk",23,73,NA,NA,2196,NA,"FedExCupSeasonPoints",2012
204,204,"Steven Bowditch",15,72,NA,NA,2197,NA,"FedExCupSeasonPoints",2012
205,205,"Skip Kendall",5,71,NA,NA,2198,NA,"FedExCupSeasonPoints",2012
206,206,"Daniel Chopra",17,70,NA,NA,2199,NA,"FedExCupSeasonPoints",2012
206,206,"Garrett Willis",12,70,NA,NA,2199,NA,"FedExCupSeasonPoints",2012
208,208,"Mark Calcavecchia",3,68,NA,1,2201,NA,"FedExCupSeasonPoints",2012
209,209,"Corey Pavin",2,67,NA,NA,2202,NA,"FedExCupSeasonPoints",2012
210,210,"Paul Goydos",6,64,NA,NA,2205,NA,"FedExCupSeasonPoints",2012
211,211,"Shane Bertsch",13,61,NA,NA,2208,NA,"FedExCupSeasonPoints",2012
212,212,"Frank Lickliter II",8,56,NA,NA,2213,NA,"FedExCupSeasonPoints",2012
213,213,"Will Ma Kenzie",6,55,NA,NA,2214,NA,"FedExCupSeasonPoints",2012
214,214,"Richard Johnson",7,54,NA,NA,2215,NA,"FedExCupSeasonPoints",2012
215,215,"Steve Marino",6,54,NA,NA,2215,NA,"FedExCupSeasonPoints",2012
216,216,"Michael Allen",3,52,NA,1,2217,NA,"FedExCupSeasonPoints",2012
217,217,"Kent Jones",7,50,NA,NA,2219,NA,"FedExCupSeasonPoints",2012
218,218,"Paul Stankowski",7,48,NA,NA,2221,NA,"FedExCupSeasonPoints",2012
219,219,"Lucas Glover",16,47,NA,NA,2222,NA,"FedExCupSeasonPoints",2012
220,220,"Fred Funk",4,47,NA,NA,2222,NA,"FedExCupSeasonPoints",2012
221,221,"Kyle Thompson",19,44,NA,NA,2225,NA,"FedExCupSeasonPoints",2012
222,222,"Marco Dawson",18,43,NA,NA,2226,NA,"FedExCupSeasonPoints",2012
223,223,"Edward Loar",19,43,NA,NA,2226,NA,"FedExCupSeasonPoints",2012
224,224,"Glen Day",3,40,NA,NA,2229,NA,"FedExCupSeasonPoints",2012
225,225,"Brett Quigley",1,37,NA,NA,2232,NA,"FedExCupSeasonPoints",2012
226,226,"Brett Wetterich",7,35,NA,NA,2234,NA,"FedExCupSeasonPoints",2012
227,227,"Anthony Kim",10,32,NA,NA,2237,NA,"FedExCupSeasonPoints",2012
228,228,"Robert Damron",7,30,NA,NA,2239,NA,"FedExCupSeasonPoints",2012
229,229,"Willie Wood",1,26,NA,NA,2243,NA,"FedExCupSeasonPoints",2012
230,230,"Guy Boros",2,26,NA,NA,2243,NA,"FedExCupSeasonPoints",2012
231,231,"Tom Lehman",2,25,NA,NA,2244,NA,"FedExCupSeasonPoints",2012
232,232,"Jason Gore",8,23,NA,NA,2246,NA,"FedExCupSeasonPoints",2012
233,233,"Paul Casey",9,19,NA,NA,2250,NA,"FedExCupSeasonPoints",2012
234,234,"Len Mattiace",1,18,NA,NA,2251,NA,"FedExCupSeasonPoints",2012
235,235,"Bart Bryant",3,18,NA,NA,2251,NA,"FedExCupSeasonPoints",2012
236,236,"Craig Barlow",6,18,NA,NA,2251,NA,"FedExCupSeasonPoints",2012
237,237,"Scott Verplank",8,17,NA,NA,2252,NA,"FedExCupSeasonPoints",2012
238,238,"David Duval",17,16,NA,NA,2253,NA,"FedExCupSeasonPoints",2012
238,238,"Gene Sauers",2,16,NA,NA,2253,NA,"FedExCupSeasonPoints",2012
240,240,"Hank Kuehne",9,10,NA,NA,2259,NA,"FedExCupSeasonPoints",2012
241,241,"Eric Axley",3,9,NA,NA,2260,NA,"FedExCupSeasonPoints",2012
241,241,"Mark Brooks",3,9,NA,NA,2260,NA,"FedExCupSeasonPoints",2012
241,241,"Steve Lowery",1,9,NA,NA,2260,NA,"FedExCupSeasonPoints",2012
244,244,"Robert Gamez",8,9,NA,NA,2260,NA,"FedExCupSeasonPoints",2012
245,245,"Ted Purdy",4,9,NA,NA,2260,NA,"FedExCupSeasonPoints",2012
246,246,"Fran Quinn",5,6,NA,NA,2263,NA,"FedExCupSeasonPoints",2012
247,247,"Zack Miller",9,5,NA,NA,2264,NA,"FedExCupSeasonPoints",2012
248,248,"Jose Maria Olazabal",5,4,NA,NA,2265,NA,"FedExCupSeasonPoints",2012
249,249,"Stephen Gangluff",19,3,NA,NA,2266,NA,"FedExCupSeasonPoints",2012
250,250,"Omar Uresti",4,3,NA,NA,2266,NA,"FedExCupSeasonPoints",2012
251,251,"Peter Lonard",4,2,NA,NA,2267,NA,"FedExCupSeasonPoints",2012
252,252,"Kevin Sutherland",4,2,NA,NA,2267,NA,"FedExCupSeasonPoints",2012
253,253,"Matt McQuillan",10,2,NA,NA,2267,NA,"FedExCupSeasonPoints",2012
254,254,"Neal Lancaster",8,2,NA,NA,2267,NA,"FedExCupSeasonPoints",2012
255,255,"Tom Watson",3,2,NA,NA,2267,NA,"FedExCupSeasonPoints",2012
256,256,"Jesper Parnevik",3,1,NA,NA,2268,NA,"FedExCupSeasonPoints",2012
257,257,"Kirk Triplett",3,NA,NA,NA,2269,NA,"FedExCupSeasonPoints",2012
