"DrivingPct260280AllDrives_RANKTHISWEEK_2008","DrivingPct260280AllDrives_RANKLASTWEEK_2008","DrivingPct260280AllDrives_PLAYERNAME_2008","DrivingPct260280AllDrives_ROUNDS_2008","DrivingPct260280AllDrives_Pct_2008","DrivingPct260280AllDrives_TOTALDRIVESFOR260280_2008","DrivingPct260280AllDrives_TOTALDRIVESOVERALL_2008","DrivingPct260280AllDrives_RELATIVETOPAR_2008","stat_name","year"
113,NA,"Will Ma Kenzie",62,28.28,224,792,0.036,"DrivingPct260280AllDrives",2008
114,NA,"Eric Axley",113,28.18,385,1366,0.086,"DrivingPct260280AllDrives",2008
114,NA,"Kevin Sutherland",98,28.18,346,1228,-0.009,"DrivingPct260280AllDrives",2008
116,NA,"David Lutterus",59,28.06,195,695,0.067,"DrivingPct260280AllDrives",2008
117,NA,"Jesper Parnevik",88,28.04,293,1045,0.099,"DrivingPct260280AllDrives",2008
118,NA,"Michael Allen",91,27.89,304,1090,-0.043,"DrivingPct260280AllDrives",2008
119,NA,"Robert Allenby",108,27.83,334,1200,-0.027,"DrivingPct260280AllDrives",2008
120,NA,"YE Yang",89,27.82,311,1118,0.074,"DrivingPct260280AllDrives",2008
121,NA,"Rod Pampling",83,27.74,263,948,0.03,"DrivingPct260280AllDrives",2008
122,NA,"Jonathan Byrd",88,27.6,297,1076,0.047,"DrivingPct260280AllDrives",2008
123,NA,"Ryan Moore",72,27.5,242,880,0.116,"DrivingPct260280AllDrives",2008
124,NA,"Stuart Appleby",87,27.19,254,934,-0.016,"DrivingPct260280AllDrives",2008
125,NA,"DJ Trahan",94,26.75,290,1084,0.114,"DrivingPct260280AllDrives",2008
126,NA,"Parker McLachlin",88,26.68,294,1102,0.041,"DrivingPct260280AllDrives",2008
127,NA,"Michael Letzig",88,26.45,273,1032,0.011,"DrivingPct260280AllDrives",2008
128,NA,"Trevor Immelman",70,26.33,198,752,0.081,"DrivingPct260280AllDrives",2008
129,NA,"Marco Dawson",64,26.13,196,750,0.087,"DrivingPct260280AllDrives",2008
130,NA,"Todd Demsey",80,26.06,258,990,0.05,"DrivingPct260280AllDrives",2008
131,NA,"Sean OHair",81,25.95,246,948,0,"DrivingPct260280AllDrives",2008
132,NA,"Camilo Villegas",79,25.62,226,882,-0.04,"DrivingPct260280AllDrives",2008
133,NA,"John Huston",56,25.44,173,680,-0.087,"DrivingPct260280AllDrives",2008
134,NA,"Brandt Jobe",52,25.38,166,654,0.108,"DrivingPct260280AllDrives",2008
135,NA,"Aaron Baddeley",76,25.36,214,844,-0.065,"DrivingPct260280AllDrives",2008
136,NA,"Nick Flanagan",89,25.29,281,1111,0.107,"DrivingPct260280AllDrives",2008
137,NA,"Matt Jones",95,25.26,296,1172,0.088,"DrivingPct260280AllDrives",2008
138,NA,"Sergio Garcia",72,25.13,197,784,-0.066,"DrivingPct260280AllDrives",2008
139,NA,"Hunter Mahan",87,25.1,253,1008,0.02,"DrivingPct260280AllDrives",2008
140,NA,"Jimmy Walker",73,25,216,864,0.06,"DrivingPct260280AllDrives",2008
141,NA,"Steve Marino",119,24.88,360,1447,0.042,"DrivingPct260280AllDrives",2008
142,NA,"Geoff Ogilvy",65,24.78,169,682,-0.024,"DrivingPct260280AllDrives",2008
143,NA,"Ryan Palmer",69,24.76,207,836,0.024,"DrivingPct260280AllDrives",2008
144,NA,"Ted Purdy",68,24.6,202,821,0.144,"DrivingPct260280AllDrives",2008
144,NA,"Bo Van Pelt",101,24.6,319,1297,0.041,"DrivingPct260280AllDrives",2008
146,NA,"Mathias Gronberg",87,24.55,270,1100,0.081,"DrivingPct260280AllDrives",2008
147,NA,"Nicholas Thompson",113,24.22,324,1338,0.043,"DrivingPct260280AllDrives",2008
148,NA,"Brad Adamonis",87,23.89,253,1059,0.055,"DrivingPct260280AllDrives",2008
