"GreensinRegulationPercentage_RANKTHISWEEK_2015","GreensinRegulationPercentage_RANKLASTWEEK_2015","GreensinRegulationPercentage_PLAYERNAME_2015","GreensinRegulationPercentage_ROUNDS_2015","GreensinRegulationPercentage_Pct_2015","GreensinRegulationPercentage_GREENSHIT_2015","GreensinRegulationPercentage_HOLES_2015","GreensinRegulationPercentage_RELATIVEPAR_2015","stat_name","year"
156,156,"Chesson Hadley",101,63.59,1156,1818,-0.29,"GreensinRegulationPercentage",2015
157,157,"Fabian Gomez",83,63.52,949,1494,-0.27,"GreensinRegulationPercentage",2015
158,158,"Steven Bowditch",103,63.43,1176,1854,-0.29,"GreensinRegulationPercentage",2015
159,159,"Troy Merritt",91,63.37,1038,1638,-0.25,"GreensinRegulationPercentage",2015
160,160,"Ben Crane",62,63.22,660,1044,-0.22,"GreensinRegulationPercentage",2015
161,161,"Brian Stuard",97,63.2,1058,1674,-0.26,"GreensinRegulationPercentage",2015
162,162,"Erik Compton",86,63.18,978,1548,-0.28,"GreensinRegulationPercentage",2015
163,163,"Oscar Fraustro",58,63.17,614,972,-0.26,"GreensinRegulationPercentage",2015
164,164,"Roger Sloan",56,63.14,591,936,-0.26,"GreensinRegulationPercentage",2015
165,165,"Camilo Villegas",83,63.05,942,1494,-0.26,"GreensinRegulationPercentage",2015
166,166,"Carl Pettersson",106,63,1202,1908,-0.29,"GreensinRegulationPercentage",2015
167,167,"Max Homa",78,62.99,839,1332,-0.26,"GreensinRegulationPercentage",2015
168,168,"Sangmoon Bae",98,62.93,1110,1764,-0.28,"GreensinRegulationPercentage",2015
169,169,"Heath Slocum",57,62.79,599,954,-0.23,"GreensinRegulationPercentage",2015
170,170,"Jonas Blixt",78,62.71,824,1314,-0.29,"GreensinRegulationPercentage",2015
171,171,"Justin Leonard",61,62.57,687,1098,-0.24,"GreensinRegulationPercentage",2015
172,172,"Aaron Baddeley",76,62.46,832,1332,-0.3,"GreensinRegulationPercentage",2015
173,173,"Tim Wilkinson",73,62.44,798,1278,-0.24,"GreensinRegulationPercentage",2015
174,174,"Brian Davis",86,62.26,919,1476,-0.24,"GreensinRegulationPercentage",2015
175,175,"Retief Goosen",81,62.19,862,1386,-0.26,"GreensinRegulationPercentage",2015
176,176,"Andres Romero",69,61.7,733,1188,-0.27,"GreensinRegulationPercentage",2015
177,177,"Phil Mickelson",70,61.51,775,1260,-0.31,"GreensinRegulationPercentage",2015
178,178,"Derek Fathauer",81,61.33,850,1386,-0.28,"GreensinRegulationPercentage",2015
179,179,"Eric Axley",57,61.21,606,990,-0.26,"GreensinRegulationPercentage",2015
180,180,"Morgan Hoffmann",85,61.11,935,1530,-0.31,"GreensinRegulationPercentage",2015
181,181,"Padraig Harrington",60,61.02,659,1080,-0.25,"GreensinRegulationPercentage",2015
182,182,"Ricky Barnes",82,60.47,849,1404,-0.29,"GreensinRegulationPercentage",2015
183,183,"Andrew Putnam",68,59.9,690,1152,-0.27,"GreensinRegulationPercentage",2015
184,184,"Matt Every",73,58.1,732,1260,-0.24,"GreensinRegulationPercentage",2015
