"FedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2013","FedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2013","FedExCupSeasonPointsforNonMembers_PLAYERNAME_2013","FedExCupSeasonPointsforNonMembers_EVENTS_2013","FedExCupSeasonPointsforNonMembers_POINTS_2013","FedExCupSeasonPointsforNonMembers_WGCPOINTS_2013","stat_name","year"
23,23,"Scott Jamieson",3,88,48,"FedExCupSeasonPointsforNonMembers",2013
24,24,"Danny Willett",2,84,NA,"FedExCupSeasonPointsforNonMembers",2013
25,25,"Thongchai Jaidee",4,77,23,"FedExCupSeasonPointsforNonMembers",2013
26,26,"Kyle Reifers",4,76,NA,"FedExCupSeasonPointsforNonMembers",2013
27,27,"Kiradech Aphibarnrat",3,74,30,"FedExCupSeasonPointsforNonMembers",2013
28,28,"Ken Looper",2,65,NA,"FedExCupSeasonPointsforNonMembers",2013
29,29,"Marc Warren",2,62,NA,"FedExCupSeasonPointsforNonMembers",2013
30,30,"Shane Bertsch",1,59,NA,"FedExCupSeasonPointsforNonMembers",2013
30,30,"Danny Lee",1,59,NA,"FedExCupSeasonPointsforNonMembers",2013
32,32,"Peter Uihlein",4,58,NA,"FedExCupSeasonPointsforNonMembers",2013
33,33,"Eduardo De La Riva",1,56,NA,"FedExCupSeasonPointsforNonMembers",2013
34,34,"Franklin Corpening",1,56,NA,"FedExCupSeasonPointsforNonMembers",2013
35,35,"Richie Ramsay",4,54,44,"FedExCupSeasonPointsforNonMembers",2013
36,36,"Blayne Barber",3,52,NA,"FedExCupSeasonPointsforNonMembers",2013
37,37,"Darren Clarke",3,49,NA,"FedExCupSeasonPointsforNonMembers",2013
38,38,"Thomas Bjorn",4,47,23,"FedExCupSeasonPointsforNonMembers",2013
39,39,"Mathew Goggin",1,47,NA,"FedExCupSeasonPointsforNonMembers",2013
39,39,"Kelly Kraft",2,47,NA,"FedExCupSeasonPointsforNonMembers",2013
39,39,"Steve Wheatcroft",1,47,NA,"FedExCupSeasonPointsforNonMembers",2013
42,42,"Chris Williams",5,44,NA,"FedExCupSeasonPointsforNonMembers",2013
43,43,"Steven Tiley",1,43,NA,"FedExCupSeasonPointsforNonMembers",2013
44,44,"Morten Orum Madsen",1,42,NA,"FedExCupSeasonPointsforNonMembers",2013
44,44,"John Parry",1,42,NA,"FedExCupSeasonPointsforNonMembers",2013
46,46,"Todd Baek",1,38,NA,"FedExCupSeasonPointsforNonMembers",2013
47,47,"Edward Loar",2,35,NA,"FedExCupSeasonPointsforNonMembers",2013
48,48,"Oliver Fisher",1,34,NA,"FedExCupSeasonPointsforNonMembers",2013
49,49,"Jonathan Randolph",1,31,NA,"FedExCupSeasonPointsforNonMembers",2013
50,50,"Hunter Haas",5,28,NA,"FedExCupSeasonPointsforNonMembers",2013
51,51,"Jeremiah Wooding",1,28,NA,"FedExCupSeasonPointsforNonMembers",2013
52,52,"Jon Curran",3,25,NA,"FedExCupSeasonPointsforNonMembers",2013
53,53,"Ryan Blaum",3,23,NA,"FedExCupSeasonPointsforNonMembers",2013
53,53,"Scott Harrington",1,23,NA,"FedExCupSeasonPointsforNonMembers",2013
55,55,"Steven Alker",2,23,NA,"FedExCupSeasonPointsforNonMembers",2013
55,55,"Mark Brown",1,23,NA,"FedExCupSeasonPointsforNonMembers",2013
55,55,"Hiroyuki Fujita",5,23,23,"FedExCupSeasonPointsforNonMembers",2013
55,55,"Shingo Katayama",1,23,NA,"FedExCupSeasonPointsforNonMembers",2013
55,55,"Bio Kim",1,23,NA,"FedExCupSeasonPointsforNonMembers",2013
60,60,"John Kimbell",1,21,NA,"FedExCupSeasonPointsforNonMembers",2013
61,61,"Nate Smith",1,18,NA,"FedExCupSeasonPointsforNonMembers",2013
62,62,"Sam Saunders",1,17,NA,"FedExCupSeasonPointsforNonMembers",2013
63,63,"Thaworn Wiratchant",3,16,16,"FedExCupSeasonPointsforNonMembers",2013
64,64,"Mark Anderson",1,16,NA,"FedExCupSeasonPointsforNonMembers",2013
64,64,"Hideto Tanihara",1,16,NA,"FedExCupSeasonPointsforNonMembers",2013
66,66,"Roger Sloan",1,15,NA,"FedExCupSeasonPointsforNonMembers",2013
67,67,"Mike Hendry",1,13,13,"FedExCupSeasonPointsforNonMembers",2013
68,68,"Thomas Aiken",2,12,NA,"FedExCupSeasonPointsforNonMembers",2013
69,69,"Matt Weibring",1,9,NA,"FedExCupSeasonPointsforNonMembers",2013
70,70,"Sebastian Vazquez",1,8,NA,"FedExCupSeasonPointsforNonMembers",2013
71,71,"Brett Rumford",3,8,8,"FedExCupSeasonPointsforNonMembers",2013
72,72,"Peter Hedblom",1,6,NA,"FedExCupSeasonPointsforNonMembers",2013
72,72,"David Howell",1,6,NA,"FedExCupSeasonPointsforNonMembers",2013
74,74,"Mikko Ilonen",3,5,4,"FedExCupSeasonPointsforNonMembers",2013
75,75,"Gregory Bourdy",1,4,NA,"FedExCupSeasonPointsforNonMembers",2013
75,75,"Satoshi Kodaira",2,4,4,"FedExCupSeasonPointsforNonMembers",2013
75,75,"Bernd Wiesberger",2,4,NA,"FedExCupSeasonPointsforNonMembers",2013
78,78,"Kevin Kisner",1,4,NA,"FedExCupSeasonPointsforNonMembers",2013
79,79,"Zack Fischer",4,3,NA,"FedExCupSeasonPointsforNonMembers",2013
80,80,"David Branshaw",1,2,NA,"FedExCupSeasonPointsforNonMembers",2013
81,81,"Brooks Koepka",2,1,NA,"FedExCupSeasonPointsforNonMembers",2013
82,82,"Toru Taniguchi",2,1,1,"FedExCupSeasonPointsforNonMembers",2013
83,83,"Gareth Wright",1,1,NA,"FedExCupSeasonPointsforNonMembers",2013
84,84,"Simon Khan",1,1,NA,"FedExCupSeasonPointsforNonMembers",2013
84,84,"Jaco Van Zyl",3,1,1,"FedExCupSeasonPointsforNonMembers",2013
86,86,"Andrew Johnson",1,1,NA,"FedExCupSeasonPointsforNonMembers",2013
87,87,"Daniel Popovic",1,1,1,"FedExCupSeasonPointsforNonMembers",2013
88,88,"Shiv Kapur",1,1,NA,"FedExCupSeasonPointsforNonMembers",2013
88,88,"KT Kim",1,1,NA,"FedExCupSeasonPointsforNonMembers",2013
90,90,"Rafael Campos",1,1,NA,"FedExCupSeasonPointsforNonMembers",2013
90,90,"Rod Perry",3,1,NA,"FedExCupSeasonPointsforNonMembers",2013
92,92,"Michael Block",1,1,NA,"FedExCupSeasonPointsforNonMembers",2013
93,93,"Peter Senior",1,1,NA,"FedExCupSeasonPointsforNonMembers",2013
94,94,"Brad Adamonis",2,1,NA,"FedExCupSeasonPointsforNonMembers",2013
