"Percentageofpotentialmoneywon_RANKTHISWEEK_2016","Percentageofpotentialmoneywon_RANKLASTWEEK_2016","Percentageofpotentialmoneywon_PLAYERNAME_2016","Percentageofpotentialmoneywon_EVENTS_2016","Percentageofpotentialmoneywon_Pct_2016","Percentageofpotentialmoneywon_OFFICIALMONEYWON_2016","Percentageofpotentialmoneywon_POTENTIALMONEY_2016","stat_name","year"
171,159,"Tyrone Van Aswegen",20,2.8,612556,21870000,"Percentageofpotentialmoneywon",2016
173,160,"Spencer Levin",19,2.79,610268,21852000,"Percentageofpotentialmoneywon",2016
174,168,"Martin Piller",12,2.76,353827,12816000,"Percentageofpotentialmoneywon",2016
175,175,"Daisuke Kataoka",1,2.75,28742,1044000,"Percentageofpotentialmoneywon",2016
176,170,"Anirban Lahiri",13,2.73,469121,17204000,"Percentageofpotentialmoneywon",2016
177,178,"Jerry Kelly",12,2.68,348159,12978000,"Percentageofpotentialmoneywon",2016
178,182,"Hudson Swafford",17,2.59,498523,19278000,"Percentageofpotentialmoneywon",2016
179,184,"Joe Affrunti",2,2.58,64909,2520000,"Percentageofpotentialmoneywon",2016
179,173,"Blayne Barber",16,2.58,461614,17910000,"Percentageofpotentialmoneywon",2016
181,175,"David Hearn",18,2.57,532220,20682000,"Percentageofpotentialmoneywon",2016
182,177,"Hiroshi Iwata",18,2.53,511383,20228000,"Percentageofpotentialmoneywon",2016
183,187,"SSP Chawrasia",2,2.47,65580,2660000,"Percentageofpotentialmoneywon",2016
184,188,"Richard Lee",2,2.45,65230,2660000,"Percentageofpotentialmoneywon",2016
185,186,"Tom Hoge",15,2.44,391152,16056000,"Percentageofpotentialmoneywon",2016
186,180,"Ben Martin",14,2.41,392850,16326000,"Percentageofpotentialmoneywon",2016
186,182,"Nick Taylor",17,2.41,451870,18756000,"Percentageofpotentialmoneywon",2016
188,163,"Bud Cauley",6,2.35,154016,6552000,"Percentageofpotentialmoneywon",2016
189,190,"Mark Hubbard",20,2.34,510915,21870000,"Percentageofpotentialmoneywon",2016
190,185,"Stuart Appleby",13,2.33,344669,14814000,"Percentageofpotentialmoneywon",2016
191,191,"Yusaku Miyazato",2,2.3,61234,2664000,"Percentageofpotentialmoneywon",2016
192,196,"Robert Streb",16,2.29,464829,20282000,"Percentageofpotentialmoneywon",2016
193,192,"Jason Gore",15,2.24,387315,17298000,"Percentageofpotentialmoneywon",2016
194,193,"James Driscoll",1,2.22,24800,1116000,"Percentageofpotentialmoneywon",2016
195,237,"Chesson Hadley",16,2.19,392010,17874000,"Percentageofpotentialmoneywon",2016
195,189,"Cameron Smith",14,2.19,365703,16736000,"Percentageofpotentialmoneywon",2016
197,199,"Andrew Dodt",2,2.18,57915,2660000,"Percentageofpotentialmoneywon",2016
198,200,"Seung Yul Noh",17,2.16,392332,18162000,"Percentageofpotentialmoneywon",2016
199,201,"Danny Chia",2,2.14,56890,2660000,"Percentageofpotentialmoneywon",2016
200,203,"Satoshi Kodaira",2,2.13,51958,2444000,"Percentageofpotentialmoneywon",2016
201,204,"Dean Burmester",1,2.11,11400,540000,"Percentageofpotentialmoneywon",2016
202,193,"Bronson Burgoon",17,2.06,377548,18342000,"Percentageofpotentialmoneywon",2016
203,196,"Tyler Aldridge",18,2.05,399928,19512000,"Percentageofpotentialmoneywon",2016
203,193,"Matt Jones",15,2.05,373504,18176000,"Percentageofpotentialmoneywon",2016
205,198,"Morgan Hoffmann",15,2.02,339168,16776000,"Percentageofpotentialmoneywon",2016
205,204,"Vijay Singh",13,2.02,317006,15696000,"Percentageofpotentialmoneywon",2016
207,208,"Keegan Bradley",14,1.99,335951,16866000,"Percentageofpotentialmoneywon",2016
207,208,"Luke Guthrie",11,1.99,230508,11610000,"Percentageofpotentialmoneywon",2016
207,207,"Jeff Overton",17,1.99,375252,18900000,"Percentageofpotentialmoneywon",2016
207,201,"Kyle Stanley",17,1.99,366963,18432000,"Percentageofpotentialmoneywon",2016
207,213,"Chris Stroud",17,1.99,374123,18828000,"Percentageofpotentialmoneywon",2016
207,216,"Camilo Villegas",16,1.99,359999,18072000,"Percentageofpotentialmoneywon",2016
213,210,"Stewart Cink",14,1.98,314799,15912000,"Percentageofpotentialmoneywon",2016
213,210,"Andres Romero",8,1.98,164250,8280000,"Percentageofpotentialmoneywon",2016
215,212,"Hunter Stewart",7,1.97,149977,7596000,"Percentageofpotentialmoneywon",2016
216,206,"Greg Owen",18,1.95,405653,20754000,"Percentageofpotentialmoneywon",2016
217,213,"Michael Kim",18,1.89,367522,19476000,"Percentageofpotentialmoneywon",2016
218,219,"Cameron Percy",7,1.83,130033,7110000,"Percentageofpotentialmoneywon",2016
219,228,"Scott Langley",13,1.82,257168,14148000,"Percentageofpotentialmoneywon",2016
220,221,"Nick Mason",1,1.79,18661,1044000,"Percentageofpotentialmoneywon",2016
221,215,"Steven Bowditch",14,1.75,312160,17826000,"Percentageofpotentialmoneywon",2016
