"ApexHeight_RANKTHISWEEK_2011","ApexHeight_RANKLASTWEEK_2011","ApexHeight_PLAYERNAME_2011","ApexHeight_ROUNDS_2011","ApexHeight_AVG_2011","ApexHeight_TOTALAPEXHEIGHT_2011","ApexHeight_TOTALATTEMPTS_2011","ApexHeight_HIGHESTAPEXPOINT_2011","ApexHeight_LOWESTAPEXPOINT_2011","stat_name","year"
62,62,"Dean Wilson",62,NA,NA,46,NA,NA,"ApexHeight",2011
64,64,"Martin Laird",77,NA,NA,55,NA,NA,"ApexHeight",2011
64,64,"Geoff Ogilvy",69,NA,NA,52,NA,NA,"ApexHeight",2011
66,66,"Luke Donald",73,NA,NA,45,NA,NA,"ApexHeight",2011
67,67,"Joe Ogilvie",75,NA,NA,48,NA,NA,"ApexHeight",2011
68,68,"Bo Van Pelt",92,NA,NA,65,NA,NA,"ApexHeight",2011
69,69,"Matt McQuillan",59,NA,NA,35,NA,NA,"ApexHeight",2011
70,70,"Rory Sabbatini",85,NA,NA,53,NA,NA,"ApexHeight",2011
71,71,"Brandt Snedeker",85,NA,NA,64,NA,NA,"ApexHeight",2011
72,72,"Jim Renner",65,NA,NA,48,NA,NA,"ApexHeight",2011
73,73,"Brandt Jobe",100,NA,NA,69,NA,NA,"ApexHeight",2011
74,74,"John Merrick",71,NA,NA,52,NA,NA,"ApexHeight",2011
75,75,"Briny Baird",60,NA,NA,39,NA,NA,"ApexHeight",2011
76,76,"Ernie Els",71,NA,NA,49,NA,NA,"ApexHeight",2011
76,76,"Fabian Gomez",84,NA,NA,47,NA,NA,"ApexHeight",2011
78,78,"Scott McCarron",65,NA,NA,46,NA,NA,"ApexHeight",2011
78,78,"Marc Turnesa",54,NA,NA,33,NA,NA,"ApexHeight",2011
78,78,"Gary Woodland",93,NA,NA,47,NA,NA,"ApexHeight",2011
81,81,"Sung Kang",63,NA,NA,37,NA,NA,"ApexHeight",2011
82,82,"Hunter Mahan",92,NA,NA,72,NA,NA,"ApexHeight",2011
83,83,"Justin Rose",79,NA,NA,62,NA,NA,"ApexHeight",2011
83,83,"Heath Slocum",89,NA,NA,71,NA,NA,"ApexHeight",2011
85,85,"Woody Austin",59,NA,NA,38,NA,NA,"ApexHeight",2011
85,85,"Webb Simpson",98,NA,NA,80,NA,NA,"ApexHeight",2011
87,87,"DJ Brigman",67,NA,NA,41,NA,NA,"ApexHeight",2011
88,88,"Anthony Kim",72,NA,NA,52,NA,NA,"ApexHeight",2011
88,88,"Alexandre Rocha",65,NA,NA,39,NA,NA,"ApexHeight",2011
90,90,"DJ Trahan",91,NA,NA,66,NA,NA,"ApexHeight",2011
91,91,"Steve Stricker",70,NA,NA,55,NA,NA,"ApexHeight",2011
92,92,"Chris Kirk",87,NA,NA,69,NA,NA,"ApexHeight",2011
93,93,"Aaron Baddeley",77,NA,NA,55,NA,NA,"ApexHeight",2011
93,93,"Sean OHair",71,NA,NA,43,NA,NA,"ApexHeight",2011
95,95,"David Duval",67,NA,NA,46,NA,NA,"ApexHeight",2011
96,96,"Chris Stroud",88,NA,NA,72,NA,NA,"ApexHeight",2011
96,96,"Jimmy Walker",79,NA,NA,52,NA,NA,"ApexHeight",2011
98,98,"Martin Piller",63,NA,NA,42,NA,NA,"ApexHeight",2011
99,99,"Adam Scott",60,NA,NA,46,NA,NA,"ApexHeight",2011
100,100,"JJ Henry",96,NA,NA,71,NA,NA,"ApexHeight",2011
100,100,"Bill Lunde",92,NA,NA,71,NA,NA,"ApexHeight",2011
102,102,"Robert Allenby",84,NA,NA,65,NA,NA,"ApexHeight",2011
102,102,"Brian Davis",105,NA,NA,83,NA,NA,"ApexHeight",2011
102,102,"Sergio Garcia",61,NA,NA,38,NA,NA,"ApexHeight",2011
105,105,"Matt Jones",71,NA,NA,50,NA,NA,"ApexHeight",2011
106,106,"Jeff Overton",92,NA,NA,66,NA,NA,"ApexHeight",2011
107,107,"Kent Jones",76,NA,NA,56,NA,NA,"ApexHeight",2011
107,107,"Kevin Streelman",90,NA,NA,59,NA,NA,"ApexHeight",2011
109,109,"Jarrod Lyle",83,NA,NA,59,NA,NA,"ApexHeight",2011
109,109,"John Senden",94,NA,NA,76,NA,NA,"ApexHeight",2011
111,111,"Bobby Gates",82,NA,NA,51,NA,NA,"ApexHeight",2011
112,112,"Lee Janzen",62,NA,NA,42,NA,NA,"ApexHeight",2011
113,113,"Camilo Villegas",69,NA,NA,49,NA,NA,"ApexHeight",2011
114,114,"Lucas Glover",74,NA,NA,53,NA,NA,"ApexHeight",2011
115,115,"Rocco Mediate",53,NA,NA,42,NA,NA,"ApexHeight",2011
116,116,"Charlie Wi",83,NA,NA,65,NA,NA,"ApexHeight",2011
117,117,"Stewart Cink",72,NA,NA,40,NA,NA,"ApexHeight",2011
117,117,"Nick Watney",80,NA,NA,62,NA,NA,"ApexHeight",2011
119,119,"Andres Gonzales",60,NA,NA,41,NA,NA,"ApexHeight",2011
120,120,"Rich Beem",53,NA,NA,41,NA,NA,"ApexHeight",2011
121,121,"Justin Hicks",60,NA,NA,38,NA,NA,"ApexHeight",2011
122,122,"Johnson Wagner",81,NA,NA,66,NA,NA,"ApexHeight",2011
123,123,"Chad Campbell",99,NA,NA,68,NA,NA,"ApexHeight",2011
124,124,"Arjun Atwal",91,NA,NA,69,NA,NA,"ApexHeight",2011
125,125,"Cameron Beckman",71,NA,NA,55,NA,NA,"ApexHeight",2011
125,125,"Zach Johnson",79,NA,NA,65,NA,NA,"ApexHeight",2011
127,127,"Cameron Tringale",110,NA,NA,84,NA,NA,"ApexHeight",2011
128,128,"Michael Thompson",79,NA,NA,48,NA,NA,"ApexHeight",2011
129,129,"Stuart Appleby",65,NA,NA,50,NA,NA,"ApexHeight",2011
129,129,"Jason Dufner",78,NA,NA,57,NA,NA,"ApexHeight",2011
131,131,"Carl Pettersson",95,NA,NA,81,NA,NA,"ApexHeight",2011
132,132,"Ben Curtis",66,NA,NA,56,NA,NA,"ApexHeight",2011
133,133,"Matt Kuchar",94,NA,NA,68,NA,NA,"ApexHeight",2011
134,134,"Kevin Na",84,NA,NA,47,NA,NA,"ApexHeight",2011
135,135,"Matt Bettencourt",84,NA,NA,65,NA,NA,"ApexHeight",2011
135,135,"William McGirt",103,NA,NA,84,NA,NA,"ApexHeight",2011
137,137,"DA Points",89,NA,NA,64,NA,NA,"ApexHeight",2011
138,138,"Ryuji Imada",83,NA,NA,71,NA,NA,"ApexHeight",2011
139,139,"Richard Johnson",64,NA,NA,46,NA,NA,"ApexHeight",2011
140,140,"Jason Bohn",74,NA,NA,64,NA,NA,"ApexHeight",2011
141,141,"Bryce Molder",82,NA,NA,58,NA,NA,"ApexHeight",2011
142,142,"JP Hayes",56,NA,NA,39,NA,NA,"ApexHeight",2011
143,143,"Troy Merritt",63,NA,NA,46,NA,NA,"ApexHeight",2011
144,144,"KJ Choi",77,NA,NA,56,NA,NA,"ApexHeight",2011
144,144,"Chris DiMarco",93,NA,NA,71,NA,NA,"ApexHeight",2011
146,146,"Steve Elkington",50,NA,NA,34,NA,NA,"ApexHeight",2011
147,147,"Spencer Levin",113,NA,NA,80,NA,NA,"ApexHeight",2011
148,148,"Kris Blanks",92,NA,NA,72,NA,NA,"ApexHeight",2011
149,149,"David Mathis",83,NA,NA,55,NA,NA,"ApexHeight",2011
150,150,"Colt Knost",80,NA,NA,56,NA,NA,"ApexHeight",2011
151,151,"David Toms",78,NA,NA,56,NA,NA,"ApexHeight",2011
152,152,"Scott Gutschewski",67,NA,NA,44,NA,NA,"ApexHeight",2011
153,153,"Michael Connell",76,NA,NA,67,NA,NA,"ApexHeight",2011
154,154,"Garrett Willis",71,NA,NA,43,NA,NA,"ApexHeight",2011
155,155,"Steve Flesch",88,NA,NA,60,NA,NA,"ApexHeight",2011
156,156,"Michael Bradley",74,NA,NA,53,NA,NA,"ApexHeight",2011
156,156,"Charles Howell III",108,NA,NA,78,NA,NA,"ApexHeight",2011
158,158,"Paul Goydos",81,NA,NA,61,NA,NA,"ApexHeight",2011
158,158,"Graeme McDowell",50,NA,NA,33,NA,NA,"ApexHeight",2011
158,158,"Boo Weekley",66,NA,NA,48,NA,NA,"ApexHeight",2011
161,161,"Brendon de Jonge",105,NA,NA,84,NA,NA,"ApexHeight",2011
162,162,"Joe Durant",71,NA,NA,48,NA,NA,"ApexHeight",2011
163,163,"Ian Poulter",52,NA,NA,39,NA,NA,"ApexHeight",2011
164,164,"Blake Adams",116,NA,NA,74,NA,NA,"ApexHeight",2011
164,164,"Ryan Moore",79,NA,NA,57,NA,NA,"ApexHeight",2011
166,166,"Brian Gay",90,NA,NA,69,NA,NA,"ApexHeight",2011
167,167,"Nick OHern",89,NA,NA,59,NA,NA,"ApexHeight",2011
167,167,"YE Yang",63,NA,NA,39,NA,NA,"ApexHeight",2011
169,169,"Stephen Ames",69,NA,NA,46,NA,NA,"ApexHeight",2011
169,169,"Jim Furyk",87,NA,NA,62,NA,NA,"ApexHeight",2011
171,171,"Jim Herman",69,NA,NA,45,NA,NA,"ApexHeight",2011
172,172,"Trevor Immelman",84,NA,NA,46,NA,NA,"ApexHeight",2011
173,173,"Justin Leonard",82,NA,NA,55,NA,NA,"ApexHeight",2011
174,174,"Hunter Haas",96,NA,NA,71,NA,NA,"ApexHeight",2011
174,174,"Nate Smith",66,NA,NA,45,NA,NA,"ApexHeight",2011
174,174,"Daniel Summerhays",75,NA,NA,49,NA,NA,"ApexHeight",2011
177,177,"Tim Petrovic",88,NA,NA,67,NA,NA,"ApexHeight",2011
178,178,"Shaun Micheel",77,NA,NA,49,NA,NA,"ApexHeight",2011
179,179,"Rod Pampling",72,NA,NA,46,NA,NA,"ApexHeight",2011
180,180,"Greg Chalmers",88,NA,NA,64,NA,NA,"ApexHeight",2011
181,181,"Chris Riley",76,NA,NA,54,NA,NA,"ApexHeight",2011
182,182,"Ricky Barnes",78,NA,NA,53,NA,NA,"ApexHeight",2011
183,183,"Freddie Jacobson",92,NA,NA,57,NA,NA,"ApexHeight",2011
184,184,"Nathan Green",81,NA,NA,54,NA,NA,"ApexHeight",2011
185,185,"Tom Gillis",55,NA,NA,48,NA,NA,"ApexHeight",2011
186,186,"Shane Bertsch",62,NA,NA,42,NA,NA,"ApexHeight",2011
