"RoughTendency_RANKTHISWEEK_2008","RoughTendency_RANKLASTWEEK_2008","RoughTendency_PLAYERNAME_2008","RoughTendency_ROUNDS_2008","RoughTendency_Pct_2008","RoughTendency_TOTALROUGH_2008","RoughTendency_POSSIBLEFWYS_2008","RoughTendency_RELATIVETOPAR_2008","stat_name","year"
92,92,"Joe Ogilvie",100,27.47,331,1205,0.88,"RoughTendency",2008
93,93,"Troy Matteson",94,27.59,336,1218,1.01,"RoughTendency",2008
94,94,"Jeff Quinney",87,27.61,278,1007,1.87,"RoughTendency",2008
95,95,"Tommy Armour III",77,27.78,252,907,1.31,"RoughTendency",2008
96,96,"Kevin Sutherland",98,27.88,339,1216,0.97,"RoughTendency",2008
96,96,"Vaughn Taylor",103,27.88,361,1295,1.44,"RoughTendency",2008
98,98,"Mathias Gronberg",87,27.9,303,1086,1.49,"RoughTendency",2008
99,99,"Kyle Thompson",70,27.93,219,784,1.83,"RoughTendency",2008
100,100,"Michael Letzig",88,27.96,286,1023,1.01,"RoughTendency",2008
101,101,"Steve Marino",119,28,401,1432,1.27,"RoughTendency",2008
102,102,"Stephen Ames",83,28.03,257,917,0.93,"RoughTendency",2008
103,103,"Nick Flanagan",89,28.07,309,1101,1.39,"RoughTendency",2008
104,104,"Jim McGovern",75,28.09,243,865,1.44,"RoughTendency",2008
105,105,"Mike Weir",88,28.11,260,925,0.31,"RoughTendency",2008
106,106,"David Lutterus",59,28.36,196,691,2.45,"RoughTendency",2008
107,107,"Tom Pernice Jr",104,28.53,386,1353,1.45,"RoughTendency",2008
108,108,"JP Hayes",67,28.54,248,869,1.69,"RoughTendency",2008
109,109,"Boo Weekley",86,28.6,254,888,1.46,"RoughTendency",2008
110,110,"Bob Sowards",61,28.61,204,713,1.81,"RoughTendency",2008
111,111,"Brett Quigley",80,28.64,287,1002,0.7,"RoughTendency",2008
112,112,"Rory Sabbatini",77,28.65,251,876,1.2,"RoughTendency",2008
113,113,"Dudley Hart",74,28.73,266,926,1.54,"RoughTendency",2008
114,114,"Freddie Jacobson",78,28.85,255,884,1.29,"RoughTendency",2008
115,115,"Marco Dawson",64,28.9,211,730,1.99,"RoughTendency",2008
116,116,"Martin Laird",98,28.95,337,1164,1.39,"RoughTendency",2008
117,117,"Brad Elder",67,28.96,212,732,1.37,"RoughTendency",2008
