"ParBreakers_RANKTHISWEEK_2013","ParBreakers_RANKLASTWEEK_2013","ParBreakers_PLAYERNAME_2013","ParBreakers_ROUNDS_2013","ParBreakers_Pct_2013","ParBreakers_BIRDIESEAGLES_2013","ParBreakers_HOLES_2013","stat_name","year"
51,51,"Hunter Mahan",91,20.72,317,1530,"ParBreakers",2013
52,52,"Matt Jones",83,20.68,309,1494,"ParBreakers",2013
53,53,"David Lingmerth",68,20.67,253,1224,"ParBreakers",2013
54,54,"Brendon de Jonge",110,20.61,408,1980,"ParBreakers",2013
55,55,"Rickie Fowler",75,20.57,274,1332,"ParBreakers",2013
56,56,"Jason Day",86,20.49,295,1440,"ParBreakers",2013
57,57,"John Rollins",77,20.4,268,1314,"ParBreakers",2013
58,58,"Roberto Castro",97,20.39,356,1746,"ParBreakers",2013
59,59,"Jeff Overton",78,20.37,286,1404,"ParBreakers",2013
60,60,"Nick Watney",88,20.35,315,1548,"ParBreakers",2013
61,61,"Greg Chalmers",77,20.32,267,1314,"ParBreakers",2013
62,62,"Nicholas Thompson",99,20.31,362,1782,"ParBreakers",2013
63,63,"Zach Johnson",84,20.28,303,1494,"ParBreakers",2013
64,64,"Aaron Baddeley",68,20.2,240,1188,"ParBreakers",2013
64,64,"Jason Dufner",78,20.2,280,1386,"ParBreakers",2013
66,66,"Josh Teater",86,20.19,298,1476,"ParBreakers",2013
67,67,"Chris Stroud",88,20.14,319,1584,"ParBreakers",2013
68,68,"Justin Leonard",86,20.09,311,1548,"ParBreakers",2013
69,69,"Martin Flores",83,20.08,300,1494,"ParBreakers",2013
70,70,"Boo Weekley",100,20.06,361,1800,"ParBreakers",2013
71,71,"Kevin Chappell",80,20,288,1440,"ParBreakers",2013
72,72,"Luke Guthrie",82,19.99,295,1476,"ParBreakers",2013
72,72,"DA Points",87,19.99,313,1566,"ParBreakers",2013
74,74,"Fabian Gomez",65,19.91,233,1170,"ParBreakers",2013
75,75,"Jim Herman",59,19.9,197,990,"ParBreakers",2013
76,76,"Stewart Cink",71,19.87,254,1278,"ParBreakers",2013
77,77,"Scott Stallings",79,19.83,282,1422,"ParBreakers",2013
78,78,"Jim Furyk",80,19.8,278,1404,"ParBreakers",2013
79,79,"DH Lee",65,19.74,231,1170,"ParBreakers",2013
80,80,"DJ Trahan",48,19.69,163,828,"ParBreakers",2013
81,81,"Ryan Moore",72,19.64,251,1278,"ParBreakers",2013
82,82,"Justin Hicks",79,19.63,265,1350,"ParBreakers",2013
83,83,"Henrik Norlander",70,19.61,240,1224,"ParBreakers",2013
84,84,"Doug LaBelle II",72,19.6,247,1260,"ParBreakers",2013
85,85,"Kevin Streelman",86,19.51,302,1548,"ParBreakers",2013
85,85,"Cameron Tringale",80,19.51,281,1440,"ParBreakers",2013
87,87,"Bud Cauley",67,19.49,221,1134,"ParBreakers",2013
88,88,"Angel Cabrera",73,19.48,256,1314,"ParBreakers",2013
88,88,"William McGirt",75,19.48,263,1350,"ParBreakers",2013
88,88,"John Merrick",79,19.48,277,1422,"ParBreakers",2013
91,91,"Bill Haas",85,19.44,294,1512,"ParBreakers",2013
91,91,"David Toms",49,19.44,154,792,"ParBreakers",2013
93,93,"Luke List",65,19.4,213,1098,"ParBreakers",2013
93,93,"Ted Potter Jr",65,19.4,213,1098,"ParBreakers",2013
95,95,"Brendan Steele",86,19.38,286,1476,"ParBreakers",2013
96,96,"Aaron Watkins",46,19.32,153,792,"ParBreakers",2013
97,97,"Steve LeBrun",66,19.27,215,1116,"ParBreakers",2013
98,98,"Seung Yul Noh",71,19.24,232,1206,"ParBreakers",2013
98,98,"Lee Westwood",70,19.24,239,1242,"ParBreakers",2013
100,100,"Lucas Glover",65,19.23,225,1170,"ParBreakers",2013
101,101,"Bo Van Pelt",72,19.21,242,1260,"ParBreakers",2013
102,102,"George McNeill",68,19.2,235,1224,"ParBreakers",2013
103,103,"Greg Owen",73,19.17,245,1278,"ParBreakers",2013
104,104,"Erik Compton",74,19.14,255,1332,"ParBreakers",2013
104,104,"Chez Reavie",72,19.14,248,1296,"ParBreakers",2013
106,106,"Brian Harman",89,19.08,292,1530,"ParBreakers",2013
107,107,"Carl Pettersson",82,19.03,274,1440,"ParBreakers",2013
108,108,"John Huh",88,19,301,1584,"ParBreakers",2013
109,109,"Peter Hanson",45,18.99,147,774,"ParBreakers",2013
110,110,"Freddie Jacobson",63,18.98,205,1080,"ParBreakers",2013
111,111,"Tag Ridings",69,18.97,222,1170,"ParBreakers",2013
112,112,"Jerry Kelly",75,18.96,256,1350,"ParBreakers",2013
112,112,"Jeff Maggert",63,18.96,215,1134,"ParBreakers",2013
114,114,"Robert Streb",75,18.94,242,1278,"ParBreakers",2013
115,115,"Tommy Gainey",84,18.92,286,1512,"ParBreakers",2013
116,116,"Charlie Beljan",62,18.91,211,1116,"ParBreakers",2013
117,117,"Bob Estes",66,18.86,224,1188,"ParBreakers",2013
117,117,"Cameron Percy",68,18.86,224,1188,"ParBreakers",2013
119,119,"Ernie Els",63,18.82,210,1116,"ParBreakers",2013
120,120,"Shawn Stefani",63,18.78,213,1134,"ParBreakers",2013
121,121,"Stuart Appleby",88,18.72,283,1512,"ParBreakers",2013
121,121,"KJ Choi",85,18.72,283,1512,"ParBreakers",2013
123,123,"Stephen Ames",49,18.71,165,882,"ParBreakers",2013
124,124,"Richard Lee",81,18.69,259,1386,"ParBreakers",2013
125,125,"Ken Duke",87,18.65,292,1566,"ParBreakers",2013
125,125,"Rod Pampling",46,18.65,141,756,"ParBreakers",2013
127,127,"Scott Gardiner",61,18.64,198,1062,"ParBreakers",2013
128,128,"Scott Brown",65,18.63,218,1170,"ParBreakers",2013
129,129,"Mike Weir",60,18.58,194,1044,"ParBreakers",2013
130,130,"Chad Campbell",78,18.57,254,1368,"ParBreakers",2013
131,131,"Marc Leishman",77,18.54,257,1386,"ParBreakers",2013
131,131,"Kyle Stanley",71,18.54,237,1278,"ParBreakers",2013
133,133,"John Senden",79,18.52,260,1404,"ParBreakers",2013
134,134,"Brian Gay",79,18.5,263,1422,"ParBreakers",2013
135,135,"Martin Kaymer",61,18.49,193,1044,"ParBreakers",2013
136,136,"Dicky Pride",71,18.41,222,1206,"ParBreakers",2013
137,137,"Brandt Jobe",62,18.39,192,1044,"ParBreakers",2013
138,138,"Brian Stuard",78,18.32,244,1332,"ParBreakers",2013
139,139,"Martin Laird",68,18.3,224,1224,"ParBreakers",2013
140,140,"Ryo Ishikawa",72,18.25,230,1260,"ParBreakers",2013
141,141,"Ian Poulter",59,18.24,174,954,"ParBreakers",2013
142,142,"Ben Kohles",75,18.23,233,1278,"ParBreakers",2013
143,143,"David Lynn",70,18.2,226,1242,"ParBreakers",2013
144,144,"Justin Bolli",59,18.18,180,990,"ParBreakers",2013
145,145,"David Mathis",71,18.16,219,1206,"ParBreakers",2013
146,146,"Tim Clark",64,18.12,199,1098,"ParBreakers",2013
147,147,"Andrew Svoboda",46,18.06,143,792,"ParBreakers",2013
148,148,"YE Yang",56,17.96,181,1008,"ParBreakers",2013
149,149,"Ricky Barnes",74,17.94,226,1260,"ParBreakers",2013
150,150,"Alistair Presnell",59,17.93,184,1026,"ParBreakers",2013
151,151,"Ben Crane",62,17.91,187,1044,"ParBreakers",2013
152,152,"Eric Meierdierks",48,17.87,148,828,"ParBreakers",2013
153,153,"Jonas Blixt",76,17.84,244,1368,"ParBreakers",2013
153,153,"Robert Karlsson",56,17.84,167,936,"ParBreakers",2013
155,155,"Jin Park",52,17.78,160,900,"ParBreakers",2013
156,156,"Tim Herron",45,17.65,143,810,"ParBreakers",2013
157,157,"Scott Langley",79,17.56,237,1350,"ParBreakers",2013
158,158,"Geoff Ogilvy",57,17.54,180,1026,"ParBreakers",2013
159,159,"Troy Matteson",68,17.51,208,1188,"ParBreakers",2013
160,160,"Will Claxton",67,17.46,198,1134,"ParBreakers",2013
161,161,"Derek Ernst",58,17.43,182,1044,"ParBreakers",2013
162,162,"Graeme McDowell",53,17.35,153,882,"ParBreakers",2013
