"AveragePuttingDistanceAll3Plusputts_RANKTHISWEEK_2006","AveragePuttingDistanceAll3Plusputts_RANKLASTWEEK_2006","AveragePuttingDistanceAll3Plusputts_PLAYERNAME_2006","AveragePuttingDistanceAll3Plusputts_ROUNDS_2006","AveragePuttingDistanceAll3Plusputts_AVG_2006","AveragePuttingDistanceAll3Plusputts_DISTANCEFEET_2006","AveragePuttingDistanceAll3Plusputts_TOTALPUTTS_2006","stat_name","year"
57,57,"Shaun Micheel",96,NA,33.583,1,"AveragePuttingDistanceAll3Plusputts",2006
58,58,"Thomas Levet",53,NA,66,2,"AveragePuttingDistanceAll3Plusputts",2006
59,59,"John Daly",51,NA,62.917,2,"AveragePuttingDistanceAll3Plusputts",2006
60,60,"Steve Flesch",119,NA,30.75,1,"AveragePuttingDistanceAll3Plusputts",2006
61,61,"DJ Trahan",92,NA,59.167,2,"AveragePuttingDistanceAll3Plusputts",2006
62,62,"Jonathan Kaye",95,NA,58.667,2,"AveragePuttingDistanceAll3Plusputts",2006
63,63,"Arjun Atwal",97,NA,87.083,3,"AveragePuttingDistanceAll3Plusputts",2006
64,64,"Mathew Goggin",72,NA,57.667,2,"AveragePuttingDistanceAll3Plusputts",2006
65,65,"Zach Johnson",98,NA,57.333,2,"AveragePuttingDistanceAll3Plusputts",2006
66,66,"Paul Azinger",87,NA,28,1,"AveragePuttingDistanceAll3Plusputts",2006
67,67,"Charley Hoffman",100,NA,26.083,1,"AveragePuttingDistanceAll3Plusputts",2006
68,68,"Joe Ogilvie",95,NA,102.417,4,"AveragePuttingDistanceAll3Plusputts",2006
69,69,"David Duval",71,NA,24.75,1,"AveragePuttingDistanceAll3Plusputts",2006
70,70,"Jonathan Byrd",66,NA,22.833,1,"AveragePuttingDistanceAll3Plusputts",2006
71,71,"JJ Henry",96,NA,21.5,1,"AveragePuttingDistanceAll3Plusputts",2006
72,72,"Robert Damron",91,NA,21.25,1,"AveragePuttingDistanceAll3Plusputts",2006
73,73,"Carlos Franco",86,NA,20.917,1,"AveragePuttingDistanceAll3Plusputts",2006
74,74,"John Senden",96,NA,40.917,2,"AveragePuttingDistanceAll3Plusputts",2006
75,75,"Tim Petrovic",95,NA,20.417,1,"AveragePuttingDistanceAll3Plusputts",2006
76,76,"Richard Johnson",94,NA,20.333,1,"AveragePuttingDistanceAll3Plusputts",2006
77,77,"David McKenzie",82,NA,18.417,1,"AveragePuttingDistanceAll3Plusputts",2006
78,78,"Rich Beem",85,NA,17.25,1,"AveragePuttingDistanceAll3Plusputts",2006
79,79,"Ian Poulter",53,NA,33.833,2,"AveragePuttingDistanceAll3Plusputts",2006
80,80,"Brett Quigley",109,NA,16.667,1,"AveragePuttingDistanceAll3Plusputts",2006
81,81,"Peter Lonard",77,NA,16.5,1,"AveragePuttingDistanceAll3Plusputts",2006
82,82,"Alex Cejka",93,NA,16.25,1,"AveragePuttingDistanceAll3Plusputts",2006
83,83,"Shane Bertsch",104,NA,15.917,1,"AveragePuttingDistanceAll3Plusputts",2006
83,83,"Duffy Waldorf",96,NA,15.917,1,"AveragePuttingDistanceAll3Plusputts",2006
85,85,"Ron Whittaker",81,NA,14.167,1,"AveragePuttingDistanceAll3Plusputts",2006
86,86,"Troy Matteson",101,NA,10.75,1,"AveragePuttingDistanceAll3Plusputts",2006
87,87,"Tim Clark",80,NA,9.167,1,"AveragePuttingDistanceAll3Plusputts",2006
88,88,"Stephen Leaney",84,NA,8.833,1,"AveragePuttingDistanceAll3Plusputts",2006
89,89,"Kirk Triplett",58,NA,12.5,2,"AveragePuttingDistanceAll3Plusputts",2006
90,90,"Bill Haas",99,NA,5.167,1,"AveragePuttingDistanceAll3Plusputts",2006
