"FedExCupSeasonPoints_RANKTHISWEEK_2009","FedExCupSeasonPoints_RANKLASTWEEK_2009","FedExCupSeasonPoints_PLAYERNAME_2009","FedExCupSeasonPoints_EVENTS_2009","FedExCupSeasonPoints_POINTS_2009","FedExCupSeasonPoints_OFWINS_2009","FedExCupSeasonPoints_OFTOP10S_2009","FedExCupSeasonPoints_POINTSBEHINDLEAD_2009","FedExCupSeasonPoints_RESETPOINTS_2009","stat_name","year"
24,24,"Luke Donald",17,993,NA,5,2438,NA,"FedExCupSeasonPoints",2009
25,25,"Tim Clark",18,980,NA,4,2451,NA,"FedExCupSeasonPoints",2009
26,26,"Mike Weir",19,968,NA,5,2463,NA,"FedExCupSeasonPoints",2009
27,27,"Angel Cabrera",13,968,1,2,2463,NA,"FedExCupSeasonPoints",2009
28,28,"Charley Hoffman",21,963,NA,3,2468,NA,"FedExCupSeasonPoints",2009
29,29,"Anthony Kim",18,957,NA,3,2474,NA,"FedExCupSeasonPoints",2009
30,30,"Steve Marino",24,938,NA,4,2493,NA,"FedExCupSeasonPoints",2009
31,31,"John Senden",24,937,NA,5,2494,NA,"FedExCupSeasonPoints",2009
32,32,"Charles Howell III",23,937,NA,3,2494,NA,"FedExCupSeasonPoints",2009
33,33,"Pat Perez",18,920,1,2,2511,NA,"FedExCupSeasonPoints",2009
34,34,"Ian Poulter",14,907,NA,4,2524,NA,"FedExCupSeasonPoints",2009
35,35,"Camilo Villegas",18,886,NA,3,2545,NA,"FedExCupSeasonPoints",2009
36,36,"Davis Love III",21,851,NA,2,2580,NA,"FedExCupSeasonPoints",2009
37,37,"Mark Wilson",22,848,1,2,2583,NA,"FedExCupSeasonPoints",2009
38,38,"Robert Allenby",17,846,NA,3,2585,NA,"FedExCupSeasonPoints",2009
39,39,"Justin Leonard",21,838,NA,5,2593,NA,"FedExCupSeasonPoints",2009
40,40,"Brian Davis",25,823,NA,3,2608,NA,"FedExCupSeasonPoints",2009
41,41,"Nathan Green",24,822,1,1,2609,NA,"FedExCupSeasonPoints",2009
42,42,"Jason Dufner",22,787,NA,5,2644,NA,"FedExCupSeasonPoints",2009
43,43,"John Mallinger",21,775,NA,4,2656,NA,"FedExCupSeasonPoints",2009
44,44,"John Merrick",22,762,NA,4,2669,NA,"FedExCupSeasonPoints",2009
45,45,"Brett Quigley",23,760,NA,3,2671,NA,"FedExCupSeasonPoints",2009
46,46,"Bo Van Pelt",23,743,1,4,2688,NA,"FedExCupSeasonPoints",2009
47,47,"Ernie Els",15,733,NA,5,2698,NA,"FedExCupSeasonPoints",2009
48,48,"Ben Crane",20,727,NA,4,2704,NA,"FedExCupSeasonPoints",2009
49,49,"Paul Goydos",19,725,NA,3,2706,NA,"FedExCupSeasonPoints",2009
50,50,"Chad Campbell",21,703,NA,2,2728,NA,"FedExCupSeasonPoints",2009
51,51,"Briny Baird",23,695,NA,3,2736,NA,"FedExCupSeasonPoints",2009
52,52,"Kevin Sutherland",22,693,NA,2,2738,NA,"FedExCupSeasonPoints",2009
53,53,"Charlie Wi",22,683,NA,3,2748,NA,"FedExCupSeasonPoints",2009
54,54,"Bubba Watson",20,677,NA,2,2754,NA,"FedExCupSeasonPoints",2009
55,55,"Bryce Molder",16,669,NA,2,2762,NA,"FedExCupSeasonPoints",2009
56,56,"Woody Austin",19,667,NA,3,2764,NA,"FedExCupSeasonPoints",2009
57,57,"Mathew Goggin",21,662,NA,3,2769,NA,"FedExCupSeasonPoints",2009
58,58,"JJ Henry",24,657,NA,3,2774,NA,"FedExCupSeasonPoints",2009
59,59,"Vijay Singh",19,647,NA,3,2784,NA,"FedExCupSeasonPoints",2009
60,60,"Jeff Klauk",23,645,NA,2,2786,NA,"FedExCupSeasonPoints",2009
61,61,"Scott Verplank",20,641,NA,4,2790,NA,"FedExCupSeasonPoints",2009
62,62,"JB Holmes",20,635,NA,2,2796,NA,"FedExCupSeasonPoints",2009
63,63,"Jason Bohn",19,631,NA,2,2800,NA,"FedExCupSeasonPoints",2009
64,64,"Brandt Snedeker",20,617,NA,4,2814,NA,"FedExCupSeasonPoints",2009
65,65,"Bob Estes",20,611,NA,2,2820,NA,"FedExCupSeasonPoints",2009
66,66,"Padraig Harrington",16,608,NA,2,2823,NA,"FedExCupSeasonPoints",2009
67,67,"Jason Day",15,599,NA,2,2832,NA,"FedExCupSeasonPoints",2009
68,68,"Jeff Overton",21,598,NA,3,2833,NA,"FedExCupSeasonPoints",2009
69,69,"Michael Letzig",22,597,NA,2,2834,NA,"FedExCupSeasonPoints",2009
70,70,"Stephen Ames",17,592,NA,4,2839,NA,"FedExCupSeasonPoints",2009
71,71,"Boo Weekley",20,590,NA,1,2841,NA,"FedExCupSeasonPoints",2009
72,72,"Jonathan Byrd",18,581,NA,2,2850,NA,"FedExCupSeasonPoints",2009
73,73,"Ted Purdy",24,580,NA,1,2851,NA,"FedExCupSeasonPoints",2009
74,74,"Fred Couples",13,569,NA,4,2862,NA,"FedExCupSeasonPoints",2009
75,75,"Scott McCarron",23,566,NA,3,2865,NA,"FedExCupSeasonPoints",2009
76,76,"Kevin Stadler",17,557,NA,1,2874,NA,"FedExCupSeasonPoints",2009
77,77,"Matt Kuchar",19,555,NA,2,2876,NA,"FedExCupSeasonPoints",2009
78,78,"Marc Leishman",22,547,NA,2,2884,NA,"FedExCupSeasonPoints",2009
79,79,"Greg Chalmers",21,543,NA,2,2888,NA,"FedExCupSeasonPoints",2009
80,80,"Tim Petrovic",25,543,NA,4,2888,NA,"FedExCupSeasonPoints",2009
81,81,"DJ Trahan",24,542,NA,2,2889,NA,"FedExCupSeasonPoints",2009
82,82,"Bill Haas",23,535,NA,3,2896,NA,"FedExCupSeasonPoints",2009
83,83,"Scott Piercy",23,531,NA,2,2900,NA,"FedExCupSeasonPoints",2009
84,84,"DA Points",23,531,NA,3,2900,NA,"FedExCupSeasonPoints",2009
85,85,"Webb Simpson",23,519,NA,2,2912,NA,"FedExCupSeasonPoints",2009
86,86,"Kevin Streelman",23,518,NA,2,2913,NA,"FedExCupSeasonPoints",2009
87,87,"Nick OHern",21,512,NA,1,2919,NA,"FedExCupSeasonPoints",2009
88,88,"James Nitties",23,507,NA,2,2924,NA,"FedExCupSeasonPoints",2009
89,89,"Sergio Garcia",14,501,NA,2,2930,NA,"FedExCupSeasonPoints",2009
90,90,"Ryuji Imada",21,499,NA,NA,2932,NA,"FedExCupSeasonPoints",2009
91,91,"Justin Rose",18,492,NA,1,2939,NA,"FedExCupSeasonPoints",2009
92,92,"KJ Choi",20,492,NA,1,2939,NA,"FedExCupSeasonPoints",2009
93,93,"Lee Janzen",20,491,NA,2,2940,NA,"FedExCupSeasonPoints",2009
94,94,"Ben Curtis",16,491,NA,1,2940,NA,"FedExCupSeasonPoints",2009
95,95,"George McNeill",21,480,NA,1,2951,NA,"FedExCupSeasonPoints",2009
96,96,"Cameron Beckman",20,469,NA,2,2962,NA,"FedExCupSeasonPoints",2009
97,97,"Matt Bettencourt",26,463,NA,2,2968,NA,"FedExCupSeasonPoints",2009
98,98,"Rod Pampling",20,452,NA,2,2979,NA,"FedExCupSeasonPoints",2009
99,99,"Greg Owen",24,448,NA,1,2983,NA,"FedExCupSeasonPoints",2009
100,100,"Daniel Chopra",23,441,NA,2,2990,NA,"FedExCupSeasonPoints",2009
101,101,"Michael Allen",18,440,NA,1,2991,NA,"FedExCupSeasonPoints",2009
102,102,"Robert Garrigus",20,433,NA,1,2998,NA,"FedExCupSeasonPoints",2009
103,103,"Aaron Baddeley",19,431,NA,2,3000,NA,"FedExCupSeasonPoints",2009
104,104,"James Driscoll",16,428,NA,1,3003,NA,"FedExCupSeasonPoints",2009
105,105,"Jeff Quinney",21,425,NA,2,3006,NA,"FedExCupSeasonPoints",2009
106,106,"Tim Herron",22,421,NA,NA,3010,NA,"FedExCupSeasonPoints",2009
107,107,"Freddie Jacobson",18,418,NA,2,3013,NA,"FedExCupSeasonPoints",2009
108,108,"Richard Johnson",20,417,NA,2,3014,NA,"FedExCupSeasonPoints",2009
109,109,"Bill Lunde",23,414,NA,1,3017,NA,"FedExCupSeasonPoints",2009
110,110,"Alex Cejka",21,412,NA,2,3019,NA,"FedExCupSeasonPoints",2009
111,111,"Mark Calcavecchia",18,411,NA,3,3020,NA,"FedExCupSeasonPoints",2009
112,112,"Harrison Frazar",23,400,NA,NA,3031,NA,"FedExCupSeasonPoints",2009
113,113,"Chris DiMarco",24,391,NA,NA,3040,NA,"FedExCupSeasonPoints",2009
114,114,"Steve Flesch",22,389,NA,2,3042,NA,"FedExCupSeasonPoints",2009
115,115,"Vaughn Taylor",24,386,NA,1,3045,NA,"FedExCupSeasonPoints",2009
116,116,"Adam Scott",17,379,NA,1,3052,NA,"FedExCupSeasonPoints",2009
117,117,"Chris Stroud",24,379,NA,1,3052,NA,"FedExCupSeasonPoints",2009
118,118,"David Mathis",22,377,NA,NA,3054,NA,"FedExCupSeasonPoints",2009
119,119,"Chris Riley",17,377,NA,1,3054,NA,"FedExCupSeasonPoints",2009
120,120,"Joe Ogilvie",24,373,NA,1,3058,NA,"FedExCupSeasonPoints",2009
121,121,"Todd Hamilton",24,365,NA,1,3066,NA,"FedExCupSeasonPoints",2009
122,122,"Roland Thatcher",11,364,NA,2,3067,NA,"FedExCupSeasonPoints",2009
123,123,"Jeff Maggert",23,363,NA,2,3068,NA,"FedExCupSeasonPoints",2009
124,124,"Heath Slocum",23,355,NA,2,3076,NA,"FedExCupSeasonPoints",2009
125,125,"Troy Matteson",25,354,NA,NA,3077,NA,"FedExCupSeasonPoints",2009
126,126,"Matt Jones",14,353,NA,2,3078,NA,"FedExCupSeasonPoints",2009
127,127,"Ken Duke",25,352,NA,NA,3079,NA,"FedExCupSeasonPoints",2009
128,128,"Rich Beem",22,347,NA,1,3084,NA,"FedExCupSeasonPoints",2009
129,129,"Corey Pavin",21,334,NA,NA,3097,NA,"FedExCupSeasonPoints",2009
130,130,"Tom Watson",2,330,NA,1,3101,NA,"FedExCupSeasonPoints",2009
131,131,"Charles Warren",18,330,NA,NA,3101,NA,"FedExCupSeasonPoints",2009
132,132,"Andres Romero",17,329,NA,1,3102,NA,"FedExCupSeasonPoints",2009
133,133,"Rocco Mediate",18,327,NA,1,3104,NA,"FedExCupSeasonPoints",2009
134,134,"Ryan Palmer",23,324,NA,1,3107,NA,"FedExCupSeasonPoints",2009
135,135,"Cliff Kresge",24,319,NA,1,3112,NA,"FedExCupSeasonPoints",2009
136,136,"Aron Price",23,317,NA,1,3114,NA,"FedExCupSeasonPoints",2009
137,137,"Brendon de Jonge",25,315,NA,2,3116,NA,"FedExCupSeasonPoints",2009
138,138,"Nicholas Thompson",27,315,NA,NA,3116,NA,"FedExCupSeasonPoints",2009
139,139,"Michael Bradley",14,306,1,1,3125,NA,"FedExCupSeasonPoints",2009
140,140,"Tommy Armour III",15,302,NA,1,3129,NA,"FedExCupSeasonPoints",2009
141,141,"Stuart Appleby",22,302,NA,1,3129,NA,"FedExCupSeasonPoints",2009
142,142,"Ricky Barnes",19,300,NA,1,3131,NA,"FedExCupSeasonPoints",2009
143,143,"Spencer Levin",21,295,NA,1,3136,NA,"FedExCupSeasonPoints",2009
144,144,"Will Ma Kenzie",20,292,NA,2,3139,NA,"FedExCupSeasonPoints",2009
145,145,"Dean Wilson",25,291,NA,NA,3140,NA,"FedExCupSeasonPoints",2009
146,146,"Martin Laird",21,289,NA,1,3142,NA,"FedExCupSeasonPoints",2009
147,147,"Tom Lehman",14,285,NA,1,3146,NA,"FedExCupSeasonPoints",2009
148,148,"Jimmy Walker",20,284,NA,1,3147,NA,"FedExCupSeasonPoints",2009
149,149,"David Duval",18,274,NA,1,3157,NA,"FedExCupSeasonPoints",2009
150,150,"Glen Day",22,273,NA,NA,3158,NA,"FedExCupSeasonPoints",2009
151,151,"Johnson Wagner",23,268,NA,1,3163,NA,"FedExCupSeasonPoints",2009
152,152,"Matt Weibring",18,264,NA,1,3167,NA,"FedExCupSeasonPoints",2009
153,153,"Steve Lowery",23,262,NA,NA,3169,NA,"FedExCupSeasonPoints",2009
154,154,"Carl Pettersson",25,258,NA,NA,3173,NA,"FedExCupSeasonPoints",2009
155,155,"Scott Sterling",16,258,NA,NA,3173,NA,"FedExCupSeasonPoints",2009
156,156,"Tom Pernice Jr",22,255,NA,1,3176,NA,"FedExCupSeasonPoints",2009
157,157,"Brad Adamonis",23,253,NA,1,3178,NA,"FedExCupSeasonPoints",2009
158,158,"Trevor Immelman",13,248,NA,NA,3183,NA,"FedExCupSeasonPoints",2009
159,159,"Chez Reavie",24,240,NA,1,3191,NA,"FedExCupSeasonPoints",2009
160,160,"Brandt Jobe",8,227,NA,NA,3204,NA,"FedExCupSeasonPoints",2009
161,161,"Bart Bryant",17,227,NA,1,3204,NA,"FedExCupSeasonPoints",2009
162,162,"Billy Mayfair",24,225,NA,1,3206,NA,"FedExCupSeasonPoints",2009
163,163,"Jonathan Kaye",17,221,NA,1,3210,NA,"FedExCupSeasonPoints",2009
164,164,"Tag Ridings",15,220,NA,1,3211,NA,"FedExCupSeasonPoints",2009
165,165,"Patrick Sheehan",14,213,NA,NA,3218,NA,"FedExCupSeasonPoints",2009
166,166,"Casey Wittenberg",21,211,NA,1,3220,NA,"FedExCupSeasonPoints",2009
167,167,"Joe Durant",18,206,NA,1,3225,NA,"FedExCupSeasonPoints",2009
168,168,"Kris Blanks",17,202,NA,1,3229,NA,"FedExCupSeasonPoints",2009
169,169,"Shaun Micheel",16,201,NA,NA,3230,NA,"FedExCupSeasonPoints",2009
170,170,"Jason Gore",21,197,NA,2,3234,NA,"FedExCupSeasonPoints",2009
171,171,"Steve Elkington",19,194,NA,NA,3237,NA,"FedExCupSeasonPoints",2009
172,172,"Peter Lonard",26,182,NA,NA,3249,NA,"FedExCupSeasonPoints",2009
173,173,"Mark Brooks",17,182,NA,1,3249,NA,"FedExCupSeasonPoints",2009
174,174,"Jarrod Lyle",17,180,NA,1,3251,NA,"FedExCupSeasonPoints",2009
175,175,"Tim Wilkinson",14,177,NA,1,3254,NA,"FedExCupSeasonPoints",2009
176,176,"Parker McLachlin",21,173,NA,NA,3258,NA,"FedExCupSeasonPoints",2009
177,177,"Jay Williamson",18,172,NA,NA,3259,NA,"FedExCupSeasonPoints",2009
178,178,"Darron Stiles",17,169,NA,1,3262,NA,"FedExCupSeasonPoints",2009
179,179,"JP Hayes",15,168,NA,1,3263,NA,"FedExCupSeasonPoints",2009
180,180,"Kent Jones",20,162,NA,1,3269,NA,"FedExCupSeasonPoints",2009
181,181,"Brendon Todd",18,154,NA,NA,3277,NA,"FedExCupSeasonPoints",2009
182,182,"Frank Lickliter II",14,151,NA,NA,3280,NA,"FedExCupSeasonPoints",2009
183,183,"Jose Maria Olazabal",4,146,NA,1,3285,NA,"FedExCupSeasonPoints",2009
184,184,"Bob Heintz",16,144,NA,1,3287,NA,"FedExCupSeasonPoints",2009
185,185,"Shigeki Maruyama",5,141,NA,1,3290,NA,"FedExCupSeasonPoints",2009
186,186,"John Huston",13,133,NA,NA,3298,NA,"FedExCupSeasonPoints",2009
187,187,"Dudley Hart",13,130,NA,NA,3301,NA,"FedExCupSeasonPoints",2009
188,188,"Colt Knost",21,127,NA,NA,3304,NA,"FedExCupSeasonPoints",2009
189,189,"Marc Turnesa",26,125,NA,NA,3306,NA,"FedExCupSeasonPoints",2009
190,190,"Kirk Triplett",18,124,NA,NA,3307,NA,"FedExCupSeasonPoints",2009
191,191,"Tommy Gainey",15,122,NA,NA,3309,NA,"FedExCupSeasonPoints",2009
192,192,"Aaron Watkins",14,117,NA,1,3314,NA,"FedExCupSeasonPoints",2009
193,193,"Greg Kraft",19,112,NA,NA,3319,NA,"FedExCupSeasonPoints",2009
194,194,"Brian Vranesh",17,111,NA,1,3320,NA,"FedExCupSeasonPoints",2009
195,195,"Garrett Willis",6,108,NA,NA,3323,NA,"FedExCupSeasonPoints",2009
196,196,"David Berganio Jr",15,93,NA,NA,3338,NA,"FedExCupSeasonPoints",2009
197,197,"Wil Collins",16,91,NA,NA,3340,NA,"FedExCupSeasonPoints",2009
198,198,"Mathias Gronberg",11,90,NA,NA,3341,NA,"FedExCupSeasonPoints",2009
199,199,"Peter Tomasulo",22,89,NA,NA,3342,NA,"FedExCupSeasonPoints",2009
200,200,"Omar Uresti",9,83,NA,1,3348,NA,"FedExCupSeasonPoints",2009
201,201,"Derek Fathauer",22,83,NA,NA,3348,NA,"FedExCupSeasonPoints",2009
202,202,"Scott Gutschewski",17,78,NA,NA,3353,NA,"FedExCupSeasonPoints",2009
203,203,"Paul Stankowski",9,75,NA,NA,3356,NA,"FedExCupSeasonPoints",2009
204,204,"Leif Olson",17,73,NA,NA,3358,NA,"FedExCupSeasonPoints",2009
205,205,"Dicky Pride",10,73,NA,1,3358,NA,"FedExCupSeasonPoints",2009
206,206,"Eric Axley",26,70,NA,NA,3361,NA,"FedExCupSeasonPoints",2009
207,207,"Gary Woodland",18,68,NA,NA,3363,NA,"FedExCupSeasonPoints",2009
208,208,"Ronnie Black",3,65,NA,NA,3366,NA,"FedExCupSeasonPoints",2009
209,209,"Chris Couch",8,57,NA,NA,3374,NA,"FedExCupSeasonPoints",2009
210,210,"Arjun Atwal",10,57,NA,NA,3374,NA,"FedExCupSeasonPoints",2009
211,211,"Bob Tway",12,56,NA,NA,3375,NA,"FedExCupSeasonPoints",2009
212,212,"Neal Lancaster",6,56,NA,NA,3375,NA,"FedExCupSeasonPoints",2009
213,213,"David Peoples",6,55,NA,NA,3376,NA,"FedExCupSeasonPoints",2009
214,214,"Guy Boros",7,55,NA,NA,3376,NA,"FedExCupSeasonPoints",2009
215,215,"John Daly",6,51,NA,NA,3380,NA,"FedExCupSeasonPoints",2009
216,216,"Loren Roberts",3,49,NA,NA,3382,NA,"FedExCupSeasonPoints",2009
217,217,"Carlos Franco",10,49,NA,NA,3382,NA,"FedExCupSeasonPoints",2009
218,218,"Sandy Lyle",2,47,NA,NA,3384,NA,"FedExCupSeasonPoints",2009
219,219,"Len Mattiace",1,44,NA,NA,3387,NA,"FedExCupSeasonPoints",2009
220,220,"Rick Price",19,43,NA,NA,3388,NA,"FedExCupSeasonPoints",2009
221,221,"Jesper Parnevik",14,42,NA,NA,3389,NA,"FedExCupSeasonPoints",2009
222,222,"James Oh",19,42,NA,NA,3389,NA,"FedExCupSeasonPoints",2009
223,223,"Mark Hensby",5,42,NA,NA,3389,NA,"FedExCupSeasonPoints",2009
224,224,"Larry Mize",1,39,NA,NA,3392,NA,"FedExCupSeasonPoints",2009
225,225,"Brad Faxon",20,39,NA,NA,3392,NA,"FedExCupSeasonPoints",2009
226,226,"Chris Smith",3,37,NA,NA,3394,NA,"FedExCupSeasonPoints",2009
227,227,"Jay Delsing",7,35,NA,NA,3396,NA,"FedExCupSeasonPoints",2009
228,228,"Arron Oberholser",3,30,NA,NA,3401,NA,"FedExCupSeasonPoints",2009
229,229,"Skip Kendall",3,29,NA,NA,3402,NA,"FedExCupSeasonPoints",2009
230,230,"Marco Dawson",6,28,NA,NA,3403,NA,"FedExCupSeasonPoints",2009
231,231,"Notah Begay III",15,28,NA,NA,3403,NA,"FedExCupSeasonPoints",2009
232,232,"Jeff Sluman",2,25,NA,NA,3406,NA,"FedExCupSeasonPoints",2009
233,233,"Robert Damron",5,23,NA,NA,3408,NA,"FedExCupSeasonPoints",2009
234,234,"Tom Byrum",4,23,NA,NA,3408,NA,"FedExCupSeasonPoints",2009
235,235,"Scott Hoch",1,22,NA,NA,3409,NA,"FedExCupSeasonPoints",2009
236,236,"Stephen Leaney",11,20,NA,NA,3411,NA,"FedExCupSeasonPoints",2009
237,237,"Jose Coceres",6,20,NA,NA,3411,NA,"FedExCupSeasonPoints",2009
238,238,"Brian Bateman",21,17,NA,NA,3414,NA,"FedExCupSeasonPoints",2009
239,239,"Troy Kelly",16,15,NA,NA,3416,NA,"FedExCupSeasonPoints",2009
240,240,"Spike McRoy",1,14,NA,NA,3417,NA,"FedExCupSeasonPoints",2009
241,241,"Fred Funk",6,12,NA,NA,3419,NA,"FedExCupSeasonPoints",2009
242,242,"Tom Scherrer",2,11,NA,NA,3420,NA,"FedExCupSeasonPoints",2009
243,243,"Steve Allan",17,10,NA,NA,3421,NA,"FedExCupSeasonPoints",2009
244,244,"Matthew Borchert",17,8,NA,NA,3423,NA,"FedExCupSeasonPoints",2009
245,245,"Billy Andrade",17,7,NA,NA,3424,NA,"FedExCupSeasonPoints",2009
246,246,"Grant Waite",2,7,NA,NA,3424,NA,"FedExCupSeasonPoints",2009
247,247,"Tyler Aldridge",16,5,NA,NA,3426,NA,"FedExCupSeasonPoints",2009
248,248,"David Gossett",5,4,NA,NA,3427,NA,"FedExCupSeasonPoints",2009
249,249,"Paul Azinger",8,1,NA,NA,3430,NA,"FedExCupSeasonPoints",2009
250,250,"Olin Browne",9,1,NA,NA,3430,NA,"FedExCupSeasonPoints",2009
251,251,"Mark OMeara",2,1,NA,NA,3430,NA,"FedExCupSeasonPoints",2009
252,252,"Greg Norman",3,1,NA,NA,3430,NA,"FedExCupSeasonPoints",2009
253,253,"Steve Pate",4,1,NA,NA,3430,NA,"FedExCupSeasonPoints",2009
254,254,"Robin Freeman",5,1,NA,NA,3430,NA,"FedExCupSeasonPoints",2009
255,255,"JL Lewis",4,NA,NA,NA,3431,NA,"FedExCupSeasonPoints",2009
