"OverallPuttingAverage_RANKTHISWEEK_2005","OverallPuttingAverage_RANKLASTWEEK_2005","OverallPuttingAverage_PLAYERNAME_2005","OverallPuttingAverage_ROUNDS_2005","OverallPuttingAverage_AVG_2005","OverallPuttingAverage_OFPUTTS_2005","OverallPuttingAverage_OFHOLES_2005","stat_name","year"
113,113,"Jeff Hart",63,1.626,1785,1098,"OverallPuttingAverage",2005
113,113,"Franklin Langham",91,1.626,2546,1566,"OverallPuttingAverage",2005
113,113,"Mario Tiziani",67,1.626,1902,1170,"OverallPuttingAverage",2005
118,118,"Jonathan Byrd",103,1.627,2900,1782,"OverallPuttingAverage",2005
118,118,"John Daly",78,1.627,2226,1368,"OverallPuttingAverage",2005
118,118,"Lucas Glover",88,1.627,2518,1548,"OverallPuttingAverage",2005
118,118,"Jonathan Kaye",77,1.627,2167,1332,"OverallPuttingAverage",2005
118,118,"Tim Petrovic",97,1.627,2723,1674,"OverallPuttingAverage",2005
118,118,"Kevin Sutherland",89,1.627,2548,1566,"OverallPuttingAverage",2005
124,124,"Arron Oberholser",65,1.628,1846,1134,"OverallPuttingAverage",2005
125,125,"Luke Donald",67,1.629,1759,1080,"OverallPuttingAverage",2005
125,125,"Carlos Franco",78,1.629,2229,1368,"OverallPuttingAverage",2005
125,125,"Bill Glasson",54,1.629,1525,936,"OverallPuttingAverage",2005
125,125,"Scott Gutschewski",86,1.629,2405,1476,"OverallPuttingAverage",2005
125,125,"JL Lewis",98,1.629,2873,1764,"OverallPuttingAverage",2005
125,125,"Hunter Mahan",103,1.629,2961,1818,"OverallPuttingAverage",2005
125,125,"Rocco Mediate",73,1.629,2140,1314,"OverallPuttingAverage",2005
125,125,"Duffy Waldorf",86,1.629,2405,1476,"OverallPuttingAverage",2005
133,133,"Tom Gillis",77,1.63,2200,1350,"OverallPuttingAverage",2005
133,133,"Mark Hensby",70,1.63,1995,1224,"OverallPuttingAverage",2005
135,135,"Ian Poulter",62,1.631,1644,1008,"OverallPuttingAverage",2005
135,135,"Heath Slocum",103,1.631,2906,1782,"OverallPuttingAverage",2005
137,137,"Peter Lonard",85,1.632,2467,1512,"OverallPuttingAverage",2005
137,137,"Omar Uresti",84,1.632,2467,1512,"OverallPuttingAverage",2005
139,139,"Brian Bateman",98,1.633,2763,1692,"OverallPuttingAverage",2005
140,140,"Dan Forsman",52,1.634,1471,900,"OverallPuttingAverage",2005
141,141,"Steve Allan",102,1.635,2884,1764,"OverallPuttingAverage",2005
141,141,"Stuart Appleby",84,1.635,2355,1440,"OverallPuttingAverage",2005
141,141,"Matt Davidson",53,1.635,1560,954,"OverallPuttingAverage",2005
141,141,"Steve Flesch",90,1.635,2502,1530,"OverallPuttingAverage",2005
141,141,"Frank Lickliter II",100,1.635,2825,1728,"OverallPuttingAverage",2005
141,141,"Adam Scott",72,1.635,2001,1224,"OverallPuttingAverage",2005
147,147,"Steve Elkington",67,1.636,1973,1206,"OverallPuttingAverage",2005
147,147,"Charles Howell III",95,1.636,2650,1620,"OverallPuttingAverage",2005
147,147,"Brendan Jones",81,1.636,2327,1422,"OverallPuttingAverage",2005
147,147,"Stephen Leaney",89,1.636,2532,1548,"OverallPuttingAverage",2005
147,147,"Joey Sindelar",104,1.636,3062,1872,"OverallPuttingAverage",2005
152,152,"Tom Byrum",83,1.637,2446,1494,"OverallPuttingAverage",2005
152,152,"Fred Funk",102,1.637,2976,1818,"OverallPuttingAverage",2005
154,154,"Retief Goosen",71,1.638,1798,1098,"OverallPuttingAverage",2005
154,154,"Billy Mayfair",114,1.638,3244,1980,"OverallPuttingAverage",2005
154,154,"Sean OHair",103,1.638,2919,1782,"OverallPuttingAverage",2005
157,157,"Ben Curtis",65,1.639,1918,1170,"OverallPuttingAverage",2005
157,157,"John Rollins",97,1.639,2802,1710,"OverallPuttingAverage",2005
159,159,"Bart Bryant",91,1.64,2687,1638,"OverallPuttingAverage",2005
159,159,"Paul Claxton",79,1.64,2332,1422,"OverallPuttingAverage",2005
159,159,"Jeff Maggert",79,1.64,2184,1332,"OverallPuttingAverage",2005
162,162,"DA Points",94,1.641,2658,1620,"OverallPuttingAverage",2005
162,162,"John Senden",101,1.641,2925,1782,"OverallPuttingAverage",2005
162,162,"Tjaart van der Walt",56,1.641,1654,1008,"OverallPuttingAverage",2005
162,162,"Bo Van Pelt",112,1.641,3308,2016,"OverallPuttingAverage",2005
166,166,"Jeff Brehaut",71,1.645,1984,1206,"OverallPuttingAverage",2005
167,167,"Craig Barlow",81,1.646,2281,1386,"OverallPuttingAverage",2005
167,167,"Jim Carter",62,1.646,1778,1080,"OverallPuttingAverage",2005
167,167,"Michael Long",72,1.646,2074,1260,"OverallPuttingAverage",2005
167,167,"Will Ma Kenzie",75,1.646,2163,1314,"OverallPuttingAverage",2005
171,171,"Chad Campbell",95,1.647,2728,1656,"OverallPuttingAverage",2005
172,172,"Steve Jones",56,1.649,1603,972,"OverallPuttingAverage",2005
172,172,"Tom Lehman",69,1.649,1989,1206,"OverallPuttingAverage",2005
174,174,"Ted Purdy",122,1.65,3624,2196,"OverallPuttingAverage",2005
175,175,"Danny Briggs",70,1.651,2021,1224,"OverallPuttingAverage",2005
175,175,"Alex Cejka",84,1.651,2407,1458,"OverallPuttingAverage",2005
175,175,"Greg Owen",84,1.651,2377,1440,"OverallPuttingAverage",2005
178,178,"DJ Trahan",81,1.652,2289,1386,"OverallPuttingAverage",2005
178,178,"Charles Warren",89,1.652,2587,1566,"OverallPuttingAverage",2005
180,180,"Scott Hend",75,1.653,2172,1314,"OverallPuttingAverage",2005
180,180,"Dennis Paulson",63,1.653,1874,1134,"OverallPuttingAverage",2005
180,180,"Lee Westwood",50,1.653,1428,864,"OverallPuttingAverage",2005
183,183,"Tommy Armour III",103,1.654,3066,1854,"OverallPuttingAverage",2005
183,183,"Shaun Micheel",81,1.654,2352,1422,"OverallPuttingAverage",2005
185,185,"Rich Beem",66,1.655,1847,1116,"OverallPuttingAverage",2005
186,186,"Briny Baird",98,1.656,2861,1728,"OverallPuttingAverage",2005
186,186,"Fred Couples",72,1.656,2027,1224,"OverallPuttingAverage",2005
186,186,"Kenny Perry",82,1.656,2385,1440,"OverallPuttingAverage",2005
186,186,"Joey Snyder III",102,1.656,2921,1764,"OverallPuttingAverage",2005
190,190,"Brett Wetterich",76,1.658,2208,1332,"OverallPuttingAverage",2005
191,191,"Glen Hnatiuk",59,1.659,1642,990,"OverallPuttingAverage",2005
192,192,"Robert Allenby",95,1.666,2669,1602,"OverallPuttingAverage",2005
193,193,"Craig Perks",67,1.668,1951,1170,"OverallPuttingAverage",2005
194,194,"DJ Brigman",76,1.672,2167,1296,"OverallPuttingAverage",2005
194,194,"JJ Henry",102,1.672,3009,1800,"OverallPuttingAverage",2005
196,196,"Roland Thatcher",75,1.673,2198,1314,"OverallPuttingAverage",2005
197,197,"Sergio Garcia",73,1.676,2051,1224,"OverallPuttingAverage",2005
197,197,"Bradley Hughes",52,1.676,1569,936,"OverallPuttingAverage",2005
199,199,"Thomas Levet",54,1.677,1600,954,"OverallPuttingAverage",2005
199,199,"Chris Smith",93,1.677,2807,1674,"OverallPuttingAverage",2005
201,201,"David Hearn",68,1.679,2055,1224,"OverallPuttingAverage",2005
202,202,"Joe Durant",81,1.689,2463,1458,"OverallPuttingAverage",2005
