"Par4BirdieorBetterLeaders_RANKTHISWEEK_2005","Par4BirdieorBetterLeaders_RANKLASTWEEK_2005","Par4BirdieorBetterLeaders_PLAYERNAME_2005","Par4BirdieorBetterLeaders_ROUNDS_2005","Par4BirdieorBetterLeaders_Pct_2005","Par4BirdieorBetterLeaders_PAR4BIRDIESORBETTER_2005","Par4BirdieorBetterLeaders_PAR4HOLES_2005","stat_name","year"
72,72,"Bo Van Pelt",112,16.65,198,1189,"Par4BirdieorBetterLeaders",2005
74,74,"Cameron Beckman",96,16.62,161,969,"Par4BirdieorBetterLeaders",2005
75,75,"Justin Rose",99,16.6,166,1000,"Par4BirdieorBetterLeaders",2005
76,76,"Peter Lonard",85,16.59,151,910,"Par4BirdieorBetterLeaders",2005
76,76,"Joey Snyder III",102,16.59,172,1037,"Par4BirdieorBetterLeaders",2005
78,78,"Brian Davis",75,16.58,129,778,"Par4BirdieorBetterLeaders",2005
79,79,"Kirk Triplett",55,16.55,91,550,"Par4BirdieorBetterLeaders",2005
80,80,"Jeff Brehaut",71,16.52,116,702,"Par4BirdieorBetterLeaders",2005
81,81,"Duffy Waldorf",86,16.49,144,873,"Par4BirdieorBetterLeaders",2005
82,82,"Kevin Na",88,16.46,149,905,"Par4BirdieorBetterLeaders",2005
83,83,"Carl Pettersson",109,16.44,180,1095,"Par4BirdieorBetterLeaders",2005
84,84,"Tom Gillis",77,16.43,129,785,"Par4BirdieorBetterLeaders",2005
85,85,"Robert Allenby",95,16.41,157,957,"Par4BirdieorBetterLeaders",2005
85,85,"Glen Day",80,16.41,136,829,"Par4BirdieorBetterLeaders",2005
87,87,"Bart Bryant",91,16.38,164,1001,"Par4BirdieorBetterLeaders",2005
88,88,"John Senden",101,16.3,170,1043,"Par4BirdieorBetterLeaders",2005
89,89,"Pat Perez",89,16.27,158,971,"Par4BirdieorBetterLeaders",2005
90,90,"Rod Pampling",89,16.22,150,925,"Par4BirdieorBetterLeaders",2005
91,91,"DJ Trahan",81,16.2,132,815,"Par4BirdieorBetterLeaders",2005
92,92,"Craig Barlow",81,16.19,130,803,"Par4BirdieorBetterLeaders",2005
93,93,"Robert Gamez",91,16.17,156,965,"Par4BirdieorBetterLeaders",2005
94,94,"Justin Bolli",65,16.16,107,662,"Par4BirdieorBetterLeaders",2005
95,95,"Luke Donald",67,16.13,110,682,"Par4BirdieorBetterLeaders",2005
96,96,"Frank Lickliter II",100,16.12,162,1005,"Par4BirdieorBetterLeaders",2005
97,97,"Daniel Chopra",108,16.11,177,1099,"Par4BirdieorBetterLeaders",2005
97,97,"Joe Durant",81,16.11,139,863,"Par4BirdieorBetterLeaders",2005
99,99,"Todd Hamilton",94,16.07,156,971,"Par4BirdieorBetterLeaders",2005
99,99,"Tjaart van der Walt",56,16.07,94,585,"Par4BirdieorBetterLeaders",2005
101,101,"Woody Austin",100,16.06,172,1071,"Par4BirdieorBetterLeaders",2005
101,101,"John Daly",78,16.06,133,828,"Par4BirdieorBetterLeaders",2005
103,103,"John Elliott",58,16.03,96,599,"Par4BirdieorBetterLeaders",2005
103,103,"Jesper Parnevik",84,16.03,139,867,"Par4BirdieorBetterLeaders",2005
105,105,"Brett Quigley",96,16.02,154,961,"Par4BirdieorBetterLeaders",2005
106,106,"Todd Fischer",99,16.01,163,1018,"Par4BirdieorBetterLeaders",2005
106,106,"Tom Lehman",69,16.01,117,731,"Par4BirdieorBetterLeaders",2005
108,108,"Brian Gay",101,16,168,1050,"Par4BirdieorBetterLeaders",2005
109,109,"David Hearn",68,15.99,115,719,"Par4BirdieorBetterLeaders",2005
110,110,"Jason Bohn",91,15.98,155,970,"Par4BirdieorBetterLeaders",2005
111,111,"Dean Wilson",86,15.95,144,903,"Par4BirdieorBetterLeaders",2005
112,112,"JJ Henry",102,15.94,168,1054,"Par4BirdieorBetterLeaders",2005
113,113,"Rory Sabbatini",81,15.93,137,860,"Par4BirdieorBetterLeaders",2005
114,114,"Steve Allan",102,15.91,164,1031,"Par4BirdieorBetterLeaders",2005
115,115,"Nick Watney",91,15.9,149,937,"Par4BirdieorBetterLeaders",2005
116,116,"Retief Goosen",71,15.88,107,674,"Par4BirdieorBetterLeaders",2005
117,117,"Chris Anderson",66,15.87,103,649,"Par4BirdieorBetterLeaders",2005
117,117,"Phillip Price",77,15.87,120,756,"Par4BirdieorBetterLeaders",2005
117,117,"Hidemichi Tanaka",106,15.87,169,1065,"Par4BirdieorBetterLeaders",2005
120,120,"JP Hayes",63,15.84,106,669,"Par4BirdieorBetterLeaders",2005
121,121,"Neal Lancaster",95,15.82,158,999,"Par4BirdieorBetterLeaders",2005
122,122,"Padraig Harrington",50,15.8,82,519,"Par4BirdieorBetterLeaders",2005
123,123,"Gavin Coles",70,15.79,117,741,"Par4BirdieorBetterLeaders",2005
124,124,"KJ Choi",78,15.78,127,805,"Par4BirdieorBetterLeaders",2005
125,125,"Brian Bateman",98,15.74,155,985,"Par4BirdieorBetterLeaders",2005
125,125,"Kevin Stadler",96,15.74,150,953,"Par4BirdieorBetterLeaders",2005
127,127,"Tom Pernice Jr",111,15.71,178,1133,"Par4BirdieorBetterLeaders",2005
128,128,"Jerry Kelly",101,15.64,165,1055,"Par4BirdieorBetterLeaders",2005
129,129,"Charlie Wi",67,15.63,106,678,"Par4BirdieorBetterLeaders",2005
130,130,"Bob Estes",92,15.58,155,995,"Par4BirdieorBetterLeaders",2005
130,130,"Rocco Mediate",73,15.58,120,770,"Par4BirdieorBetterLeaders",2005
132,132,"Matt Gogel",78,15.53,125,805,"Par4BirdieorBetterLeaders",2005
133,133,"Stephen Leaney",89,15.5,139,897,"Par4BirdieorBetterLeaders",2005
134,134,"Mathias Gronberg",60,15.48,96,620,"Par4BirdieorBetterLeaders",2005
135,135,"Billy Andrade",83,15.38,133,865,"Par4BirdieorBetterLeaders",2005
136,136,"John Cook",72,15.35,115,749,"Par4BirdieorBetterLeaders",2005
137,137,"Mario Tiziani",67,15.31,105,686,"Par4BirdieorBetterLeaders",2005
138,138,"Tommy Armour III",103,15.27,166,1087,"Par4BirdieorBetterLeaders",2005
138,138,"Alex Cejka",84,15.27,131,858,"Par4BirdieorBetterLeaders",2005
140,140,"Omar Uresti",84,15.24,137,899,"Par4BirdieorBetterLeaders",2005
141,141,"Steve Elkington",67,15.18,109,718,"Par4BirdieorBetterLeaders",2005
142,142,"Chad Campbell",95,15.16,153,1009,"Par4BirdieorBetterLeaders",2005
142,142,"Lee Janzen",75,15.16,116,765,"Par4BirdieorBetterLeaders",2005
144,144,"Scott McCarron",78,15.15,118,779,"Par4BirdieorBetterLeaders",2005
145,145,"Heath Slocum",103,15.12,160,1058,"Par4BirdieorBetterLeaders",2005
146,146,"Andrew Magee",82,15.1,124,821,"Par4BirdieorBetterLeaders",2005
147,147,"Adam Scott",72,15.07,113,750,"Par4BirdieorBetterLeaders",2005
148,148,"JL Lewis",98,14.99,155,1034,"Par4BirdieorBetterLeaders",2005
149,149,"Greg Owen",84,14.97,125,835,"Par4BirdieorBetterLeaders",2005
150,150,"Paul Gow",78,14.96,118,789,"Par4BirdieorBetterLeaders",2005
151,151,"Carlos Franco",78,14.91,119,798,"Par4BirdieorBetterLeaders",2005
152,152,"Lee Westwood",50,14.9,80,537,"Par4BirdieorBetterLeaders",2005
153,153,"Jeff Sluman",94,14.85,146,983,"Par4BirdieorBetterLeaders",2005
154,154,"Steve Flesch",90,14.83,136,917,"Par4BirdieorBetterLeaders",2005
155,155,"DA Points",94,14.78,140,947,"Par4BirdieorBetterLeaders",2005
156,156,"Tim Petrovic",97,14.73,146,991,"Par4BirdieorBetterLeaders",2005
157,157,"Corey Pavin",77,14.69,115,783,"Par4BirdieorBetterLeaders",2005
158,158,"Tom Byrum",83,14.68,132,899,"Par4BirdieorBetterLeaders",2005
159,159,"Briny Baird",98,14.62,149,1019,"Par4BirdieorBetterLeaders",2005
160,160,"Bradley Hughes",52,14.55,80,550,"Par4BirdieorBetterLeaders",2005
161,161,"Stephen Ames",82,14.52,126,868,"Par4BirdieorBetterLeaders",2005
162,162,"Bernhard Langer",67,14.5,105,724,"Par4BirdieorBetterLeaders",2005
163,163,"Ben Curtis",65,14.47,99,684,"Par4BirdieorBetterLeaders",2005
164,164,"Jay Haas",54,14.42,77,534,"Par4BirdieorBetterLeaders",2005
