"PowerRating_RANKTHISWEEK_2008","PowerRating_RANKLASTWEEK_2008","PowerRating_PLAYERNAME_2008","PowerRating_EVENTS_2008","PowerRating_RATING_2008","stat_name","year"
47,47,"Louis Oosthuizen",1,8.2,"PowerRating",2008
47,47,"Boo Weekley",15,8.2,"PowerRating",2008
52,52,"Paul Casey",7,8.1,"PowerRating",2008
52,52,"Ross Fisher",2,8.1,"PowerRating",2008
52,52,"Padraig Harrington",7,8.1,"PowerRating",2008
52,52,"George McNeill",19,8.1,"PowerRating",2008
52,52,"Travis Perkins",2,8.1,"PowerRating",2008
52,52,"Tiger Woods",3,8.1,"PowerRating",2008
58,58,"Charles Howell III",18,8,"PowerRating",2008
58,58,"Troy Matteson",16,8,"PowerRating",2008
60,60,"James Driscoll",13,7.9,"PowerRating",2008
60,60,"Mathew Goggin",18,7.9,"PowerRating",2008
60,60,"Jason Gore",15,7.9,"PowerRating",2008
60,60,"Soren Hansen",3,7.9,"PowerRating",2008
60,60,"Martin Laird",18,7.9,"PowerRating",2008
60,60,"Steve Marino",25,7.9,"PowerRating",2008
60,60,"Sean OHair",12,7.9,"PowerRating",2008
60,60,"Ted Purdy",8,7.9,"PowerRating",2008
68,68,"Jason Allred",6,7.8,"PowerRating",2008
68,68,"Matt Jones",14,7.8,"PowerRating",2008
68,68,"Jonathan Moore",1,7.8,"PowerRating",2008
68,68,"Kevin Streelman",21,7.8,"PowerRating",2008
72,72,"Brian Bateman",5,7.7,"PowerRating",2008
72,72,"Bob May",2,7.7,"PowerRating",2008
72,72,"John Merrick",15,7.7,"PowerRating",2008
72,72,"Pat Perez",18,7.7,"PowerRating",2008
72,72,"DJ Trahan",17,7.7,"PowerRating",2008
72,72,"Camilo Villegas",15,7.7,"PowerRating",2008
78,78,"Brad Adamonis",13,7.6,"PowerRating",2008
78,78,"Chip Deason",1,7.6,"PowerRating",2008
78,78,"Sergio Garcia",14,7.6,"PowerRating",2008
78,78,"John Huston",10,7.6,"PowerRating",2008
78,78,"Michael Letzig",13,7.6,"PowerRating",2008
83,83,"Bryan DeCorso",1,7.5,"PowerRating",2008
83,83,"Jay Delsing",1,7.5,"PowerRating",2008
83,83,"Tim Herron",18,7.5,"PowerRating",2008
83,83,"Geoff Ogilvy",10,7.5,"PowerRating",2008
87,87,"Bubba Dickerson",1,7.4,"PowerRating",2008
87,87,"Ryan Palmer",11,7.4,"PowerRating",2008
87,87,"Bo Van Pelt",18,7.4,"PowerRating",2008
90,90,"Ernie Els",7,7.3,"PowerRating",2008
90,90,"David Hearn",1,7.3,"PowerRating",2008
90,90,"Jon Mills",11,7.3,"PowerRating",2008
90,90,"Dennis Paulson",1,7.3,"PowerRating",2008
90,90,"Rory Sabbatini",14,7.3,"PowerRating",2008
95,95,"Nick Flanagan",13,7.2,"PowerRating",2008
95,95,"Philip Francis",1,7.2,"PowerRating",2008
95,95,"Jonathan Kaye",3,7.2,"PowerRating",2008
95,95,"Martin Kaymer",2,7.2,"PowerRating",2008
95,95,"Steve Lowery",11,7.2,"PowerRating",2008
95,95,"Brenden Pappas",7,7.2,"PowerRating",2008
101,101,"Aaron Baddeley",13,7.1,"PowerRating",2008
102,102,"Robert Allenby",22,7,"PowerRating",2008
102,102,"Ryan Moore",11,7,"PowerRating",2008
102,102,"Joe Ogilvie",17,7,"PowerRating",2008
102,102,"Kevin Stadler",11,7,"PowerRating",2008
102,102,"Kevin Sutherland",21,7,"PowerRating",2008
102,102,"Steve Webster",1,7,"PowerRating",2008
108,108,"Stuart Appleby",16,6.9,"PowerRating",2008
108,108,"Craig Barlow",6,6.9,"PowerRating",2008
108,108,"Chris Kirk",1,6.9,"PowerRating",2008
111,111,"Mark Calcavecchia",9,6.8,"PowerRating",2008
111,111,"Todd Demsey",13,6.8,"PowerRating",2008
111,111,"Dan Forsman",5,6.8,"PowerRating",2008
111,111,"JP Hayes",7,6.8,"PowerRating",2008
111,111,"Robert Karlsson",3,6.8,"PowerRating",2008
111,111,"Hunter Mahan",16,6.8,"PowerRating",2008
111,111,"John Senden",17,6.8,"PowerRating",2008
118,118,"JJ Henry",19,6.7,"PowerRating",2008
118,118,"Kyle Thompson",7,6.7,"PowerRating",2008
120,120,"Michael Bradley",6,6.6,"PowerRating",2008
120,120,"Mark Hensby",9,6.6,"PowerRating",2008
120,120,"Neal Lancaster",3,6.6,"PowerRating",2008
120,120,"John Riegger",12,6.6,"PowerRating",2008
120,120,"Chris Stroud",11,6.6,"PowerRating",2008
125,125,"Jason Bohn",7,6.5,"PowerRating",2008
125,125,"David Duval",4,6.5,"PowerRating",2008
125,125,"Prayad Marksaeng",1,6.5,"PowerRating",2008
125,125,"Carl Pettersson",23,6.5,"PowerRating",2008
129,129,"Eric Axley",17,6.4,"PowerRating",2008
129,129,"Retief Goosen",8,6.4,"PowerRating",2008
129,129,"Rod Pampling",11,6.4,"PowerRating",2008
129,129,"John Rollins",16,6.4,"PowerRating",2008
129,129,"Justin Rose",6,6.4,"PowerRating",2008
129,129,"Paul Stankowski",4,6.4,"PowerRating",2008
129,129,"Jimmy Walker",9,6.4,"PowerRating",2008
136,136,"Tommy Armour III",12,6.3,"PowerRating",2008
136,136,"Ryan Armour",11,6.3,"PowerRating",2008
136,136,"Erik Compton",1,6.3,"PowerRating",2008
136,136,"Stuart Deane",1,6.3,"PowerRating",2008
136,136,"WC Liang",3,6.3,"PowerRating",2008
136,136,"Will Ma Kenzie",9,6.3,"PowerRating",2008
136,136,"Andrew Magee",1,6.3,"PowerRating",2008
136,136,"Pablo Martin Benavides",1,6.3,"PowerRating",2008
136,136,"Parker McLachlin",16,6.3,"PowerRating",2008
136,136,"Andrew McLardy",1,6.3,"PowerRating",2008
136,136,"Bob Sowards",7,6.3,"PowerRating",2008
136,136,"Henrik Stenson",4,6.3,"PowerRating",2008
148,148,"Paul Azinger",1,6.2,"PowerRating",2008
148,148,"Mark Brown",2,6.2,"PowerRating",2008
148,148,"Carlos Franco",11,6.2,"PowerRating",2008
148,148,"Brent Geiberger",1,6.2,"PowerRating",2008
