"BirdieorBetterConversionPercentage_RANKTHISWEEK_2016","BirdieorBetterConversionPercentage_RANKLASTWEEK_2016","BirdieorBetterConversionPercentage_PLAYERNAME_2016","BirdieorBetterConversionPercentage_ROUNDS_2016","BirdieorBetterConversionPercentage_Pct_2016","BirdieorBetterConversionPercentage_BIRDIES_2016","BirdieorBetterConversionPercentage_GREENSHIT_2016","stat_name","year"
69,77,"Sean OHair",45,30.47,163,535,"BirdieorBetterConversionPercentage",2016
70,69,"Cameron Tringale",47,30.4,169,556,"BirdieorBetterConversionPercentage",2016
71,56,"Paul Casey",39,30.38,137,451,"BirdieorBetterConversionPercentage",2016
72,73,"Steven Bowditch",40,30.33,128,422,"BirdieorBetterConversionPercentage",2016
73,58,"Peter Malnati",53,30.28,182,601,"BirdieorBetterConversionPercentage",2016
74,82,"Kevin Chappell",49,30.27,178,588,"BirdieorBetterConversionPercentage",2016
74,56,"Brendan Steele",48,30.27,181,598,"BirdieorBetterConversionPercentage",2016
76,72,"Kyle Reifers",63,30.26,230,760,"BirdieorBetterConversionPercentage",2016
77,62,"Graham DeLaet",50,30.25,190,628,"BirdieorBetterConversionPercentage",2016
78,75,"Scott Brown",59,30.24,205,678,"BirdieorBetterConversionPercentage",2016
79,78,"Miguel Angel Carballo",24,30.15,82,272,"BirdieorBetterConversionPercentage",2016
80,74,"Ryan Moore",40,30.12,125,415,"BirdieorBetterConversionPercentage",2016
81,80,"Hudson Swafford",52,30.1,189,628,"BirdieorBetterConversionPercentage",2016
82,93,"George McNeill",33,30.08,108,359,"BirdieorBetterConversionPercentage",2016
83,83,"Troy Merritt",41,30.04,140,466,"BirdieorBetterConversionPercentage",2016
84,67,"Adam Hadwin",53,29.97,190,634,"BirdieorBetterConversionPercentage",2016
85,86,"Pat Perez",28,29.94,100,334,"BirdieorBetterConversionPercentage",2016
86,76,"Cameron Smith",45,29.9,151,505,"BirdieorBetterConversionPercentage",2016
87,90,"Branden Grace",31,29.8,104,349,"BirdieorBetterConversionPercentage",2016
88,91,"Charl Schwartzel",29,29.79,98,329,"BirdieorBetterConversionPercentage",2016
89,83,"Gary Woodland",45,29.78,165,554,"BirdieorBetterConversionPercentage",2016
90,94,"Luke List",51,29.74,182,612,"BirdieorBetterConversionPercentage",2016
91,103,"John Senden",48,29.72,170,572,"BirdieorBetterConversionPercentage",2016
92,96,"Si Woo Kim",63,29.68,214,721,"BirdieorBetterConversionPercentage",2016
93,91,"Jason Gore",51,29.64,182,614,"BirdieorBetterConversionPercentage",2016
94,99,"Ollie Schniederjans",23,29.63,80,270,"BirdieorBetterConversionPercentage",2016
95,119,"James Hahn",45,29.6,156,527,"BirdieorBetterConversionPercentage",2016
96,85,"Hunter Mahan",43,29.57,144,487,"BirdieorBetterConversionPercentage",2016
97,88,"Michael Kim",62,29.56,206,697,"BirdieorBetterConversionPercentage",2016
98,97,"Patrick Rodgers",49,29.55,182,616,"BirdieorBetterConversionPercentage",2016
99,98,"Brice Garnett",29,29.46,104,353,"BirdieorBetterConversionPercentage",2016
100,106,"Angel Cabrera",42,29.3,138,471,"BirdieorBetterConversionPercentage",2016
100,101,"Carl Pettersson",31,29.3,92,314,"BirdieorBetterConversionPercentage",2016
102,103,"Kyle Stanley",57,29.23,197,674,"BirdieorBetterConversionPercentage",2016
103,100,"Padraig Harrington",38,29.2,127,435,"BirdieorBetterConversionPercentage",2016
104,105,"Nick Taylor",57,29.19,195,668,"BirdieorBetterConversionPercentage",2016
105,111,"Scott Stallings",46,29.16,156,535,"BirdieorBetterConversionPercentage",2016
106,113,"Dawie van der Walt",48,29.14,167,573,"BirdieorBetterConversionPercentage",2016
107,118,"Boo Weekley",53,29.11,184,632,"BirdieorBetterConversionPercentage",2016
108,101,"Sung Kang",51,29.03,171,589,"BirdieorBetterConversionPercentage",2016
109,141,"Ernie Els",34,29.01,105,362,"BirdieorBetterConversionPercentage",2016
109,109,"Fabian Gomez",49,29.01,161,555,"BirdieorBetterConversionPercentage",2016
111,115,"Jason Kokrak",52,28.99,180,621,"BirdieorBetterConversionPercentage",2016
111,107,"Brian Stuard",24,28.99,80,276,"BirdieorBetterConversionPercentage",2016
113,110,"Matthew Fitzpatrick",23,28.93,70,242,"BirdieorBetterConversionPercentage",2016
114,112,"Sergio Garcia",28,28.88,93,322,"BirdieorBetterConversionPercentage",2016
115,131,"Erik Compton",45,28.84,139,482,"BirdieorBetterConversionPercentage",2016
115,108,"Hiroshi Iwata",51,28.84,152,527,"BirdieorBetterConversionPercentage",2016
117,114,"Stewart Cink",45,28.8,163,566,"BirdieorBetterConversionPercentage",2016
118,136,"Jhonattan Vegas",49,28.76,178,619,"BirdieorBetterConversionPercentage",2016
119,95,"Harris English",51,28.71,174,606,"BirdieorBetterConversionPercentage",2016
120,133,"Tom Hoge",47,28.68,152,530,"BirdieorBetterConversionPercentage",2016
121,147,"Roberto Castro",55,28.57,196,686,"BirdieorBetterConversionPercentage",2016
122,135,"Jamie Donaldson",28,28.42,79,278,"BirdieorBetterConversionPercentage",2016
122,123,"Russell Knox",48,28.42,166,584,"BirdieorBetterConversionPercentage",2016
122,117,"Spencer Levin",62,28.42,212,746,"BirdieorBetterConversionPercentage",2016
125,124,"John Huh",51,28.38,172,606,"BirdieorBetterConversionPercentage",2016
126,126,"Jon Curran",55,28.36,175,617,"BirdieorBetterConversionPercentage",2016
126,89,"Francesco Molinari",36,28.36,114,402,"BirdieorBetterConversionPercentage",2016
128,127,"Bryce Molder",50,28.35,161,568,"BirdieorBetterConversionPercentage",2016
129,120,"Shane Lowry",35,28.34,104,367,"BirdieorBetterConversionPercentage",2016
130,116,"Mark Hubbard",73,28.3,240,848,"BirdieorBetterConversionPercentage",2016
130,125,"Kevin Streelman",46,28.3,163,576,"BirdieorBetterConversionPercentage",2016
132,168,"Retief Goosen",37,28.26,117,414,"BirdieorBetterConversionPercentage",2016
133,122,"Camilo Villegas",50,28.19,159,564,"BirdieorBetterConversionPercentage",2016
134,127,"Davis Love III",40,28.08,130,463,"BirdieorBetterConversionPercentage",2016
135,137,"Louis Oosthuizen",25,28.05,62,221,"BirdieorBetterConversionPercentage",2016
136,159,"DH Lee",35,28.02,102,364,"BirdieorBetterConversionPercentage",2016
137,155,"Steve Wheatcroft",53,27.94,159,569,"BirdieorBetterConversionPercentage",2016
138,134,"Vijay Singh",42,27.92,129,462,"BirdieorBetterConversionPercentage",2016
139,127,"Lucas Glover",53,27.91,192,688,"BirdieorBetterConversionPercentage",2016
139,142,"Justin Leonard",28,27.91,84,301,"BirdieorBetterConversionPercentage",2016
141,132,"Jim Herman",55,27.9,185,663,"BirdieorBetterConversionPercentage",2016
141,140,"Chris Stroud",52,27.9,171,613,"BirdieorBetterConversionPercentage",2016
143,156,"Blayne Barber",44,27.87,141,506,"BirdieorBetterConversionPercentage",2016
144,154,"Robert Streb",51,27.83,155,557,"BirdieorBetterConversionPercentage",2016
145,127,"Andres Gonzales",46,27.81,146,525,"BirdieorBetterConversionPercentage",2016
146,145,"Chez Reavie",56,27.8,186,669,"BirdieorBetterConversionPercentage",2016
146,152,"Tyrone Van Aswegen",67,27.8,216,777,"BirdieorBetterConversionPercentage",2016
148,150,"Abraham Ancer",26,27.7,77,278,"BirdieorBetterConversionPercentage",2016
148,144,"Scott Pinckney",53,27.7,182,657,"BirdieorBetterConversionPercentage",2016
150,149,"Colt Knost",56,27.68,181,654,"BirdieorBetterConversionPercentage",2016
150,151,"Wes Roach",33,27.68,106,383,"BirdieorBetterConversionPercentage",2016
152,153,"Bill Haas",42,27.67,127,459,"BirdieorBetterConversionPercentage",2016
153,121,"Rob Oppenheim",37,27.63,118,427,"BirdieorBetterConversionPercentage",2016
154,139,"David Hearn",55,27.54,184,668,"BirdieorBetterConversionPercentage",2016
155,174,"Chesson Hadley",51,27.53,163,592,"BirdieorBetterConversionPercentage",2016
156,143,"Johnson Wagner",44,27.52,150,545,"BirdieorBetterConversionPercentage",2016
157,148,"Stuart Appleby",39,27.48,119,433,"BirdieorBetterConversionPercentage",2016
158,157,"Russell Henley",42,27.45,140,510,"BirdieorBetterConversionPercentage",2016
159,163,"DA Points",32,27.4,100,365,"BirdieorBetterConversionPercentage",2016
160,157,"Greg Owen",56,27.39,192,701,"BirdieorBetterConversionPercentage",2016
161,162,"Andres Romero",22,27.38,69,252,"BirdieorBetterConversionPercentage",2016
162,145,"Brett Stegmaier",57,27.37,185,676,"BirdieorBetterConversionPercentage",2016
163,170,"Bronson Burgoon",53,27.34,172,629,"BirdieorBetterConversionPercentage",2016
164,167,"Steve Marino",40,27.33,129,472,"BirdieorBetterConversionPercentage",2016
165,138,"Jeff Overton",51,27.29,161,590,"BirdieorBetterConversionPercentage",2016
166,181,"Robert Garrigus",34,27.27,111,407,"BirdieorBetterConversionPercentage",2016
167,165,"KJ Choi",47,27.22,150,551,"BirdieorBetterConversionPercentage",2016
168,166,"Keegan Bradley",40,27.16,135,497,"BirdieorBetterConversionPercentage",2016
169,171,"Chad Collins",45,27.1,132,487,"BirdieorBetterConversionPercentage",2016
170,161,"Tyler Aldridge",53,27.08,169,624,"BirdieorBetterConversionPercentage",2016
171,160,"Chad Campbell",54,27.02,177,655,"BirdieorBetterConversionPercentage",2016
172,175,"Brendon Todd",43,27,118,437,"BirdieorBetterConversionPercentage",2016
173,183,"Sam Saunders",40,26.91,123,457,"BirdieorBetterConversionPercentage",2016
174,189,"Scott Langley",41,26.79,127,474,"BirdieorBetterConversionPercentage",2016
175,172,"Matt Every",34,26.77,102,381,"BirdieorBetterConversionPercentage",2016
176,177,"Chris Kirk",51,26.67,144,540,"BirdieorBetterConversionPercentage",2016
177,164,"Justin Hicks",26,26.6,83,312,"BirdieorBetterConversionPercentage",2016
177,180,"Henrik Norlander",41,26.6,133,500,"BirdieorBetterConversionPercentage",2016
179,173,"Zac Blair",56,26.59,167,628,"BirdieorBetterConversionPercentage",2016
179,179,"Dicky Pride",33,26.59,92,346,"BirdieorBetterConversionPercentage",2016
181,176,"Will Ma Kenzie",54,26.53,173,652,"BirdieorBetterConversionPercentage",2016
182,169,"Kelly Kraft",35,26.4,113,428,"BirdieorBetterConversionPercentage",2016
183,178,"Martin Piller",37,26.39,114,432,"BirdieorBetterConversionPercentage",2016
184,182,"Whee Kim",54,26.16,163,623,"BirdieorBetterConversionPercentage",2016
185,184,"Andrew Landry",24,25.98,73,281,"BirdieorBetterConversionPercentage",2016
186,185,"Shane Bertsch",30,25.92,92,355,"BirdieorBetterConversionPercentage",2016
187,186,"Andy Sullivan",25,25.88,66,255,"BirdieorBetterConversionPercentage",2016
188,188,"Darron Stiles",28,25.57,78,305,"BirdieorBetterConversionPercentage",2016
189,191,"Geoff Ogilvy",37,25.55,105,411,"BirdieorBetterConversionPercentage",2016
190,194,"David Toms",38,25.28,114,451,"BirdieorBetterConversionPercentage",2016
191,190,"Cameron Percy",22,25.27,70,277,"BirdieorBetterConversionPercentage",2016
192,187,"Luke Donald",49,25.21,147,583,"BirdieorBetterConversionPercentage",2016
193,192,"Billy Hurley III",22,25,61,244,"BirdieorBetterConversionPercentage",2016
194,193,"Brendon de Jonge",55,24.85,165,664,"BirdieorBetterConversionPercentage",2016
195,195,"Rhein Gibson",36,24.59,106,431,"BirdieorBetterConversionPercentage",2016
196,196,"Lucas Lee",22,24.58,59,240,"BirdieorBetterConversionPercentage",2016
197,198,"Jerry Kelly",44,24.46,124,507,"BirdieorBetterConversionPercentage",2016
198,202,"Derek Ernst",36,24.36,104,427,"BirdieorBetterConversionPercentage",2016
199,199,"Bernd Wiesberger",23,24.22,62,256,"BirdieorBetterConversionPercentage",2016
200,201,"Mark Wilson",42,24.18,118,488,"BirdieorBetterConversionPercentage",2016
201,197,"Shawn Stefani",45,24.13,125,518,"BirdieorBetterConversionPercentage",2016
202,200,"Ken Duke",26,24.01,67,279,"BirdieorBetterConversionPercentage",2016
203,203,"Thomas Aiken",42,23.68,126,532,"BirdieorBetterConversionPercentage",2016
204,204,"JJ Henry",44,23.19,122,526,"BirdieorBetterConversionPercentage",2016
205,205,"Ian Poulter",37,23.11,95,411,"BirdieorBetterConversionPercentage",2016
206,208,"Robert Allenby",35,21.91,85,388,"BirdieorBetterConversionPercentage",2016
207,207,"Charlie Beljan",26,21.4,61,285,"BirdieorBetterConversionPercentage",2016
