"RyderCupWorldPoints_RANKTHISWEEK_2014","RyderCupWorldPoints_RANKLASTWEEK_2014","RyderCupWorldPoints_PLAYERNAME_2014","RyderCupWorldPoints__2014","RyderCupWorldPoints_POINTS_2014","stat_name","year"
114,114,"Ricardo Santos",NA,16.57,"RyderCupWorldPoints",2014
115,115,"Scott Henry",NA,16.4,"RyderCupWorldPoints",2014
116,116,"Philip Archer",NA,16.26,"RyderCupWorldPoints",2014
117,117,"Sam Walker",NA,15.96,"RyderCupWorldPoints",2014
118,118,"Lasse Jensen",NA,15.94,"RyderCupWorldPoints",2014
119,119,"Lee Slattery",NA,15.38,"RyderCupWorldPoints",2014
120,120,"David Higgins",NA,15.3,"RyderCupWorldPoints",2014
121,121,"Adrien Saddier",NA,15.17,"RyderCupWorldPoints",2014
122,122,"James Morrison",NA,15.14,"RyderCupWorldPoints",2014
123,123,"Simon Wakefield",NA,14.96,"RyderCupWorldPoints",2014
124,124,"Fredrik Andersson Hed",NA,14.54,"RyderCupWorldPoints",2014
125,125,"Simon Thornton",NA,14.34,"RyderCupWorldPoints",2014
126,126,"Bernard Ritthammer",NA,14.14,"RyderCupWorldPoints",2014
127,127,"Jose Filipe Lima",NA,14.05,"RyderCupWorldPoints",2014
128,128,"David Drysdale",NA,13.88,"RyderCupWorldPoints",2014
129,129,"Bernhard Langer",NA,13.5,"RyderCupWorldPoints",2014
130,130,"Gareth Maybin",NA,12.69,"RyderCupWorldPoints",2014
131,131,"Pierre Relecom",NA,12,"RyderCupWorldPoints",2014
132,132,"Pontus Widegren",NA,11.8,"RyderCupWorldPoints",2014
133,133,"Jason Barnes",NA,11.28,"RyderCupWorldPoints",2014
134,134,"Jerome Lando Casanova",NA,11.28,"RyderCupWorldPoints",2014
135,135,"Mark Foster",NA,11.23,"RyderCupWorldPoints",2014
136,136,"Robert Dinwiddie",NA,11.09,"RyderCupWorldPoints",2014
137,137,"Oliver Wilson",NA,11.04,"RyderCupWorldPoints",2014
138,138,"Joel Sjoholm",NA,10.9,"RyderCupWorldPoints",2014
139,139,"David Coupland",NA,10.63,"RyderCupWorldPoints",2014
140,140,"Niccolo Quintarelli",NA,10.43,"RyderCupWorldPoints",2014
141,141,"Pedro Oriol",NA,10.29,"RyderCupWorldPoints",2014
142,142,"James Heath",NA,10.29,"RyderCupWorldPoints",2014
143,143,"Alvaro Velasco",NA,10.17,"RyderCupWorldPoints",2014
144,144,"Julien Guerrier",NA,9.75,"RyderCupWorldPoints",2014
145,145,"Robert Coles",NA,9.58,"RyderCupWorldPoints",2014
146,146,"Alessandro Tadini",NA,9.54,"RyderCupWorldPoints",2014
147,147,"Andreas Harto",NA,9.27,"RyderCupWorldPoints",2014
148,148,"Thomas Levet",NA,9.08,"RyderCupWorldPoints",2014
149,149,"Niklas Lemke",NA,8.99,"RyderCupWorldPoints",2014
150,150,"Jens Dantorp",NA,8.97,"RyderCupWorldPoints",2014
151,151,"Javier Colomo",NA,8.78,"RyderCupWorldPoints",2014
152,152,"Pelle Edberg",NA,8.45,"RyderCupWorldPoints",2014
153,153,"Victor Riu",NA,8.4,"RyderCupWorldPoints",2014
154,154,"Peter Hedblom",NA,8.37,"RyderCupWorldPoints",2014
155,155,"Graeme Storm",NA,8.34,"RyderCupWorldPoints",2014
156,156,"Matteo Delpodio",NA,8.34,"RyderCupWorldPoints",2014
157,157,"Richard Johnson",NA,8.21,"RyderCupWorldPoints",2014
158,158,"Andrew Marshall",NA,8.16,"RyderCupWorldPoints",2014
159,159,"Peter Whiteford",NA,8.16,"RyderCupWorldPoints",2014
160,160,"Joachim B Hansen",NA,8.14,"RyderCupWorldPoints",2014
161,161,"Adrien Bernadet",NA,8.09,"RyderCupWorldPoints",2014
162,162,"Bjorn Akesson",NA,7.97,"RyderCupWorldPoints",2014
163,163,"Duncan Stewart",NA,7.92,"RyderCupWorldPoints",2014
164,164,"Jens Fahrbring",NA,7.81,"RyderCupWorldPoints",2014
165,165,"Jason Palmer",NA,7.75,"RyderCupWorldPoints",2014
166,166,"Adam Gee",NA,7.66,"RyderCupWorldPoints",2014
167,167,"Ross McGowan",NA,7.35,"RyderCupWorldPoints",2014
168,168,"Kevin Phelan",NA,7.29,"RyderCupWorldPoints",2014
169,169,"Hugues Joannes",NA,7.2,"RyderCupWorldPoints",2014
170,170,"Carlos Aguilar",NA,7.2,"RyderCupWorldPoints",2014
171,171,"Matt Ford",NA,7.15,"RyderCupWorldPoints",2014
172,172,"Andrea Rota",NA,6.96,"RyderCupWorldPoints",2014
173,173,"Johan Edfors",NA,6.9,"RyderCupWorldPoints",2014
174,174,"Charlie Ford",NA,6.84,"RyderCupWorldPoints",2014
175,175,"Lloyd Kennedy",NA,6.65,"RyderCupWorldPoints",2014
176,176,"Jose Maria Olazabal",NA,6.53,"RyderCupWorldPoints",2014
177,177,"Steven Tiley",NA,6.49,"RyderCupWorldPoints",2014
178,178,"John Parry",NA,6.48,"RyderCupWorldPoints",2014
179,179,"Chris Paisley",NA,6.28,"RyderCupWorldPoints",2014
180,180,"Agustin Domingo",NA,6.09,"RyderCupWorldPoints",2014
181,181,"Simon Khan",NA,6.05,"RyderCupWorldPoints",2014
182,182,"James Byrne",NA,6,"RyderCupWorldPoints",2014
183,183,"Michael Jonzon",NA,5.9,"RyderCupWorldPoints",2014
184,184,"Colin Montgomerie",NA,5.89,"RyderCupWorldPoints",2014
185,185,"Chris Hanson",NA,5.72,"RyderCupWorldPoints",2014
186,186,"Espen Kofstad",NA,5.71,"RyderCupWorldPoints",2014
187,187,"Edouard Dubois",NA,5.65,"RyderCupWorldPoints",2014
188,188,"Jaakko Makitalo",NA,5.64,"RyderCupWorldPoints",2014
189,189,"Mark Haastrup",NA,5.62,"RyderCupWorldPoints",2014
190,190,"Tim Sluiter",NA,5.46,"RyderCupWorldPoints",2014
191,191,"Garrick Porteous",NA,5.39,"RyderCupWorldPoints",2014
192,192,"Jack Senior",NA,5.28,"RyderCupWorldPoints",2014
193,193,"George Murray",NA,4.97,"RyderCupWorldPoints",2014
194,194,"Jamie Elson",NA,4.96,"RyderCupWorldPoints",2014
195,195,"Jack Doherty",NA,4.91,"RyderCupWorldPoints",2014
196,196,"Alastair Forsyth",NA,4.86,"RyderCupWorldPoints",2014
197,197,"Wallace Booth",NA,4.85,"RyderCupWorldPoints",2014
198,198,"Damian Ulrich",NA,4.81,"RyderCupWorldPoints",2014
199,199,"Ruaidhri McGee",NA,4.55,"RyderCupWorldPoints",2014
200,200,"Lorenzo Gagli",NA,4.55,"RyderCupWorldPoints",2014
