"ApexHeight_RANKTHISWEEK_2013","ApexHeight_RANKLASTWEEK_2013","ApexHeight_PLAYERNAME_2013","ApexHeight_ROUNDS_2013","ApexHeight_AVG_2013","ApexHeight_TOTALAPEXHEIGHT_2013","ApexHeight_TOTALATTEMPTS_2013","ApexHeight_HIGHESTAPEXPOINT_2013","ApexHeight_LOWESTAPEXPOINT_2013","stat_name","year"
115,115,"Michael Bradley",56,NA,NA,30,NA,NA,"ApexHeight",2013
116,116,"Ian Poulter",59,NA,NA,34,NA,NA,"ApexHeight",2013
117,117,"Ben Curtis",59,NA,NA,45,NA,NA,"ApexHeight",2013
117,117,"Lee Williams",62,NA,NA,51,NA,NA,"ApexHeight",2013
119,119,"Justin Bolli",59,NA,NA,43,NA,NA,"ApexHeight",2013
120,120,"Charles Howell III",87,NA,NA,78,NA,NA,"ApexHeight",2013
121,121,"Aaron Baddeley",68,NA,NA,47,NA,NA,"ApexHeight",2013
122,122,"Brad Fritsch",81,NA,NA,68,NA,NA,"ApexHeight",2013
123,123,"Matt Kuchar",93,NA,NA,68,NA,NA,"ApexHeight",2013
124,124,"Ryo Ishikawa",72,NA,NA,54,NA,NA,"ApexHeight",2013
125,125,"Darron Stiles",51,NA,NA,37,NA,NA,"ApexHeight",2013
126,126,"Greg Owen",73,NA,NA,61,NA,NA,"ApexHeight",2013
127,127,"DH Lee",65,NA,NA,57,NA,NA,"ApexHeight",2013
128,128,"Carl Pettersson",82,NA,NA,59,NA,NA,"ApexHeight",2013
129,129,"Ryan Moore",72,NA,NA,55,NA,NA,"ApexHeight",2013
130,130,"David Mathis",71,NA,NA,59,NA,NA,"ApexHeight",2013
131,131,"Colt Knost",69,NA,NA,60,NA,NA,"ApexHeight",2013
132,132,"Vijay Singh",61,NA,NA,46,NA,NA,"ApexHeight",2013
133,133,"Martin Flores",83,NA,NA,74,NA,NA,"ApexHeight",2013
133,133,"DJ Trahan",48,NA,NA,33,NA,NA,"ApexHeight",2013
135,135,"John Senden",79,NA,NA,57,NA,NA,"ApexHeight",2013
136,136,"Jim Herman",59,NA,NA,35,NA,NA,"ApexHeight",2013
137,137,"Erik Compton",74,NA,NA,57,NA,NA,"ApexHeight",2013
137,137,"Jeff Overton",78,NA,NA,71,NA,NA,"ApexHeight",2013
139,139,"Sangmoon Bae",83,NA,NA,70,NA,NA,"ApexHeight",2013
140,140,"Brendon de Jonge",110,NA,NA,84,NA,NA,"ApexHeight",2013
140,140,"YE Yang",56,NA,NA,39,NA,NA,"ApexHeight",2013
142,142,"Greg Chalmers",77,NA,NA,70,NA,NA,"ApexHeight",2013
143,143,"Jim Furyk",80,NA,NA,63,NA,NA,"ApexHeight",2013
143,143,"Adam Scott",61,NA,NA,36,NA,NA,"ApexHeight",2013
145,145,"William McGirt",75,NA,NA,67,NA,NA,"ApexHeight",2013
146,146,"Jordan Spieth",82,NA,NA,69,NA,NA,"ApexHeight",2013
147,147,"Daniel Summerhays",83,NA,NA,81,NA,NA,"ApexHeight",2013
