"MoneyLeadersFallSeries_RANKTHISWEEK_2011","MoneyLeadersFallSeries_RANKLASTWEEK_2011","MoneyLeadersFallSeries_PLAYERNAME_2011","MoneyLeadersFallSeries_EVENTS_2011","MoneyLeadersFallSeries_MONEY_2011","MoneyLeadersFallSeries_YTDVICTORIES_2011","stat_name","year"
125,125,"Troy Merritt",23,17922,9000,"MoneyLeadersFallSeries",2011
126,126,"Jim Herman",22,17704,8000,"MoneyLeadersFallSeries",2011
127,127,"Fran Quinn",10,17602,3000,"MoneyLeadersFallSeries",2011
128,128,"Lee Janzen",19,16087,7000,"MoneyLeadersFallSeries",2011
128,128,"Erick Justesen",1,16087,9e+05,"MoneyLeadersFallSeries",2011
128,128,"Troy Matteson",28,16087,5000,"MoneyLeadersFallSeries",2011
131,131,"Joe Durant",25,15980,9000,"MoneyLeadersFallSeries",2011
131,131,"Retief Goosen",16,15980,2000,"MoneyLeadersFallSeries",2011
133,133,"Charley Hoffman",27,15419,7000,"MoneyLeadersFallSeries",2011
133,133,"Martin Laird",23,15419,7000,"MoneyLeadersFallSeries",2011
135,135,"Johnson Wagner",25,12800,7000,"MoneyLeadersFallSeries",2011
136,136,"Kent Jones",25,12569,9000,"MoneyLeadersFallSeries",2011
136,136,"Tom Lehman",5,12569,1000,"MoneyLeadersFallSeries",2011
136,136,"Jarrod Lyle",29,12569,11000,"MoneyLeadersFallSeries",2011
139,139,"Frank Lickliter II",12,12175,4000,"MoneyLeadersFallSeries",2011
140,140,"Matt Jones",25,11350,10000,"MoneyLeadersFallSeries",2011
141,141,"Joe Ogilvie",24,11117,2000,"MoneyLeadersFallSeries",2011
142,142,"Martin Piller",23,10800,8000,"MoneyLeadersFallSeries",2011
143,143,"Jeff Maggert",18,10778,6000,"MoneyLeadersFallSeries",2011
144,144,"Michael Connell",26,10400,10000,"MoneyLeadersFallSeries",2011
145,145,"Mark Calcavecchia",6,10152,2000,"MoneyLeadersFallSeries",2011
145,145,"Carl Paulson",11,10152,3000,"MoneyLeadersFallSeries",2011
147,147,"Shaun Micheel",27,10053,10000,"MoneyLeadersFallSeries",2011
147,147,"Jeff Quinney",14,10053,4000,"MoneyLeadersFallSeries",2011
149,149,"Joseph Bramlett",25,9724,9000,"MoneyLeadersFallSeries",2011
150,150,"Patrick Reed",3,9450,2844000,"MoneyLeadersFallSeries",2011
151,151,"Chris Couch",21,9080,8000,"MoneyLeadersFallSeries",2011
151,151,"Zack Miller",30,9080,12000,"MoneyLeadersFallSeries",2011
151,151,"DA Points",26,9080,7000,"MoneyLeadersFallSeries",2011
154,154,"Rich Beem",21,8930,9000,"MoneyLeadersFallSeries",2011
155,155,"DJ Brigman",23,8888,8000,"MoneyLeadersFallSeries",2011
156,156,"Brendon de Jonge",30,8680,7000,"MoneyLeadersFallSeries",2011
157,157,"Cameron Beckman",25,8492,10000,"MoneyLeadersFallSeries",2011
158,158,"Richard Scott",1,8400,720000,"MoneyLeadersFallSeries",2011
159,159,"Justin Hicks",23,8228,8000,"MoneyLeadersFallSeries",2011
160,160,"Duffy Waldorf",14,8052,6000,"MoneyLeadersFallSeries",2011
