"OnePuttPercentageRound1_RANKTHISWEEK_2014","OnePuttPercentageRound1_RANKLASTWEEK_2014","OnePuttPercentageRound1_PLAYERNAME_2014","OnePuttPercentageRound1_ROUNDS_2014","OnePuttPercentageRound1_Pct_2014","OnePuttPercentageRound1_OF1PUTTS_2014","OnePuttPercentageRound1_OFHOLES_2014","stat_name","year"
101,101,"Shawn Stefani",60,37.58,115,306,"OnePuttPercentageRound1",2014
102,102,"Matt Jones",83,37.56,169,450,"OnePuttPercentageRound1",2014
102,102,"Geoff Ogilvy",84,37.56,169,450,"OnePuttPercentageRound1",2014
104,104,"Carl Pettersson",91,37.5,189,504,"OnePuttPercentageRound1",2014
105,105,"Harris English",95,37.45,182,486,"OnePuttPercentageRound1",2014
105,105,"YE Yang",79,37.45,182,486,"OnePuttPercentageRound1",2014
107,107,"Brian Harman",111,37.33,215,576,"OnePuttPercentageRound1",2014
108,108,"Jim Renner",61,37.27,161,432,"OnePuttPercentageRound1",2014
109,109,"Kevin Streelman",79,37.2,154,414,"OnePuttPercentageRound1",2014
110,110,"Graeme McDowell",66,37.15,107,288,"OnePuttPercentageRound1",2014
111,111,"Ben Crane",81,37.11,167,450,"OnePuttPercentageRound1",2014
112,112,"Sergio Garcia",61,37.04,100,270,"OnePuttPercentageRound1",2014
112,112,"Andrew Svoboda",77,37.04,160,432,"OnePuttPercentageRound1",2014
114,114,"Kevin Kisner",85,36.97,173,468,"OnePuttPercentageRound1",2014
114,114,"Michael Putnam",106,36.97,193,522,"OnePuttPercentageRound1",2014
114,114,"Camilo Villegas",95,36.97,193,522,"OnePuttPercentageRound1",2014
117,117,"Marc Leishman",81,36.96,153,414,"OnePuttPercentageRound1",2014
117,117,"Johnson Wagner",69,36.96,153,414,"OnePuttPercentageRound1",2014
119,119,"John Huh",87,36.83,179,486,"OnePuttPercentageRound1",2014
120,120,"John Merrick",87,36.81,159,432,"OnePuttPercentageRound1",2014
121,121,"Davis Love III",74,36.77,139,378,"OnePuttPercentageRound1",2014
122,122,"Roberto Castro",76,36.75,172,468,"OnePuttPercentageRound1",2014
123,123,"David Lingmerth",80,36.67,165,450,"OnePuttPercentageRound1",2014
124,124,"Daniel Summerhays",98,36.63,178,486,"OnePuttPercentageRound1",2014
125,125,"Heath Slocum",71,36.62,145,396,"OnePuttPercentageRound1",2014
126,126,"Bryce Molder",77,36.57,158,432,"OnePuttPercentageRound1",2014
127,127,"Charles Howell III",106,36.4,190,522,"OnePuttPercentageRound1",2014
128,128,"Kevin Tway",64,36.36,144,396,"OnePuttPercentageRound1",2014
128,128,"Jhonattan Vegas",77,36.36,144,396,"OnePuttPercentageRound1",2014
130,130,"George McNeill",79,36.34,157,432,"OnePuttPercentageRound1",2014
131,131,"James Hahn",82,36.32,170,468,"OnePuttPercentageRound1",2014
132,132,"Briny Baird",50,36.27,111,306,"OnePuttPercentageRound1",2014
133,133,"Nick Watney",80,36.23,150,414,"OnePuttPercentageRound1",2014
134,134,"Louis Oosthuizen",50,36.11,91,252,"OnePuttPercentageRound1",2014
134,134,"Ted Potter Jr",68,36.11,156,432,"OnePuttPercentageRound1",2014
136,136,"Jamie Lovemark",64,35.96,123,342,"OnePuttPercentageRound1",2014
137,137,"Bo Van Pelt",83,35.78,161,450,"OnePuttPercentageRound1",2014
138,138,"Cameron Tringale",111,35.66,199,558,"OnePuttPercentageRound1",2014
139,139,"Gary Woodland",93,35.65,154,432,"OnePuttPercentageRound1",2014
140,140,"DA Points",75,35.47,166,468,"OnePuttPercentageRound1",2014
