"RyderCupWorldPoints_RANKTHISWEEK_2010","RyderCupWorldPoints_RANKLASTWEEK_2010","RyderCupWorldPoints_PLAYERNAME_2010","RyderCupWorldPoints__2010","RyderCupWorldPoints_POINTS_2010","stat_name","year"
52,NA,"Mikko Ilonen",NA,52.41,"RyderCupWorldPoints",2010
53,NA,"Nicolas Colsaerts",NA,51.98,"RyderCupWorldPoints",2010
54,NA,"James Morrison",NA,51.94,"RyderCupWorldPoints",2010
55,NA,"Ignacio Garrido",NA,51.07,"RyderCupWorldPoints",2010
56,NA,"Oliver Fisher",NA,49.17,"RyderCupWorldPoints",2010
57,NA,"Peter Whiteford",NA,48.92,"RyderCupWorldPoints",2010
58,NA,"Marcel Siem",NA,48.64,"RyderCupWorldPoints",2010
59,NA,"Soren Kjeldsen",NA,47.61,"RyderCupWorldPoints",2010
60,NA,"Richard Johnson",NA,44.86,"RyderCupWorldPoints",2010
61,NA,"Rich Bland",NA,44.29,"RyderCupWorldPoints",2010
62,NA,"Johan Edfors",NA,44.28,"RyderCupWorldPoints",2010
63,NA,"David Drysdale",NA,43.32,"RyderCupWorldPoints",2010
64,NA,"Anthony Wall",NA,40.4,"RyderCupWorldPoints",2010
65,NA,"Gonzalo Fdez Castano",NA,40.19,"RyderCupWorldPoints",2010
66,NA,"Richard Finch",NA,36.75,"RyderCupWorldPoints",2010
67,NA,"Pablo Martin Benavides",NA,36.42,"RyderCupWorldPoints",2010
68,NA,"Niclas Fasth",NA,35.7,"RyderCupWorldPoints",2010
69,NA,"Michael Jonzon",NA,34.54,"RyderCupWorldPoints",2010
70,NA,"Graeme Storm",NA,33.92,"RyderCupWorldPoints",2010
71,NA,"Gary Boyd",NA,33.78,"RyderCupWorldPoints",2010
73,NA,"Martin Wiegele",NA,33.03,"RyderCupWorldPoints",2010
74,NA,"George Murray",NA,32.7,"RyderCupWorldPoints",2010
75,NA,"Joost Luiten",NA,30.45,"RyderCupWorldPoints",2010
76,NA,"Robert Dinwiddie",NA,30,"RyderCupWorldPoints",2010
77,NA,"Stephen Dodd",NA,29.99,"RyderCupWorldPoints",2010
78,NA,"Pelle Edberg",NA,29.39,"RyderCupWorldPoints",2010
79,NA,"Paul Lawrie",NA,29.38,"RyderCupWorldPoints",2010
80,NA,"Peter Gustafsson",NA,29.19,"RyderCupWorldPoints",2010
81,NA,"Alessandro Tadini",NA,28.3,"RyderCupWorldPoints",2010
82,NA,"Mark Foster",NA,27.45,"RyderCupWorldPoints",2010
83,NA,"Pablo Larrazabal",NA,27.35,"RyderCupWorldPoints",2010
84,NA,"Christian Nilsson",NA,27.19,"RyderCupWorldPoints",2010
85,NA,"Bernd Wiesberger",NA,27.05,"RyderCupWorldPoints",2010
86,NA,"Floris De Vries",NA,26.56,"RyderCupWorldPoints",2010
87,NA,"Jose Filipe Lima",NA,26.33,"RyderCupWorldPoints",2010
88,NA,"Matteo Manassero",NA,25.78,"RyderCupWorldPoints",2010
89,NA,"Francois DeLamontagne",NA,25.07,"RyderCupWorldPoints",2010
90,NA,"Peter Hedblom",NA,24.96,"RyderCupWorldPoints",2010
91,NA,"Michael Hoey",NA,24.15,"RyderCupWorldPoints",2010
92,NA,"John Parry",NA,24.02,"RyderCupWorldPoints",2010
93,NA,"David Lynn",NA,23.95,"RyderCupWorldPoints",2010
94,NA,"Maarten Lafeber",NA,23.55,"RyderCupWorldPoints",2010
95,NA,"Steve Webster",NA,22.55,"RyderCupWorldPoints",2010
96,NA,"Alexandre Kaleka",NA,22.32,"RyderCupWorldPoints",2010
97,NA,"Kenneth Ferrie",NA,22.03,"RyderCupWorldPoints",2010
98,NA,"Alvaro Velasco",NA,21.82,"RyderCupWorldPoints",2010
99,NA,"Benn Barham",NA,21.56,"RyderCupWorldPoints",2010
100,NA,"Paul Waring",NA,20.95,"RyderCupWorldPoints",2010
101,NA,"Paul McGinley",NA,20.19,"RyderCupWorldPoints",2010
102,NA,"Mark Haastrup",NA,20.14,"RyderCupWorldPoints",2010
103,NA,"Charles Edouard Russo",NA,20.1,"RyderCupWorldPoints",2010
104,NA,"Sam Hutsby",NA,19.38,"RyderCupWorldPoints",2010
105,NA,"Stuart Manley",NA,19.37,"RyderCupWorldPoints",2010
107,NA,"Thomas Levet",NA,19.35,"RyderCupWorldPoints",2010
108,NA,"David Dixon",NA,18.89,"RyderCupWorldPoints",2010
109,NA,"Lee Slattery",NA,17.58,"RyderCupWorldPoints",2010
110,NA,"Mathias Gronberg",NA,17.25,"RyderCupWorldPoints",2010
111,NA,"Scott Drummond",NA,16.93,"RyderCupWorldPoints",2010
112,NA,"Robert Coles",NA,16.81,"RyderCupWorldPoints",2010
113,NA,"Jean Baptiste Gonnet",NA,16.68,"RyderCupWorldPoints",2010
114,NA,"Marc Warren",NA,15.91,"RyderCupWorldPoints",2010
115,NA,"David Howell",NA,15.77,"RyderCupWorldPoints",2010
116,NA,"Julien Quesne",NA,14.93,"RyderCupWorldPoints",2010
117,NA,"Nick Dougherty",NA,14.75,"RyderCupWorldPoints",2010
118,NA,"Julien Guerrier",NA,14.71,"RyderCupWorldPoints",2010
119,NA,"Sam Walker",NA,14.63,"RyderCupWorldPoints",2010
120,NA,"Christian Cevaer",NA,14.58,"RyderCupWorldPoints",2010
121,NA,"Colin Montgomerie",NA,14.13,"RyderCupWorldPoints",2010
122,NA,"Rikard Karlberg",NA,14,"RyderCupWorldPoints",2010
123,NA,"Paul Broadhurst",NA,13.98,"RyderCupWorldPoints",2010
124,NA,"Gary Lockerbie",NA,13.44,"RyderCupWorldPoints",2010
125,NA,"Richard McEvoy",NA,13.32,"RyderCupWorldPoints",2010
126,NA,"Simon Thornton",NA,13.06,"RyderCupWorldPoints",2010
127,NA,"Jesus Maria Arruti",NA,12.68,"RyderCupWorldPoints",2010
128,NA,"Andrew Coltart",NA,12.6,"RyderCupWorldPoints",2010
129,NA,"Klas Eriksson",NA,12.27,"RyderCupWorldPoints",2010
130,NA,"Jamie Elson",NA,11.8,"RyderCupWorldPoints",2010
131,NA,"Steven Jeppesen",NA,11.56,"RyderCupWorldPoints",2010
132,NA,"Markus Brier",NA,11.35,"RyderCupWorldPoints",2010
133,NA,"Chris Gane",NA,11.22,"RyderCupWorldPoints",2010
134,NA,"Jeppe Huldahl",NA,11.04,"RyderCupWorldPoints",2010
135,NA,"Chris Rodgers",NA,10.9,"RyderCupWorldPoints",2010
136,NA,"Michael Lorenzo Vera",NA,10.69,"RyderCupWorldPoints",2010
137,NA,"Jose Manuel Lara",NA,10.63,"RyderCupWorldPoints",2010
138,NA,"Carlos Del Moral",NA,10.3,"RyderCupWorldPoints",2010
139,NA,"Nicholas Redfern",NA,10.08,"RyderCupWorldPoints",2010
140,NA,"Magnus Carlsson",NA,9.54,"RyderCupWorldPoints",2010
141,NA,"Stuart Davis",NA,9.27,"RyderCupWorldPoints",2010
142,NA,"Andrew Marshall",NA,9.24,"RyderCupWorldPoints",2010
144,NA,"Andrew Willey",NA,8.84,"RyderCupWorldPoints",2010
145,NA,"Simon Wakefield",NA,8.76,"RyderCupWorldPoints",2010
146,NA,"Gary Murphy",NA,8.69,"RyderCupWorldPoints",2010
147,NA,"Jan Are Larsen",NA,8.64,"RyderCupWorldPoints",2010
148,NA,"Colm Moriarty",NA,8.47,"RyderCupWorldPoints",2010
149,NA,"Jarmo Sandelin",NA,8.39,"RyderCupWorldPoints",2010
150,NA,"Danny Denison",NA,8.3,"RyderCupWorldPoints",2010
151,NA,"Emanuele Canonica",NA,8.26,"RyderCupWorldPoints",2010
152,NA,"Thomas Feyrsinger",NA,8.03,"RyderCupWorldPoints",2010
153,NA,"Julien Clement",NA,7.84,"RyderCupWorldPoints",2010
154,NA,"Fredrik Henge",NA,7.57,"RyderCupWorldPoints",2010
155,NA,"Philip Archer",NA,7.51,"RyderCupWorldPoints",2010
156,NA,"Ben Evans",NA,6.9,"RyderCupWorldPoints",2010
157,NA,"Alastair Forsyth",NA,6.87,"RyderCupWorldPoints",2010
158,NA,"Steven OHara",NA,6.66,"RyderCupWorldPoints",2010
159,NA,"Miles Tunnicliff",NA,6.64,"RyderCupWorldPoints",2010
160,NA,"Luis Claverie",NA,6.54,"RyderCupWorldPoints",2010
161,NA,"Patrik Sjoland",NA,6.33,"RyderCupWorldPoints",2010
162,NA,"Seve Benson",NA,6.31,"RyderCupWorldPoints",2010
163,NA,"Mikael Lundberg",NA,6.18,"RyderCupWorldPoints",2010
164,NA,"Sion Bebb",NA,6.18,"RyderCupWorldPoints",2010
165,NA,"Steve Lewton",NA,6.08,"RyderCupWorldPoints",2010
166,NA,"Mikko Korhonen",NA,6.08,"RyderCupWorldPoints",2010
167,NA,"Steven Tiley",NA,5.86,"RyderCupWorldPoints",2010
168,NA,"Barry Lane",NA,5.7,"RyderCupWorldPoints",2010
169,NA,"Gabriel Canizares",NA,5.58,"RyderCupWorldPoints",2010
170,NA,"Joakim Haeggman",NA,5.43,"RyderCupWorldPoints",2010
171,NA,"Gary Orr",NA,5.37,"RyderCupWorldPoints",2010
172,NA,"Phillip Price",NA,5.36,"RyderCupWorldPoints",2010
173,NA,"Wil Besseling",NA,5.04,"RyderCupWorldPoints",2010
174,NA,"Carl Suneson",NA,5.04,"RyderCupWorldPoints",2010
175,NA,"Sam Little",NA,4.99,"RyderCupWorldPoints",2010
176,NA,"Jamie McLeary",NA,4.75,"RyderCupWorldPoints",2010
177,NA,"Gary Clark",NA,4.32,"RyderCupWorldPoints",2010
178,NA,"Scott Jamieson",NA,3.86,"RyderCupWorldPoints",2010
179,NA,"Francois Calmels",NA,3.84,"RyderCupWorldPoints",2010
180,NA,"Peter Baker",NA,3.76,"RyderCupWorldPoints",2010
181,NA,"Adam Gee",NA,3.76,"RyderCupWorldPoints",2010
182,NA,"Neil Cheetham",NA,3.57,"RyderCupWorldPoints",2010
183,NA,"Martin Erlandsson",NA,3.5,"RyderCupWorldPoints",2010
184,NA,"Alan McLean",NA,3.37,"RyderCupWorldPoints",2010
185,NA,"Andrew Butterfield",NA,3.24,"RyderCupWorldPoints",2010
186,NA,"Marcus Higley",NA,3.24,"RyderCupWorldPoints",2010
188,NA,"Jean Francois Lucquin",NA,3.01,"RyderCupWorldPoints",2010
189,NA,"Zane Scotland",NA,3,"RyderCupWorldPoints",2010
190,NA,"Mads Vibe Hastrup",NA,2.98,"RyderCupWorldPoints",2010
191,NA,"Santiago Luna",NA,2.95,"RyderCupWorldPoints",2010
192,NA,"Florian Pragant",NA,2.94,"RyderCupWorldPoints",2010
193,NA,"Christophe Brazillier",NA,2.64,"RyderCupWorldPoints",2010
194,NA,"Jose Maria Olazabal",NA,2.59,"RyderCupWorldPoints",2010
195,NA,"Jamie Little",NA,2.48,"RyderCupWorldPoints",2010
196,NA,"Jamie Moul",NA,2.48,"RyderCupWorldPoints",2010
197,NA,"Bernhard Langer",NA,1.96,"RyderCupWorldPoints",2010
198,NA,"Inder Van Weerelt",NA,1.74,"RyderCupWorldPoints",2010
199,NA,"Garry Houston",NA,1.68,"RyderCupWorldPoints",2010
200,NA,"John Morgan",NA,1.67,"RyderCupWorldPoints",2010
