"LongestHoleOutsinyards_RANKTHISWEEK_2007","LongestHoleOutsinyards_RANKLASTWEEK_2007","LongestHoleOutsinyards_PLAYERNAME_2007","LongestHoleOutsinyards_ROUNDS_2007","LongestHoleOutsinyards_DISTANCE_2007","LongestHoleOutsinyards_TOURNAMENT_2007","LongestHoleOutsinyards_ROUNDCOURSE_2007","LongestHoleOutsinyards_HOLE_2007","stat_name","year"
108,108,"Steve Lowery",74,113,NA,2,9,"LongestHoleOutsinyards",2007
109,110,"Charles Warren",101,112,NA,2,12,"LongestHoleOutsinyards",2007
109,112,"Jeff Gove",103,112,NA,2,18,"LongestHoleOutsinyards",2007
113,113,"Ian Poulter",63,111,NA,3,11,"LongestHoleOutsinyards",2007
115,115,"Jim Rutledge",59,110,NA,4,13,"LongestHoleOutsinyards",2007
115,116,"Corey Pavin",81,110,NA,4,9,"LongestHoleOutsinyards",2007
119,120,"Thongchai Jaidee",10,104,NA,3,2,"LongestHoleOutsinyards",2007
123,124,"Kevin Na",84,100,NA,1,1,"LongestHoleOutsinyards",2007
123,125,"Steve Marino",106,100,NA,2,5,"LongestHoleOutsinyards",2007
123,126,"Jarrod Lyle",77,100,NA,1,6,"LongestHoleOutsinyards",2007
127,128,"Ted Purdy",102,99,NA,3,15,"LongestHoleOutsinyards",2007
127,130,"Vance Veazey",27,99,NA,1,15,"LongestHoleOutsinyards",2007
131,131,"Richard Johnson",93,97,NA,1,18,"LongestHoleOutsinyards",2007
132,132,"John Rollins",102,96,NA,4,10,"LongestHoleOutsinyards",2007
132,133,"Tim Petrovic",106,96,NA,3,5,"LongestHoleOutsinyards",2007
134,136,"Steve Flesch",100,95,NA,2,6,"LongestHoleOutsinyards",2007
137,137,"Brendon de Jonge",76,94,NA,1,2,"LongestHoleOutsinyards",2007
138,138,"Bob May",49,93,NA,3,8,"LongestHoleOutsinyards",2007
140,141,"Tommy Armour III",81,92,NA,4,18,"LongestHoleOutsinyards",2007
140,142,"Ryan Armour",107,92,NA,2,11,"LongestHoleOutsinyards",2007
143,143,"Craig Barlow",52,89,NA,1,18,"LongestHoleOutsinyards",2007
144,144,"Anthony Kim",93,88,NA,2,6,"LongestHoleOutsinyards",2007
145,145,"Ernie Els",59,86,NA,3,12,"LongestHoleOutsinyards",2007
147,147,"Tom Byrum",50,85,NA,4,8,"LongestHoleOutsinyards",2007
150,151,"David Toms",80,84,NA,2,2,"LongestHoleOutsinyards",2007
154,154,"Rory Sabbatini",81,80,NA,3,1,"LongestHoleOutsinyards",2007
157,157,"Billy Andrade",88,78,NA,2,11,"LongestHoleOutsinyards",2007
157,158,"Dan Forsman",33,78,NA,2,9,"LongestHoleOutsinyards",2007
157,159,"Rocco Mediate",72,78,NA,1,7,"LongestHoleOutsinyards",2007
160,160,"Ian Leggatt",8,77,NA,1,17,"LongestHoleOutsinyards",2007
162,162,"Chris Tidland",59,72,NA,1,1,"LongestHoleOutsinyards",2007
163,163,"Will Ma Kenzie",100,71,NA,4,13,"LongestHoleOutsinyards",2007
163,165,"Aaron Baddeley",83,71,NA,3,9,"LongestHoleOutsinyards",2007
167,167,"Tim Clark",66,69,NA,1,12,"LongestHoleOutsinyards",2007
169,171,"Bart Bryant",87,67,NA,1,5,"LongestHoleOutsinyards",2007
173,173,"Woody Austin",95,64,NA,4,3,"LongestHoleOutsinyards",2007
177,179,"Jeff Maggert",79,60,NA,4,6,"LongestHoleOutsinyards",2007
182,183,"Pat Perez",84,57,NA,3,18,"LongestHoleOutsinyards",2007
184,184,"John Mallinger",96,56,NA,3,13,"LongestHoleOutsinyards",2007
186,186,"Jerry Smith",49,55,NA,2,18,"LongestHoleOutsinyards",2007
188,189,"Jason Dufner",100,53,NA,2,7,"LongestHoleOutsinyards",2007
191,191,"Vaughn Taylor",91,49,NA,3,11,"LongestHoleOutsinyards",2007
193,193,"Ben Curtis",80,46,NA,3,2,"LongestHoleOutsinyards",2007
194,194,"Steven Bowditch",10,45,NA,2,10,"LongestHoleOutsinyards",2007
196,198,"Bob Tway",103,44,NA,3,16,"LongestHoleOutsinyards",2007
