"Scrambling2030ydsRTPScore_RANKTHISWEEK_2008","Scrambling2030ydsRTPScore_RANKLASTWEEK_2008","Scrambling2030ydsRTPScore_PLAYERNAME_2008","Scrambling2030ydsRTPScore_ROUNDS_2008","Scrambling2030ydsRTPScore_AVGRTP_2008","Scrambling2030ydsRTPScore_TOTALHOLES_2008","Scrambling2030ydsRTPScore_TOTALRTP_2008","stat_name","year"
128,128,"Ken Duke",116,0.54,124,67,"Scrambling2030ydsRTPScore",2008
128,128,"Brenden Pappas",66,0.54,63,34,"Scrambling2030ydsRTPScore",2008
131,131,"Sean OHair",81,0.541,85,46,"Scrambling2030ydsRTPScore",2008
132,132,"Robert Gamez",79,0.544,79,43,"Scrambling2030ydsRTPScore",2008
132,132,"Pat Perez",93,0.544,68,37,"Scrambling2030ydsRTPScore",2008
134,134,"Andres Romero",69,0.545,55,30,"Scrambling2030ydsRTPScore",2008
135,135,"Fred Couples",60,0.547,53,29,"Scrambling2030ydsRTPScore",2008
136,136,"Corey Pavin",69,0.548,73,40,"Scrambling2030ydsRTPScore",2008
137,137,"Troy Matteson",94,0.549,91,50,"Scrambling2030ydsRTPScore",2008
137,137,"Jay Williamson",96,0.549,71,39,"Scrambling2030ydsRTPScore",2008
139,139,"Ian Poulter",51,0.551,49,27,"Scrambling2030ydsRTPScore",2008
139,139,"Tag Ridings",88,0.551,69,38,"Scrambling2030ydsRTPScore",2008
141,141,"Chad Campbell",94,0.553,85,47,"Scrambling2030ydsRTPScore",2008
142,142,"Cody Freeman",66,0.556,72,40,"Scrambling2030ydsRTPScore",2008
142,142,"Geoff Ogilvy",65,0.556,45,25,"Scrambling2030ydsRTPScore",2008
142,142,"Chris Stroud",81,0.556,63,35,"Scrambling2030ydsRTPScore",2008
145,145,"Brandt Jobe",52,0.558,52,29,"Scrambling2030ydsRTPScore",2008
145,145,"Jon Mills",95,0.558,77,43,"Scrambling2030ydsRTPScore",2008
147,147,"John Rollins",94,0.56,75,42,"Scrambling2030ydsRTPScore",2008
148,148,"Justin Bolli",87,0.563,71,40,"Scrambling2030ydsRTPScore",2008
149,149,"Shane Bertsch",96,0.564,101,57,"Scrambling2030ydsRTPScore",2008
150,150,"Adam Scott",51,0.567,30,17,"Scrambling2030ydsRTPScore",2008
151,151,"Woody Austin",109,0.569,109,62,"Scrambling2030ydsRTPScore",2008
151,151,"Matt Jones",95,0.569,102,58,"Scrambling2030ydsRTPScore",2008
153,153,"Nick Flanagan",89,0.57,86,49,"Scrambling2030ydsRTPScore",2008
153,153,"Nicholas Thompson",113,0.57,107,61,"Scrambling2030ydsRTPScore",2008
155,155,"Paul Claxton",63,0.571,56,32,"Scrambling2030ydsRTPScore",2008
156,156,"Steve Elkington",84,0.573,82,47,"Scrambling2030ydsRTPScore",2008
156,156,"John Merrick",98,0.573,82,47,"Scrambling2030ydsRTPScore",2008
158,158,"YE Yang",89,0.577,71,41,"Scrambling2030ydsRTPScore",2008
159,159,"Carlos Franco",73,0.578,83,48,"Scrambling2030ydsRTPScore",2008
159,159,"Cliff Kresge",84,0.578,83,48,"Scrambling2030ydsRTPScore",2008
161,161,"David Toms",70,0.581,62,36,"Scrambling2030ydsRTPScore",2008
162,162,"George McNeill",97,0.584,101,59,"Scrambling2030ydsRTPScore",2008
162,162,"Brett Rumford",72,0.584,77,45,"Scrambling2030ydsRTPScore",2008
164,164,"Marco Dawson",64,0.585,65,38,"Scrambling2030ydsRTPScore",2008
165,165,"Charley Hoffman",94,0.586,87,51,"Scrambling2030ydsRTPScore",2008
166,166,"Kenny Perry",97,0.587,75,44,"Scrambling2030ydsRTPScore",2008
167,167,"Jason Gore",94,0.589,95,56,"Scrambling2030ydsRTPScore",2008
168,168,"Robert Garrigus",90,0.591,88,52,"Scrambling2030ydsRTPScore",2008
169,169,"Robert Allenby",108,0.598,82,49,"Scrambling2030ydsRTPScore",2008
169,169,"Peter Lonard",92,0.598,87,52,"Scrambling2030ydsRTPScore",2008
171,171,"Rich Beem",90,0.603,78,47,"Scrambling2030ydsRTPScore",2008
172,172,"John Huston",56,0.604,48,29,"Scrambling2030ydsRTPScore",2008
173,173,"Hunter Mahan",87,0.61,77,47,"Scrambling2030ydsRTPScore",2008
174,174,"Dustin Johnson",92,0.615,91,56,"Scrambling2030ydsRTPScore",2008
174,174,"John Senden",93,0.615,78,48,"Scrambling2030ydsRTPScore",2008
176,176,"Ryan Palmer",69,0.616,73,45,"Scrambling2030ydsRTPScore",2008
177,177,"Tom Scherrer",56,0.617,47,29,"Scrambling2030ydsRTPScore",2008
178,178,"Jeff Maggert",86,0.62,100,62,"Scrambling2030ydsRTPScore",2008
179,179,"Alex Cejka",75,0.623,69,43,"Scrambling2030ydsRTPScore",2008
180,180,"Camilo Villegas",79,0.625,64,40,"Scrambling2030ydsRTPScore",2008
181,181,"Michael Allen",91,0.627,75,47,"Scrambling2030ydsRTPScore",2008
182,182,"Ryan Moore",72,0.63,81,51,"Scrambling2030ydsRTPScore",2008
183,183,"Zach Johnson",85,0.632,68,43,"Scrambling2030ydsRTPScore",2008
183,183,"DJ Trahan",94,0.632,76,48,"Scrambling2030ydsRTPScore",2008
185,185,"Chez Reavie",102,0.634,82,52,"Scrambling2030ydsRTPScore",2008
186,186,"Kent Jones",68,0.639,61,39,"Scrambling2030ydsRTPScore",2008
187,187,"Olin Browne",77,0.646,79,51,"Scrambling2030ydsRTPScore",2008
188,188,"Kyle Thompson",70,0.65,60,39,"Scrambling2030ydsRTPScore",2008
189,189,"Todd Hamilton",92,0.653,98,64,"Scrambling2030ydsRTPScore",2008
190,190,"Billy Andrade",71,0.672,61,41,"Scrambling2030ydsRTPScore",2008
191,191,"Charles Warren",79,0.675,77,52,"Scrambling2030ydsRTPScore",2008
192,192,"Travis Perkins",53,0.686,51,35,"Scrambling2030ydsRTPScore",2008
193,193,"Kevin Stadler",90,0.696,79,55,"Scrambling2030ydsRTPScore",2008
194,194,"Joe Durant",92,0.697,89,62,"Scrambling2030ydsRTPScore",2008
195,195,"Jason Day",81,0.707,75,53,"Scrambling2030ydsRTPScore",2008
196,196,"Harrison Frazar",73,0.711,45,32,"Scrambling2030ydsRTPScore",2008
197,197,"Tommy Gainey",60,0.727,44,32,"Scrambling2030ydsRTPScore",2008
